time,CSIRO-MK3-6-0,CESM1-CAM5,NORESM1-M,MPI-ESM-LR
2000.0,2126520700.0,2126520700.0,2126520700.0,2126520700.0
2001.0,2141004800.0,2141004800.0,2141004800.0,2141004800.0
2002.0,2131452500.0,2131452500.0,2131452500.0,2131452500.0
2003.0,2194573300.0,2194573300.0,2194573300.0,2194573300.0
2004.0,2105318500.0,2105318500.0,2105318500.0,2105318500.0
2005.0,2099516400.0,2099516400.0,2099516400.0,2099516400.0
2006.0,2086269300.0,2086269300.0,2086269300.0,2086269300.0
2007.0,2072913500.0,2072913500.0,2072913500.0,2072913500.0
2008.0,2075369900.0,2075369900.0,2075369900.0,2075369900.0
2009.0,2105645200.0,2105645200.0,2105645200.0,2105645200.0
2010.0,2066847500.0,2066847500.0,2066847500.0,2066847500.0
2011.0,2082860900.0,2082860900.0,2082860900.0,2082860900.0
2012.0,2045792500.0,2045792500.0,2045792500.0,2045792500.0
2013.0,2036584000.0,2036584000.0,2036584000.0,2036584000.0
2014.0,2039751800.0,2039751800.0,2039751800.0,2039751800.0
2015.0,2055320400.0,2055320400.0,2055320400.0,2055320400.0
2016.0,2006293200.0,2006293200.0,2006293200.0,2006293200.0
2017.0,1995090200.0,1995090200.0,1995090200.0,1995090200.0
2018.0,1974807400.0,1974807400.0,1974807400.0,1974807400.0
2019.0,1947963600.0,1947963600.0,1947963600.0,1947963600.0
2020.0,1932318300.0,1932318300.0,1932318300.0,1932318300.0
2021.0,1902694300.0,1919316000.0,1919538600.0,1912906500.0
2022.0,1878299100.0,1865133000.0,1900615600.0,1955383400.0
2023.0,1840229900.0,1848063600.0,1865338000.0,1869665900.0
2024.0,1830731000.0,1823444000.0,1829845900.0,1883978400.0
2025.0,1787135600.0,1784255700.0,1787853000.0,1904177400.0
2026.0,1755056100.0,1738899500.0,1741141100.0,1918810500.0
2027.0,1677339500.0,1737308400.0,1691968900.0,2042924400.0
2028.0,1625714700.0,1647337600.0,1800788200.0,1899198500.0
2029.0,1917430400.0,1590927400.0,1647335300.0,1828690800.0
2030.0,1568431500.0,1659240300.0,1601325700.0,1785767800.0
2031.0,1526910200.0,1533519200.0,1550271600.0,1746281100.0
2032.0,1508985100.0,1477276700.0,1498079100.0,1688270100.0
2033.0,1455373300.0,1408303000.0,1458985200.0,1665081300.0
2034.0,1416552800.0,1379322000.0,1413610600.0,1632780400.0
2035.0,1342734500.0,1331340000.0,1377362000.0,1586332400.0
2036.0,1322819200.0,1291348500.0,1364852200.0,1593406500.0
2037.0,1336974300.0,1365437600.0,1344867300.0,1564883300.0
2038.0,1261670900.0,1228046600.0,1286836200.0,1519584400.0
2039.0,1221069000.0,1190147200.0,1249712500.0,1489988000.0
2040.0,1199002200.0,1171915600.0,1214258000.0,1443159600.0
