time,CESM1-CAM5,MPI-ESM-LR,CANESM2
2000.0,1184799500.0,1184799500.0,1184799500.0
2001.0,1207138700.0,1207138700.0,1207138700.0
2002.0,1182553000.0,1182553000.0,1182553000.0
2003.0,1203272200.0,1203272200.0,1203272200.0
2004.0,1202728800.0,1202728800.0,1202728800.0
2005.0,1252121100.0,1252121100.0,1252121100.0
2006.0,1196927100.0,1196927100.0,1196927100.0
2007.0,1207703400.0,1207703400.0,1207703400.0
2008.0,1195628700.0,1195628700.0,1195628700.0
2009.0,1187133600.0,1187133600.0,1187133600.0
2010.0,1189949000.0,1189949000.0,1189949000.0
2011.0,1179293700.0,1179293700.0,1179293700.0
2012.0,1172121600.0,1172121600.0,1172121600.0
2013.0,1169504600.0,1169504600.0,1169504600.0
2014.0,1160609500.0,1160609500.0,1160609500.0
2015.0,1156310500.0,1156310500.0,1156310500.0
2016.0,1153071000.0,1153071000.0,1153071000.0
2017.0,1143919500.0,1143919500.0,1143919500.0
2018.0,1134425300.0,1134425300.0,1134425300.0
2019.0,1121158800.0,1121158800.0,1121158800.0
2020.0,1112351200.0,1112351200.0,1112351200.0
2021.0,1094055200.0,1201339900.0,1106211300.0
2022.0,1075984300.0,1202200300.0,1101513100.0
2023.0,1056249600.0,1146759000.0,1083587200.0
2024.0,1060738100.0,1132496500.0,1073332600.0
2025.0,1068203400.0,1106260500.0,1054422400.0
2026.0,1041829900.0,1105310800.0,1033930800.0
2027.0,1019306560.0,1089058200.0,1013696700.0
2028.0,1009474700.0,1074384100.0,995275650.0
2029.0,1038438000.0,1095562500.0,1062593600.0
2030.0,1004557950.0,1111144700.0,990655740.0
2031.0,984888800.0,1094958000.0,958440640.0
2032.0,972935200.0,1190707600.0,938811140.0
2033.0,957150900.0,1118000900.0,924357200.0
2034.0,937321800.0,1088202400.0,896392400.0
2035.0,933582100.0,1077897000.0,878238660.0
2036.0,920546500.0,1106362600.0,855456200.0
2037.0,906251100.0,1094710700.0,826492800.0
2038.0,890411970.0,1080784300.0,802041200.0
2039.0,893302340.0,1085157400.0,777282600.0
2040.0,879780860.0,1114275300.0,744675300.0
2041.0,866648060.0,1071633800.0,720864960.0
2042.0,858341600.0,1072972300.0,695194750.0
2043.0,851300740.0,1084678100.0,675154200.0
2044.0,843943740.0,1077569800.0,710397250.0
2045.0,831913660.0,1103125100.0,663658240.0
2046.0,816157500.0,1082475400.0,643660000.0
2047.0,799961300.0,1068959940.0,625976770.0
