time,CESM1-CAM5,CANESM2,MPI-ESM-LR
2000.0,707243351700.0,707243351700.0,707243351700.0
2001.0,707207321400.0,707207321400.0,707207321400.0
2002.0,706239784800.0,706239784800.0,706239784800.0
2003.0,705755904700.0,705755904700.0,705755904700.0
2004.0,706146876500.0,706146876500.0,706146876500.0
2005.0,705380858700.0,705380858700.0,705380858700.0
2006.0,705326299100.0,705326299100.0,705326299100.0
2007.0,704339903600.0,704339903600.0,704339903600.0
2008.0,703388792800.0,703388792800.0,703388792800.0
2009.0,703493567600.0,703493567600.0,703493567600.0
2010.0,701774614000.0,701774614000.0,701774614000.0
2011.0,702707051100.0,702707051100.0,702707051100.0
2012.0,701077266900.0,701077266900.0,701077266900.0
2013.0,700883436100.0,700883436100.0,700883436100.0
2014.0,701659224300.0,701659224300.0,701659224300.0
2015.0,699827862200.0,699827862200.0,699827862200.0
2016.0,700572181200.0,700572181200.0,700572181200.0
2017.0,697064400000.0,697064400000.0,697064400000.0
2018.0,696760410800.0,696760410800.0,696760410800.0
2019.0,697854300100.0,697854300100.0,697854300100.0
2020.0,695208106800.0,695208106800.0,695208106800.0
2021.0,692772232400.0,694829630600.0,693698407700.0
2022.0,691513274100.0,692358112000.0,692397405600.0
2023.0,690567642150.0,690649965900.0,690625054000.0
2024.0,688883380760.0,690131054600.0,689870380260.0
2025.0,687599266560.0,688362529770.0,688289531000.0
2026.0,686042055900.0,687247163100.0,686797754400.0
2027.0,683146159460.0,685569144500.0,685556163100.0
2028.0,681163899700.0,684927295950.0,683395437600.0
2029.0,679672490900.0,681899366350.0,680499466400.0
2030.0,677519249300.0,681049832540.0,678927398900.0
2031.0,675120799400.0,677660148840.0,678199929700.0
2032.0,672906053860.0,675584589340.0,675300293400.0
2033.0,670256955800.0,672784750440.0,672881782000.0
2034.0,667121826300.0,671350231800.0,671210239700.0
2035.0,664454535200.0,668661521260.0,669497084740.0
2036.0,662165606140.0,665781002800.0,667086951950.0
2037.0,659826243500.0,663407979600.0,666178175600.0
2038.0,657380175510.0,660809017050.0,663136903850.0
2039.0,654170978840.0,658344518700.0,660631626100.0
2040.0,650868487120.0,656106002130.0,658406997600.0
2041.0,648168642060.0,653853014000.0,655598579960.0
2042.0,643974724100.0,650599364990.0,653568937900.0
2043.0,639846592840.0,647337588540.0,652649045000.0
2044.0,637378526340.0,645319242550.0,650055362000.0
2045.0,634844370510.0,643264302300.0,646612876800.0
2046.0,631164161190.0,639980081100.0,644154248340.0
2047.0,627657031300.0,637621701030.0,641548451500.0
2048.0,626416880740.0,633721286340.0,641674742700.0
2049.0,622637224500.0,631105240760.0,636971590950.0
2050.0,618271044100.0,630651290080.0,634651051860.0
2051.0,615933862760.0,627848262460.0,635551595800.0
2052.0,612659745400.0,623257394020.0,631193856210.0
2053.0,609967763700.0,620700870500.0,628478743600.0
2054.0,605689831610.0,617653687000.0,626525436900.0
2055.0,603463274740.0,615769716500.0,624287750100.0
2056.0,598856379400.0,612822753860.0,622906691350.0
2057.0,599031036360.0,609951236650.0,620943285440.0
2058.0,592109501230.0,608876257590.0,619017811160.0
2059.0,588808032000.0,605758548010.0,618271483130.0
2060.0,585311948930.0,602839283420.0,615207898110.0
2061.0,581176373460.0,598965786090.0,612535976640.0
2062.0,577134956730.0,596705308450.0,612053383300.0
2063.0,573778736520.0,594261685280.0,609567382800.0
2064.0,570112681950.0,593659340830.0,609657789740.0
2065.0,565729404450.0,589896369940.0,605817052710.0
2066.0,562748892660.0,586262515360.0,604901695470.0
2067.0,562311505380.0,584068586620.0,602592031300.0
2068.0,556768193910.0,584816533860.0,600018430200.0
2069.0,553402250490.0,579430462360.0,601291070900.0
2070.0,549540824790.0,577008891210.0,596858237800.0
2071.0,546674871780.0,574794688730.0,595918885250.0
2072.0,542966914240.0,573185175580.0,594563207240.0
2073.0,540182418580.0,570836457790.0,594913303100.0
2074.0,535973407730.0,569910445700.0,596181864160.0
2075.0,535004500830.0,570092129370.0,592903590920.0
2076.0,536342146640.0,568418536790.0,588624275260.0
2077.0,528725714360.0,563830415720.0,586241599760.0
2078.0,524233276080.0,561449163470.0,585552862680.0
2079.0,521162977540.0,561274299340.0,586130804460.0
2080.0,518677624270.0,559155287730.0,582443642000.0
2081.0,515086455860.0,559209431530.0,582133241500.0
2082.0,511144728640.0,557154286990.0,584584955280.0
2083.0,507969155920.0,552565977610.0,581643948400.0
2084.0,506303746840.0,550899938150.0,577045557940.0
2085.0,502316879830.0,551433501930.0,575599272600.0
2086.0,499186336800.0,547337856430.0,576253477900.0
2087.0,497616067980.0,543878506140.0,574862745400.0
2088.0,497253326980.0,546886408390.0,578925225300.0
