time,CESM2-WACCM,IPSL-CM6A-LR,MRI-ESM2-0,CANESM5
2000.0,87715920000.0,87715920000.0,87715920000.0,87715920000.0
2001.0,88070840000.0,88070840000.0,88070840000.0,88070840000.0
2002.0,87760240000.0,87760240000.0,87760240000.0,87760240000.0
2003.0,87546360000.0,87546360000.0,87546360000.0,87546360000.0
2004.0,87360940000.0,87360940000.0,87360940000.0,87360940000.0
2005.0,87202824000.0,87202824000.0,87202824000.0,87202824000.0
2006.0,87080900000.0,87080900000.0,87080900000.0,87080900000.0
2007.0,87030550000.0,87030550000.0,87030550000.0,87030550000.0
2008.0,86972980000.0,86972980000.0,86972980000.0,86972980000.0
2009.0,87331170000.0,87331170000.0,87331170000.0,87331170000.0
2010.0,86907550000.0,86907550000.0,86907550000.0,86907550000.0
2011.0,86778130000.0,86778130000.0,86778130000.0,86778130000.0
2012.0,86709805000.0,86709805000.0,86709805000.0,86709805000.0
2013.0,86802440000.0,86802440000.0,86802440000.0,86802440000.0
2014.0,86541690000.0,86541690000.0,86541690000.0,86541690000.0
2015.0,86330300000.0,86330300000.0,86330300000.0,86330300000.0
2016.0,86145410000.0,86145410000.0,86145410000.0,86145410000.0
2017.0,85831030000.0,85831030000.0,85831030000.0,85831030000.0
2018.0,85600260000.0,85600260000.0,85600260000.0,85600260000.0
2019.0,85395160000.0,85395160000.0,85395160000.0,85395160000.0
2020.0,85067540000.0,85067540000.0,85067540000.0,85067540000.0
2021.0,84792760000.0,84853320000.0,84889895000.0,84808330000.0
2022.0,84318265000.0,84520320000.0,84731200000.0,84707780000.0
2023.0,83931365000.0,84245240000.0,84338980000.0,84341030000.0
2024.0,83551830000.0,84042780000.0,84021370000.0,84008740000.0
2025.0,83085110000.0,83496840000.0,83607265000.0,83908750000.0
2026.0,82509710000.0,83204290000.0,83271300000.0,83630010000.0
2027.0,81780580000.0,82900680000.0,82952230000.0,83235550000.0
2028.0,80944130000.0,82336416000.0,82707096000.0,82960720000.0
2029.0,80433590000.0,81730280000.0,82167110000.0,82432760000.0
2030.0,80071220000.0,81028370000.0,81946165000.0,81952760000.0
2031.0,79406360000.0,80059924000.0,81125780000.0,81463116000.0
2032.0,78935425000.0,79552080000.0,80553210000.0,80777126000.0
2033.0,78343780000.0,79254460000.0,79995600000.0,80315900000.0
2034.0,77576045000.0,78733844000.0,79691194000.0,79620820000.0
2035.0,76633980000.0,78602280000.0,79679800000.0,79097670000.0
2036.0,76051440000.0,77956820000.0,78993210000.0,78505240000.0
2037.0,75256580000.0,77043745000.0,78573180000.0,77717545000.0
2038.0,74294760000.0,76179956000.0,77561680000.0,77393620000.0
2039.0,73735650000.0,75633180000.0,76821730000.0,76727130000.0
2040.0,73937986000.0,74777650000.0,75990650000.0,75883710000.0
2041.0,72492670000.0,73917290000.0,75211060000.0,75257990000.0
2042.0,71398020000.0,73056850000.0,74275710000.0,74189510000.0
2043.0,70719800000.0,71795474000.0,73544970000.0,73424290000.0
2044.0,69880320000.0,70915965000.0,72987100000.0,72674090000.0
2045.0,69040005000.0,69926806000.0,72238630000.0,72084690000.0
2046.0,68239950000.0,69018360000.0,71987100000.0,71217740000.0
2047.0,67421213000.0,68259914000.0,71272060000.0,70458760000.0
2048.0,66424000000.0,69028176000.0,70602630000.0,69682860000.0
2049.0,65505632000.0,66755040000.0,70108350000.0,69160440000.0
2050.0,64816427000.0,65690796000.0,69099960000.0,68458150000.0
2051.0,64093876000.0,64814410000.0,68312270000.0,67748720000.0
2052.0,63016120000.0,63951925000.0,68281967000.0,66890410000.0
2053.0,62046660000.0,64164536000.0,67428585000.0,66018705000.0
2054.0,61320530000.0,62936720000.0,66915660000.0,65557950000.0
2055.0,60433780000.0,61840437000.0,66208362000.0,64679790000.0
2056.0,59340680000.0,60950800000.0,65598603000.0,64011866000.0
2057.0,58258223000.0,60835135000.0,64915720000.0,63219030000.0
2058.0,57204105000.0,59130974000.0,64302760000.0,62260535000.0
2059.0,56388250000.0,58231804000.0,63781425000.0,61284876000.0
2060.0,55639482000.0,57763406000.0,63230693000.0,60233343000.0
2061.0,54859760000.0,56834593000.0,62677676000.0,59430097000.0
2062.0,54039090000.0,55866114000.0,62118855000.0,58699470000.0
2063.0,53175357000.0,54888907000.0,61651270000.0,57651794000.0
2064.0,52394920000.0,54459924000.0,60939140000.0,56683364000.0
2065.0,51606086000.0,53329380000.0,60571873000.0,55828600000.0
2066.0,51096453000.0,53182857000.0,60384440000.0,54868152000.0
2067.0,50684180000.0,53720166000.0,59480350000.0,54115488000.0
2068.0,50179180000.0,51662184000.0,60067690000.0,53464390000.0
2069.0,49081717000.0,50656790000.0,58851656000.0,52734992000.0
2070.0,48505037000.0,51460927000.0,60698590000.0,51946160000.0
2071.0,47818318000.0,50156753000.0,58452455000.0,51285606000.0
2072.0,47203800000.0,48633470000.0,57464443000.0,50499645000.0
2073.0,46317924000.0,48022966000.0,57208406000.0,49947304000.0
2074.0,45636026000.0,47266820000.0,56803370000.0,49220616000.0
2075.0,45129560000.0,45984567000.0,56428080000.0,48658543000.0
2076.0,44680800000.0,45195043000.0,55907860000.0,47956560000.0
2077.0,43830340000.0,46513746000.0,55439077000.0,47252046000.0
2078.0,43095260000.0,45104780000.0,55194670000.0,46669420000.0
2079.0,42536550000.0,43567110000.0,54757540000.0,46128886000.0
2080.0,41840312000.0,43458210000.0,54271560000.0,45788197000.0
2081.0,41363720000.0,43989602000.0,54410682000.0,45200912000.0
2082.0,40760025000.0,42193474000.0,53460610000.0,44777280000.0
2083.0,40200815000.0,41447810000.0,53391385000.0,44282077000.0
2084.0,39667270000.0,41221513000.0,53618774000.0,43630875000.0
2085.0,38916284000.0,43093406000.0,52860015000.0,43529527000.0
2086.0,38611990000.0,40672150000.0,52653765000.0,43248636000.0
2087.0,37761733000.0,40037143000.0,52191547000.0,42723004000.0
2088.0,37110297000.0,39472300000.0,51869557000.0,41982525000.0
2089.0,37981127000.0,39162320000.0,51956860000.0,41593270000.0
2090.0,37424330000.0,40109613000.0,54679273000.0,41186087000.0
2091.0,36179640000.0,38963460000.0,55385490000.0,41018372000.0
2092.0,35806030000.0,38125777000.0,52475445000.0,41152870000.0
2093.0,36341117000.0,37992997000.0,51948175000.0,40536930000.0
2094.0,35468214000.0,40155316000.0,51282338000.0,40083910000.0
2095.0,35073303000.0,37083365000.0,51766770000.0,39667474000.0
2096.0,35402445000.0,36750037000.0,51911954000.0,39389856000.0
2097.0,35114226000.0,39165120000.0,51154170000.0,40487390000.0
2098.0,37519577000.0,36365718000.0,51390833000.0,40078664000.0
2099.0,35510810000.0,35928494000.0,51034292000.0,39146580000.0
2100.0,34356961000.0,35844550000.0,50903500000.0,38526493000.0
