time,IPSL-CM6A-LR,MRI-ESM2-0,CANESM5,CESM2-WACCM
2000.0,10069818000.0,10069818000.0,10069818000.0,10069818000.0
2001.0,10066885000.0,10066885000.0,10066885000.0,10066885000.0
2002.0,10064774000.0,10064774000.0,10064774000.0,10064774000.0
2003.0,10064067000.0,10064067000.0,10064067000.0,10064067000.0
2004.0,10060607000.0,10060607000.0,10060607000.0,10060607000.0
2005.0,10057382000.0,10057382000.0,10057382000.0,10057382000.0
2006.0,10053780000.0,10053780000.0,10053780000.0,10053780000.0
2007.0,10051875000.0,10051875000.0,10051875000.0,10051875000.0
2008.0,10049721000.0,10049721000.0,10049721000.0,10049721000.0
2009.0,10045488000.0,10045488000.0,10045488000.0,10045488000.0
2010.0,10044064000.0,10044064000.0,10044064000.0,10044064000.0
2011.0,10038074000.0,10038074000.0,10038074000.0,10038074000.0
2012.0,10038556000.0,10038556000.0,10038556000.0,10038556000.0
2013.0,10036000000.0,10036000000.0,10036000000.0,10036000000.0
2014.0,10034335000.0,10034335000.0,10034335000.0,10034335000.0
2015.0,10030509000.0,10030509000.0,10030509000.0,10030509000.0
2016.0,10029952000.0,10029952000.0,10029952000.0,10029952000.0
2017.0,10023407000.0,10023407000.0,10023407000.0,10023407000.0
2018.0,10018842000.0,10018842000.0,10018842000.0,10018842000.0
2019.0,10017142000.0,10017142000.0,10017142000.0,10017142000.0
2020.0,10011598000.0,10011598000.0,10011598000.0,10011598000.0
2021.0,10007398000.0,10006845000.0,10002118000.0,10007273000.0
2022.0,10000977000.0,9998905000.0,9993971000.0,9998317000.0
2023.0,9995903000.0,9991599000.0,9980682000.0,9992677000.0
2024.0,9992547000.0,9981484000.0,9968151000.0,9987929000.0
2025.0,9987884000.0,9974019000.0,9957090000.0,9984150000.0
2026.0,9983131000.0,9964598000.0,9942028000.0,9977523000.0
2027.0,9978334000.0,9947074000.0,9924285000.0,9973943000.0
2028.0,9962863000.0,9936539000.0,9893235000.0,9960054000.0
2029.0,9951933000.0,9908891000.0,9870171000.0,9946499000.0
2030.0,9940934000.0,9894548000.0,9840535000.0,9938140000.0
2031.0,9921456000.0,9867340000.0,9810847000.0,9913934000.0
2032.0,9910888000.0,9841906000.0,9782168000.0,9900800000.0
2033.0,9895916000.0,9819740000.0,9745284000.0,9888735000.0
2034.0,9875049000.0,9775070000.0,9701760000.0,9873548000.0
2035.0,9856022000.0,9740719000.0,9666022000.0,9851257000.0
2036.0,9840450000.0,9694495000.0,9597480000.0,9834582000.0
2037.0,9823439000.0,9647603000.0,9545790000.0,9819385000.0
2038.0,9790892000.0,9607071000.0,9493392000.0,9794876000.0
2039.0,9753182000.0,9573310000.0,9430816000.0,9757472000.0
2040.0,9723139000.0,9530822000.0,9325554000.0,9730701000.0
2041.0,9682333000.0,9478191000.0,9242600000.0,9717673000.0
2042.0,9656050000.0,9424541000.0,9161427000.0,9692691000.0
2043.0,9616965000.0,9340473000.0,9074139000.0,9665055000.0
2044.0,9586322000.0,9280223000.0,8981771000.0,9648637000.0
2045.0,9554415000.0,9181561000.0,8790573000.0,9624960000.0
2046.0,9502090000.0,9112238000.0,8664175000.0,9610254000.0
2047.0,9471928000.0,9018756000.0,8549465000.0,9579039000.0
2048.0,9413794000.0,8916661000.0,8446738000.0,9553037000.0
2049.0,9341024000.0,8817781000.0,8308141600.0,9515979000.0
2050.0,9290521000.0,8716132000.0,8171348000.0,9488798000.0
2051.0,9234252000.0,8663262000.0,8060781600.0,9453162000.0
2052.0,9161174000.0,8538100700.0,7929130500.0,9405939000.0
2053.0,9084923000.0,8469758500.0,7843620400.0,9363396000.0
2054.0,9023468000.0,8400845000.0,7688362000.0,9313746000.0
2055.0,8960707000.0,8341320700.0,7548459000.0,9267325000.0
2056.0,8880859000.0,8277792300.0,7417042400.0,9221181000.0
2057.0,8807012000.0,8231382000.0,7273008000.0,9174692000.0
2058.0,8692678000.0,8173560000.0,7166381600.0,9123167000.0
2059.0,8614119000.0,8127870500.0,7026397700.0,9075027000.0
2060.0,8556850700.0,8079659500.0,6822591000.0,9024020000.0
2061.0,8466736600.0,7994866000.0,6612948000.0,8994550000.0
2062.0,8402393000.0,7952998000.0,6473165000.0,8909683000.0
2063.0,8314292000.0,7844352500.0,6309136000.0,8870823000.0
2064.0,8228702000.0,7801568000.0,6126572500.0,8814130000.0
2065.0,8177404400.0,7746446000.0,5968366000.0,8784568000.0
2066.0,8103504400.0,7686161400.0,5872255000.0,8732022000.0
2067.0,8040719000.0,7631441400.0,5711191600.0,8684940000.0
2068.0,8009573400.0,7577344500.0,5587100000.0,8639379000.0
2069.0,7979604000.0,7604812300.0,5456091600.0,8613694000.0
2070.0,7890069500.0,7533293000.0,5350035000.0,8595076000.0
2071.0,7813565000.0,7470713000.0,5221703700.0,8578550300.0
2072.0,7768184000.0,7422727000.0,5093296000.0,8569656300.0
2073.0,7698706400.0,7361132500.0,4974006000.0,8552663600.0
