time,MRI-ESM2-0
2000.0,33819884000.0
2001.0,33864160000.0
2002.0,33840273000.0
2003.0,33820926000.0
2004.0,33815273000.0
2005.0,33798212000.0
2006.0,33791566000.0
2007.0,33787152000.0
2008.0,33777620000.0
2009.0,33777641000.0
2010.0,33770058000.0
2011.0,33778040000.0
2012.0,33759564000.0
2013.0,33790654000.0
2014.0,33737690000.0
2015.0,33745338000.0
2016.0,33742463000.0
2017.0,33738520000.0
2018.0,33718770000.0
2019.0,33755453000.0
2020.0,33703807000.0
2021.0,33686127000.0
2022.0,33678385000.0
2023.0,33681244000.0
2024.0,33662398000.0
2025.0,33652163000.0
2026.0,33631154000.0
2027.0,33605845000.0
2028.0,33612577000.0
2029.0,33575830000.0
2030.0,33544559000.0
2031.0,33508782000.0
2032.0,33488480000.0
2033.0,33432093000.0
2034.0,33409714000.0
2035.0,33366548000.0
2036.0,33313063000.0
2037.0,33285384000.0
2038.0,33221437000.0
2039.0,33157564000.0
2040.0,33109217000.0
2041.0,33040200000.0
2042.0,32980748000.0
2043.0,32897282000.0
2044.0,32818737000.0
2045.0,32652750000.0
2046.0,32528534000.0
2047.0,32408250000.0
2048.0,32228364000.0
2049.0,32027021000.0
2050.0,31891864000.0
2051.0,31743986000.0
2052.0,31530703000.0
2053.0,31355558000.0
2054.0,31189926000.0
2055.0,31012010000.0
2056.0,30904168000.0
2057.0,30498679000.0
2058.0,30203257000.0
2059.0,29874940000.0
2060.0,29528027000.0
2061.0,29203194000.0
2062.0,28950575000.0
2063.0,28603103000.0
2064.0,28277903000.0
2065.0,27958583000.0
2066.0,27645061000.0
2067.0,27293661000.0
2068.0,26918558000.0
2069.0,26514481000.0
2070.0,26116227000.0
2071.0,25781647000.0
2072.0,25427239000.0
2073.0,25132132000.0
2074.0,24829602000.0
2075.0,24572359000.0
2076.0,24325118000.0
2077.0,23943326000.0
2078.0,23585747000.0
2079.0,23131404000.0
2080.0,22810730000.0
2081.0,22426046000.0
2082.0,22103570000.0
2083.0,21790933000.0
2084.0,21488218000.0
2085.0,21216301000.0
2086.0,20964710000.0
2087.0,20549500000.0
2088.0,20173318000.0
2089.0,19865029000.0
2090.0,19494881000.0
2091.0,19131806000.0
2092.0,18823197000.0
2093.0,18501770000.0
2094.0,18188098000.0
2095.0,17889649000.0
2096.0,17616605000.0
2097.0,17300170000.0
2098.0,16956179000.0
2099.0,16653349000.0
2100.0,16399967000.0
