time,BCC-CSM2-MR,CAMS-CSM1-0,INM-CM5-0,NORESM2-MM,GFDL-ESM4,CESM2,FGOALS-F3-L,MPI-ESM1-2-HR,CESM2-WACCM,EC-EARTH3,MRI-ESM2-0,EC-EARTH3-VEG,INM-CM4-8
2000.0,2504233500.0,2504233500.0,2504233500.0,2504233500.0,2504233500.0,2504233500.0,2504233500.0,2504233500.0,2504233500.0,2504233500.0,2504233500.0,2504233500.0,2504233500.0
2001.0,2479431000.0,2479431000.0,2479431000.0,2479431000.0,2479431000.0,2479431000.0,2479431000.0,2479431000.0,2479431000.0,2479431000.0,2479431000.0,2479431000.0,2479431000.0
2002.0,2541280500.0,2541280500.0,2541280500.0,2541280500.0,2541280500.0,2541280500.0,2541280500.0,2541280500.0,2541280500.0,2541280500.0,2541280500.0,2541280500.0,2541280500.0
2003.0,2512269800.0,2512269800.0,2512269800.0,2512269800.0,2512269800.0,2512269800.0,2512269800.0,2512269800.0,2512269800.0,2512269800.0,2512269800.0,2512269800.0,2512269800.0
2004.0,2454784500.0,2454784500.0,2454784500.0,2454784500.0,2454784500.0,2454784500.0,2454784500.0,2454784500.0,2454784500.0,2454784500.0,2454784500.0,2454784500.0,2454784500.0
2005.0,2492032500.0,2492032500.0,2492032500.0,2492032500.0,2492032500.0,2492032500.0,2492032500.0,2492032500.0,2492032500.0,2492032500.0,2492032500.0,2492032500.0,2492032500.0
2006.0,2441659600.0,2441659600.0,2441659600.0,2441659600.0,2441659600.0,2441659600.0,2441659600.0,2441659600.0,2441659600.0,2441659600.0,2441659600.0,2441659600.0,2441659600.0
2007.0,2432421000.0,2432421000.0,2432421000.0,2432421000.0,2432421000.0,2432421000.0,2432421000.0,2432421000.0,2432421000.0,2432421000.0,2432421000.0,2432421000.0,2432421000.0
2008.0,2410318800.0,2410318800.0,2410318800.0,2410318800.0,2410318800.0,2410318800.0,2410318800.0,2410318800.0,2410318800.0,2410318800.0,2410318800.0,2410318800.0,2410318800.0
2009.0,2399686400.0,2399686400.0,2399686400.0,2399686400.0,2399686400.0,2399686400.0,2399686400.0,2399686400.0,2399686400.0,2399686400.0,2399686400.0,2399686400.0,2399686400.0
2010.0,2440679700.0,2440679700.0,2440679700.0,2440679700.0,2440679700.0,2440679700.0,2440679700.0,2440679700.0,2440679700.0,2440679700.0,2440679700.0,2440679700.0,2440679700.0
2011.0,2421937700.0,2421937700.0,2421937700.0,2421937700.0,2421937700.0,2421937700.0,2421937700.0,2421937700.0,2421937700.0,2421937700.0,2421937700.0,2421937700.0,2421937700.0
2012.0,2364135700.0,2364135700.0,2364135700.0,2364135700.0,2364135700.0,2364135700.0,2364135700.0,2364135700.0,2364135700.0,2364135700.0,2364135700.0,2364135700.0,2364135700.0
2013.0,2383841800.0,2383841800.0,2383841800.0,2383841800.0,2383841800.0,2383841800.0,2383841800.0,2383841800.0,2383841800.0,2383841800.0,2383841800.0,2383841800.0,2383841800.0
2014.0,2376230700.0,2376230700.0,2376230700.0,2376230700.0,2376230700.0,2376230700.0,2376230700.0,2376230700.0,2376230700.0,2376230700.0,2376230700.0,2376230700.0,2376230700.0
2015.0,2347583200.0,2347583200.0,2347583200.0,2347583200.0,2347583200.0,2347583200.0,2347583200.0,2347583200.0,2347583200.0,2347583200.0,2347583200.0,2347583200.0,2347583200.0
2016.0,2321596000.0,2321596000.0,2321596000.0,2321596000.0,2321596000.0,2321596000.0,2321596000.0,2321596000.0,2321596000.0,2321596000.0,2321596000.0,2321596000.0,2321596000.0
2017.0,2279298300.0,2279298300.0,2279298300.0,2279298300.0,2279298300.0,2279298300.0,2279298300.0,2279298300.0,2279298300.0,2279298300.0,2279298300.0,2279298300.0,2279298300.0
2018.0,2311956000.0,2311956000.0,2311956000.0,2311956000.0,2311956000.0,2311956000.0,2311956000.0,2311956000.0,2311956000.0,2311956000.0,2311956000.0,2311956000.0,2311956000.0
2019.0,2272512500.0,2272512500.0,2272512500.0,2272512500.0,2272512500.0,2272512500.0,2272512500.0,2272512500.0,2272512500.0,2272512500.0,2272512500.0,2272512500.0,2272512500.0
2020.0,2291943400.0,2291943400.0,2291943400.0,2291943400.0,2291943400.0,2291943400.0,2291943400.0,2291943400.0,2291943400.0,2291943400.0,2291943400.0,2291943400.0,2291943400.0
2021.0,2249395000.0,2236199200.0,2473410300.0,2269089300.0,2319457800.0,2266565400.0,2233984000.0,2233846800.0,2233253600.0,2282584600.0,2236286200.0,2270406400.0,2249019000.0
2022.0,2238706200.0,2207755500.0,2319380500.0,2251975200.0,2250241000.0,2241049600.0,2229770800.0,2204319000.0,2296424400.0,2200328700.0,2197901300.0,2204540000.0,2230754000.0
2023.0,2206079500.0,2232281000.0,2263785500.0,2337384200.0,2190772500.0,2261352400.0,2187172400.0,2196076300.0,2242517000.0,2190387700.0,2179542300.0,2224184600.0,2274149000.0
2024.0,2205321200.0,2224661200.0,2263885600.0,2266383000.0,2187541200.0,2214325500.0,2162631000.0,2187105000.0,2237928700.0,2138923400.0,2201760500.0,2195996400.0,2244339700.0
2025.0,2201123800.0,2197818600.0,2221721900.0,2214257000.0,2232251000.0,2152752000.0,2139338600.0,2177257500.0,2178722300.0,2113662600.0,2143943800.0,2189852200.0,2207254300.0
2026.0,2159921200.0,2152056000.0,2230599000.0,2192649200.0,2196904700.0,2158236400.0,2128252500.0,2132718700.0,2151910400.0,2074987600.0,2115869000.0,2122504200.0,2178215400.0
2027.0,2120113200.0,2141944400.0,2200052200.0,2162555400.0,2147828700.0,2114577700.0,2135250200.0,2121054200.0,2150164500.0,2013109900.0,2087591700.0,2211081200.0,2150012200.0
2028.0,2103529600.0,2148973600.0,2206019800.0,2104650900.0,2107582000.0,2076522400.0,2086949500.0,2078496100.0,2311107000.0,1976988700.0,2084488600.0,2076486400.0,2176832300.0
2029.0,2120283900.0,2192342300.0,2142226600.0,2072101100.0,2099308700.0,2035631500.0,2162370000.0,2052061400.0,2174301000.0,1917392300.0,2027480400.0,2045735600.0,2127373800.0
2030.0,2047722000.0,2181146400.0,2114057900.0,2054476900.0,2061396500.0,2025703800.0,2066276400.0,2008713500.0,2105386800.0,1837136300.0,1989268000.0,2031937500.0,2093282800.0
2031.0,2012779800.0,2118752800.0,2089040500.0,2083823700.0,2026162400.0,1976102500.0,2066638100.0,1983481300.0,2071714300.0,1773729500.0,1960206300.0,1977451800.0,2058773800.0
2032.0,1993822000.0,2094154600.0,2090291100.0,2004833700.0,1995614100.0,1930730500.0,1979768400.0,1946471800.0,2015985900.0,1731856500.0,1940266900.0,1899715100.0,2048500100.0
2033.0,1956815500.0,2031383200.0,2027937000.0,2017434100.0,1987374700.0,1901222900.0,1944861600.0,1908735600.0,1970489600.0,1659704400.0,1928483100.0,1865777500.0,2085465700.0
2034.0,1944196500.0,2013618800.0,1995468700.0,1940482200.0,2007516200.0,1880899100.0,1902562200.0,1951608300.0,1950917200.0,1576294800.0,1897698800.0,1821146400.0,2012080400.0
2035.0,1916323700.0,1994282100.0,1966493300.0,1925683500.0,1993297000.0,1840797600.0,1856975600.0,1893685900.0,1924554100.0,1494241300.0,1836677100.0,1763628400.0,1967581600.0
2036.0,1864374900.0,1956209400.0,1971568900.0,1987964700.0,1910896300.0,1798287200.0,1824941700.0,1858895000.0,1893403400.0,1421680000.0,1782477200.0,1711742600.0,1937095600.0
2037.0,1832754300.0,1929506600.0,1893994500.0,1875663400.0,1974226400.0,1765266800.0,1784069600.0,1783558300.0,1853522300.0,1342435600.0,1726555600.0,1697120600.0,1881324800.0
2038.0,1826604900.0,1901302000.0,1841184800.0,1813569500.0,1887969700.0,1723278800.0,1756133500.0,1766736400.0,1866564700.0,1279266200.0,1699727100.0,1628202400.0,1849041300.0
2039.0,1793278600.0,1964106200.0,1795714400.0,1807619700.0,1842913800.0,1684557800.0,1719901700.0,1725874400.0,1784967700.0,1221395600.0,1628016600.0,1596304500.0,1831414900.0
2040.0,1763967500.0,1992564500.0,1765587300.0,1770793300.0,1845107100.0,1705663400.0,1684344300.0,1716290200.0,1749619700.0,1172397300.0,1608996100.0,1524189600.0,1771127200.0
2041.0,1719560400.0,1839232000.0,1727818100.0,1718190100.0,1794811100.0,1647648000.0,1640314400.0,1630596400.0,1701792000.0,1117022200.0,1540057300.0,1488313900.0,1816614400.0
2042.0,1677837600.0,1819923500.0,1697184900.0,1712296300.0,1775872100.0,1584203500.0,1608665000.0,1603604100.0,1660260500.0,1068900900.0,1491568400.0,1433855200.0,1797557500.0
2043.0,1639406600.0,1791268900.0,1648919000.0,1656306800.0,1752370300.0,1519610800.0,1587248400.0,1533381900.0,1619796900.0,1010461300.0,1443204500.0,1396185300.0,1724336400.0
2044.0,1604802700.0,1761007900.0,1631471600.0,1597503600.0,1707699700.0,1470544000.0,1541533300.0,1503294000.0,1578213100.0,959845700.0,1384864400.0,1363966800.0,1648338800.0
2045.0,1558163700.0,1800087700.0,1580107100.0,1552542000.0,1752724400.0,1427935000.0,1495654900.0,1462966800.0,1545434200.0,929325400.0,1342527200.0,1308604900.0,1618981100.0
2046.0,1517623200.0,1773632500.0,1508209200.0,1512919800.0,1652119800.0,1390154200.0,1451396400.0,1437513900.0,1495323900.0,880392640.0,1294987000.0,1242497700.0,1644605000.0
