time,CANESM5,MRI-ESM2-0,CESM2-WACCM,IPSL-CM6A-LR
2000.0,1141216300.0,1141216300.0,1141216300.0,1141216300.0
2001.0,1137683800.0,1137683800.0,1137683800.0,1137683800.0
2002.0,1146079100.0,1146079100.0,1146079100.0,1146079100.0
2003.0,1144961400.0,1144961400.0,1144961400.0,1144961400.0
2004.0,1152996400.0,1152996400.0,1152996400.0,1152996400.0
2005.0,1168947600.0,1168947600.0,1168947600.0,1168947600.0
2006.0,1170152100.0,1170152100.0,1170152100.0,1170152100.0
2007.0,1159079000.0,1159079000.0,1159079000.0,1159079000.0
2008.0,1154137300.0,1154137300.0,1154137300.0,1154137300.0
2009.0,1152215600.0,1152215600.0,1152215600.0,1152215600.0
2010.0,1169344000.0,1169344000.0,1169344000.0,1169344000.0
2011.0,1148443100.0,1148443100.0,1148443100.0,1148443100.0
2012.0,1147433700.0,1147433700.0,1147433700.0,1147433700.0
2013.0,1140791900.0,1140791900.0,1140791900.0,1140791900.0
2014.0,1138924000.0,1138924000.0,1138924000.0,1138924000.0
2015.0,1131808000.0,1131808000.0,1131808000.0,1131808000.0
2016.0,1124786000.0,1124786000.0,1124786000.0,1124786000.0
2017.0,1121599200.0,1121599200.0,1121599200.0,1121599200.0
2018.0,1114045300.0,1114045300.0,1114045300.0,1114045300.0
2019.0,1104197500.0,1104197500.0,1104197500.0,1104197500.0
2020.0,1093194400.0,1093194400.0,1093194400.0,1093194400.0
2021.0,1083733200.0,1065576700.0,1098292700.0,1080719200.0
2022.0,1070987200.0,1057258560.0,1084812300.0,1079979500.0
2023.0,1063967360.0,1034235100.0,1070808300.0,1066540160.0
2024.0,1045002050.0,1015576640.0,1091791100.0,1051798700.0
2025.0,1027590850.0,990492000.0,1051160300.0,1031868160.0
2026.0,1015084350.0,966547700.0,1038066400.0,1028823000.0
2027.0,994744400.0,944275400.0,1022536700.0,1014359600.0
2028.0,968553400.0,917033900.0,1003086900.0,1005242940.0
2029.0,953964000.0,885151400.0,978617340.0,981639000.0
2030.0,929675200.0,841305000.0,959523200.0,961509800.0
2031.0,911564400.0,819597950.0,935765700.0,961561200.0
2032.0,874963700.0,797550700.0,943937100.0,931870460.0
2033.0,849968900.0,818402400.0,901310660.0,915610100.0
2034.0,824368700.0,758292600.0,881556740.0,904481300.0
2035.0,804339200.0,726487100.0,864107970.0,893713340.0
2036.0,777367700.0,693142000.0,838892800.0,867882560.0
2037.0,750129900.0,671745600.0,846477200.0,842509060.0
2038.0,719353600.0,659918140.0,810327600.0,821405900.0
2039.0,706746800.0,637048700.0,786716400.0,799708000.0
2040.0,677592770.0,623309630.0,758710300.0,783273150.0
2041.0,649759000.0,608243000.0,728435260.0,764160200.0
2042.0,635886850.0,617820500.0,704331000.0,738105150.0
