time,CANESM5,MRI-ESM2-0,IPSL-CM6A-LR,CESM2-WACCM
2000.0,49341260000.0,49341260000.0,49341260000.0,49341260000.0
2001.0,49257226000.0,49257226000.0,49257226000.0,49257226000.0
2002.0,49046190000.0,49046190000.0,49046190000.0,49046190000.0
2003.0,49172630000.0,49172630000.0,49172630000.0,49172630000.0
2004.0,50088610000.0,50088610000.0,50088610000.0,50088610000.0
2005.0,49808093000.0,49808093000.0,49808093000.0,49808093000.0
2006.0,49791450000.0,49791450000.0,49791450000.0,49791450000.0
2007.0,49232814000.0,49232814000.0,49232814000.0,49232814000.0
2008.0,48987693000.0,48987693000.0,48987693000.0,48987693000.0
2009.0,48942470000.0,48942470000.0,48942470000.0,48942470000.0
2010.0,48961634000.0,48961634000.0,48961634000.0,48961634000.0
2011.0,50115035000.0,50115035000.0,50115035000.0,50115035000.0
2012.0,48952136000.0,48952136000.0,48952136000.0,48952136000.0
2013.0,48673700000.0,48673700000.0,48673700000.0,48673700000.0
2014.0,48624456000.0,48624456000.0,48624456000.0,48624456000.0
2015.0,48579228000.0,48579228000.0,48579228000.0,48579228000.0
2016.0,48524743000.0,48524743000.0,48524743000.0,48524743000.0
2017.0,48460000000.0,48460000000.0,48460000000.0,48460000000.0
2018.0,48496124000.0,48496124000.0,48496124000.0,48496124000.0
2019.0,48612585000.0,48612585000.0,48612585000.0,48612585000.0
2020.0,48370627000.0,48370627000.0,48370627000.0,48370627000.0
2021.0,48114920000.0,47987280000.0,48326860000.0,48091197000.0
2022.0,47915750000.0,47819320000.0,47992280000.0,47779267000.0
2023.0,47357485000.0,47432126000.0,48224793000.0,47451496000.0
2024.0,47001407000.0,47180866000.0,47633265000.0,47245525000.0
2025.0,46711740000.0,46917493000.0,47485022000.0,47023542000.0
2026.0,46123910000.0,46720550000.0,47304370000.0,46733770000.0
2027.0,45700130000.0,46357504000.0,47053693000.0,46532936000.0
2028.0,45346590000.0,46051850000.0,47145464000.0,46203510000.0
2029.0,44662268000.0,45665382000.0,46778524000.0,45975437000.0
2030.0,44183007000.0,45332976000.0,46539534000.0,45639434000.0
2031.0,43433370000.0,45088800000.0,46499856000.0,45424927000.0
2032.0,42806637000.0,44665057000.0,46051570000.0,45127758000.0
2033.0,42065910000.0,44242140000.0,45667690000.0,44716794000.0
2034.0,41353626000.0,43770720000.0,45277848000.0,44481864000.0
2035.0,40488444000.0,43288040000.0,44956746000.0,44124710000.0
2036.0,39883780000.0,42754126000.0,44586080000.0,43725468000.0
2037.0,38911345000.0,42238263000.0,44202660000.0,43340075000.0
2038.0,38054916000.0,41645355000.0,43789492000.0,42856760000.0
2039.0,37084246000.0,40886936000.0,43087230000.0,42331100000.0
2040.0,36347170000.0,40343654000.0,42501546000.0,41760293000.0
2041.0,35338854000.0,39706243000.0,41709056000.0,41214804000.0
2042.0,34464616000.0,39088673000.0,41262854000.0,40575554000.0
2043.0,33385468000.0,38287270000.0,40646386000.0,39967070000.0
2044.0,32369525000.0,37444110000.0,40072413000.0,39433410000.0
2045.0,31339837000.0,36762145000.0,39355650000.0,38701590000.0
2046.0,30307418000.0,36003496000.0,38468610000.0,37872020000.0
