time,INM-CM4-8,EC-EARTH3,CESM2,CESM2-WACCM,NORESM2-MM,GFDL-ESM4,FGOALS-F3-L,EC-EARTH3-VEG,INM-CM5-0,CAMS-CSM1-0,MRI-ESM2-0,MPI-ESM1-2-HR,CMCC-CM2-SR5,BCC-CSM2-MR
2000.0,14632250000.0,14632250000.0,14632250000.0,14632250000.0,14632250000.0,14632250000.0,14632250000.0,14632250000.0,14632250000.0,14632250000.0,14632250000.0,14632250000.0,14632250000.0,14632250000.0
2001.0,14675153000.0,14675153000.0,14675153000.0,14675153000.0,14675153000.0,14675153000.0,14675153000.0,14675153000.0,14675153000.0,14675153000.0,14675153000.0,14675153000.0,14675153000.0,14675153000.0
2002.0,14690946000.0,14690946000.0,14690946000.0,14690946000.0,14690946000.0,14690946000.0,14690946000.0,14690946000.0,14690946000.0,14690946000.0,14690946000.0,14690946000.0,14690946000.0,14690946000.0
2003.0,14723055000.0,14723055000.0,14723055000.0,14723055000.0,14723055000.0,14723055000.0,14723055000.0,14723055000.0,14723055000.0,14723055000.0,14723055000.0,14723055000.0,14723055000.0,14723055000.0
2004.0,14711697000.0,14711697000.0,14711697000.0,14711697000.0,14711697000.0,14711697000.0,14711697000.0,14711697000.0,14711697000.0,14711697000.0,14711697000.0,14711697000.0,14711697000.0,14711697000.0
2005.0,14718628000.0,14718628000.0,14718628000.0,14718628000.0,14718628000.0,14718628000.0,14718628000.0,14718628000.0,14718628000.0,14718628000.0,14718628000.0,14718628000.0,14718628000.0,14718628000.0
2006.0,14699132000.0,14699132000.0,14699132000.0,14699132000.0,14699132000.0,14699132000.0,14699132000.0,14699132000.0,14699132000.0,14699132000.0,14699132000.0,14699132000.0,14699132000.0,14699132000.0
2007.0,14647201000.0,14647201000.0,14647201000.0,14647201000.0,14647201000.0,14647201000.0,14647201000.0,14647201000.0,14647201000.0,14647201000.0,14647201000.0,14647201000.0,14647201000.0,14647201000.0
2008.0,14597407000.0,14597407000.0,14597407000.0,14597407000.0,14597407000.0,14597407000.0,14597407000.0,14597407000.0,14597407000.0,14597407000.0,14597407000.0,14597407000.0,14597407000.0,14597407000.0
2009.0,14590518000.0,14590518000.0,14590518000.0,14590518000.0,14590518000.0,14590518000.0,14590518000.0,14590518000.0,14590518000.0,14590518000.0,14590518000.0,14590518000.0,14590518000.0,14590518000.0
2010.0,14507159000.0,14507159000.0,14507159000.0,14507159000.0,14507159000.0,14507159000.0,14507159000.0,14507159000.0,14507159000.0,14507159000.0,14507159000.0,14507159000.0,14507159000.0,14507159000.0
2011.0,14470100000.0,14470100000.0,14470100000.0,14470100000.0,14470100000.0,14470100000.0,14470100000.0,14470100000.0,14470100000.0,14470100000.0,14470100000.0,14470100000.0,14470100000.0,14470100000.0
2012.0,14402713000.0,14402713000.0,14402713000.0,14402713000.0,14402713000.0,14402713000.0,14402713000.0,14402713000.0,14402713000.0,14402713000.0,14402713000.0,14402713000.0,14402713000.0,14402713000.0
2013.0,14316458000.0,14316458000.0,14316458000.0,14316458000.0,14316458000.0,14316458000.0,14316458000.0,14316458000.0,14316458000.0,14316458000.0,14316458000.0,14316458000.0,14316458000.0,14316458000.0
2014.0,14286078000.0,14286078000.0,14286078000.0,14286078000.0,14286078000.0,14286078000.0,14286078000.0,14286078000.0,14286078000.0,14286078000.0,14286078000.0,14286078000.0,14286078000.0,14286078000.0
2015.0,14189383000.0,14189383000.0,14189383000.0,14189383000.0,14189383000.0,14189383000.0,14189383000.0,14189383000.0,14189383000.0,14189383000.0,14189383000.0,14189383000.0,14189383000.0,14189383000.0
2016.0,14135802000.0,14135802000.0,14135802000.0,14135802000.0,14135802000.0,14135802000.0,14135802000.0,14135802000.0,14135802000.0,14135802000.0,14135802000.0,14135802000.0,14135802000.0,14135802000.0
