time,CAMS-CSM1-0,EC-EARTH3-VEG,GFDL-ESM4,MRI-ESM2-0
2000.0,707243351700.0,707243351700.0,707243351700.0,707243351700.0
2001.0,707207321400.0,707207321400.0,707207321400.0,707207321400.0
2002.0,706239784800.0,706239784800.0,706239784800.0,706239784800.0
2003.0,705755904700.0,705755904700.0,705755904700.0,705755904700.0
2004.0,706146876500.0,706146876500.0,706146876500.0,706146876500.0
2005.0,705380858700.0,705380858700.0,705380858700.0,705380858700.0
2006.0,705326299100.0,705326299100.0,705326299100.0,705326299100.0
2007.0,704339903600.0,704339903600.0,704339903600.0,704339903600.0
2008.0,703388792800.0,703388792800.0,703388792800.0,703388792800.0
2009.0,703493567600.0,703493567600.0,703493567600.0,703493567600.0
2010.0,701774614000.0,701774614000.0,701774614000.0,701774614000.0
2011.0,702707051100.0,702707051100.0,702707051100.0,702707051100.0
2012.0,701077266900.0,701077266900.0,701077266900.0,701077266900.0
2013.0,700883436100.0,700883436100.0,700883436100.0,700883436100.0
2014.0,701659224300.0,701659224300.0,701659224300.0,701659224300.0
2015.0,699827862200.0,699827862200.0,699827862200.0,699827862200.0
2016.0,700572181200.0,700572181200.0,700572181200.0,700572181200.0
2017.0,697064400000.0,697064400000.0,697064400000.0,697064400000.0
2018.0,696760410800.0,696760410800.0,696760410800.0,696760410800.0
2019.0,697854300100.0,697854300100.0,697854300100.0,697854300100.0
2020.0,695208106800.0,695208106800.0,695208106800.0,695208106800.0
2021.0,694463021400.0,692701010400.0,693546387900.0,693838368700.0
2022.0,694355996700.0,691390480200.0,693157326960.0,692381423550.0
2023.0,692816453770.0,690568430900.0,691289919500.0,690697439200.0
2024.0,690848904200.0,689269911140.0,689889910900.0,689179386660.0
2025.0,689187391600.0,686861226540.0,688264429850.0,687067786840.0
2026.0,688011637700.0,684869045850.0,686638537000.0,686875524720.0
2027.0,687156760850.0,683543910200.0,685372612040.0,684089135640.0
2028.0,685115584730.0,680747346760.0,683494875300.0,682136003260.0
2029.0,682771105400.0,678690772410.0,682597520550.0,680644390300.0
2030.0,681529524600.0,676534729850.0,680227777700.0,678056272750.0
2031.0,680172769100.0,674903933200.0,679186715300.0,675884122800.0
2032.0,678033957660.0,672992216980.0,677671057440.0,673291689640.0
2033.0,677158371600.0,669761506360.0,675583471200.0,671290008080.0
2034.0,677321586160.0,666804772340.0,672854368450.0,668408815400.0
2035.0,675114764370.0,663887765400.0,671354415200.0,665906417560.0
2036.0,672670417660.0,662449167260.0,669349417600.0,664444089590.0
2037.0,671825352000.0,659426417560.0,666968593200.0,661523778560.0
2038.0,669199802300.0,657392883060.0,664464881660.0,657460141920.0
2039.0,667021103440.0,655931132800.0,663239832300.0,655259779040.0
2040.0,665881778020.0,653065112380.0,662147170970.0,651781690650.0
2041.0,665515918060.0,649566555670.0,659117780800.0,649428957850.0
2042.0,662307999300.0,647382075940.0,656950933110.0,646702180360.0
2043.0,660383889200.0,646003441400.0,654443652940.0,643485702520.0
2044.0,658795770700.0,643771909940.0,652218309890.0,641460780840.0
2045.0,658945279440.0,641345878140.0,650738819670.0,638891356460.0
2046.0,655483245500.0,638156618500.0,648470297860.0,636719366010.0
2047.0,653412468070.0,635332205440.0,646189250110.0,633833403650.0
2048.0,652194896300.0,633803828650.0,643652961400.0,631573856230.0
2049.0,652259490780.0,631177764200.0,642816737100.0,629896619060.0
2050.0,650129062990.0,630417673200.0,642673668070.0,628025013510.0
2051.0,647761321100.0,628267433520.0,639359938000.0,624135664140.0
2052.0,645752229600.0,624303270040.0,636860729500.0,621540084600.0
2053.0,643703873650.0,621557695020.0,634513664500.0,618670937600.0
2054.0,645259959400.0,619560428920.0,632313513260.0,616736046990.0
2055.0,644581558950.0,615747997050.0,630142435120.0,614300787120.0
2056.0,641551346500.0,612677643120.0,628833341300.0,611112311860.0
2057.0,639228569600.0,609726772710.0,627692581180.0,608709645200.0
2058.0,639216566200.0,608237308500.0,625298060870.0,605799973720.0
2059.0,637859188500.0,605272670710.0,622781537370.0,604330946540.0
2060.0,636455568950.0,603982379310.0,622597290820.0,600978771440.0
2061.0,633652001060.0,600426129960.0,620337072370.0,603387052890.0
2062.0,632274821350.0,598247733070.0,616855155720.0,599803461980.0
2063.0,631600402950.0,594193838950.0,615515037540.0,594543878150.0
2064.0,629902063550.0,592262245160.0,613912262820.0,597290903280.0
2065.0,628999465160.0,588880508660.0,612137867200.0,591555397640.0
2066.0,626633154550.0,587489075400.0,613695403820.0,590392218020.0
2067.0,626128835800.0,584759225840.0,609713614800.0,588302277480.0
2068.0,623340804700.0,584328172140.0,610608132620.0,586631170310.0
2069.0,624038189200.0,581306223710.0,607651591720.0,585485797140.0
2070.0,632853345750.0,582396087490.0,606237389210.0,581244866780.0
2071.0,625131578600.0,577579422650.0,606019331640.0,585248090340.0
2072.0,621484409250.0,577190960410.0,601398422650.0,581658942300.0
2073.0,620293199100.0,572948983540.0,598494525920.0,578700423230.0
2074.0,620907585300.0,572613421200.0,597690919780.0,577405639600.0
2075.0,625276723280.0,567965974190.0,600304349890.0,573893145790.0
2076.0,617677590400.0,565781275950.0,595367678800.0,573057319210.0
2077.0,617584832950.0,563572502660.0,593527641310.0,570187843800.0
2078.0,615061022500.0,565615156900.0,594898548640.0,568794431320.0
2079.0,612898814500.0,562047987580.0,593224746980.0,570670196090.0
2080.0,616046267830.0,558301388170.0,595829658880.0,566053352050.0
2081.0,612329655300.0,561911291830.0,592059404900.0,564930906910.0
