time,CESM2-WACCM,IPSL-CM6A-LR,MRI-ESM2-0,CANESM5
2000.0,707243351700.0,707243351700.0,707243351700.0,707243351700.0
2001.0,707207321400.0,707207321400.0,707207321400.0,707207321400.0
2002.0,706239784800.0,706239784800.0,706239784800.0,706239784800.0
2003.0,705755904700.0,705755904700.0,705755904700.0,705755904700.0
2004.0,706146876500.0,706146876500.0,706146876500.0,706146876500.0
2005.0,705380858700.0,705380858700.0,705380858700.0,705380858700.0
2006.0,705326299100.0,705326299100.0,705326299100.0,705326299100.0
2007.0,704339903600.0,704339903600.0,704339903600.0,704339903600.0
2008.0,703388792800.0,703388792800.0,703388792800.0,703388792800.0
2009.0,703493567600.0,703493567600.0,703493567600.0,703493567600.0
2010.0,701774614000.0,701774614000.0,701774614000.0,701774614000.0
2011.0,702707051100.0,702707051100.0,702707051100.0,702707051100.0
2012.0,701077266900.0,701077266900.0,701077266900.0,701077266900.0
2013.0,700883436100.0,700883436100.0,700883436100.0,700883436100.0
2014.0,701659224300.0,701659224300.0,701659224300.0,701659224300.0
2015.0,699827862200.0,699827862200.0,699827862200.0,699827862200.0
2016.0,700572181200.0,700572181200.0,700572181200.0,700572181200.0
2017.0,697064400000.0,697064400000.0,697064400000.0,697064400000.0
2018.0,696760410800.0,696760410800.0,696760410800.0,696760410800.0
2019.0,697854300100.0,697854300100.0,697854300100.0,697854300100.0
2020.0,695208106800.0,695208106800.0,695208106800.0,695208106800.0
2021.0,693535696500.0,693599627400.0,693294624100.0,694083879300.0
2022.0,691637788300.0,692716586200.0,692658370960.0,691978931500.0
2023.0,689739752400.0,691466748660.0,690204843900.0,690239329860.0
2024.0,688044559200.0,690103457600.0,688724460640.0,688149139850.0
2025.0,686099420500.0,688121860660.0,687367409500.0,685922534150.0
2026.0,683823608100.0,685988486860.0,685317230670.0,684637891050.0
2027.0,682101705600.0,684743448440.0,683576265200.0,682951860600.0
2028.0,679875927700.0,683015049180.0,681535867100.0,679416720900.0
2029.0,677412245440.0,681019704900.0,679816404960.0,676335678350.0
2030.0,676068729540.0,678824843300.0,677761458340.0,674652204800.0
2031.0,672980396800.0,675888323200.0,675036318090.0,670588185600.0
2032.0,670593499550.0,673157706960.0,672286166500.0,667167291300.0
2033.0,667828808560.0,670984393200.0,670092804340.0,663306198270.0
2034.0,665216273540.0,669154391700.0,667528653600.0,659483254600.0
2035.0,663371226470.0,667651830900.0,665994558600.0,655413134700.0
2036.0,660616475700.0,664543394760.0,662738434260.0,651323001300.0
2037.0,657165379120.0,661628743860.0,659878805700.0,647740926100.0
2038.0,653462663700.0,658843605800.0,656353092540.0,642978114700.0
2039.0,650446938200.0,655184024340.0,652651129840.0,638324004260.0
2040.0,648207388300.0,653225894210.0,649560191980.0,634761469040.0
2041.0,644851416410.0,648653488600.0,646003844000.0,628374222700.0
2042.0,640877388250.0,644954988850.0,641325741710.0,623227948850.0
2043.0,637851242480.0,640497779400.0,637250536770.0,616932269790.0
2044.0,633928553540.0,636644316900.0,633331101960.0,612085280490.0
2045.0,630257707660.0,632907927470.0,629008513940.0,606812054100.0
2046.0,626125348690.0,628614549300.0,625339767760.0,601301073570.0
2047.0,622637108620.0,624686721760.0,621117184820.0,595661442450.0
2048.0,618801910690.0,621526548000.0,616493118560.0,590644572050.0
2049.0,615210511040.0,616394359960.0,612493981470.0,584860440140.0
2050.0,610887726040.0,612199242860.0,607765189010.0,579227883210.0
2051.0,607002746740.0,607606087440.0,603475565870.0,574497204180.0
2052.0,602617795460.0,604294830270.0,599767471500.0,568560979710.0
2053.0,598220926570.0,600523085700.0,594716494000.0,563134809520.0
2054.0,593997435100.0,595599194770.0,590841423850.0,558394899470.0
2055.0,589867521440.0,590741016570.0,587179903120.0,552990921080.0
2056.0,585507079920.0,587204274590.0,582959672490.0,548010977410.0
2057.0,581064633220.0,583436577750.0,579507824970.0,542123557710.0
2058.0,576722820400.0,578135946210.0,575147954480.0,536862624440.0
2059.0,572467410670.0,574254618780.0,571154105380.0,531637245300.0
2060.0,568483311690.0,569443940950.0,567748041290.0,526190557050.0
2061.0,564371918090.0,564474274190.0,563762108890.0,521081239120.0
2062.0,560190730430.0,559699903180.0,560290155560.0,516097049950.0
2063.0,556600336660.0,555190726910.0,557388444530.0,510185768250.0
2064.0,552795717910.0,552329055800.0,553777222210.0,505894052090.0
2065.0,547912137540.0,547911594770.0,550440990730.0,499699246000.0
2066.0,544153148020.0,544171177700.0,547284121670.0,495506592530.0
2067.0,540184110580.0,541542820630.0,543984139530.0,490476428540.0
2068.0,536825235080.0,536004565340.0,541923357910.0,485497105910.0
2069.0,532830531180.0,532142260970.0,539439592830.0,480312096460.0
2070.0,529216774270.0,528789142040.0,539419800430.0,476066786700.0
2071.0,525991725420.0,524325454350.0,533016696880.0,472561193810.0
2072.0,521992187430.0,519959577860.0,529124655450.0,467893895310.0
2073.0,518738197530.0,516147437140.0,525795523420.0,462652748670.0
2074.0,514665240050.0,512236220890.0,523497290760.0,459272735000.0
2075.0,513894983740.0,508256258460.0,520656018030.0,454566946670.0
2076.0,507793830740.0,504250918950.0,517454654530.0,450241770230.0
2077.0,505835816140.0,503570723000.0,514937932330.0,445969982950.0
2078.0,501285618140.0,498264886680.0,513045319900.0,443262158960.0
2079.0,498217140210.0,495795068360.0,509186336640.0,438924304680.0
2080.0,495052090640.0,492858888880.0,506770584180.0,436307420570.0
2081.0,493747477840.0,490764063220.0,503549885010.0,432351429280.0
