time,MRI-ESM2-0,IPSL-CM6A-LR,CANESM5,ACCESS-CM2,CESM2-WACCM,ACCESS-ESM1-5
2000.0,15288590000.0,15288590000.0,15288590000.0,15288590000.0,15288590000.0,15288590000.0
2001.0,14852137000.0,14852137000.0,14852137000.0,14852137000.0,14852137000.0,14852137000.0
2002.0,14815541000.0,14815541000.0,14815541000.0,14815541000.0,14815541000.0,14815541000.0
2003.0,14721456000.0,14721456000.0,14721456000.0,14721456000.0,14721456000.0,14721456000.0
2004.0,14667106000.0,14667106000.0,14667106000.0,14667106000.0,14667106000.0,14667106000.0
2005.0,14655058000.0,14655058000.0,14655058000.0,14655058000.0,14655058000.0,14655058000.0
2006.0,14733586000.0,14733586000.0,14733586000.0,14733586000.0,14733586000.0,14733586000.0
2007.0,14602313000.0,14602313000.0,14602313000.0,14602313000.0,14602313000.0,14602313000.0
2008.0,14936216000.0,14936216000.0,14936216000.0,14936216000.0,14936216000.0,14936216000.0
2009.0,14711724000.0,14711724000.0,14711724000.0,14711724000.0,14711724000.0,14711724000.0
2010.0,14575500000.0,14575500000.0,14575500000.0,14575500000.0,14575500000.0,14575500000.0
2011.0,14596283000.0,14596283000.0,14596283000.0,14596283000.0,14596283000.0,14596283000.0
2012.0,14631240000.0,14631240000.0,14631240000.0,14631240000.0,14631240000.0,14631240000.0
2013.0,14518057000.0,14518057000.0,14518057000.0,14518057000.0,14518057000.0,14518057000.0
2014.0,14325532000.0,14325532000.0,14325532000.0,14325532000.0,14325532000.0,14325532000.0
2015.0,14255470000.0,14255470000.0,14255470000.0,14255470000.0,14255470000.0,14255470000.0
2016.0,14158819000.0,14158819000.0,14158819000.0,14158819000.0,14158819000.0,14158819000.0
2017.0,14112299000.0,14112299000.0,14112299000.0,14112299000.0,14112299000.0,14112299000.0
2018.0,14035831000.0,14035831000.0,14035831000.0,14035831000.0,14035831000.0,14035831000.0
2019.0,13963822000.0,13963822000.0,13963822000.0,13963822000.0,13963822000.0,13963822000.0
2020.0,13873392000.0,13873392000.0,13873392000.0,13873392000.0,13873392000.0,13873392000.0
2021.0,13750695000.0,13726885000.0,13729597000.0,13764874000.0,13732201000.0,13770365000.0
2022.0,13704292000.0,13567010000.0,13618080000.0,13632412000.0,13516830000.0,13734065000.0
2023.0,13577306000.0,13461600000.0,13498828000.0,13531638000.0,13360668000.0,13628654000.0
2024.0,13426092000.0,13340388000.0,13353358000.0,13370281000.0,13266595000.0,13833830000.0
2025.0,13226794000.0,13211399000.0,13182980000.0,13287689000.0,13001848000.0,13466018000.0
2026.0,13046164000.0,13005603000.0,13033978000.0,13084899000.0,12808591000.0,13343186000.0
2027.0,12989293000.0,12851872000.0,12915516000.0,12870898000.0,12573781000.0,13148726000.0
2028.0,12787309000.0,12565020000.0,12662096000.0,12614201000.0,12286368000.0,12964678000.0
2029.0,12565343000.0,12305234000.0,12402594000.0,12439327000.0,11926532000.0,12798342000.0
2030.0,12363661000.0,11985611000.0,12101428000.0,12212116000.0,11521496000.0,12569129000.0
2031.0,12112206000.0,11568476000.0,11825421000.0,11949734000.0,11303132000.0,12242579000.0
2032.0,11814531000.0,11271245000.0,11447996000.0,11732359000.0,10977490000.0,11949574000.0
2033.0,11552559000.0,11019078000.0,11091040000.0,11511038000.0,10607457000.0,11564970000.0
2034.0,11403688000.0,10914546000.0,10762223000.0,11161348000.0,10187430000.0,11240252000.0
2035.0,11418567000.0,10672137000.0,10494436000.0,10979079000.0,9684038000.0,10883241000.0
2036.0,11066007000.0,10368861000.0,10143973000.0,10677061000.0,9288781000.0,10706049000.0
2037.0,10826740000.0,9997986000.0,9913430000.0,10422319000.0,8851597000.0,10452479000.0
2038.0,10429741000.0,9794161000.0,9462652000.0,10126694000.0,8465498000.0,10253273000.0
2039.0,10170545000.0,9449318000.0,9118231000.0,9903353000.0,8142156300.0,9802310000.0
2040.0,9806894000.0,9110843000.0,8618695000.0,9564303000.0,7906524000.0,9275329000.0
2041.0,9431979000.0,8981468000.0,8219237000.0,9137711000.0,7582935600.0,8942660000.0
2042.0,9108488000.0,8478092000.0,7930516500.0,8792760000.0,7100940300.0,8677413000.0
2043.0,8751644000.0,8195120000.0,7681786000.0,8496601600.0,6777006600.0,8284742700.0
2044.0,8384442400.0,7865692000.0,7228658700.0,8047338000.0,6510445000.0,7942294500.0
2045.0,8021822000.0,7476686000.0,6754958000.0,7668181000.0,6137572000.0,7620595700.0
2046.0,7712745000.0,7156945000.0,6425193500.0,7203591700.0,5829922300.0,7317854700.0
2047.0,7478546400.0,6920122000.0,6177097700.0,6967065600.0,5566164000.0,7027646500.0
2048.0,7161298400.0,6612307500.0,5760635400.0,6886157300.0,5343401000.0,6801736700.0
2049.0,6851187700.0,6340494000.0,5472932000.0,6467298000.0,4976661500.0,6519998000.0
2050.0,6549772000.0,5983463000.0,5246869500.0,6011257000.0,4645610500.0,6284901400.0
2051.0,6348790300.0,5743978500.0,4961483300.0,5603116500.0,4513740000.0,5940461600.0
2052.0,6707499500.0,5420588500.0,4654206000.0,5365848600.0,4359404500.0,5747698700.0
2053.0,5915355000.0,5260867000.0,4416775000.0,4963617300.0,4200291300.0,5427452000.0
2054.0,5724909000.0,4922705400.0,4220767500.0,4594408000.0,3891957200.0,5196486700.0
2055.0,5529328000.0,4670879000.0,3953441000.0,4297998000.0,3685725700.0,4948999000.0
2056.0,5176961000.0,4370967600.0,3694289000.0,4017203200.0,3521908700.0,4673361400.0
2057.0,4936171000.0,4127551700.0,3414943500.0,3744017200.0,3303808800.0,4426618400.0
2058.0,4704665600.0,3878115600.0,3177054700.0,3517972200.0,3097542000.0,4175520800.0
2059.0,4546268700.0,3667328800.0,3002635300.0,3281397000.0,2944230700.0,3981201700.0
2060.0,4301925000.0,3410762200.0,2819371000.0,3067468000.0,2769117000.0,3731162400.0
2061.0,4139926300.0,3188967700.0,2623424500.0,2836232700.0,2568731100.0,3470566400.0
