time,CESM2-WACCM,ACCESS-ESM1-5,IPSL-CM6A-LR,ACCESS-CM2,CANESM5,MRI-ESM2-0
2000.0,10069818000.0,10069818000.0,10069818000.0,10069818000.0,10069818000.0,10069818000.0
2001.0,10066885000.0,10066885000.0,10066885000.0,10066885000.0,10066885000.0,10066885000.0
2002.0,10064774000.0,10064774000.0,10064774000.0,10064774000.0,10064774000.0,10064774000.0
2003.0,10064067000.0,10064067000.0,10064067000.0,10064067000.0,10064067000.0,10064067000.0
2004.0,10060607000.0,10060607000.0,10060607000.0,10060607000.0,10060607000.0,10060607000.0
2005.0,10057382000.0,10057382000.0,10057382000.0,10057382000.0,10057382000.0,10057382000.0
2006.0,10053780000.0,10053780000.0,10053780000.0,10053780000.0,10053780000.0,10053780000.0
2007.0,10051875000.0,10051875000.0,10051875000.0,10051875000.0,10051875000.0,10051875000.0
2008.0,10049721000.0,10049721000.0,10049721000.0,10049721000.0,10049721000.0,10049721000.0
2009.0,10045488000.0,10045488000.0,10045488000.0,10045488000.0,10045488000.0,10045488000.0
2010.0,10044064000.0,10044064000.0,10044064000.0,10044064000.0,10044064000.0,10044064000.0
2011.0,10038074000.0,10038074000.0,10038074000.0,10038074000.0,10038074000.0,10038074000.0
2012.0,10038556000.0,10038556000.0,10038556000.0,10038556000.0,10038556000.0,10038556000.0
2013.0,10036000000.0,10036000000.0,10036000000.0,10036000000.0,10036000000.0,10036000000.0
2014.0,10034335000.0,10034335000.0,10034335000.0,10034335000.0,10034335000.0,10034335000.0
2015.0,10030509000.0,10030509000.0,10030509000.0,10030509000.0,10030509000.0,10030509000.0
2016.0,10029952000.0,10029952000.0,10029952000.0,10029952000.0,10029952000.0,10029952000.0
2017.0,10023407000.0,10023407000.0,10023407000.0,10023407000.0,10023407000.0,10023407000.0
2018.0,10018842000.0,10018842000.0,10018842000.0,10018842000.0,10018842000.0,10018842000.0
2019.0,10017142000.0,10017142000.0,10017142000.0,10017142000.0,10017142000.0,10017142000.0
2020.0,10011598000.0,10011598000.0,10011598000.0,10011598000.0,10011598000.0,10011598000.0
2021.0,10007273000.0,10010534000.0,10007398000.0,10001846000.0,10002118000.0,10006845000.0
2022.0,9998317000.0,10005605000.0,10000977000.0,9995218000.0,9993971000.0,9998905000.0
2023.0,9992677000.0,9999468000.0,9995903000.0,9988521000.0,9980682000.0,9991599000.0
2024.0,9987929000.0,9998716000.0,9992547000.0,9981520000.0,9968151000.0,9981484000.0
2025.0,9984150000.0,9992810000.0,9987884000.0,9979656000.0,9957090000.0,9974019000.0
2026.0,9977523000.0,9988736000.0,9983131000.0,9975493000.0,9942028000.0,9964598000.0
2027.0,9973943000.0,9982623000.0,9978334000.0,9969934000.0,9924285000.0,9947074000.0
2028.0,9960054000.0,9975498000.0,9962863000.0,9958039000.0,9893235000.0,9936539000.0
2029.0,9946499000.0,9965133000.0,9951933000.0,9943269000.0,9870171000.0,9908891000.0
2030.0,9938140000.0,9954376000.0,9940934000.0,9930655000.0,9840535000.0,9894548000.0
2031.0,9913879000.0,9945884000.0,9921454000.0,9905726000.0,9810835000.0,9867379000.0
2032.0,9900697000.0,9925256000.0,9910906000.0,9890294000.0,9782122000.0,9841929000.0
2033.0,9888555000.0,9911621000.0,9895977000.0,9875128000.0,9745195000.0,9820056000.0
