time,CESM2-WACCM,MRI-ESM2-0,ACCESS-ESM1-5,IPSL-CM6A-LR,CANESM5,ACCESS-CM2
2000.0,33819884000.0,33819884000.0,33819884000.0,33819884000.0,33819884000.0,33819884000.0
2001.0,33864160000.0,33864160000.0,33864160000.0,33864160000.0,33864160000.0,33864160000.0
2002.0,33840273000.0,33840273000.0,33840273000.0,33840273000.0,33840273000.0,33840273000.0
2003.0,33820926000.0,33820926000.0,33820926000.0,33820926000.0,33820926000.0,33820926000.0
2004.0,33815273000.0,33815273000.0,33815273000.0,33815273000.0,33815273000.0,33815273000.0
2005.0,33798212000.0,33798212000.0,33798212000.0,33798212000.0,33798212000.0,33798212000.0
2006.0,33791566000.0,33791566000.0,33791566000.0,33791566000.0,33791566000.0,33791566000.0
2007.0,33787152000.0,33787152000.0,33787152000.0,33787152000.0,33787152000.0,33787152000.0
2008.0,33777620000.0,33777620000.0,33777620000.0,33777620000.0,33777620000.0,33777620000.0
2009.0,33777641000.0,33777641000.0,33777641000.0,33777641000.0,33777641000.0,33777641000.0
2010.0,33770058000.0,33770058000.0,33770058000.0,33770058000.0,33770058000.0,33770058000.0
2011.0,33778040000.0,33778040000.0,33778040000.0,33778040000.0,33778040000.0,33778040000.0
2012.0,33759564000.0,33759564000.0,33759564000.0,33759564000.0,33759564000.0,33759564000.0
2013.0,33790654000.0,33790654000.0,33790654000.0,33790654000.0,33790654000.0,33790654000.0
2014.0,33737690000.0,33737690000.0,33737690000.0,33737690000.0,33737690000.0,33737690000.0
2015.0,33745338000.0,33745338000.0,33745338000.0,33745338000.0,33745338000.0,33745338000.0
2016.0,33742463000.0,33742463000.0,33742463000.0,33742463000.0,33742463000.0,33742463000.0
2017.0,33738520000.0,33738520000.0,33738520000.0,33738520000.0,33738520000.0,33738520000.0
2018.0,33718770000.0,33718770000.0,33718770000.0,33718770000.0,33718770000.0,33718770000.0
2019.0,33755453000.0,33755453000.0,33755453000.0,33755453000.0,33755453000.0,33755453000.0
