time,IPSL-CM6A-LR,CANESM5,CESM2-WACCM,MRI-ESM2-0
2000.0,2504233500.0,2504233500.0,2504233500.0,2504233500.0
2001.0,2479431000.0,2479431000.0,2479431000.0,2479431000.0
2002.0,2541280500.0,2541280500.0,2541280500.0,2541280500.0
2003.0,2512269800.0,2512269800.0,2512269800.0,2512269800.0
2004.0,2454784500.0,2454784500.0,2454784500.0,2454784500.0
2005.0,2492032500.0,2492032500.0,2492032500.0,2492032500.0
2006.0,2441659600.0,2441659600.0,2441659600.0,2441659600.0
2007.0,2432421000.0,2432421000.0,2432421000.0,2432421000.0
2008.0,2410318800.0,2410318800.0,2410318800.0,2410318800.0
2009.0,2399686400.0,2399686400.0,2399686400.0,2399686400.0
2010.0,2440679700.0,2440679700.0,2440679700.0,2440679700.0
2011.0,2421937700.0,2421937700.0,2421937700.0,2421937700.0
2012.0,2364135700.0,2364135700.0,2364135700.0,2364135700.0
2013.0,2383841800.0,2383841800.0,2383841800.0,2383841800.0
2014.0,2376230700.0,2376230700.0,2376230700.0,2376230700.0
2015.0,2347583200.0,2347583200.0,2347583200.0,2347583200.0
2016.0,2321596000.0,2321596000.0,2321596000.0,2321596000.0
2017.0,2279298300.0,2279298300.0,2279298300.0,2279298300.0
2018.0,2311956000.0,2311956000.0,2311956000.0,2311956000.0
2019.0,2272512500.0,2272512500.0,2272512500.0,2272512500.0
2020.0,2291943400.0,2291943400.0,2291943400.0,2291943400.0
2021.0,2277328000.0,2244930600.0,2250442500.0,2224192500.0
2022.0,2231105800.0,2215113500.0,2288619300.0,2215338800.0
2023.0,2216661200.0,2181831200.0,2231764500.0,2175620000.0
2024.0,2185095000.0,2194337800.0,2216378400.0,2142635100.0
2025.0,2164215300.0,2152718800.0,2173666800.0,2103947600.0
2026.0,2116522500.0,2114299500.0,2151926500.0,2064345900.0
2027.0,2095337900.0,2066905100.0,2126500500.0,2024918400.0
2028.0,2046510500.0,2030365000.0,2075341000.0,1990623700.0
2029.0,2025633000.0,1989971700.0,2046357900.0,1940489300.0
2030.0,1977331500.0,1946579000.0,2055544200.0,1911287800.0
2031.0,1947969800.0,1899465300.0,1997311200.0,1865738200.0
2032.0,1949108900.0,1846137900.0,1951791600.0,1806126500.0
2033.0,1902253300.0,1789854700.0,1926105700.0,1754453100.0
2034.0,1829205600.0,1741162200.0,1881492000.0,1707845100.0
2035.0,1798023000.0,1705160700.0,1839812200.0,1658594000.0
2036.0,1742816500.0,1658926800.0,1794835200.0,1630408100.0
2037.0,1752580000.0,1585550000.0,1743089300.0,1571775200.0
2038.0,1678652200.0,1518582500.0,1715695500.0,1501325200.0
2039.0,1658550500.0,1468954200.0,1666619400.0,1424047700.0
2040.0,1589193100.0,1411889900.0,1617058600.0,1377963800.0
2041.0,1517426700.0,1350057600.0,1575586300.0,1356715800.0
2042.0,1455268000.0,1299741700.0,1518912500.0,1259676300.0
2043.0,1387819800.0,1232031000.0,1465814400.0,1200985200.0
2044.0,1330488600.0,1166114000.0,1420910800.0,1160856600.0
2045.0,1261972400.0,1106440800.0,1370115000.0,1106463500.0
2046.0,1205307400.0,1044344000.0,1308447000.0,1062344260.0
2047.0,1154828700.0,986487200.0,1257265000.0,1052944200.0
2048.0,1099842300.0,928784000.0,1197085800.0,995902100.0
2049.0,1048494660.0,882372800.0,1145096000.0,953863200.0
2050.0,995154300.0,824885600.0,1094722200.0,907131460.0
2051.0,931699700.0,766356160.0,1042960800.0,860463600.0
2052.0,880253000.0,729112600.0,991106940.0,845578050.0
2053.0,839367700.0,690542600.0,942313540.0,796670000.0
2054.0,833065500.0,643720400.0,897125600.0,764668500.0
2055.0,739841540.0,617061760.0,860166340.0,734495400.0
2056.0,701264450.0,577675140.0,818027200.0,710784300.0
2057.0,662230200.0,550363970.0,774494140.0,691197800.0
2058.0,625050240.0,518802200.0,727259600.0,658913150.0
2059.0,593495040.0,485927800.0,685590200.0,639947300.0
2060.0,563900900.0,461619400.0,658359600.0,620079040.0
2061.0,532678660.0,441058240.0,631468800.0,593188200.0
2062.0,507099870.0,413006400.0,617179400.0,580717400.0
2063.0,483158430.0,396845280.0,587862600.0,570235800.0
2064.0,465441630.0,379934820.0,561430200.0,552374600.0
2065.0,442353800.0,353748260.0,543895700.0,528943800.0
2066.0,426635360.0,329387740.0,525425400.0,530907870.0
2067.0,408952640.0,309798370.0,507364400.0,505232860.0
2068.0,392659300.0,294598300.0,487283520.0,491001600.0
2069.0,367126140.0,272609280.0,465982850.0,478398200.0
2070.0,349985100.0,256618580.0,448373920.0,468172770.0
2071.0,332205380.0,255559890.0,422309250.0,442307330.0
2072.0,319077200.0,246114380.0,411643140.0,434855070.0
2073.0,293380800.0,234366110.0,423069400.0,417011360.0
2074.0,282767230.0,232923700.0,386738080.0,419153700.0
2075.0,275297600.0,222681250.0,383543800.0,405983040.0
2076.0,261465400.0,216192560.0,395608740.0,393420260.0
2077.0,254886050.0,211236290.0,368737630.0,434350430.0
2078.0,248446900.0,215664560.0,359569820.0,484482020.0
2079.0,237682220.0,199267040.0,357596200.0,395612770.0
2080.0,230577090.0,194786740.0,371675620.0,382981730.0
2081.0,224002930.0,192397000.0,363341280.0,375048930.0
2082.0,230143140.0,187577420.0,352600700.0,405848670.0
2083.0,217514600.0,184897280.0,342616200.0,371385380.0
2084.0,219467220.0,185189200.0,326596400.0,409014530.0
2085.0,211926420.0,180621630.0,319820380.0,371086270.0
2086.0,208612300.0,183102510.0,314370560.0,373411460.0
2087.0,216090380.0,178478340.0,309301800.0,368604580.0
2088.0,205840370.0,176227760.0,296536830.0,423197660.0
2089.0,200143200.0,175926430.0,291723300.0,387792830.0
2090.0,201928480.0,187299040.0,296856900.0,398549100.0
2091.0,197403260.0,173364400.0,284798300.0,386940500.0
2092.0,192485120.0,171288020.0,278337900.0,464596130.0
2093.0,193631700.0,176531090.0,278833820.0,423080420.0
2094.0,203973460.0,201718100.0,272451680.0,401227800.0
2095.0,197608400.0,196162260.0,285629900.0,517762660.0
2096.0,249015310.0,178860600.0,276693060.0,528962400.0
2097.0,196808320.0,188882610.0,301231420.0,526366980.0
2098.0,206727680.0,179844690.0,286532700.0,482379040.0
