time,ACCESS-ESM1-5,ACCESS-CM2,CANESM5,CESM2-WACCM,IPSL-CM6A-LR,MRI-ESM2-0
2000.0,1141216300.0,1141216300.0,1141216300.0,1141216300.0,1141216300.0,1141216300.0
2001.0,1137683800.0,1137683800.0,1137683800.0,1137683800.0,1137683800.0,1137683800.0
2002.0,1146079100.0,1146079100.0,1146079100.0,1146079100.0,1146079100.0,1146079100.0
2003.0,1144961400.0,1144961400.0,1144961400.0,1144961400.0,1144961400.0,1144961400.0
2004.0,1152996400.0,1152996400.0,1152996400.0,1152996400.0,1152996400.0,1152996400.0
2005.0,1168947600.0,1168947600.0,1168947600.0,1168947600.0,1168947600.0,1168947600.0
2006.0,1170152100.0,1170152100.0,1170152100.0,1170152100.0,1170152100.0,1170152100.0
2007.0,1159079000.0,1159079000.0,1159079000.0,1159079000.0,1159079000.0,1159079000.0
2008.0,1154137300.0,1154137300.0,1154137300.0,1154137300.0,1154137300.0,1154137300.0
2009.0,1152215600.0,1152215600.0,1152215600.0,1152215600.0,1152215600.0,1152215600.0
2010.0,1169344000.0,1169344000.0,1169344000.0,1169344000.0,1169344000.0,1169344000.0
2011.0,1148443100.0,1148443100.0,1148443100.0,1148443100.0,1148443100.0,1148443100.0
2012.0,1147433700.0,1147433700.0,1147433700.0,1147433700.0,1147433700.0,1147433700.0
2013.0,1140791900.0,1140791900.0,1140791900.0,1140791900.0,1140791900.0,1140791900.0
2014.0,1138924000.0,1138924000.0,1138924000.0,1138924000.0,1138924000.0,1138924000.0
2015.0,1131808000.0,1131808000.0,1131808000.0,1131808000.0,1131808000.0,1131808000.0
2016.0,1124786000.0,1124786000.0,1124786000.0,1124786000.0,1124786000.0,1124786000.0
2017.0,1121599200.0,1121599200.0,1121599200.0,1121599200.0,1121599200.0,1121599200.0
2018.0,1114045300.0,1114045300.0,1114045300.0,1114045300.0,1114045300.0,1114045300.0
2019.0,1104197500.0,1104197500.0,1104197500.0,1104197500.0,1104197500.0,1104197500.0
2020.0,1093194400.0,1093194400.0,1093194400.0,1093194400.0,1093194400.0,1093194400.0
2021.0,1084360400.0,1082601500.0,1083733200.0,1098292700.0,1080719200.0,1065576700.0
2022.0,1069558300.0,1071938300.0,1070987200.0,1084812300.0,1079979500.0,1057258560.0
2023.0,1047165800.0,1057110200.0,1063967360.0,1070808300.0,1066540160.0,1034235100.0
2024.0,1014384200.0,1040653200.0,1045002050.0,1091791100.0,1051798700.0,1015576640.0
2025.0,983593200.0,1006878100.0,1027590850.0,1051160300.0,1031868160.0,990492000.0
2026.0,946481300.0,969132500.0,1015084350.0,1038066400.0,1028823000.0,966547700.0
2027.0,919733250.0,947531200.0,994744400.0,1022536700.0,1014359600.0,944275400.0
2028.0,891858050.0,925231300.0,968553400.0,1003086900.0,1005242940.0,917033900.0
2029.0,870201540.0,897523400.0,953964000.0,978617340.0,981639000.0,885151400.0
2030.0,847501760.0,878212900.0,929675200.0,959523200.0,961509800.0,841305000.0
2031.0,820055900.0,844339460.0,911465340.0,935841540.0,961899500.0,819546300.0
2032.0,808220800.0,835933900.0,874780900.0,945229000.0,932220200.0,797152500.0
2033.0,778050050.0,813738240.0,849741700.0,901665000.0,916081000.0,816212740.0
2034.0,752138100.0,786240450.0,824137700.0,882396900.0,905135940.0,757761200.0
2035.0,721999550.0,757786800.0,803947900.0,864988400.0,894526100.0,725923200.0
2036.0,697739260.0,730163840.0,777222700.0,840127700.0,868958800.0,692089800.0
2037.0,673316300.0,695065150.0,750254340.0,848212000.0,843359300.0,670675460.0
2038.0,650159940.0,667465200.0,719936000.0,812101900.0,822137000.0,658305600.0
2039.0,632010500.0,638289340.0,707605900.0,788478660.0,800647800.0,635508160.0
2040.0,609123000.0,615039100.0,679091800.0,760423400.0,784060300.0,621498560.0
2041.0,587437200.0,589985400.0,653204800.0,732688260.0,770606340.0,600807040.0
2042.0,560515840.0,573276300.0,632019600.0,715703230.0,750594900.0,582031600.0
2043.0,547486300.0,540479700.0,609760060.0,698100100.0,721312400.0,564636600.0
2044.0,528655170.0,521612770.0,569004350.0,669784800.0,709673700.0,550985300.0
2045.0,514066050.0,505737600.0,563316900.0,638404500.0,692169100.0,533774460.0
2046.0,497241470.0,486294900.0,534489950.0,625488260.0,668477900.0,518508260.0
2047.0,477954460.0,466765700.0,508631000.0,587837440.0,641798660.0,518982700.0
2048.0,460566400.0,449063900.0,497125950.0,557204160.0,617300860.0,500787620.0
2049.0,447194500.0,429835800.0,474757150.0,550370940.0,584257860.0,486978000.0
2050.0,431117440.0,411338340.0,458417920.0,529728830.0,558707840.0,478026620.0
2051.0,415042140.0,398997730.0,439085570.0,504361020.0,538498100.0,478862400.0
2052.0,401588260.0,377897400.0,423609820.0,477927800.0,514910750.0,463246370.0
2053.0,389812830.0,357061280.0,408023200.0,448151600.0,497693980.0,456142500.0
2054.0,385425800.0,343904770.0,397376700.0,431793280.0,476937280.0,445178720.0
2055.0,367807500.0,335598880.0,390793800.0,414827600.0,454554780.0,434948380.0
2056.0,356808860.0,326051070.0,391667000.0,393847200.0,430018780.0,426775200.0
2057.0,347122000.0,311253630.0,364642370.0,370263600.0,408394660.0,418265800.0
2058.0,337402400.0,298770180.0,360571800.0,356835700.0,395560130.0,411040000.0
2059.0,324099070.0,279612930.0,341430820.0,333804540.0,374049760.0,405261100.0
2060.0,315756160.0,263941550.0,327901340.0,320412670.0,358435900.0,394968350.0
2061.0,308469340.0,254543470.0,319392060.0,306589200.0,343177570.0,387598980.0
2062.0,297008100.0,241933010.0,309279740.0,290499680.0,331832160.0,377377820.0
2063.0,282828500.0,234016580.0,298619040.0,275099520.0,317754720.0,368249120.0
2064.0,270694180.0,227962750.0,289332060.0,259802750.0,305759420.0,364297400.0
2065.0,261553700.0,213623150.0,277548740.0,246280740.0,286714460.0,357341380.0
2066.0,251004260.0,202858860.0,265748770.0,236906530.0,272167970.0,348994850.0
2067.0,241272830.0,191368180.0,254484000.0,227302300.0,256633070.0,334003360.0
2068.0,235732200.0,186639660.0,247210580.0,208352460.0,241360500.0,317718980.0
