time,CANESM5,MRI-ESM2-0,ACCESS-ESM1-5,CESM2-WACCM,ACCESS-CM2,IPSL-CM6A-LR
2000.0,2403199700.0,2403199700.0,2403199700.0,2403199700.0,2403199700.0,2403199700.0
2001.0,2377094100.0,2377094100.0,2377094100.0,2377094100.0,2377094100.0,2377094100.0
2002.0,2357944000.0,2357944000.0,2357944000.0,2357944000.0,2357944000.0,2357944000.0
2003.0,2329112300.0,2329112300.0,2329112300.0,2329112300.0,2329112300.0,2329112300.0
2004.0,2306863900.0,2306863900.0,2306863900.0,2306863900.0,2306863900.0,2306863900.0
2005.0,2283690800.0,2283690800.0,2283690800.0,2283690800.0,2283690800.0,2283690800.0
2006.0,2269068500.0,2269068500.0,2269068500.0,2269068500.0,2269068500.0,2269068500.0
2007.0,2247905000.0,2247905000.0,2247905000.0,2247905000.0,2247905000.0,2247905000.0
2008.0,2246148600.0,2246148600.0,2246148600.0,2246148600.0,2246148600.0,2246148600.0
2009.0,2249374200.0,2249374200.0,2249374200.0,2249374200.0,2249374200.0,2249374200.0
2010.0,2224768000.0,2224768000.0,2224768000.0,2224768000.0,2224768000.0,2224768000.0
2011.0,2207457800.0,2207457800.0,2207457800.0,2207457800.0,2207457800.0,2207457800.0
2012.0,2212315400.0,2212315400.0,2212315400.0,2212315400.0,2212315400.0,2212315400.0
2013.0,2197355000.0,2197355000.0,2197355000.0,2197355000.0,2197355000.0,2197355000.0
2014.0,2193515000.0,2193515000.0,2193515000.0,2193515000.0,2193515000.0,2193515000.0
2015.0,2181454800.0,2181454800.0,2181454800.0,2181454800.0,2181454800.0,2181454800.0
2016.0,2156659500.0,2156659500.0,2156659500.0,2156659500.0,2156659500.0,2156659500.0
2017.0,2131148500.0,2131148500.0,2131148500.0,2131148500.0,2131148500.0,2131148500.0
2018.0,2112500100.0,2112500100.0,2112500100.0,2112500100.0,2112500100.0,2112500100.0
2019.0,2104002000.0,2104002000.0,2104002000.0,2104002000.0,2104002000.0,2104002000.0
2020.0,2075526900.0,2075526900.0,2075526900.0,2075526900.0,2075526900.0,2075526900.0
2021.0,2038819300.0,2048717200.0,2049469600.0,2029385900.0,2028985000.0,2049053600.0
2022.0,2002779900.0,2010679800.0,2016756200.0,1969928300.0,1980167600.0,2005036200.0
2023.0,1966144800.0,1981991600.0,1996389600.0,1920086400.0,1954845700.0,1971422300.0
2024.0,1906369700.0,1956799100.0,1975568100.0,1871162200.0,1899619200.0,1947613200.0
2025.0,1863958500.0,1920955800.0,1943406800.0,1816390400.0,1861302300.0,1923110300.0
2026.0,1824808800.0,1884982300.0,1914493700.0,1716521500.0,1810947300.0,1890908900.0
2027.0,1759658900.0,1854343800.0,1876311400.0,1635090000.0,1760203100.0,1864485200.0
2028.0,1707383800.0,1817010200.0,1845484800.0,1556338400.0,1694929700.0,1837661800.0
