time,MRI-ESM2-0,UKESM1-0-LL,IPSL-CM6A-LR,GFDL-ESM4
2000.0,87715920000.0,87715920000.0,87715920000.0,87715920000.0
2001.0,88070840000.0,88070840000.0,88070840000.0,88070840000.0
2002.0,87760240000.0,87760240000.0,87760240000.0,87760240000.0
2003.0,87546360000.0,87546360000.0,87546360000.0,87546360000.0
2004.0,87360940000.0,87360940000.0,87360940000.0,87360940000.0
2005.0,87202824000.0,87202824000.0,87202824000.0,87202824000.0
2006.0,87080900000.0,87080900000.0,87080900000.0,87080900000.0
2007.0,87030550000.0,87030550000.0,87030550000.0,87030550000.0
2008.0,86972980000.0,86972980000.0,86972980000.0,86972980000.0
2009.0,87331170000.0,87331170000.0,87331170000.0,87331170000.0
2010.0,86907550000.0,86907550000.0,86907550000.0,86907550000.0
2011.0,86778130000.0,86778130000.0,86778130000.0,86778130000.0
2012.0,86709805000.0,86709805000.0,86709805000.0,86709805000.0
2013.0,86802440000.0,86802440000.0,86802440000.0,86802440000.0
2014.0,86541690000.0,86541690000.0,86541690000.0,86541690000.0
2015.0,86330300000.0,86330300000.0,86330300000.0,86330300000.0
2016.0,86145410000.0,86145410000.0,86145410000.0,86145410000.0
2017.0,85831030000.0,85831030000.0,85831030000.0,85831030000.0
2018.0,85600260000.0,85600260000.0,85600260000.0,85600260000.0
2019.0,85395160000.0,85395160000.0,85395160000.0,85395160000.0
2020.0,85067540000.0,85067540000.0,85067540000.0,85067540000.0
2021.0,84962280000.0,84986720000.0,84548210000.0,84811860000.0
2022.0,84578520000.0,84493050000.0,84106220000.0,84411695000.0
2023.0,84304330000.0,83819135000.0,83680200000.0,84035370000.0
2024.0,84004120000.0,83401160000.0,83173740000.0,83655330000.0
2025.0,83674790000.0,82639340000.0,82835040000.0,83220080000.0
2026.0,83336140000.0,82189664000.0,82147860000.0,82756090000.0
2027.0,83053490000.0,81231830000.0,81299970000.0,82478770000.0
2028.0,82623095000.0,80266500000.0,81004270000.0,82709950000.0
2029.0,82013940000.0,79900830000.0,80533910000.0,81890350000.0
2030.0,81438425000.0,79134155000.0,79659794000.0,81271110000.0
2031.0,80952390000.0,77982260000.0,79300470000.0,81575350000.0
2032.0,80251020000.0,77477830000.0,78546625000.0,80425310000.0
2033.0,79650060000.0,76692330000.0,78055690000.0,79777450000.0
2034.0,79170300000.0,75752040000.0,77112490000.0,79638180000.0
2035.0,78766970000.0,75378010000.0,76490090000.0,79110324000.0
2036.0,77917340000.0,74978480000.0,76233970000.0,78409110000.0
2037.0,77362060000.0,74519600000.0,75117750000.0,77599330000.0
2038.0,76663890000.0,73430390000.0,74544500000.0,76763950000.0
2039.0,75974370000.0,72905800000.0,76276940000.0,77055525000.0
2040.0,75525380000.0,72452250000.0,74807910000.0,77447690000.0
2041.0,75105700000.0,71303380000.0,73647690000.0,75945165000.0
2042.0,74314375000.0,70747010000.0,73043640000.0,75362390000.0
2043.0,73594495000.0,70062750000.0,71922580000.0,74745870000.0
2044.0,74615500000.0,69380325000.0,71264080000.0,74003644000.0
2045.0,73368270000.0,68509606000.0,71291765000.0,73895354000.0
2046.0,72500085000.0,67354657000.0,70447530000.0,73316070000.0
2047.0,72078410000.0,66745885000.0,70675930000.0,72644305000.0
2048.0,71690710000.0,65727240000.0,71661670000.0,71957970000.0
2049.0,71165436000.0,64761720000.0,71212050000.0,74050930000.0
2050.0,71254160000.0,64023343000.0,69555724000.0,72559270000.0
2051.0,70364406000.0,63323152000.0,68349980000.0,70858690000.0
2052.0,69787920000.0,62425223000.0,67727766000.0,70270950000.0
2053.0,69318150000.0,61490016000.0,67065745000.0,69968660000.0
2054.0,69968230000.0,60542390000.0,67081544000.0,69449560000.0
2055.0,69982900000.0,59958403000.0,66469030000.0,69082360000.0
2056.0,69010580000.0,59239956000.0,65701150000.0,69810480000.0
2057.0,68516606000.0,58469528000.0,65420640000.0,70361990000.0
2058.0,67858924000.0,57954700000.0,64362810000.0,69318450000.0
2059.0,67445395000.0,57171595000.0,64254013000.0,68328920000.0
2060.0,66869150000.0,56462803000.0,63900795000.0,71832340000.0
2061.0,66735047000.0,55579234000.0,63372878000.0,68484702000.0
2062.0,66502890000.0,54730904000.0,62596833000.0,67280884000.0
2063.0,65826644000.0,54078382000.0,62309650000.0,66574557000.0
2064.0,66254820000.0,53430710000.0,62276854000.0,66082312000.0
2065.0,65431250000.0,52849025000.0,63900260000.0,65864240000.0
2066.0,64997700000.0,52099420000.0,66317230000.0,69127970000.0
2067.0,65528033000.0,51359990000.0,64676810000.0,66298350000.0
2068.0,65555575000.0,50774980000.0,62872998000.0,67030840000.0
2069.0,64519037000.0,50060186000.0,61182198000.0,65529180000.0
2070.0,63835234000.0,49386360000.0,60029810000.0,64653005000.0
2071.0,63348634000.0,48954905000.0,60304548000.0,64749507000.0
2072.0,65864737000.0,48409637000.0,66210247000.0,63791110000.0
2073.0,64830546000.0,47733640000.0,60093950000.0,63391810000.0
2074.0,63375835000.0,47223263000.0,59818880000.0,63077708000.0
2075.0,63317393000.0,46968955000.0,62207922000.0,62865318000.0
2076.0,63276986000.0,46047520000.0,60899926000.0,62880640000.0
2077.0,62240104000.0,45456232000.0,58194980000.0,62317310000.0
2078.0,62089510000.0,44882526000.0,57774680000.0,65414144000.0
2079.0,65361277000.0,44342415000.0,57560100000.0,62105813000.0
2080.0,61880295000.0,43934896000.0,57452454000.0,62172123000.0
2081.0,62226080000.0,43225047000.0,56816394000.0,61347738000.0
2082.0,62034840000.0,42696740000.0,56769876000.0,61423792000.0
2083.0,61341420000.0,42101027000.0,56028377000.0,60832047000.0
2084.0,63124450000.0,41743460000.0,55762160000.0,66685616000.0
2085.0,63166010000.0,41571750000.0,56581906000.0,61624934000.0
2086.0,62131990000.0,42171617000.0,55630696000.0,60612290000.0
2087.0,60526653000.0,41002720000.0,56170205000.0,60838146000.0
2088.0,60370633000.0,40620556000.0,57867624000.0,60205453000.0
2089.0,61213802000.0,45184496000.0,55483978000.0,59837444000.0
2090.0,63545758000.0,41587884000.0,56288560000.0,59794625000.0
2091.0,61919896000.0,39176070000.0,58046714000.0,60007936000.0
2092.0,60047420000.0,38958520000.0,57030510000.0,59135620000.0
2093.0,60504424000.0,38913733000.0,56010813000.0,59372995000.0
2094.0,60406346000.0,38063310000.0,54796653000.0,59092967000.0
2095.0,59469976000.0,37504954000.0,53639553000.0,58795370000.0
2096.0,59504410000.0,36894230000.0,55806320000.0,58530726000.0
2097.0,59741094000.0,36599180000.0,54052033000.0,58323636000.0
2098.0,58861280000.0,37572800000.0,53215183000.0,58579653000.0
2099.0,58949490000.0,36082844000.0,55995384000.0,58640360000.0
2100.0,62009110000.0,36289647000.0,53166620000.0,58938737000.0
