time,EC-EARTH3,CNRM-CM6-1,MPI-ESM1-2-HR,CESM2-WACCM,GFDL-ESM4,MIROC6,UKESM1-0-LL,CNRM-ESM2-1,IPSL-CM6A-LR,TAIESM1,KACE-1-0-G,MRI-ESM2-0,CANESM5
2000.0,87715920000.0,87715920000.0,87715920000.0,87715920000.0,87715920000.0,87715920000.0,87715920000.0,87715920000.0,87715920000.0,87715920000.0,87715920000.0,87715920000.0,87715920000.0
2001.0,88070840000.0,88070840000.0,88070840000.0,88070840000.0,88070840000.0,88070840000.0,88070840000.0,88070840000.0,88070840000.0,88070840000.0,88070840000.0,88070840000.0,88070840000.0
2002.0,87760240000.0,87760240000.0,87760240000.0,87760240000.0,87760240000.0,87760240000.0,87760240000.0,87760240000.0,87760240000.0,87760240000.0,87760240000.0,87760240000.0,87760240000.0
2003.0,87546360000.0,87546360000.0,87546360000.0,87546360000.0,87546360000.0,87546360000.0,87546360000.0,87546360000.0,87546360000.0,87546360000.0,87546360000.0,87546360000.0,87546360000.0
2004.0,87360940000.0,87360940000.0,87360940000.0,87360940000.0,87360940000.0,87360940000.0,87360940000.0,87360940000.0,87360940000.0,87360940000.0,87360940000.0,87360940000.0,87360940000.0
2005.0,87202824000.0,87202824000.0,87202824000.0,87202824000.0,87202824000.0,87202824000.0,87202824000.0,87202824000.0,87202824000.0,87202824000.0,87202824000.0,87202824000.0,87202824000.0
2006.0,87080900000.0,87080900000.0,87080900000.0,87080900000.0,87080900000.0,87080900000.0,87080900000.0,87080900000.0,87080900000.0,87080900000.0,87080900000.0,87080900000.0,87080900000.0
2007.0,87030550000.0,87030550000.0,87030550000.0,87030550000.0,87030550000.0,87030550000.0,87030550000.0,87030550000.0,87030550000.0,87030550000.0,87030550000.0,87030550000.0,87030550000.0
2008.0,86972980000.0,86972980000.0,86972980000.0,86972980000.0,86972980000.0,86972980000.0,86972980000.0,86972980000.0,86972980000.0,86972980000.0,86972980000.0,86972980000.0,86972980000.0
2009.0,87331170000.0,87331170000.0,87331170000.0,87331170000.0,87331170000.0,87331170000.0,87331170000.0,87331170000.0,87331170000.0,87331170000.0,87331170000.0,87331170000.0,87331170000.0
2010.0,86907550000.0,86907550000.0,86907550000.0,86907550000.0,86907550000.0,86907550000.0,86907550000.0,86907550000.0,86907550000.0,86907550000.0,86907550000.0,86907550000.0,86907550000.0
2011.0,86778130000.0,86778130000.0,86778130000.0,86778130000.0,86778130000.0,86778130000.0,86778130000.0,86778130000.0,86778130000.0,86778130000.0,86778130000.0,86778130000.0,86778130000.0
2012.0,86709805000.0,86709805000.0,86709805000.0,86709805000.0,86709805000.0,86709805000.0,86709805000.0,86709805000.0,86709805000.0,86709805000.0,86709805000.0,86709805000.0,86709805000.0
2013.0,86802440000.0,86802440000.0,86802440000.0,86802440000.0,86802440000.0,86802440000.0,86802440000.0,86802440000.0,86802440000.0,86802440000.0,86802440000.0,86802440000.0,86802440000.0
2014.0,86541690000.0,86541690000.0,86541690000.0,86541690000.0,86541690000.0,86541690000.0,86541690000.0,86541690000.0,86541690000.0,86541690000.0,86541690000.0,86541690000.0,86541690000.0
2015.0,86330300000.0,86330300000.0,86330300000.0,86330300000.0,86330300000.0,86330300000.0,86330300000.0,86330300000.0,86330300000.0,86330300000.0,86330300000.0,86330300000.0,86330300000.0
2016.0,86145410000.0,86145410000.0,86145410000.0,86145410000.0,86145410000.0,86145410000.0,86145410000.0,86145410000.0,86145410000.0,86145410000.0,86145410000.0,86145410000.0,86145410000.0
2017.0,85831030000.0,85831030000.0,85831030000.0,85831030000.0,85831030000.0,85831030000.0,85831030000.0,85831030000.0,85831030000.0,85831030000.0,85831030000.0,85831030000.0,85831030000.0
2018.0,85600260000.0,85600260000.0,85600260000.0,85600260000.0,85600260000.0,85600260000.0,85600260000.0,85600260000.0,85600260000.0,85600260000.0,85600260000.0,85600260000.0,85600260000.0
2019.0,85395160000.0,85395160000.0,85395160000.0,85395160000.0,85395160000.0,85395160000.0,85395160000.0,85395160000.0,85395160000.0,85395160000.0,85395160000.0,85395160000.0,85395160000.0
2020.0,85067540000.0,85067540000.0,85067540000.0,85067540000.0,85067540000.0,85067540000.0,85067540000.0,85067540000.0,85067540000.0,85067540000.0,85067540000.0,85067540000.0,85067540000.0
2021.0,85012690000.0,85500800000.0,85790710000.0,85454290000.0,84761480000.0,84710154000.0,85071700000.0,85290295000.0,84708550000.0,84765640000.0,84900120000.0,85426150000.0,84816134000.0
2022.0,84936060000.0,84787610000.0,87567980000.0,85454995000.0,84498070000.0,84524700000.0,84634485000.0,85880700000.0,84920080000.0,84908020000.0,84371220000.0,84944560000.0,84804080000.0
2023.0,84108880000.0,84264490000.0,86166020000.0,84751200000.0,84154520000.0,83973060000.0,84320040000.0,84826720000.0,84598460000.0,84617830000.0,83943600000.0,84594450000.0,84392660000.0
2024.0,83662950000.0,84306610000.0,86006650000.0,84310140000.0,84077050000.0,83689530000.0,83975440000.0,84449830000.0,84527030000.0,84270150000.0,83325820000.0,84245220000.0,83849480000.0
2025.0,84065575000.0,84000104000.0,84980510000.0,83918050000.0,83747280000.0,83587390000.0,83338070000.0,84152795000.0,84147175000.0,84088455000.0,82881790000.0,83823470000.0,83501830000.0
2026.0,84829450000.0,83546610000.0,84598110000.0,83333500000.0,83264940000.0,83733594000.0,83046680000.0,84055540000.0,83441010000.0,83613475000.0,82122470000.0,83361950000.0,83032610000.0
2027.0,82988876000.0,83297930000.0,84209640000.0,82978415000.0,82941590000.0,82911410000.0,82316110000.0,83813430000.0,82680480000.0,83807850000.0,81347350000.0,82805970000.0,82599220000.0
2028.0,82154504000.0,83061350000.0,83917180000.0,82536810000.0,82571000000.0,82021500000.0,81753700000.0,83538970000.0,82185880000.0,82953994000.0,80595860000.0,82182180000.0,82042180000.0
2029.0,81741710000.0,82684400000.0,84039310000.0,81692410000.0,82268650000.0,81448770000.0,81214440000.0,83390890000.0,82220870000.0,82857490000.0,79679030000.0,81705180000.0,81425210000.0
2030.0,81290130000.0,82143080000.0,83801020000.0,81265720000.0,81687520000.0,80941875000.0,80707220000.0,82686590000.0,81281250000.0,81728910000.0,78903255000.0,81282550000.0,81076440000.0
2031.0,80972370000.0,81799320000.0,83156610000.0,82193170000.0,81425105000.0,80232500000.0,80057840000.0,83307240000.0,81371290000.0,81700370000.0,77986470000.0,80682280000.0,80376110000.0
2032.0,81733670000.0,81138910000.0,82768240000.0,80206330000.0,81001095000.0,79370960000.0,79048970000.0,82761970000.0,85532980000.0,81364850000.0,77479530000.0,80037100000.0,79704730000.0
