time,IPSL-CM6A-LR,MRI-ESM2-0,CANESM5,CNRM-ESM2-1,UKESM1-0-LL
2000.0,87715920000.0,87715920000.0,87715920000.0,87715920000.0,87715920000.0
2001.0,88070840000.0,88070840000.0,88070840000.0,88070840000.0,88070840000.0
2002.0,87760240000.0,87760240000.0,87760240000.0,87760240000.0,87760240000.0
2003.0,87546360000.0,87546360000.0,87546360000.0,87546360000.0,87546360000.0
2004.0,87360940000.0,87360940000.0,87360940000.0,87360940000.0,87360940000.0
2005.0,87202824000.0,87202824000.0,87202824000.0,87202824000.0,87202824000.0
2006.0,87080900000.0,87080900000.0,87080900000.0,87080900000.0,87080900000.0
2007.0,87030550000.0,87030550000.0,87030550000.0,87030550000.0,87030550000.0
2008.0,86972980000.0,86972980000.0,86972980000.0,86972980000.0,86972980000.0
2009.0,87331170000.0,87331170000.0,87331170000.0,87331170000.0,87331170000.0
2010.0,86907550000.0,86907550000.0,86907550000.0,86907550000.0,86907550000.0
2011.0,86778130000.0,86778130000.0,86778130000.0,86778130000.0,86778130000.0
2012.0,86709805000.0,86709805000.0,86709805000.0,86709805000.0,86709805000.0
2013.0,86802440000.0,86802440000.0,86802440000.0,86802440000.0,86802440000.0
2014.0,86541690000.0,86541690000.0,86541690000.0,86541690000.0,86541690000.0
2015.0,86330300000.0,86330300000.0,86330300000.0,86330300000.0,86330300000.0
2016.0,86145410000.0,86145410000.0,86145410000.0,86145410000.0,86145410000.0
2017.0,85831030000.0,85831030000.0,85831030000.0,85831030000.0,85831030000.0
2018.0,85600260000.0,85600260000.0,85600260000.0,85600260000.0,85600260000.0
2019.0,85395160000.0,85395160000.0,85395160000.0,85395160000.0,85395160000.0
2020.0,85067540000.0,85067540000.0,85067540000.0,85067540000.0,85067540000.0
2021.0,84950660000.0,84932846000.0,84774910000.0,84747060000.0,84900680000.0
2022.0,84510190000.0,84813820000.0,84871540000.0,84673085000.0,84720850000.0
2023.0,84243055000.0,84281560000.0,84307616000.0,85776280000.0,84236030000.0
2024.0,84003490000.0,83936800000.0,83930420000.0,85163070000.0,84013220000.0
2025.0,83423180000.0,83478766000.0,83927230000.0,84330660000.0,83344590000.0
2026.0,83151210000.0,83161710000.0,83787880000.0,83840524000.0,83128705000.0
2027.0,83016204000.0,82799400000.0,83167830000.0,83380620000.0,82491580000.0
2028.0,82313330000.0,82665940000.0,83045550000.0,82812944000.0,81396860000.0
2029.0,81648050000.0,81933120000.0,82308080000.0,82728370000.0,80587400000.0
2030.0,80866960000.0,81858670000.0,81748130000.0,82844300000.0,80348455000.0
2031.0,79724570000.0,80770470000.0,81205670000.0,81871500000.0,79238130000.0
2032.0,79248170000.0,80118415000.0,80406140000.0,81407120000.0,78493810000.0
2033.0,79262840000.0,79490980000.0,80099310000.0,80990160000.0,77332505000.0
2034.0,79482070000.0,79312420000.0,79205150000.0,80891150000.0,76226120000.0
2035.0,79202075000.0,79384035000.0,78648230000.0,80571654000.0,74958406000.0
2036.0,78300580000.0,78589660000.0,78055916000.0,80684260000.0,74343900000.0
2037.0,77254255000.0,78077080000.0,77104830000.0,80060420000.0,73771835000.0
2038.0,76517515000.0,76928130000.0,77251944000.0,79903950000.0,72894260000.0
2039.0,75962565000.0,76219670000.0,76324570000.0,79089074000.0,71813840000.0
2040.0,75076820000.0,75379070000.0,75316760000.0,78899100000.0,71096844000.0
2041.0,74573270000.0,74978260000.0,74316464000.0,78259540000.0,70099910000.0
2042.0,73835405000.0,73947350000.0,73222550000.0,78469390000.0,68616840000.0
2043.0,72737600000.0,73198220000.0,72448434000.0,77655480000.0,67357073000.0
2044.0,71879960000.0,72597635000.0,71704230000.0,78039710000.0,66394620000.0
2045.0,70930870000.0,71932590000.0,71206960000.0,76638314000.0,65769665000.0
2046.0,70075620000.0,71787470000.0,70226960000.0,76189930000.0,64791140000.0
2047.0,69536555000.0,70877100000.0,69367950000.0,75801970000.0,63869997000.0
2048.0,69634680000.0,70208650000.0,68570063000.0,75353290000.0,62756487000.0
