time,CNRM-ESM2-1,UKESM1-0-LL,MRI-ESM2-0,IITM-ESM,KACE-1-0-G,MPI-ESM1-2-HR,MIROC6,CANESM5,GFDL-ESM4,EC-EARTH3,CNRM-CM6-1,TAIESM1,IPSL-CM6A-LR,CESM2-WACCM
2000.0,15288590000.0,15288590000.0,15288590000.0,15288590000.0,15288590000.0,15288590000.0,15288590000.0,15288590000.0,15288590000.0,15288590000.0,15288590000.0,15288590000.0,15288590000.0,15288590000.0
2001.0,14852137000.0,14852137000.0,14852137000.0,14852137000.0,14852137000.0,14852137000.0,14852137000.0,14852137000.0,14852137000.0,14852137000.0,14852137000.0,14852137000.0,14852137000.0,14852137000.0
2002.0,14815541000.0,14815541000.0,14815541000.0,14815541000.0,14815541000.0,14815541000.0,14815541000.0,14815541000.0,14815541000.0,14815541000.0,14815541000.0,14815541000.0,14815541000.0,14815541000.0
2003.0,14721456000.0,14721456000.0,14721456000.0,14721456000.0,14721456000.0,14721456000.0,14721456000.0,14721456000.0,14721456000.0,14721456000.0,14721456000.0,14721456000.0,14721456000.0,14721456000.0
2004.0,14667106000.0,14667106000.0,14667106000.0,14667106000.0,14667106000.0,14667106000.0,14667106000.0,14667106000.0,14667106000.0,14667106000.0,14667106000.0,14667106000.0,14667106000.0,14667106000.0
2005.0,14655058000.0,14655058000.0,14655058000.0,14655058000.0,14655058000.0,14655058000.0,14655058000.0,14655058000.0,14655058000.0,14655058000.0,14655058000.0,14655058000.0,14655058000.0,14655058000.0
2006.0,14733586000.0,14733586000.0,14733586000.0,14733586000.0,14733586000.0,14733586000.0,14733586000.0,14733586000.0,14733586000.0,14733586000.0,14733586000.0,14733586000.0,14733586000.0,14733586000.0
2007.0,14602313000.0,14602313000.0,14602313000.0,14602313000.0,14602313000.0,14602313000.0,14602313000.0,14602313000.0,14602313000.0,14602313000.0,14602313000.0,14602313000.0,14602313000.0,14602313000.0
2008.0,14936216000.0,14936216000.0,14936216000.0,14936216000.0,14936216000.0,14936216000.0,14936216000.0,14936216000.0,14936216000.0,14936216000.0,14936216000.0,14936216000.0,14936216000.0,14936216000.0
2009.0,14711724000.0,14711724000.0,14711724000.0,14711724000.0,14711724000.0,14711724000.0,14711724000.0,14711724000.0,14711724000.0,14711724000.0,14711724000.0,14711724000.0,14711724000.0,14711724000.0
