time,IPSL-CM6A-LR,UKESM1-0-LL,MRI-ESM2-0,GFDL-ESM4
2000.0,104715790000.0,104715790000.0,104715790000.0,104715790000.0
2001.0,104671584000.0,104671584000.0,104671584000.0,104671584000.0
2002.0,104648180000.0,104648180000.0,104648180000.0,104648180000.0
2003.0,104614090000.0,104614090000.0,104614090000.0,104614090000.0
2004.0,104580735000.0,104580735000.0,104580735000.0,104580735000.0
2005.0,104738290000.0,104738290000.0,104738290000.0,104738290000.0
2006.0,104588700000.0,104588700000.0,104588700000.0,104588700000.0
2007.0,104812050000.0,104812050000.0,104812050000.0,104812050000.0
2008.0,104588650000.0,104588650000.0,104588650000.0,104588650000.0
2009.0,104504074000.0,104504074000.0,104504074000.0,104504074000.0
2010.0,104435670000.0,104435670000.0,104435670000.0,104435670000.0
2011.0,104394280000.0,104394280000.0,104394280000.0,104394280000.0
2012.0,104335190000.0,104335190000.0,104335190000.0,104335190000.0
2013.0,104274290000.0,104274290000.0,104274290000.0,104274290000.0
2014.0,105788550000.0,105788550000.0,105788550000.0,105788550000.0
2015.0,104383060000.0,104383060000.0,104383060000.0,104383060000.0
2016.0,104242980000.0,104242980000.0,104242980000.0,104242980000.0
2017.0,104229290000.0,104229290000.0,104229290000.0,104229290000.0
2018.0,104234140000.0,104234140000.0,104234140000.0,104234140000.0
2019.0,104291320000.0,104291320000.0,104291320000.0,104291320000.0
2020.0,104354210000.0,104354210000.0,104354210000.0,104354210000.0
2021.0,104197230000.0,104188080000.0,104271380000.0,104224830000.0
2022.0,104162410000.0,104112890000.0,104400400000.0,104175624000.0
2023.0,104140090000.0,104072250000.0,104508236000.0,104678280000.0
2024.0,104096920000.0,104029470000.0,104265875000.0,104271440000.0
2025.0,104088216000.0,103955600000.0,104127455000.0,104234680000.0
2026.0,104102950000.0,103943210000.0,104221050000.0,104293760000.0
2027.0,104022790000.0,103870360000.0,104102584000.0,104220120000.0
2028.0,103931420000.0,103864010000.0,104775610000.0,104086350000.0
2029.0,104156815000.0,103820450000.0,104236690000.0,104146620000.0
2030.0,104048120000.0,103690950000.0,104013850000.0,104054220000.0
2031.0,103938360000.0,103607810000.0,103929280000.0,104107080000.0
2032.0,103906030000.0,103523820000.0,103951974000.0,104001260000.0
2033.0,103885234000.0,103430990000.0,103884900000.0,104085670000.0
2034.0,103787110000.0,103444234000.0,103815365000.0,103867270000.0
2035.0,103762395000.0,103279840000.0,103717170000.0,103777100000.0
2036.0,103644000000.0,103207820000.0,103629726000.0,103703626000.0
2037.0,103705770000.0,103122130000.0,103535804000.0,103705534000.0
2038.0,103691480000.0,103011400000.0,103452656000.0,103611515000.0
2039.0,103507440000.0,102888325000.0,103430590000.0,103549080000.0
2040.0,103427780000.0,102858540000.0,103351530000.0,103526410000.0
2041.0,103375766000.0,102718110000.0,103273950000.0,103495190000.0
2042.0,103264580000.0,102552250000.0,103444480000.0,103386030000.0
2043.0,103196480000.0,102336225000.0,103268610000.0,103368440000.0
2044.0,103167690000.0,102156780000.0,103147390000.0,103319390000.0
2045.0,103037740000.0,102018376000.0,103217430000.0,103324440000.0
2046.0,102984840000.0,101837310000.0,102994570000.0,103245324000.0
2047.0,102896560000.0,101603840000.0,102955730000.0,103124976000.0
2048.0,102992890000.0,101423510000.0,103143220000.0,103056335000.0
2049.0,102910575000.0,101212520000.0,102719280000.0,102968250000.0
2050.0,102642565000.0,100987840000.0,102580510000.0,102918160000.0
2051.0,102528470000.0,100713400000.0,102416000000.0,102823610000.0
2052.0,102395710000.0,100469916000.0,102235420000.0,102847610000.0
2053.0,102373370000.0,100299980000.0,102020030000.0,103021100000.0
2054.0,102367300000.0,100066520000.0,102045920000.0,102750210000.0
2055.0,102257690000.0,99824400000.0,102033780000.0,102563690000.0
2056.0,102073580000.0,99514910000.0,101849020000.0,102435710000.0
2057.0,101931655000.0,99251210000.0,101624940000.0,102528705000.0
2058.0,101917300000.0,99033645000.0,101439290000.0,102866820000.0
2059.0,101755670000.0,98786740000.0,101396414000.0,102798066000.0
2060.0,102283305000.0,98604950000.0,101222910000.0,102435120000.0
2061.0,101632700000.0,98588970000.0,101122560000.0,102424895000.0
2062.0,101483856000.0,98059650000.0,101971660000.0,102288876000.0
2063.0,101332030000.0,97724604000.0,100915990000.0,102114574000.0
2064.0,101132930000.0,97451230000.0,100739850000.0,102323000000.0
2065.0,101046610000.0,97123164000.0,101067860000.0,102068400000.0
2066.0,100840190000.0,96819740000.0,101828740000.0,101955084000.0
2067.0,100674170000.0,96464430000.0,101389190000.0,101832920000.0
2068.0,100564490000.0,96098880000.0,100722794000.0,101728490000.0
2069.0,100397370000.0,95649580000.0,100669200000.0,101589820000.0
2070.0,100260610000.0,95784500000.0,100770280000.0,101500264000.0
2071.0,100318970000.0,95175350000.0,101884260000.0,101411500000.0
2072.0,100085645000.0,94753950000.0,100617600000.0,101328675000.0
2073.0,100044910000.0,94405960000.0,100242470000.0,101166100000.0
2074.0,99898290000.0,94145135000.0,100084860000.0,101047890000.0
2075.0,99919920000.0,93822320000.0,100200550000.0,100933130000.0
2076.0,99796920000.0,93623900000.0,99851540000.0,100879294000.0
2077.0,99603760000.0,93341650000.0,99849840000.0,100969500000.0
2078.0,99401300000.0,92955210000.0,99559310000.0,100874035000.0
2079.0,99170360000.0,92656260000.0,99364340000.0,100573790000.0
2080.0,99748120000.0,92429900000.0,99251400000.0,100677550000.0
2081.0,99040190000.0,91999260000.0,99027700000.0,100572470000.0
2082.0,98910180000.0,91685400000.0,98910170000.0,100960830000.0
2083.0,98830565000.0,91271870000.0,99827650000.0,100471366000.0
2084.0,98818340000.0,91022930000.0,98733105000.0,100652240000.0
2085.0,98439860000.0,90866330000.0,98554060000.0,100426300000.0
2086.0,98300174000.0,90476120000.0,98820555000.0,100221125000.0
2087.0,98342320000.0,90073830000.0,100710760000.0,100071770000.0
2088.0,98151145000.0,89896730000.0,98580140000.0,100234840000.0
2089.0,97956900000.0,89580820000.0,99918240000.0,100770210000.0
2090.0,97785740000.0,89193350000.0,98977900000.0,99798426000.0
2091.0,97571750000.0,89034680000.0,98424020000.0,99736060000.0
2092.0,97485690000.0,88541350000.0,98499840000.0,99553690000.0
2093.0,98257560000.0,88361420000.0,98025540000.0,99365730000.0
2094.0,97198360000.0,88299370000.0,97859764000.0,99363430000.0
2095.0,96954990000.0,87824060000.0,98407270000.0,99301180000.0
2096.0,97051610000.0,87353340000.0,97967680000.0,99027050000.0
2097.0,96650306000.0,86975570000.0,97712330000.0,98884010000.0
2098.0,97043055000.0,86547540000.0,99529470000.0,99132040000.0
2099.0,96611640000.0,86305310000.0,97658840000.0,98811630000.0
2100.0,96643100000.0,85889970000.0,97294290000.0,98719280000.0
