time,MIROC6,UKESM1-0-LL,IPSL-CM6A-LR,CNRM-ESM2-1,CNRM-CM6-1,KACE-1-0-G,GFDL-ESM4,IITM-ESM,MRI-ESM2-0,TAIESM1,MPI-ESM1-2-HR,CESM2-WACCM,CANESM5,EC-EARTH3
2000.0,104715790000.0,104715790000.0,104715790000.0,104715790000.0,104715790000.0,104715790000.0,104715790000.0,104715790000.0,104715790000.0,104715790000.0,104715790000.0,104715790000.0,104715790000.0,104715790000.0
2001.0,104671584000.0,104671584000.0,104671584000.0,104671584000.0,104671584000.0,104671584000.0,104671584000.0,104671584000.0,104671584000.0,104671584000.0,104671584000.0,104671584000.0,104671584000.0,104671584000.0
2002.0,104648180000.0,104648180000.0,104648180000.0,104648180000.0,104648180000.0,104648180000.0,104648180000.0,104648180000.0,104648180000.0,104648180000.0,104648180000.0,104648180000.0,104648180000.0,104648180000.0
2003.0,104614090000.0,104614090000.0,104614090000.0,104614090000.0,104614090000.0,104614090000.0,104614090000.0,104614090000.0,104614090000.0,104614090000.0,104614090000.0,104614090000.0,104614090000.0,104614090000.0
2004.0,104580735000.0,104580735000.0,104580735000.0,104580735000.0,104580735000.0,104580735000.0,104580735000.0,104580735000.0,104580735000.0,104580735000.0,104580735000.0,104580735000.0,104580735000.0,104580735000.0
2005.0,104738290000.0,104738290000.0,104738290000.0,104738290000.0,104738290000.0,104738290000.0,104738290000.0,104738290000.0,104738290000.0,104738290000.0,104738290000.0,104738290000.0,104738290000.0,104738290000.0
2006.0,104588700000.0,104588700000.0,104588700000.0,104588700000.0,104588700000.0,104588700000.0,104588700000.0,104588700000.0,104588700000.0,104588700000.0,104588700000.0,104588700000.0,104588700000.0,104588700000.0
2007.0,104812050000.0,104812050000.0,104812050000.0,104812050000.0,104812050000.0,104812050000.0,104812050000.0,104812050000.0,104812050000.0,104812050000.0,104812050000.0,104812050000.0,104812050000.0,104812050000.0
2008.0,104588650000.0,104588650000.0,104588650000.0,104588650000.0,104588650000.0,104588650000.0,104588650000.0,104588650000.0,104588650000.0,104588650000.0,104588650000.0,104588650000.0,104588650000.0,104588650000.0
2009.0,104504074000.0,104504074000.0,104504074000.0,104504074000.0,104504074000.0,104504074000.0,104504074000.0,104504074000.0,104504074000.0,104504074000.0,104504074000.0,104504074000.0,104504074000.0,104504074000.0
2010.0,104435670000.0,104435670000.0,104435670000.0,104435670000.0,104435670000.0,104435670000.0,104435670000.0,104435670000.0,104435670000.0,104435670000.0,104435670000.0,104435670000.0,104435670000.0,104435670000.0
2011.0,104394280000.0,104394280000.0,104394280000.0,104394280000.0,104394280000.0,104394280000.0,104394280000.0,104394280000.0,104394280000.0,104394280000.0,104394280000.0,104394280000.0,104394280000.0,104394280000.0
2012.0,104335190000.0,104335190000.0,104335190000.0,104335190000.0,104335190000.0,104335190000.0,104335190000.0,104335190000.0,104335190000.0,104335190000.0,104335190000.0,104335190000.0,104335190000.0,104335190000.0
2013.0,104274290000.0,104274290000.0,104274290000.0,104274290000.0,104274290000.0,104274290000.0,104274290000.0,104274290000.0,104274290000.0,104274290000.0,104274290000.0,104274290000.0,104274290000.0,104274290000.0
2014.0,105788550000.0,105788550000.0,105788550000.0,105788550000.0,105788550000.0,105788550000.0,105788550000.0,105788550000.0,105788550000.0,105788550000.0,105788550000.0,105788550000.0,105788550000.0,105788550000.0
2015.0,104383060000.0,104383060000.0,104383060000.0,104383060000.0,104383060000.0,104383060000.0,104383060000.0,104383060000.0,104383060000.0,104383060000.0,104383060000.0,104383060000.0,104383060000.0,104383060000.0
2016.0,104242980000.0,104242980000.0,104242980000.0,104242980000.0,104242980000.0,104242980000.0,104242980000.0,104242980000.0,104242980000.0,104242980000.0,104242980000.0,104242980000.0,104242980000.0,104242980000.0
2017.0,104229290000.0,104229290000.0,104229290000.0,104229290000.0,104229290000.0,104229290000.0,104229290000.0,104229290000.0,104229290000.0,104229290000.0,104229290000.0,104229290000.0,104229290000.0,104229290000.0
2018.0,104234140000.0,104234140000.0,104234140000.0,104234140000.0,104234140000.0,104234140000.0,104234140000.0,104234140000.0,104234140000.0,104234140000.0,104234140000.0,104234140000.0,104234140000.0,104234140000.0
2019.0,104291320000.0,104291320000.0,104291320000.0,104291320000.0,104291320000.0,104291320000.0,104291320000.0,104291320000.0,104291320000.0,104291320000.0,104291320000.0,104291320000.0,104291320000.0,104291320000.0
2020.0,104354210000.0,104354210000.0,104354210000.0,104354210000.0,104354210000.0,104354210000.0,104354210000.0,104354210000.0,104354210000.0,104354210000.0,104354210000.0,104354210000.0,104354210000.0,104354210000.0
2021.0,104174970000.0,104148120000.0,104188050000.0,104240690000.0,104259854000.0,104786100000.0,104217790000.0,104182850000.0,104188580000.0,104224310000.0,104389680000.0,104202670000.0,104217820000.0,104175665000.0
2022.0,104248310000.0,104105070000.0,104163080000.0,104147575000.0,105243705000.0,104998320000.0,104154150000.0,104164490000.0,104361780000.0,104138360000.0,104262580000.0,104265250000.0,104187896000.0,104088930000.0
2023.0,104183090000.0,104068690000.0,104111700000.0,104129360000.0,104223570000.0,104776100000.0,104160290000.0,104116530000.0,104256930000.0,104122240000.0,104433100000.0,104733600000.0,104197580000.0,103996010000.0
2024.0,104176880000.0,104366670000.0,104166070000.0,104096014000.0,104292500000.0,105204064000.0,104287674000.0,104283850000.0,104397160000.0,104053130000.0,104362160000.0,104409480000.0,104580440000.0,103913800000.0
2025.0,104269455000.0,104080110000.0,104052450000.0,104030134000.0,104154790000.0,104962300000.0,104202820000.0,104090665000.0,104101690000.0,104021410000.0,104308760000.0,104274936000.0,104237990000.0,103789306000.0
2026.0,104236120000.0,103988990000.0,103983510000.0,103927150000.0,104216445000.0,104732310000.0,104199225000.0,104042960000.0,104056900000.0,103943000000.0,104345395000.0,104150160000.0,104103450000.0,103687880000.0
2027.0,104159730000.0,103977705000.0,103990770000.0,103907250000.0,104105976000.0,104777590000.0,104199940000.0,104025465000.0,104184890000.0,103871740000.0,104412390000.0,104093540000.0,104056610000.0,103566780000.0
2028.0,104115230000.0,103906750000.0,103930160000.0,103807345000.0,104053240000.0,104705470000.0,104124300000.0,104020180000.0,104081420000.0,103801780000.0,104272110000.0,104052350000.0,104116060000.0,103394210000.0
2029.0,104074570000.0,103816420000.0,103862530000.0,103685640000.0,104064470000.0,104565040000.0,104180646000.0,103997325000.0,103959585000.0,103726010000.0,104179980000.0,104127750000.0,104012956000.0,103270270000.0
2030.0,104028340000.0,103737090000.0,103832040000.0,103645230000.0,104204520000.0,104592730000.0,104055360000.0,104104270000.0,103923180000.0,103648076000.0,104334520000.0,104008425000.0,103964220000.0,103123894000.0
2031.0,104008210000.0,103675910000.0,103768260000.0,103564075000.0,104296645000.0,104448030000.0,103985670000.0,104024670000.0,103819936000.0,103600660000.0,104174280000.0,103990550000.0,103907240000.0,102943620000.0
2032.0,103909550000.0,103635300000.0,103891450000.0,103454850000.0,104001060000.0,104465530000.0,103949670000.0,103923630000.0,103790690000.0,103526500000.0,104084324000.0,103890485000.0,103838750000.0,103043680000.0
