time,MRI-ESM2-0,IPSL-CM6A-LR,UKESM1-0-LL,GFDL-ESM4
2000.0,88838410000.0,88838410000.0,88838410000.0,88838410000.0
2001.0,88640190000.0,88640190000.0,88640190000.0,88640190000.0
2002.0,88593090000.0,88593090000.0,88593090000.0,88593090000.0
2003.0,88412310000.0,88412310000.0,88412310000.0,88412310000.0
2004.0,88255430000.0,88255430000.0,88255430000.0,88255430000.0
2005.0,88266670000.0,88266670000.0,88266670000.0,88266670000.0
2006.0,88353330000.0,88353330000.0,88353330000.0,88353330000.0
2007.0,88695500000.0,88695500000.0,88695500000.0,88695500000.0
2008.0,88360540000.0,88360540000.0,88360540000.0,88360540000.0
2009.0,88158750000.0,88158750000.0,88158750000.0,88158750000.0
2010.0,87876870000.0,87876870000.0,87876870000.0,87876870000.0
2011.0,87776550000.0,87776550000.0,87776550000.0,87776550000.0
2012.0,87978420000.0,87978420000.0,87978420000.0,87978420000.0
2013.0,88050020000.0,88050020000.0,88050020000.0,88050020000.0
2014.0,88733460000.0,88733460000.0,88733460000.0,88733460000.0
2015.0,87949115000.0,87949115000.0,87949115000.0,87949115000.0
2016.0,89161200000.0,89161200000.0,89161200000.0,89161200000.0
2017.0,87986230000.0,87986230000.0,87986230000.0,87986230000.0
2018.0,87848485000.0,87848485000.0,87848485000.0,87848485000.0
2019.0,89603490000.0,89603490000.0,89603490000.0,89603490000.0
2020.0,87657500000.0,87657500000.0,87657500000.0,87657500000.0
2021.0,87589790000.0,87511785000.0,87284820000.0,87457580000.0
2022.0,87571970000.0,87589830000.0,86927870000.0,87315500000.0
2023.0,86992180000.0,87501040000.0,86643070000.0,87131324000.0
2024.0,86729540000.0,87302600000.0,86409100000.0,87016650000.0
2025.0,86559736000.0,87039070000.0,86137815000.0,86914810000.0
2026.0,87712055000.0,86839435000.0,85835110000.0,86810804000.0
2027.0,86573860000.0,86640780000.0,85484640000.0,86959410000.0
2028.0,86293260000.0,86408020000.0,85058830000.0,86382035000.0
2029.0,85984570000.0,88105670000.0,84793310000.0,86151380000.0
2030.0,85812350000.0,87607870000.0,84269160000.0,85922090000.0
2031.0,85493050000.0,86821495000.0,83678290000.0,85702900000.0
2032.0,85281800000.0,86498650000.0,83272660000.0,85538970000.0
2033.0,84983005000.0,86179410000.0,82619130000.0,85332025000.0
2034.0,84909640000.0,85975190000.0,82086404000.0,84899030000.0
2035.0,84725230000.0,85613855000.0,81406075000.0,84600410000.0
2036.0,84179960000.0,85329680000.0,80924750000.0,84342100000.0
2037.0,84607795000.0,85290170000.0,80357230000.0,84292400000.0
2038.0,83506460000.0,85016880000.0,79670305000.0,83849580000.0
2039.0,83095680000.0,84839540000.0,78952860000.0,84079150000.0
2040.0,82551230000.0,84392570000.0,78292390000.0,83410530000.0
2041.0,82164680000.0,84591400000.0,77567205000.0,83198890000.0
2042.0,82691090000.0,83918700000.0,76845640000.0,82865120000.0
2043.0,81392480000.0,83519185000.0,76153680000.0,82491690000.0
2044.0,81009380000.0,83036330000.0,75495670000.0,82217720000.0
2045.0,80997460000.0,82737930000.0,74460004000.0,82086625000.0
2046.0,80764330000.0,82429140000.0,73411625000.0,81704050000.0
2047.0,80277770000.0,82319560000.0,72753330000.0,81505210000.0
2048.0,79629040000.0,81993170000.0,72009610000.0,80991240000.0
2049.0,79974590000.0,81525770000.0,71166796000.0,80611525000.0
2050.0,79155405000.0,81068700000.0,70857196000.0,81241910000.0
2051.0,79160115000.0,80557800000.0,70022880000.0,80603660000.0
2052.0,78418440000.0,80565860000.0,69313700000.0,80234020000.0
2053.0,77723930000.0,80305414000.0,68888030000.0,79816970000.0
2054.0,77311910000.0,79600080000.0,67922526000.0,79335090000.0
2055.0,76924420000.0,79193520000.0,67059114000.0,78834426000.0
2056.0,76520000000.0,78793630000.0,66235855000.0,78901500000.0
2057.0,76090880000.0,78407750000.0,65396404000.0,78571710000.0
2058.0,75596775000.0,77881310000.0,64696160000.0,78153670000.0
2059.0,76252905000.0,77636560000.0,63976080000.0,77745500000.0
2060.0,75041170000.0,77568156000.0,63259492000.0,77376770000.0
2061.0,78608280000.0,77025180000.0,62826275000.0,77526410000.0
2062.0,77609290000.0,76549370000.0,61809420000.0,76715190000.0
2063.0,74349460000.0,76448506000.0,61045776000.0,76237460000.0
2064.0,76548910000.0,76073410000.0,60331192000.0,75972270000.0
2065.0,74442660000.0,75941100000.0,59674845000.0,75727946000.0
2066.0,75875170000.0,76041980000.0,58852920000.0,75269110000.0
2067.0,74971005000.0,74925770000.0,58139845000.0,75278330000.0
2068.0,74204840000.0,74521740000.0,57343304000.0,74984190000.0
2069.0,75701720000.0,73848690000.0,56330370000.0,74434896000.0
2070.0,73069715000.0,73472820000.0,55663256000.0,74558600000.0
2071.0,75550925000.0,73240690000.0,54966444000.0,74182800000.0
2072.0,72681010000.0,75293100000.0,54206267000.0,73781180000.0
2073.0,72087880000.0,73710250000.0,53992796000.0,73207955000.0
