time,GFDL-ESM4,IITM-ESM,UKESM1-0-LL,MPI-ESM1-2-HR,CESM2-WACCM,TAIESM1,IPSL-CM6A-LR,MRI-ESM2-0,KACE-1-0-G
2000.0,10069818000.0,10069818000.0,10069818000.0,10069818000.0,10069818000.0,10069818000.0,10069818000.0,10069818000.0,10069818000.0
2001.0,10066885000.0,10066885000.0,10066885000.0,10066885000.0,10066885000.0,10066885000.0,10066885000.0,10066885000.0,10066885000.0
2002.0,10064774000.0,10064774000.0,10064774000.0,10064774000.0,10064774000.0,10064774000.0,10064774000.0,10064774000.0,10064774000.0
2003.0,10064067000.0,10064067000.0,10064067000.0,10064067000.0,10064067000.0,10064067000.0,10064067000.0,10064067000.0,10064067000.0
2004.0,10060607000.0,10060607000.0,10060607000.0,10060607000.0,10060607000.0,10060607000.0,10060607000.0,10060607000.0,10060607000.0
2005.0,10057382000.0,10057382000.0,10057382000.0,10057382000.0,10057382000.0,10057382000.0,10057382000.0,10057382000.0,10057382000.0
2006.0,10053780000.0,10053780000.0,10053780000.0,10053780000.0,10053780000.0,10053780000.0,10053780000.0,10053780000.0,10053780000.0
2007.0,10051875000.0,10051875000.0,10051875000.0,10051875000.0,10051875000.0,10051875000.0,10051875000.0,10051875000.0,10051875000.0
2008.0,10049721000.0,10049721000.0,10049721000.0,10049721000.0,10049721000.0,10049721000.0,10049721000.0,10049721000.0,10049721000.0
2009.0,10045488000.0,10045488000.0,10045488000.0,10045488000.0,10045488000.0,10045488000.0,10045488000.0,10045488000.0,10045488000.0
2010.0,10044064000.0,10044064000.0,10044064000.0,10044064000.0,10044064000.0,10044064000.0,10044064000.0,10044064000.0,10044064000.0
2011.0,10038074000.0,10038074000.0,10038074000.0,10038074000.0,10038074000.0,10038074000.0,10038074000.0,10038074000.0,10038074000.0
2012.0,10038556000.0,10038556000.0,10038556000.0,10038556000.0,10038556000.0,10038556000.0,10038556000.0,10038556000.0,10038556000.0
2013.0,10036000000.0,10036000000.0,10036000000.0,10036000000.0,10036000000.0,10036000000.0,10036000000.0,10036000000.0,10036000000.0
2014.0,10034335000.0,10034335000.0,10034335000.0,10034335000.0,10034335000.0,10034335000.0,10034335000.0,10034335000.0,10034335000.0
2015.0,10030509000.0,10030509000.0,10030509000.0,10030509000.0,10030509000.0,10030509000.0,10030509000.0,10030509000.0,10030509000.0
2016.0,10029952000.0,10029952000.0,10029952000.0,10029952000.0,10029952000.0,10029952000.0,10029952000.0,10029952000.0,10029952000.0
2017.0,10023407000.0,10023407000.0,10023407000.0,10023407000.0,10023407000.0,10023407000.0,10023407000.0,10023407000.0,10023407000.0
2018.0,10018842000.0,10018842000.0,10018842000.0,10018842000.0,10018842000.0,10018842000.0,10018842000.0,10018842000.0,10018842000.0
2019.0,10017142000.0,10017142000.0,10017142000.0,10017142000.0,10017142000.0,10017142000.0,10017142000.0,10017142000.0,10017142000.0
2020.0,10011598000.0,10011598000.0,10011598000.0,10011598000.0,10011598000.0,10011598000.0,10011598000.0,10011598000.0,10011598000.0
2021.0,10006714000.0,10012933000.0,10005549000.0,10006866000.0,10008277000.0,10000298000.0,10007777000.0,10001610000.0,10318236000.0
2022.0,10000467000.0,10000402000.0,9995504000.0,10008322000.0,10004220000.0,9988652000.0,9999671000.0,9993679000.0,10290649000.0
2023.0,9996350000.0,9995916000.0,9990825000.0,9996298000.0,9998913000.0,9979059000.0,9996917000.0,9985819000.0,10240482000.0
2024.0,9990367000.0,9994248000.0,9983071000.0,9990658000.0,9997267000.0,9970890000.0,9988786000.0,9980409000.0,10319554000.0
2025.0,9982120000.0,9991080000.0,9971497000.0,9987040000.0,9991073000.0,9966923000.0,9979609000.0,9972207000.0,10392544000.0
2026.0,9976276000.0,9984599000.0,9958167000.0,9983368000.0,9984467000.0,9956968000.0,9973680000.0,9959924000.0,10392663000.0
2027.0,9970788000.0,9975465000.0,9953667000.0,9979625000.0,9980679000.0,9940994000.0,9966581000.0,9940520000.0,10307985000.0
2028.0,9956249000.0,9969096000.0,9937330000.0,9974726000.0,9973198000.0,9932961000.0,9953039000.0,9928240000.0,10394798000.0
2029.0,9943040000.0,9956219000.0,9915608000.0,9968360000.0,9958623000.0,9907174000.0,9936368000.0,9903197000.0,10321550000.0
2030.0,9922369000.0,9939579000.0,9892069000.0,9950671000.0,9944731000.0,9893316000.0,9912885000.0,9888515000.0,10314126000.0
2031.0,9913129000.0,9918422000.0,9882378000.0,9932834000.0,9943257000.0,9881464000.0,9903309000.0,9864474000.0,10328212000.0
2032.0,9893691000.0,9909406000.0,9846396000.0,9928272000.0,9921364000.0,9852339000.0,9883888000.0,9845158000.0,10264172000.0
2033.0,9871905000.0,9892716000.0,9823620000.0,9916804000.0,9909630000.0,9836056000.0,9860529000.0,9826184000.0,10238992000.0
2034.0,9855947000.0,9883738000.0,9799021000.0,9901815000.0,9896551000.0,9818142000.0,9845041000.0,9789182000.0,10220675000.0
2035.0,9842826000.0,9876319000.0,9774112000.0,9888625000.0,9889345000.0,9775706000.0,9827760000.0,9765924000.0,10183598000.0
2036.0,9826144000.0,9858192000.0,9729702000.0,9872553000.0,9878657000.0,9731305000.0,9807427000.0,9723608000.0,10153699000.0
2037.0,9810429000.0,9832257000.0,9701264000.0,9864703000.0,9852747000.0,9696515000.0,9779309000.0,9665820000.0,10133875000.0
2038.0,9789797000.0,9814646000.0,9642155000.0,9842278000.0,9835708000.0,9646129000.0,9746430000.0,9628940000.0,10118595000.0
2039.0,9752535000.0,9795059000.0,9599435000.0,9829576000.0,9818572000.0,9608784000.0,9717539000.0,9571709000.0,10127121000.0
2040.0,9728558000.0,9769870000.0,9545448000.0,9806833000.0,9804164000.0,9571883000.0,9690932000.0,9535070000.0,10049440000.0
2041.0,9697842000.0,9733576000.0,9510669000.0,9790649000.0,9780126000.0,9542061000.0,9652217000.0,9480574000.0,10036458000.0
2042.0,9681257000.0,9715639000.0,9443843000.0,9771011000.0,9765699000.0,9513199000.0,9634334000.0,9412828000.0,10107671000.0
2043.0,9661824000.0,9700224000.0,9394728000.0,9760958000.0,9735884000.0,9463657000.0,9602219000.0,9345993000.0,10085654000.0
2044.0,9652367000.0,9673645000.0,9343666000.0,9737983000.0,9710343000.0,9404988000.0,9571356000.0,9299750000.0,10080047000.0
2045.0,9632897000.0,9643291000.0,9243515000.0,9716204000.0,9689219000.0,9368380000.0,9533489000.0,9245422000.0,10146821000.0
2046.0,9600444000.0,9633760000.0,9172173000.0,9705791000.0,9669819000.0,9324013000.0,9482724000.0,9183274000.0,10147596000.0
2047.0,9583753000.0,9607784000.0,9046993000.0,9687418000.0,9646709000.0,9245925000.0,9434850000.0,9130555000.0,10034448000.0
2048.0,9559746000.0,9591874000.0,8924952000.0,9673368000.0,9620395000.0,9173111000.0,9388969000.0,9064802000.0,9985285000.0
2049.0,9536176000.0,9546875000.0,8806527000.0,9661464000.0,9595600000.0,9074990000.0,9336178000.0,8986752000.0,9935431000.0
2050.0,9509185000.0,9518501000.0,8709581000.0,9639319000.0,9576760000.0,8980001000.0,9299672000.0,8899286000.0,9992745000.0
2051.0,9474584000.0,9483508000.0,8633350000.0,9618234000.0,9559953000.0,8852841000.0,9228131000.0,8847815000.0,9823234000.0
2052.0,9448800000.0,9452483000.0,8452147700.0,9596772000.0,9523929000.0,8787951000.0,9169985000.0,8767292000.0,9781747000.0
2053.0,9410186000.0,9399942000.0,8357423600.0,9579179000.0,9486027000.0,8685417000.0,9099298000.0,8709965000.0,9730234000.0
2054.0,9380570000.0,9343983000.0,8278184400.0,9568932000.0,9460421000.0,8578616000.0,9054990000.0,8651992000.0,9695899000.0
2055.0,9338775000.0,9303630000.0,8113890300.0,9535778000.0,9414406000.0,8512466400.0,8938751000.0,8592295000.0,9661103000.0
2056.0,9324330000.0,9252720000.0,7994903000.0,9508675000.0,9391515000.0,8455293400.0,8875549000.0,8526467600.0,9641546000.0
2057.0,9277805000.0,9187021000.0,7899563000.0,9472213000.0,9339291000.0,8359922000.0,8813069000.0,8473112600.0,9614220000.0
2058.0,9247598000.0,9119622000.0,7789111300.0,9432628000.0,9291185000.0,8284050000.0,8745846000.0,8447469000.0,9691725000.0
2059.0,9221311000.0,9089721000.0,7698117600.0,9411509000.0,9237723000.0,8222424600.0,8687377000.0,8372924000.0,9620007000.0
2060.0,9164951000.0,9004447000.0,7586688000.0,9392649000.0,9195343000.0,8120111000.0,8621123000.0,8338281000.0,9686292000.0
2061.0,9098016000.0,8941860000.0,7445507600.0,9354448000.0,9125165000.0,8085162500.0,8546975000.0,8264461000.0,9638498000.0
2062.0,9067942000.0,8869315000.0,7355290600.0,9319239000.0,9035849000.0,7989764000.0,8497207000.0,8218171400.0,9555339000.0
2063.0,9049745000.0,8800407000.0,7282758000.0,9265821000.0,8982722000.0,7913283600.0,8439010300.0,8155278000.0,9494348000.0
2064.0,8978749000.0,8755687000.0,7141501400.0,9229624000.0,8927230000.0,7830862000.0,8394968600.0,8100842000.0,9465182000.0
2065.0,8901302000.0,8662423000.0,7041180700.0,9218286000.0,8882374000.0,7770128000.0,8346841600.0,8038389000.0,9423204000.0
2066.0,8866964000.0,8596908000.0,6944007000.0,9191014000.0,8814728000.0,7686419000.0,8325562400.0,7991055400.0,9468320000.0
2067.0,8816501000.0,8529417700.0,6853581000.0,9138894000.0,8772907000.0,7604353500.0,8263798000.0,7958123000.0,9386486000.0
2068.0,8748413000.0,8517306400.0,6739744000.0,9107562000.0,8734360000.0,7524967400.0,8194232000.0,7873659000.0,9527116000.0
2069.0,8724711000.0,8453910000.0,6578199000.0,9070426000.0,8682717000.0,7429284000.0,8139578400.0,7830263300.0,9446146000.0
2070.0,8701901000.0,8415387600.0,6444403000.0,9024005000.0,8631620000.0,7380551700.0,8080867300.0,7766874000.0,9421104000.0
2071.0,8665753000.0,8390933500.0,6324876300.0,8984505000.0,8584018000.0,7302388700.0,8048874500.0,7723961000.0,9333649000.0
2072.0,8621186000.0,8342441500.0,6215896600.0,8946122000.0,8542609400.0,7194507000.0,7969661000.0,7680872000.0,9401730000.0
2073.0,8587989500.0,8304086500.0,6079321000.0,8908958000.0,8484957000.0,7109691000.0,7937149000.0,7624008000.0,9309161000.0
2074.0,8561310700.0,8265594000.0,5963245000.0,8880532000.0,8442704000.0,7026201000.0,7846576000.0,7594347000.0,9283788000.0
2075.0,8524751400.0,8231627000.0,5777014300.0,8854257000.0,8418683000.0,6951792600.0,7776657000.0,7548856300.0,9362918000.0
2076.0,8490129000.0,8179339000.0,5671402500.0,8822769000.0,8376999000.0,6883368400.0,7684760600.0,7506800000.0,9283622000.0
2077.0,8463701500.0,8121422300.0,5497082400.0,8773750000.0,8406074400.0,6733735000.0,7628667400.0,7459005000.0,9239094000.0
2078.0,8418561000.0,8068760600.0,5414707700.0,8728389000.0,8311383600.0,6671059000.0,7555632600.0,7406196700.0,9219021000.0
2079.0,8405893000.0,8034045000.0,5294893600.0,8696696000.0,8292877000.0,6571620400.0,7501845500.0,7359219700.0,9191179000.0
2080.0,8368045600.0,7960867000.0,5198321700.0,8668884000.0,8264289000.0,6511587300.0,7449083000.0,7325728300.0,9182413000.0
2081.0,8334805000.0,7894597000.0,5105865000.0,8651426000.0,8246647000.0,6406032400.0,7408423000.0,7287618600.0,9196772000.0
2082.0,8300294700.0,7854414000.0,5039115300.0,8620644000.0,8217407500.0,6331465000.0,7325742600.0,7233768000.0,9147197000.0
2083.0,8268659000.0,7798421500.0,4923204600.0,8583841300.0,8180384300.0,6269737000.0,7244975000.0,7208765000.0,9265481000.0
2084.0,8212369400.0,7762265000.0,4856796000.0,8545362000.0,8117430300.0,6185141000.0,7198065000.0,7159634000.0,9155745000.0
2085.0,8191423000.0,7689444400.0,4756139500.0,8518459400.0,8115647500.0,6102062600.0,7119234600.0,7099567000.0,9193973000.0
2086.0,8163300000.0,7654936000.0,4677914000.0,8499361000.0,8080929300.0,5989149000.0,7035986000.0,7099145700.0,9103579000.0
2087.0,8119016400.0,7629976000.0,4545770500.0,8472006700.0,8026833000.0,5897409000.0,6986522000.0,7052947500.0,9071522000.0
2088.0,8096661000.0,7561771500.0,4418615300.0,8427462000.0,8013960000.0,5802920400.0,6896523000.0,7061767700.0,9056256000.0
2089.0,8056239000.0,7523945500.0,4310341000.0,8410482000.0,7992712700.0,5702045000.0,6846864000.0,7006208500.0,9045866000.0
2090.0,7995267600.0,7508961000.0,4213175000.0,8371337700.0,7940619300.0,5617221600.0,6785055000.0,6973576700.0,9032544000.0
2091.0,7965404700.0,7466626600.0,4116123100.0,8331456500.0,7908659000.0,5527159300.0,6717973000.0,6944899000.0,9029490000.0
2092.0,7934428700.0,7382278000.0,4020866600.0,8277314000.0,7866336000.0,5433791500.0,6635686400.0,6918106000.0,9043115000.0
