time,UKESM1-0-LL,MRI-ESM2-0,IPSL-CM6A-LR,CNRM-ESM2-1,CANESM5
2000.0,10069818000.0,10069818000.0,10069818000.0,10069818000.0,10069818000.0
2001.0,10066885000.0,10066885000.0,10066885000.0,10066885000.0,10066885000.0
2002.0,10064774000.0,10064774000.0,10064774000.0,10064774000.0,10064774000.0
2003.0,10064067000.0,10064067000.0,10064067000.0,10064067000.0,10064067000.0
2004.0,10060607000.0,10060607000.0,10060607000.0,10060607000.0,10060607000.0
2005.0,10057382000.0,10057382000.0,10057382000.0,10057382000.0,10057382000.0
2006.0,10053780000.0,10053780000.0,10053780000.0,10053780000.0,10053780000.0
2007.0,10051875000.0,10051875000.0,10051875000.0,10051875000.0,10051875000.0
2008.0,10049721000.0,10049721000.0,10049721000.0,10049721000.0,10049721000.0
2009.0,10045488000.0,10045488000.0,10045488000.0,10045488000.0,10045488000.0
2010.0,10044064000.0,10044064000.0,10044064000.0,10044064000.0,10044064000.0
2011.0,10038074000.0,10038074000.0,10038074000.0,10038074000.0,10038074000.0
2012.0,10038556000.0,10038556000.0,10038556000.0,10038556000.0,10038556000.0
2013.0,10036000000.0,10036000000.0,10036000000.0,10036000000.0,10036000000.0
2014.0,10034335000.0,10034335000.0,10034335000.0,10034335000.0,10034335000.0
2015.0,10030509000.0,10030509000.0,10030509000.0,10030509000.0,10030509000.0
2016.0,10029952000.0,10029952000.0,10029952000.0,10029952000.0,10029952000.0
2017.0,10023407000.0,10023407000.0,10023407000.0,10023407000.0,10023407000.0
2018.0,10018842000.0,10018842000.0,10018842000.0,10018842000.0,10018842000.0
2019.0,10017142000.0,10017142000.0,10017142000.0,10017142000.0,10017142000.0
2020.0,10011598000.0,10011598000.0,10011598000.0,10011598000.0,10011598000.0
2021.0,10006119000.0,10006524000.0,10007070000.0,10007346000.0,9998304000.0
2022.0,9998579000.0,9998342000.0,10000830000.0,10003006000.0,9983184000.0
2023.0,9994796000.0,9990385000.0,9994337000.0,9995829000.0,9965975000.0
2024.0,9983448000.0,9979303000.0,9990740000.0,9991047000.0,9948819000.0
2025.0,9976524000.0,9969980000.0,9986686000.0,9984804000.0,9927321000.0
2026.0,9969265000.0,9959521000.0,9981414000.0,9980845000.0,9899405000.0
2027.0,9956532000.0,9942466000.0,9976910000.0,9977086000.0,9856413000.0
2028.0,9935364000.0,9931282000.0,9968718000.0,9970803000.0,9808404000.0
2029.0,9920782000.0,9904176000.0,9959450000.0,9958270000.0,9763906000.0
2030.0,9893119000.0,9879884000.0,9946438000.0,9952155000.0,9725178000.0
2031.0,9879216000.0,9851510000.0,9927455000.0,9939251000.0,9667955000.0
