time,MRI-ESM2-0,IPSL-CM6A-LR
2000.0,2504233500.0,2504233500.0
2001.0,2479431000.0,2479431000.0
2002.0,2541280500.0,2541280500.0
2003.0,2512269800.0,2512269800.0
2004.0,2454784500.0,2454784500.0
2005.0,2492032500.0,2492032500.0
2006.0,2441659600.0,2441659600.0
2007.0,2432421000.0,2432421000.0
2008.0,2410318800.0,2410318800.0
2009.0,2399686400.0,2399686400.0
2010.0,2440679700.0,2440679700.0
2011.0,2421937700.0,2421937700.0
2012.0,2364135700.0,2364135700.0
2013.0,2383841800.0,2383841800.0
2014.0,2376230700.0,2376230700.0
2015.0,2347583200.0,2347583200.0
2016.0,2321596000.0,2321596000.0
2017.0,2279298300.0,2279298300.0
2018.0,2311956000.0,2311956000.0
2019.0,2272512500.0,2272512500.0
2020.0,2291943400.0,2291943400.0
2021.0,2268804000.0,2310148600.0
2022.0,2188626200.0,2264329200.0
2023.0,2177610800.0,2395622000.0
2024.0,2284499200.0,2261627600.0
2025.0,2169009200.0,2190957000.0
2026.0,2107511900.0,2167523800.0
2027.0,2086652200.0,2191782400.0
2028.0,2042901000.0,2046588700.0
2029.0,1986486800.0,2007521200.0
2030.0,1977831000.0,1964361700.0
2031.0,1902675800.0,2018595800.0
2032.0,1840620400.0,1885496200.0
2033.0,1913596500.0,1872644900.0
2034.0,1806379500.0,1845532900.0
2035.0,1740169100.0,1793235600.0
2036.0,1666403600.0,1775639200.0
2037.0,1625559400.0,1773337300.0
2038.0,1600965600.0,1729483800.0
2039.0,1523007100.0,1675507700.0
2040.0,1467130100.0,1605302500.0
2041.0,1441815900.0,1517503400.0
2042.0,1380327200.0,1521494700.0
2043.0,1320949400.0,1447967500.0
2044.0,1314088200.0,1386704500.0
2045.0,1264757000.0,1337532700.0
2046.0,1187921500.0,1285588600.0
2047.0,1159926500.0,1239076700.0
2048.0,1129569200.0,1172881000.0
2049.0,1038550900.0,1164561900.0
2050.0,988956740.0,1082889100.0
2051.0,975220700.0,1024779200.0
2052.0,935357060.0,959206460.0
2053.0,897283650.0,911824830.0
2054.0,936877100.0,865438400.0
2055.0,855744900.0,828265800.0
2056.0,811399600.0,783252350.0
2057.0,777377860.0,733621700.0
2058.0,934660500.0,689647550.0
2059.0,727658750.0,653785000.0
2060.0,693731700.0,622779200.0
2061.0,660094140.0,585217900.0
2062.0,625278850.0,557468100.0
2063.0,607985600.0,518838700.0
2064.0,594679800.0,491756260.0
2065.0,566770800.0,472744030.0
2066.0,544836100.0,448860220.0
2067.0,528179740.0,433992220.0
2068.0,556531800.0,398019700.0
2069.0,488393150.0,363053280.0
2070.0,466208160.0,336611620.0
2071.0,521367500.0,351728420.0
2072.0,497362430.0,338008580.0
2073.0,426346050.0,279410850.0
2074.0,414396220.0,264470850.0
2075.0,407938560.0,248956060.0
2076.0,390312500.0,232213710.0
2077.0,382178340.0,219542690.0
2078.0,386233020.0,217967860.0
2079.0,363640960.0,204125310.0
2080.0,351996220.0,193991470.0
2081.0,341424030.0,183373400.0
2082.0,338556160.0,175763740.0
2083.0,337022000.0,167546830.0
2084.0,319362340.0,167111950.0
2085.0,318359140.0,157091900.0
2086.0,301020900.0,149677420.0
2087.0,301027620.0,146005420.0
2088.0,287051800.0,142226420.0
2089.0,276925760.0,141636660.0
2090.0,269130850.0,131321360.0
2091.0,257828860.0,128908690.0
2092.0,256482220.0,126972660.0
2093.0,249177010.0,122244340.0
2094.0,244651170.0,117824120.0
2095.0,245222300.0,123450420.0
2096.0,240167710.0,113030380.0
2097.0,233765700.0,110283860.0
2098.0,234131340.0,107802750.0
2099.0,224364020.0,106051110.0
2100.0,223792510.0,104910424.0
