time,CANESM5,UKESM1-0-LL,CNRM-ESM2-1,TAIESM1,MPI-ESM1-2-HR,MRI-ESM2-0,KACE-1-0-G,MIROC6,IITM-ESM,CNRM-CM6-1,IPSL-CM6A-LR,EC-EARTH3,GFDL-ESM4,CESM2-WACCM
2000.0,2504233500.0,2504233500.0,2504233500.0,2504233500.0,2504233500.0,2504233500.0,2504233500.0,2504233500.0,2504233500.0,2504233500.0,2504233500.0,2504233500.0,2504233500.0,2504233500.0
2001.0,2479431000.0,2479431000.0,2479431000.0,2479431000.0,2479431000.0,2479431000.0,2479431000.0,2479431000.0,2479431000.0,2479431000.0,2479431000.0,2479431000.0,2479431000.0,2479431000.0
2002.0,2541280500.0,2541280500.0,2541280500.0,2541280500.0,2541280500.0,2541280500.0,2541280500.0,2541280500.0,2541280500.0,2541280500.0,2541280500.0,2541280500.0,2541280500.0,2541280500.0
2003.0,2512269800.0,2512269800.0,2512269800.0,2512269800.0,2512269800.0,2512269800.0,2512269800.0,2512269800.0,2512269800.0,2512269800.0,2512269800.0,2512269800.0,2512269800.0,2512269800.0
2004.0,2454784500.0,2454784500.0,2454784500.0,2454784500.0,2454784500.0,2454784500.0,2454784500.0,2454784500.0,2454784500.0,2454784500.0,2454784500.0,2454784500.0,2454784500.0,2454784500.0
2005.0,2492032500.0,2492032500.0,2492032500.0,2492032500.0,2492032500.0,2492032500.0,2492032500.0,2492032500.0,2492032500.0,2492032500.0,2492032500.0,2492032500.0,2492032500.0,2492032500.0
2006.0,2441659600.0,2441659600.0,2441659600.0,2441659600.0,2441659600.0,2441659600.0,2441659600.0,2441659600.0,2441659600.0,2441659600.0,2441659600.0,2441659600.0,2441659600.0,2441659600.0
2007.0,2432421000.0,2432421000.0,2432421000.0,2432421000.0,2432421000.0,2432421000.0,2432421000.0,2432421000.0,2432421000.0,2432421000.0,2432421000.0,2432421000.0,2432421000.0,2432421000.0
2008.0,2410318800.0,2410318800.0,2410318800.0,2410318800.0,2410318800.0,2410318800.0,2410318800.0,2410318800.0,2410318800.0,2410318800.0,2410318800.0,2410318800.0,2410318800.0,2410318800.0
2009.0,2399686400.0,2399686400.0,2399686400.0,2399686400.0,2399686400.0,2399686400.0,2399686400.0,2399686400.0,2399686400.0,2399686400.0,2399686400.0,2399686400.0,2399686400.0,2399686400.0
2010.0,2440679700.0,2440679700.0,2440679700.0,2440679700.0,2440679700.0,2440679700.0,2440679700.0,2440679700.0,2440679700.0,2440679700.0,2440679700.0,2440679700.0,2440679700.0,2440679700.0
2011.0,2421937700.0,2421937700.0,2421937700.0,2421937700.0,2421937700.0,2421937700.0,2421937700.0,2421937700.0,2421937700.0,2421937700.0,2421937700.0,2421937700.0,2421937700.0,2421937700.0
2012.0,2364135700.0,2364135700.0,2364135700.0,2364135700.0,2364135700.0,2364135700.0,2364135700.0,2364135700.0,2364135700.0,2364135700.0,2364135700.0,2364135700.0,2364135700.0,2364135700.0
2013.0,2383841800.0,2383841800.0,2383841800.0,2383841800.0,2383841800.0,2383841800.0,2383841800.0,2383841800.0,2383841800.0,2383841800.0,2383841800.0,2383841800.0,2383841800.0,2383841800.0
2014.0,2376230700.0,2376230700.0,2376230700.0,2376230700.0,2376230700.0,2376230700.0,2376230700.0,2376230700.0,2376230700.0,2376230700.0,2376230700.0,2376230700.0,2376230700.0,2376230700.0
2015.0,2347583200.0,2347583200.0,2347583200.0,2347583200.0,2347583200.0,2347583200.0,2347583200.0,2347583200.0,2347583200.0,2347583200.0,2347583200.0,2347583200.0,2347583200.0,2347583200.0
2016.0,2321596000.0,2321596000.0,2321596000.0,2321596000.0,2321596000.0,2321596000.0,2321596000.0,2321596000.0,2321596000.0,2321596000.0,2321596000.0,2321596000.0,2321596000.0,2321596000.0
2017.0,2279298300.0,2279298300.0,2279298300.0,2279298300.0,2279298300.0,2279298300.0,2279298300.0,2279298300.0,2279298300.0,2279298300.0,2279298300.0,2279298300.0,2279298300.0,2279298300.0
2018.0,2311956000.0,2311956000.0,2311956000.0,2311956000.0,2311956000.0,2311956000.0,2311956000.0,2311956000.0,2311956000.0,2311956000.0,2311956000.0,2311956000.0,2311956000.0,2311956000.0
2019.0,2272512500.0,2272512500.0,2272512500.0,2272512500.0,2272512500.0,2272512500.0,2272512500.0,2272512500.0,2272512500.0,2272512500.0,2272512500.0,2272512500.0,2272512500.0,2272512500.0
2020.0,2291943400.0,2291943400.0,2291943400.0,2291943400.0,2291943400.0,2291943400.0,2291943400.0,2291943400.0,2291943400.0,2291943400.0,2291943400.0,2291943400.0,2291943400.0,2291943400.0
2021.0,2276062000.0,2246184700.0,2249797600.0,2222904800.0,2347040300.0,2224074800.0,2233725700.0,2245070600.0,2261149700.0,2299588000.0,2285997600.0,2255325700.0,2303363000.0,2275675000.0
2022.0,2244370700.0,2200969000.0,2232282400.0,2185258000.0,2282704400.0,2239213600.0,2210800400.0,2184150300.0,2255165000.0,2250979000.0,2250884400.0,2258727700.0,2296965000.0,2358997800.0
2023.0,2196683300.0,2153258500.0,2291095800.0,2192162300.0,2249886000.0,2197832200.0,2172625400.0,2395077000.0,2262231000.0,2240601600.0,2229667600.0,2184040700.0,2263487500.0,2249452300.0
2024.0,2213035000.0,2113817200.0,2234606300.0,2136430000.0,2222612000.0,2137652900.0,2115121500.0,2280273700.0,2621538800.0,2233254700.0,2173310000.0,2115839600.0,2210120700.0,2255644000.0
2025.0,2172787200.0,2098971600.0,2171759900.0,2118813300.0,2165026000.0,2094178000.0,2088865000.0,2145984300.0,2456765700.0,2179513600.0,2153256000.0,2077038800.0,2224373800.0,2171988200.0
2026.0,2113327600.0,2040271200.0,2133658900.0,2069648600.0,2182230300.0,2039933600.0,1987494000.0,2096317000.0,2349008100.0,2259305000.0,2131452800.0,1992726100.0,2190403600.0,2142291600.0
2027.0,2048013800.0,1983471600.0,2109892500.0,2031028000.0,2235764500.0,1981787100.0,1920318800.0,2056831400.0,2334583000.0,2120205700.0,2117794600.0,1942435000.0,2202929200.0,2132475400.0
2028.0,2007919600.0,1938615200.0,2194358000.0,1985760100.0,2134007000.0,1937598600.0,1852400800.0,2046176100.0,2326150000.0,2075559300.0,2025156400.0,1894989700.0,2198485800.0,2039570800.0
2029.0,1954454300.0,1860230500.0,2079723800.0,1968817700.0,2075040000.0,1879869600.0,1790017800.0,2008357900.0,2373246700.0,2111867600.0,2016637800.0,1806421600.0,2104517400.0,2046462300.0
2030.0,1895761200.0,1858673700.0,2095137800.0,1891610900.0,2205973200.0,1850920800.0,1730188800.0,1954105900.0,2254550300.0,2046009700.0,1942645600.0,1724595300.0,2128767000.0,2002565100.0
2031.0,1841686800.0,1748119700.0,2060531800.0,1841011100.0,2021131000.0,1783580300.0,1621994800.0,1905377700.0,2249014300.0,2044563500.0,1928827900.0,1653816400.0,2135340900.0,1983612300.0
2032.0,1781666700.0,1640947300.0,2025169700.0,1794423600.0,2002678500.0,1702845600.0,1541252100.0,1870043800.0,2258888200.0,1970458800.0,1965167400.0,1608608600.0,2031539700.0,1908674300.0
2033.0,1713864200.0,1567586600.0,1954914200.0,1733686100.0,1960102100.0,1638400800.0,1454320600.0,1855164900.0,2181006800.0,1940048100.0,1897389300.0,1567219800.0,2092652900.0,1884164600.0
2034.0,1653983500.0,1492707700.0,1905617700.0,1692578000.0,1916966100.0,1578248100.0,1390506400.0,1766533400.0,2195726000.0,1882967800.0,1783162500.0,1484286200.0,1970416000.0,1897215100.0
