time,CNRM-ESM2-1,UKESM1-0-LL,IPSL-CM6A-LR,CANESM5,KACE-1-0-G,MRI-ESM2-0,MIROC6,TAIESM1,MPI-ESM1-2-HR,CNRM-CM6-1,GFDL-ESM4,EC-EARTH3,CESM2-WACCM,IITM-ESM
2000.0,2126520700.0,2126520700.0,2126520700.0,2126520700.0,2126520700.0,2126520700.0,2126520700.0,2126520700.0,2126520700.0,2126520700.0,2126520700.0,2126520700.0,2126520700.0,2126520700.0
2001.0,2141004800.0,2141004800.0,2141004800.0,2141004800.0,2141004800.0,2141004800.0,2141004800.0,2141004800.0,2141004800.0,2141004800.0,2141004800.0,2141004800.0,2141004800.0,2141004800.0
2002.0,2131452500.0,2131452500.0,2131452500.0,2131452500.0,2131452500.0,2131452500.0,2131452500.0,2131452500.0,2131452500.0,2131452500.0,2131452500.0,2131452500.0,2131452500.0,2131452500.0
2003.0,2194573300.0,2194573300.0,2194573300.0,2194573300.0,2194573300.0,2194573300.0,2194573300.0,2194573300.0,2194573300.0,2194573300.0,2194573300.0,2194573300.0,2194573300.0,2194573300.0
2004.0,2105318500.0,2105318500.0,2105318500.0,2105318500.0,2105318500.0,2105318500.0,2105318500.0,2105318500.0,2105318500.0,2105318500.0,2105318500.0,2105318500.0,2105318500.0,2105318500.0
2005.0,2099516400.0,2099516400.0,2099516400.0,2099516400.0,2099516400.0,2099516400.0,2099516400.0,2099516400.0,2099516400.0,2099516400.0,2099516400.0,2099516400.0,2099516400.0,2099516400.0
2006.0,2086269300.0,2086269300.0,2086269300.0,2086269300.0,2086269300.0,2086269300.0,2086269300.0,2086269300.0,2086269300.0,2086269300.0,2086269300.0,2086269300.0,2086269300.0,2086269300.0
2007.0,2072913500.0,2072913500.0,2072913500.0,2072913500.0,2072913500.0,2072913500.0,2072913500.0,2072913500.0,2072913500.0,2072913500.0,2072913500.0,2072913500.0,2072913500.0,2072913500.0
2008.0,2075369900.0,2075369900.0,2075369900.0,2075369900.0,2075369900.0,2075369900.0,2075369900.0,2075369900.0,2075369900.0,2075369900.0,2075369900.0,2075369900.0,2075369900.0,2075369900.0
2009.0,2105645200.0,2105645200.0,2105645200.0,2105645200.0,2105645200.0,2105645200.0,2105645200.0,2105645200.0,2105645200.0,2105645200.0,2105645200.0,2105645200.0,2105645200.0,2105645200.0
2010.0,2066847500.0,2066847500.0,2066847500.0,2066847500.0,2066847500.0,2066847500.0,2066847500.0,2066847500.0,2066847500.0,2066847500.0,2066847500.0,2066847500.0,2066847500.0,2066847500.0
2011.0,2082860900.0,2082860900.0,2082860900.0,2082860900.0,2082860900.0,2082860900.0,2082860900.0,2082860900.0,2082860900.0,2082860900.0,2082860900.0,2082860900.0,2082860900.0,2082860900.0
2012.0,2045792500.0,2045792500.0,2045792500.0,2045792500.0,2045792500.0,2045792500.0,2045792500.0,2045792500.0,2045792500.0,2045792500.0,2045792500.0,2045792500.0,2045792500.0,2045792500.0
2013.0,2036584000.0,2036584000.0,2036584000.0,2036584000.0,2036584000.0,2036584000.0,2036584000.0,2036584000.0,2036584000.0,2036584000.0,2036584000.0,2036584000.0,2036584000.0,2036584000.0
2014.0,2039751800.0,2039751800.0,2039751800.0,2039751800.0,2039751800.0,2039751800.0,2039751800.0,2039751800.0,2039751800.0,2039751800.0,2039751800.0,2039751800.0,2039751800.0,2039751800.0
2015.0,2055320400.0,2055320400.0,2055320400.0,2055320400.0,2055320400.0,2055320400.0,2055320400.0,2055320400.0,2055320400.0,2055320400.0,2055320400.0,2055320400.0,2055320400.0,2055320400.0
2016.0,2006293200.0,2006293200.0,2006293200.0,2006293200.0,2006293200.0,2006293200.0,2006293200.0,2006293200.0,2006293200.0,2006293200.0,2006293200.0,2006293200.0,2006293200.0,2006293200.0
2017.0,1995090200.0,1995090200.0,1995090200.0,1995090200.0,1995090200.0,1995090200.0,1995090200.0,1995090200.0,1995090200.0,1995090200.0,1995090200.0,1995090200.0,1995090200.0,1995090200.0
2018.0,1974807400.0,1974807400.0,1974807400.0,1974807400.0,1974807400.0,1974807400.0,1974807400.0,1974807400.0,1974807400.0,1974807400.0,1974807400.0,1974807400.0,1974807400.0,1974807400.0
2019.0,1947963600.0,1947963600.0,1947963600.0,1947963600.0,1947963600.0,1947963600.0,1947963600.0,1947963600.0,1947963600.0,1947963600.0,1947963600.0,1947963600.0,1947963600.0,1947963600.0
2020.0,1932318300.0,1932318300.0,1932318300.0,1932318300.0,1932318300.0,1932318300.0,1932318300.0,1932318300.0,1932318300.0,1932318300.0,1932318300.0,1932318300.0,1932318300.0,1932318300.0
2021.0,1898497500.0,1898319900.0,1950507600.0,1895875800.0,1895158400.0,1903050500.0,1901709300.0,1931364600.0,2114535800.0,1903180900.0,1917642000.0,1902582700.0,1905634000.0,1927556500.0
2022.0,1858382500.0,1905952300.0,1870697500.0,1845277300.0,1836837900.0,1862692400.0,1867787600.0,1920620900.0,2011563800.0,1880518100.0,1994601300.0,1874415500.0,1897160700.0,1963324900.0
2023.0,1826394800.0,1863703200.0,1866339000.0,1840642800.0,1791048000.0,1839128700.0,1852899600.0,1866949500.0,1922290600.0,1874624100.0,1897895600.0,1833818000.0,1893286900.0,2003108500.0
2024.0,1795954700.0,1828836900.0,1803087100.0,1991027200.0,1713627300.0,1797417700.0,1850952600.0,1821009300.0,1886113300.0,1840072000.0,1852965000.0,1785331700.0,1832738800.0,1931338100.0
2025.0,1799210400.0,1774768100.0,1782306300.0,1796247400.0,1669343500.0,1754590000.0,1782532500.0,1784625800.0,1829688000.0,1788337800.0,1841448400.0,1750474600.0,1896362000.0,1873383700.0
2026.0,1728949400.0,1732968800.0,1754712800.0,1740768600.0,1571673200.0,1703458000.0,1745472600.0,1764622300.0,1908878500.0,1779653900.0,1812680800.0,1688624900.0,1801333900.0,1841667200.0
2027.0,1717837000.0,1652999000.0,1717739000.0,1704064100.0,1508885800.0,1657969900.0,1668434400.0,1700924400.0,1788757800.0,1775959400.0,1756633300.0,1632526500.0,1740910100.0,1815136100.0
2028.0,1682985600.0,1631936900.0,1685205200.0,1649549800.0,1458549200.0,1602240300.0,1616596100.0,1653265700.0,1792547200.0,1719784600.0,1733923700.0,1568239200.0,1661536900.0,1789867600.0
2029.0,1819743100.0,1567971100.0,1663948500.0,1621156100.0,1403179000.0,1551651000.0,1592704000.0,1613105700.0,1735996700.0,1674248200.0,1684587100.0,1474891400.0,1616306400.0,1809810300.0
2030.0,1633690600.0,1491474800.0,1605550600.0,1573539500.0,1341464600.0,1519430000.0,1594366100.0,1547634700.0,1720162800.0,1639956700.0,1662554600.0,1395519200.0,1586475400.0,1787985200.0
2031.0,1632216600.0,1418396800.0,1541359900.0,1558858000.0,1295399300.0,1409255700.0,1517668400.0,1517598600.0,1676226400.0,1573184900.0,1767775000.0,1328679200.0,1517606400.0,1728942700.0
2032.0,1564448600.0,1360607900.0,1656139300.0,1555711700.0,1229665500.0,1354915800.0,1467475100.0,1528333400.0,1667638400.0,1527736600.0,1625199100.0,1284147200.0,1445552300.0,1747771500.0
2033.0,1558741400.0,1293226400.0,1482354600.0,1465996700.0,1162847700.0,1281523300.0,1429221400.0,1441494700.0,1630804500.0,1454494000.0,1642887700.0,1202869400.0,1419873300.0,1685747500.0
2034.0,1672969900.0,1244824600.0,1409339100.0,1405793300.0,1103045100.0,1243857900.0,1354628000.0,1393600600.0,1588554100.0,1421253900.0,1611553400.0,1164888400.0,1372359000.0,1722265900.0
2035.0,1464113800.0,1190674000.0,1367811100.0,1332128000.0,1050671800.0,1194321400.0,1356252000.0,1336078800.0,1618952000.0,1425687700.0,1551210800.0,1145048700.0,1360633600.0,1656950700.0
2036.0,1460727300.0,1103440500.0,1301587700.0,1295406200.0,986790500.0,1134810900.0,1271229300.0,1296787000.0,1537057200.0,1364352600.0,1540519000.0,1060976960.0,1307110300.0,1864726700.0
2037.0,1397155100.0,1049765100.0,1244824300.0,1258102000.0,957214400.0,1047721800.0,1228280800.0,1254426400.0,1639825000.0,1355861100.0,1497816200.0,1035518300.0,1264230400.0,1657716500.0
2038.0,1371337700.0,989013800.0,1215164900.0,1195253100.0,891425150.0,990324200.0,1194254700.0,1204869900.0,1493733200.0,1313691000.0,1466432600.0,970237600.0,1211172600.0,1689141900.0
