time,IPSL-CM6A-LR,MRI-ESM2-0
2000.0,1141216300.0,1141216300.0
2001.0,1137683800.0,1137683800.0
2002.0,1146079100.0,1146079100.0
2003.0,1144961400.0,1144961400.0
2004.0,1152996400.0,1152996400.0
2005.0,1168947600.0,1168947600.0
2006.0,1170152100.0,1170152100.0
2007.0,1159079000.0,1159079000.0
2008.0,1154137300.0,1154137300.0
2009.0,1152215600.0,1152215600.0
2010.0,1169344000.0,1169344000.0
2011.0,1148443100.0,1148443100.0
2012.0,1147433700.0,1147433700.0
2013.0,1140791900.0,1140791900.0
2014.0,1138924000.0,1138924000.0
2015.0,1131808000.0,1131808000.0
2016.0,1124786000.0,1124786000.0
2017.0,1121599200.0,1121599200.0
2018.0,1114045300.0,1114045300.0
2019.0,1104197500.0,1104197500.0
2020.0,1093194400.0,1093194400.0
2021.0,1079372200.0,1072177600.0
2022.0,1063298560.0,1059607940.0
2023.0,1047398850.0,1040964160.0
2024.0,1025126850.0,1021353200.0
2025.0,1008614660.0,1005374200.0
2026.0,980082000.0,981475500.0
2027.0,944326100.0,953931650.0
2028.0,921005900.0,950969900.0
2029.0,905967400.0,901157760.0
2030.0,921669760.0,876601500.0
2031.0,905909500.0,847561150.0
2032.0,874414460.0,819828600.0
2033.0,840413400.0,809668500.0
2034.0,821790500.0,798073000.0
2035.0,789571800.0,763108600.0
2036.0,768670340.0,724932800.0
2037.0,757752300.0,700265800.0
2038.0,744560450.0,685135200.0
2039.0,719992400.0,667325500.0
2040.0,690580000.0,788974900.0
2041.0,665214700.0,643040100.0
2042.0,654208300.0,645115650.0
2043.0,693774850.0,616631300.0
2044.0,632466940.0,593624900.0
2045.0,608831700.0,579106050.0
2046.0,590472640.0,570692540.0
2047.0,579855400.0,554710850.0
2048.0,572694340.0,543016300.0
2049.0,552246000.0,529320220.0
2050.0,538950200.0,519078980.0
2051.0,524367580.0,508661820.0
2052.0,502169280.0,503999970.0
2053.0,483471200.0,490600770.0
2054.0,471556830.0,476335840.0
2055.0,456130750.0,469271600.0
2056.0,440192260.0,458362340.0
2057.0,429930000.0,453998850.0
2058.0,416938780.0,439777250.0
2059.0,403953800.0,425621000.0
2060.0,393602180.0,419072400.0
2061.0,385642180.0,408833920.0
2062.0,373324130.0,401134340.0
2063.0,364063040.0,395104900.0
2064.0,349884160.0,386936600.0
2065.0,333247100.0,382078080.0
2066.0,324086880.0,375310750.0
2067.0,315093900.0,369336200.0
2068.0,301950050.0,363169380.0
2069.0,293766940.0,355197220.0
2070.0,279897470.0,348612450.0
2071.0,270926800.0,371895100.0
2072.0,266434830.0,351568770.0
2073.0,258268200.0,338891780.0
2074.0,252992750.0,333887400.0
2075.0,245358220.0,327103000.0
2076.0,239217890.0,315170900.0
2077.0,232526530.0,307546000.0
2078.0,227228200.0,302377660.0
2079.0,218054880.0,305127780.0
2080.0,208928130.0,294543260.0
2081.0,204328700.0,287736200.0
2082.0,206240180.0,281783520.0
2083.0,196763440.0,276787620.0
2084.0,191081570.0,273196060.0
2085.0,186691070.0,269586700.0
2086.0,180489980.0,264600600.0
2087.0,177775120.0,258849490.0
2088.0,173508700.0,250368720.0
2089.0,164099220.0,246740260.0
2090.0,158196980.0,241725100.0
2091.0,153943660.0,241810510.0
2092.0,149875520.0,233251360.0
2093.0,144211700.0,230337730.0
2094.0,140953940.0,223564260.0
2095.0,136561840.0,220444670.0
2096.0,132462740.0,216150980.0
2097.0,128566170.0,213819140.0
2098.0,125830980.0,211363980.0
2099.0,120779100.0,205318850.0
2100.0,117558500.0,200651540.0
