time,IITM-ESM,CESM2-WACCM,TAIESM1,IPSL-CM6A-LR,MRI-ESM2-0,GFDL-ESM4,UKESM1-0-LL,KACE-1-0-G,MPI-ESM1-2-HR
2000.0,49341260000.0,49341260000.0,49341260000.0,49341260000.0,49341260000.0,49341260000.0,49341260000.0,49341260000.0,49341260000.0
2001.0,49257226000.0,49257226000.0,49257226000.0,49257226000.0,49257226000.0,49257226000.0,49257226000.0,49257226000.0,49257226000.0
2002.0,49046190000.0,49046190000.0,49046190000.0,49046190000.0,49046190000.0,49046190000.0,49046190000.0,49046190000.0,49046190000.0
2003.0,49172630000.0,49172630000.0,49172630000.0,49172630000.0,49172630000.0,49172630000.0,49172630000.0,49172630000.0,49172630000.0
2004.0,50088610000.0,50088610000.0,50088610000.0,50088610000.0,50088610000.0,50088610000.0,50088610000.0,50088610000.0,50088610000.0
2005.0,49808093000.0,49808093000.0,49808093000.0,49808093000.0,49808093000.0,49808093000.0,49808093000.0,49808093000.0,49808093000.0
2006.0,49791450000.0,49791450000.0,49791450000.0,49791450000.0,49791450000.0,49791450000.0,49791450000.0,49791450000.0,49791450000.0
2007.0,49232814000.0,49232814000.0,49232814000.0,49232814000.0,49232814000.0,49232814000.0,49232814000.0,49232814000.0,49232814000.0
2008.0,48987693000.0,48987693000.0,48987693000.0,48987693000.0,48987693000.0,48987693000.0,48987693000.0,48987693000.0,48987693000.0
2009.0,48942470000.0,48942470000.0,48942470000.0,48942470000.0,48942470000.0,48942470000.0,48942470000.0,48942470000.0,48942470000.0
2010.0,48961634000.0,48961634000.0,48961634000.0,48961634000.0,48961634000.0,48961634000.0,48961634000.0,48961634000.0,48961634000.0
2011.0,50115035000.0,50115035000.0,50115035000.0,50115035000.0,50115035000.0,50115035000.0,50115035000.0,50115035000.0,50115035000.0
2012.0,48952136000.0,48952136000.0,48952136000.0,48952136000.0,48952136000.0,48952136000.0,48952136000.0,48952136000.0,48952136000.0
2013.0,48673700000.0,48673700000.0,48673700000.0,48673700000.0,48673700000.0,48673700000.0,48673700000.0,48673700000.0,48673700000.0
2014.0,48624456000.0,48624456000.0,48624456000.0,48624456000.0,48624456000.0,48624456000.0,48624456000.0,48624456000.0,48624456000.0
2015.0,48579228000.0,48579228000.0,48579228000.0,48579228000.0,48579228000.0,48579228000.0,48579228000.0,48579228000.0,48579228000.0
2016.0,48524743000.0,48524743000.0,48524743000.0,48524743000.0,48524743000.0,48524743000.0,48524743000.0,48524743000.0,48524743000.0
2017.0,48460000000.0,48460000000.0,48460000000.0,48460000000.0,48460000000.0,48460000000.0,48460000000.0,48460000000.0,48460000000.0
2018.0,48496124000.0,48496124000.0,48496124000.0,48496124000.0,48496124000.0,48496124000.0,48496124000.0,48496124000.0,48496124000.0
2019.0,48612585000.0,48612585000.0,48612585000.0,48612585000.0,48612585000.0,48612585000.0,48612585000.0,48612585000.0,48612585000.0
2020.0,48370627000.0,48370627000.0,48370627000.0,48370627000.0,48370627000.0,48370627000.0,48370627000.0,48370627000.0,48370627000.0
2021.0,47964420000.0,48114598000.0,47781786000.0,48431520000.0,47860600000.0,47741140000.0,47762300000.0,47892630000.0,48381910000.0
2022.0,48284266000.0,48086954000.0,47871627000.0,48033140000.0,47565697000.0,47550590000.0,47456186000.0,47552995000.0,48469150000.0
2023.0,47989166000.0,47603920000.0,47260050000.0,47543874000.0,47404114000.0,47333070000.0,47451247000.0,47356520000.0,47835402000.0
2024.0,48567410000.0,47371460000.0,47809077000.0,47430040000.0,47161290000.0,47194610000.0,46892265000.0,46907326000.0,47502120000.0
2025.0,48417310000.0,47392248000.0,46974070000.0,47116770000.0,46805430000.0,47006495000.0,46412010000.0,46771147000.0,47410872000.0
2026.0,47778990000.0,47077085000.0,46586250000.0,46945240000.0,46588207000.0,46670934000.0,45894530000.0,46280917000.0,47230250000.0
2027.0,47446030000.0,46777557000.0,46313720000.0,46749170000.0,46583990000.0,46441312000.0,45379944000.0,45690220000.0,46932300000.0
2028.0,47467917000.0,46489276000.0,45983257000.0,46568243000.0,46008656000.0,46478586000.0,44992980000.0,45223277000.0,46563730000.0
2029.0,47259226000.0,47222276000.0,45572702000.0,46241970000.0,45689295000.0,46107310000.0,44543398000.0,44863950000.0,46600470000.0
2030.0,47125643000.0,46438310000.0,45409743000.0,45901900000.0,45652316000.0,45918290000.0,44232620000.0,44331550000.0,46679843000.0
2031.0,46822347000.0,45826978000.0,46000685000.0,45459590000.0,45026755000.0,46232440000.0,43766150000.0,43818316000.0,46131590000.0
2032.0,46680027000.0,45433233000.0,44648296000.0,45055263000.0,44663010000.0,45473976000.0,43572888000.0,43297935000.0,45837742000.0
2033.0,47092244000.0,45120848000.0,44197330000.0,44712083000.0,44254732000.0,45140850000.0,43009225000.0,42729837000.0,45716080000.0
