time,CANESM5,EC-EARTH3,MRI-ESM2-0,KACE-1-0-G,IPSL-CM6A-LR,TAIESM1,UKESM1-0-LL,CNRM-ESM2-1,GFDL-ESM4,CESM2-WACCM,CNRM-CM6-1,MIROC6,MPI-ESM1-2-HR
2000.0,2403199700.0,2403199700.0,2403199700.0,2403199700.0,2403199700.0,2403199700.0,2403199700.0,2403199700.0,2403199700.0,2403199700.0,2403199700.0,2403199700.0,2403199700.0
2001.0,2377094100.0,2377094100.0,2377094100.0,2377094100.0,2377094100.0,2377094100.0,2377094100.0,2377094100.0,2377094100.0,2377094100.0,2377094100.0,2377094100.0,2377094100.0
2002.0,2357944000.0,2357944000.0,2357944000.0,2357944000.0,2357944000.0,2357944000.0,2357944000.0,2357944000.0,2357944000.0,2357944000.0,2357944000.0,2357944000.0,2357944000.0
2003.0,2329112300.0,2329112300.0,2329112300.0,2329112300.0,2329112300.0,2329112300.0,2329112300.0,2329112300.0,2329112300.0,2329112300.0,2329112300.0,2329112300.0,2329112300.0
2004.0,2306863900.0,2306863900.0,2306863900.0,2306863900.0,2306863900.0,2306863900.0,2306863900.0,2306863900.0,2306863900.0,2306863900.0,2306863900.0,2306863900.0,2306863900.0
2005.0,2283690800.0,2283690800.0,2283690800.0,2283690800.0,2283690800.0,2283690800.0,2283690800.0,2283690800.0,2283690800.0,2283690800.0,2283690800.0,2283690800.0,2283690800.0
2006.0,2269068500.0,2269068500.0,2269068500.0,2269068500.0,2269068500.0,2269068500.0,2269068500.0,2269068500.0,2269068500.0,2269068500.0,2269068500.0,2269068500.0,2269068500.0
2007.0,2247905000.0,2247905000.0,2247905000.0,2247905000.0,2247905000.0,2247905000.0,2247905000.0,2247905000.0,2247905000.0,2247905000.0,2247905000.0,2247905000.0,2247905000.0
2008.0,2246148600.0,2246148600.0,2246148600.0,2246148600.0,2246148600.0,2246148600.0,2246148600.0,2246148600.0,2246148600.0,2246148600.0,2246148600.0,2246148600.0,2246148600.0
2009.0,2249374200.0,2249374200.0,2249374200.0,2249374200.0,2249374200.0,2249374200.0,2249374200.0,2249374200.0,2249374200.0,2249374200.0,2249374200.0,2249374200.0,2249374200.0
2010.0,2224768000.0,2224768000.0,2224768000.0,2224768000.0,2224768000.0,2224768000.0,2224768000.0,2224768000.0,2224768000.0,2224768000.0,2224768000.0,2224768000.0,2224768000.0
2011.0,2207457800.0,2207457800.0,2207457800.0,2207457800.0,2207457800.0,2207457800.0,2207457800.0,2207457800.0,2207457800.0,2207457800.0,2207457800.0,2207457800.0,2207457800.0
2012.0,2212315400.0,2212315400.0,2212315400.0,2212315400.0,2212315400.0,2212315400.0,2212315400.0,2212315400.0,2212315400.0,2212315400.0,2212315400.0,2212315400.0,2212315400.0
2013.0,2197355000.0,2197355000.0,2197355000.0,2197355000.0,2197355000.0,2197355000.0,2197355000.0,2197355000.0,2197355000.0,2197355000.0,2197355000.0,2197355000.0,2197355000.0
2014.0,2193515000.0,2193515000.0,2193515000.0,2193515000.0,2193515000.0,2193515000.0,2193515000.0,2193515000.0,2193515000.0,2193515000.0,2193515000.0,2193515000.0,2193515000.0
2015.0,2181454800.0,2181454800.0,2181454800.0,2181454800.0,2181454800.0,2181454800.0,2181454800.0,2181454800.0,2181454800.0,2181454800.0,2181454800.0,2181454800.0,2181454800.0
2016.0,2156659500.0,2156659500.0,2156659500.0,2156659500.0,2156659500.0,2156659500.0,2156659500.0,2156659500.0,2156659500.0,2156659500.0,2156659500.0,2156659500.0,2156659500.0
2017.0,2131148500.0,2131148500.0,2131148500.0,2131148500.0,2131148500.0,2131148500.0,2131148500.0,2131148500.0,2131148500.0,2131148500.0,2131148500.0,2131148500.0,2131148500.0
2018.0,2112500100.0,2112500100.0,2112500100.0,2112500100.0,2112500100.0,2112500100.0,2112500100.0,2112500100.0,2112500100.0,2112500100.0,2112500100.0,2112500100.0,2112500100.0
2019.0,2104002000.0,2104002000.0,2104002000.0,2104002000.0,2104002000.0,2104002000.0,2104002000.0,2104002000.0,2104002000.0,2104002000.0,2104002000.0,2104002000.0,2104002000.0
2020.0,2075526900.0,2075526900.0,2075526900.0,2075526900.0,2075526900.0,2075526900.0,2075526900.0,2075526900.0,2075526900.0,2075526900.0,2075526900.0,2075526900.0,2075526900.0
2021.0,2019176200.0,2044967700.0,2039884000.0,2036771200.0,2033552800.0,2009940100.0,2022438700.0,2054533800.0,2038031500.0,2044480000.0,2025703300.0,2040658700.0,2052819100.0
2022.0,1975117700.0,2004163100.0,2006048400.0,2002311800.0,1985970700.0,1969516800.0,1978707800.0,2004822700.0,1992564500.0,2001093400.0,1982781400.0,1986567000.0,2035523500.0
2023.0,1913937400.0,1942094600.0,1952085400.0,1967990500.0,1957112400.0,1920220900.0,1939879600.0,1964171000.0,1944649500.0,1950043900.0,1935185400.0,1936384100.0,2015282300.0
2024.0,1828049200.0,1863532400.0,1901431300.0,1912729000.0,1916025700.0,1857409000.0,1891264600.0,1926454500.0,1915744500.0,1904833200.0,1869678700.0,1912337400.0,1976928800.0
2025.0,1750706200.0,1821653800.0,1853623200.0,1869793900.0,1875753500.0,1792572800.0,1816550400.0,1897193300.0,1872479100.0,1825893600.0,1819678800.0,1892174500.0,1960553000.0
2026.0,1641531000.0,1762853000.0,1799039200.0,1828301000.0,1805852800.0,1703285600.0,1700301400.0,1845930200.0,1807088600.0,1762547200.0,1737464600.0,1845274000.0,1927428500.0
2027.0,1550522900.0,1647693700.0,1720196400.0,1761057400.0,1752203800.0,1603039600.0,1589728900.0,1793230700.0,1749247200.0,1696558300.0,1664393200.0,1797886500.0,1890748500.0
2028.0,1428819000.0,1512895500.0,1630170100.0,1723305200.0,1695524100.0,1532155000.0,1474974500.0,1726589400.0,1698385900.0,1612560900.0,1604490600.0,1743637100.0,1834829000.0
2029.0,1286671500.0,1451611600.0,1544381800.0,1654996900.0,1617540100.0,1464703100.0,1332282800.0,1662084900.0,1637474000.0,1502769700.0,1527480600.0,1718664700.0,1787923500.0
2030.0,1195586700.0,1384697700.0,1474838500.0,1577040600.0,1505211400.0,1385264900.0,1258038300.0,1629351200.0,1566054500.0,1423855600.0,1466496400.0,1688170400.0,1753835400.0
2031.0,1098920000.0,1292254800.0,1415408900.0,1537430500.0,1423623200.0,1290908500.0,1158805500.0,1550572800.0,1508575100.0,1373488500.0,1390474600.0,1653994000.0,1690227000.0
2032.0,1014867200.0,1239502500.0,1348055900.0,1474202800.0,1371020200.0,1232699400.0,1011278000.0,1477668100.0,1458244200.0,1280835200.0,1329297500.0,1623020400.0,1625711900.0
2033.0,954755700.0,1191535100.0,1300911500.0,1417407600.0,1307861800.0,1184257000.0,918742200.0,1407119200.0,1386837600.0,1220742900.0,1280665700.0,1595245600.0,1557044100.0
2034.0,904070140.0,1111921700.0,1281961600.0,1371937200.0,1240703600.0,1128483200.0,865814100.0,1359348100.0,1324729700.0,1187140700.0,1237793200.0,1570419600.0,1470049500.0
2035.0,840681200.0,1070324700.0,1232477600.0,1305432400.0,1184214500.0,1085132900.0,787732700.0,1267277600.0,1269025900.0,1170096300.0,1187951600.0,1534339700.0,1397466200.0
2036.0,782530940.0,1062201660.0,1189153000.0,1244561400.0,1111386800.0,1033104400.0,730013760.0,1213623400.0,1224902900.0,1151101600.0,1163751700.0,1503817600.0,1340234400.0
2037.0,724312500.0,1059652030.0,1156800300.0,1185312400.0,1055986700.0,971150100.0,684277600.0,1323122000.0,1158576800.0,1136788600.0,1124058400.0,1475470300.0,1290807200.0
2038.0,668494300.0,1018693760.0,1122156500.0,1128921200.0,1018819200.0,938736640.0,638254700.0,1213655400.0,1095427300.0,1086877200.0,1101521000.0,1434224400.0,1255748000.0
2039.0,625438200.0,971852900.0,1094332500.0,1069323000.0,963852300.0,912871800.0,585218800.0,1142745300.0,1064301200.0,1042982800.0,1079295400.0,1388398800.0,1212193500.0
2040.0,592941600.0,938025500.0,1069746370.0,1006103100.0,908707840.0,865310500.0,551331650.0,1093202800.0,1028615940.0,1010079800.0,1047717700.0,1352194400.0,1168460900.0
2041.0,573419400.0,915994400.0,1042561500.0,947861000.0,862538500.0,819079740.0,517154080.0,1051380100.0,995814900.0,962282200.0,1007952060.0,1319865700.0,1123241500.0
2042.0,542830900.0,898677060.0,995523260.0,872608300.0,818620740.0,784363840.0,496556320.0,1001085300.0,947727500.0,912989060.0,987495100.0,1279890700.0,1094019200.0
