time,NORESM1-M,CSIRO-MK3-6-0,CANESM2,GFDL-CM3,CNRM-CM5,MPI-ESM-LR,IPSL-CM5A-LR,GFDL-ESM2G,CCSM4,GISS-E2-R
2000.0,1016479550000.0,1016479550000.0,1016479550000.0,1016479550000.0,1016479550000.0,1016479550000.0,1016479550000.0,1016479550000.0,1016479550000.0,1016479550000.0
2001.0,1009813500000.0,1009813500000.0,1009813500000.0,1009813500000.0,1009813500000.0,1009813500000.0,1009813500000.0,1009813500000.0,1009813500000.0,1009813500000.0
2002.0,1007757400000.0,1007757400000.0,1007757400000.0,1007757400000.0,1007757400000.0,1007757400000.0,1007757400000.0,1007757400000.0,1007757400000.0,1007757400000.0
2003.0,999811200000.0,999811200000.0,999811200000.0,999811200000.0,999811200000.0,999811200000.0,999811200000.0,999811200000.0,999811200000.0,999811200000.0
2004.0,992623300000.0,992623300000.0,992623300000.0,992623300000.0,992623300000.0,992623300000.0,992623300000.0,992623300000.0,992623300000.0,992623300000.0
2005.0,979457340000.0,979457340000.0,979457340000.0,979457340000.0,979457340000.0,979457340000.0,979457340000.0,979457340000.0,979457340000.0,979457340000.0
2006.0,976092140000.0,976092140000.0,976092140000.0,976092140000.0,976092140000.0,976092140000.0,976092140000.0,976092140000.0,976092140000.0,976092140000.0
2007.0,965426940000.0,965426940000.0,965426940000.0,965426940000.0,965426940000.0,965426940000.0,965426940000.0,965426940000.0,965426940000.0,965426940000.0
2008.0,969191460000.0,969191460000.0,969191460000.0,969191460000.0,969191460000.0,969191460000.0,969191460000.0,969191460000.0,969191460000.0,969191460000.0
2009.0,963509300000.0,963509300000.0,963509300000.0,963509300000.0,963509300000.0,963509300000.0,963509300000.0,963509300000.0,963509300000.0,963509300000.0
2010.0,949942900000.0,949942900000.0,949942900000.0,949942900000.0,949942900000.0,949942900000.0,949942900000.0,949942900000.0,949942900000.0,949942900000.0
2011.0,944716700000.0,944716700000.0,944716700000.0,944716700000.0,944716700000.0,944716700000.0,944716700000.0,944716700000.0,944716700000.0,944716700000.0
2012.0,946838630000.0,946838630000.0,946838630000.0,946838630000.0,946838630000.0,946838630000.0,946838630000.0,946838630000.0,946838630000.0,946838630000.0
2013.0,943073300000.0,943073300000.0,943073300000.0,943073300000.0,943073300000.0,943073300000.0,943073300000.0,943073300000.0,943073300000.0,943073300000.0
2014.0,922542600000.0,922542600000.0,922542600000.0,922542600000.0,922542600000.0,922542600000.0,922542600000.0,922542600000.0,922542600000.0,922542600000.0
2015.0,908868100000.0,908868100000.0,908868100000.0,908868100000.0,908868100000.0,908868100000.0,908868100000.0,908868100000.0,908868100000.0,908868100000.0
2016.0,891899600000.0,891899600000.0,891899600000.0,891899600000.0,891899600000.0,891899600000.0,891899600000.0,891899600000.0,891899600000.0,891899600000.0
2017.0,880901100000.0,880901100000.0,880901100000.0,880901100000.0,880901100000.0,880901100000.0,880901100000.0,880901100000.0,880901100000.0,880901100000.0
2018.0,870433750000.0,870433750000.0,870433750000.0,870433750000.0,870433750000.0,870433750000.0,870433750000.0,870433750000.0,870433750000.0,870433750000.0
2019.0,863233400000.0,863233400000.0,863233400000.0,863233400000.0,863233400000.0,863233400000.0,863233400000.0,863233400000.0,863233400000.0,863233400000.0
2020.0,847819400000.0,847819400000.0,847819400000.0,847819400000.0,847819400000.0,847819400000.0,847819400000.0,847819400000.0,847819400000.0,847819400000.0
2021.0,845654260000.0,838857900000.0,831300700000.0,837798850000.0,834105200000.0,834106560000.0,842901900000.0,820015400000.0,837754900000.0,837575250000.0
2022.0,833336600000.0,828974100000.0,824791400000.0,835345800000.0,820383700000.0,812891800000.0,823838900000.0,803812000000.0,827776000000.0,839290000000.0
2023.0,823855500000.0,832873230000.0,814436200000.0,819672400000.0,802156000000.0,801597300000.0,815835700000.0,783496100000.0,796209800000.0,826587940000.0
2024.0,815247800000.0,829695900000.0,804374500000.0,797639200000.0,794438000000.0,792490800000.0,798184900000.0,773629500000.0,754072750000.0,816140400000.0
2025.0,817292500000.0,821606900000.0,787402100000.0,785901550000.0,787962130000.0,786690800000.0,782768200000.0,759161100000.0,738264350000.0,804201800000.0
2026.0,809473900000.0,806762000000.0,773387450000.0,765178800000.0,792381100000.0,776655400000.0,765443440000.0,753648300000.0,706300800000.0,798960060000.0
2027.0,794736000000.0,794877800000.0,760652900000.0,727941200000.0,777605940000.0,760275140000.0,748806100000.0,749793500000.0,679045800000.0,786661400000.0
2028.0,775667450000.0,785220900000.0,742067860000.0,703938800000.0,753653840000.0,751441940000.0,721900700000.0,730267250000.0,664936600000.0,779705840000.0
2029.0,751418100000.0,775107500000.0,731950300000.0,687922300000.0,735984400000.0,750136900000.0,705397650000.0,709567450000.0,640786600000.0,783398140000.0
2030.0,733580750000.0,757215400000.0,731506930000.0,669792300000.0,716570500000.0,755466400000.0,681138900000.0,692436900000.0,613332100000.0,779186500000.0
2031.0,721289150000.0,744070300000.0,714390960000.0,637293170000.0,699554860000.0,752469740000.0,656267400000.0,679460340000.0,602896860000.0,765172840000.0
2032.0,701474000000.0,731319500000.0,691139200000.0,621387250000.0,675909660000.0,757872600000.0,633712600000.0,669491130000.0,584710600000.0,748554400000.0
2033.0,688841360000.0,724930600000.0,670416900000.0,606245000000.0,660836060000.0,743421250000.0,604776200000.0,657376150000.0,560216200000.0,736888160000.0
2034.0,677394000000.0,719829340000.0,662983340000.0,583892900000.0,658094700000.0,723786000000.0,602177540000.0,630351700000.0,534091960000.0,729888800000.0
2035.0,655438050000.0,710646960000.0,648078700000.0,575688900000.0,650996900000.0,703154750000.0,585892100000.0,607114600000.0,516554850000.0,724698200000.0
2036.0,643198160000.0,705158500000.0,624056900000.0,550077900000.0,626735700000.0,695932160000.0,558095300000.0,595287500000.0,488021500000.0,717392300000.0
2037.0,607337300000.0,682167240000.0,604112360000.0,530470500000.0,611248600000.0,683470550000.0,537475450000.0,583275450000.0,475340000000.0,710950300000.0
2038.0,598240500000.0,663047700000.0,583828100000.0,511071350000.0,592997300000.0,661037000000.0,521430830000.0,568129100000.0,454846740000.0,703306860000.0
2039.0,582089400000.0,654194400000.0,573198240000.0,488455240000.0,576975540000.0,654335000000.0,502728500000.0,552516450000.0,430754040000.0,688910040000.0
2040.0,564581240000.0,631995900000.0,559421500000.0,468321170000.0,555697700000.0,642473100000.0,494775930000.0,533326600000.0,418038000000.0,671415600000.0
2041.0,549509330000.0,607013900000.0,545873820000.0,456342080000.0,544796340000.0,626256840000.0,473971800000.0,516890920000.0,402215570000.0,648808760000.0
2042.0,529443620000.0,580046800000.0,525121800000.0,433792000000.0,533470400000.0,609749500000.0,463056370000.0,506484500000.0,389177840000.0,623322860000.0
2043.0,515379130000.0,563765250000.0,506417100000.0,421308000000.0,527488250000.0,591011450000.0,440613340000.0,496685000000.0,375016000000.0,605079800000.0
2044.0,497145500000.0,547209600000.0,490782820000.0,402493870000.0,523599740000.0,569776300000.0,421927220000.0,480584270000.0,357231620000.0,595838700000.0
2045.0,469957500000.0,531192380000.0,477372450000.0,384697530000.0,519314080000.0,554056700000.0,401372700000.0,467833420000.0,340851650000.0,579925250000.0
2046.0,453296720000.0,508299020000.0,466107960000.0,370142150000.0,511170120000.0,547801660000.0,376114100000.0,450929400000.0,322050560000.0,567563300000.0
2047.0,432142880000.0,480591280000.0,443494040000.0,350970970000.0,497610980000.0,525676970000.0,367643530000.0,439054730000.0,315839220000.0,555921300000.0
2048.0,416659240000.0,458634330000.0,421213630000.0,333814430000.0,483742120000.0,511934270000.0,350063660000.0,426127980000.0,304157330000.0,540001930000.0
2049.0,402672580000.0,442696700000.0,402530170000.0,316387720000.0,470143300000.0,505234400000.0,327528380000.0,412643230000.0,292416850000.0,519011660000.0
2050.0,385997930000.0,428831540000.0,385129200000.0,300971720000.0,460412320000.0,490012870000.0,311520820000.0,396425600000.0,277407240000.0,505069170000.0
