time,IPSL-CM5A-LR,NORESM1-M,GFDL-ESM2G,CANESM2,CSIRO-MK3-6-0,CESM1-CAM5,GISS-E2-R,CNRM-CM5,GFDL-CM3,CCSM4,MPI-ESM-LR
2000.0,3261691900000.0,3261691900000.0,3261691900000.0,3261691900000.0,3261691900000.0,3261691900000.0,3261691900000.0,3261691900000.0,3261691900000.0,3261691900000.0,3261691900000.0
2001.0,3256017200000.0,3256017200000.0,3256017200000.0,3256017200000.0,3256017200000.0,3256017200000.0,3256017200000.0,3256017200000.0,3256017200000.0,3256017200000.0,3256017200000.0
2002.0,3244047200000.0,3244047200000.0,3244047200000.0,3244047200000.0,3244047200000.0,3244047200000.0,3244047200000.0,3244047200000.0,3244047200000.0,3244047200000.0,3244047200000.0
2003.0,3238926200000.0,3238926200000.0,3238926200000.0,3238926200000.0,3238926200000.0,3238926200000.0,3238926200000.0,3238926200000.0,3238926200000.0,3238926200000.0,3238926200000.0
2004.0,3249195700000.0,3249195700000.0,3249195700000.0,3249195700000.0,3249195700000.0,3249195700000.0,3249195700000.0,3249195700000.0,3249195700000.0,3249195700000.0,3249195700000.0
2005.0,3252072500000.0,3252072500000.0,3252072500000.0,3252072500000.0,3252072500000.0,3252072500000.0,3252072500000.0,3252072500000.0,3252072500000.0,3252072500000.0,3252072500000.0
2006.0,3245444700000.0,3245444700000.0,3245444700000.0,3245444700000.0,3245444700000.0,3245444700000.0,3245444700000.0,3245444700000.0,3245444700000.0,3245444700000.0,3245444700000.0
2007.0,3224093300000.0,3224093300000.0,3224093300000.0,3224093300000.0,3224093300000.0,3224093300000.0,3224093300000.0,3224093300000.0,3224093300000.0,3224093300000.0,3224093300000.0
2008.0,3204348600000.0,3204348600000.0,3204348600000.0,3204348600000.0,3204348600000.0,3204348600000.0,3204348600000.0,3204348600000.0,3204348600000.0,3204348600000.0,3204348600000.0
2009.0,3181821600000.0,3181821600000.0,3181821600000.0,3181821600000.0,3181821600000.0,3181821600000.0,3181821600000.0,3181821600000.0,3181821600000.0,3181821600000.0,3181821600000.0
2010.0,3167242200000.0,3167242200000.0,3167242200000.0,3167242200000.0,3167242200000.0,3167242200000.0,3167242200000.0,3167242200000.0,3167242200000.0,3167242200000.0,3167242200000.0
2011.0,3165112000000.0,3165112000000.0,3165112000000.0,3165112000000.0,3165112000000.0,3165112000000.0,3165112000000.0,3165112000000.0,3165112000000.0,3165112000000.0,3165112000000.0
2012.0,3145556000000.0,3145556000000.0,3145556000000.0,3145556000000.0,3145556000000.0,3145556000000.0,3145556000000.0,3145556000000.0,3145556000000.0,3145556000000.0,3145556000000.0
2013.0,3121788000000.0,3121788000000.0,3121788000000.0,3121788000000.0,3121788000000.0,3121788000000.0,3121788000000.0,3121788000000.0,3121788000000.0,3121788000000.0,3121788000000.0
2014.0,3109638600000.0,3109638600000.0,3109638600000.0,3109638600000.0,3109638600000.0,3109638600000.0,3109638600000.0,3109638600000.0,3109638600000.0,3109638600000.0,3109638600000.0
2015.0,3099394600000.0,3099394600000.0,3099394600000.0,3099394600000.0,3099394600000.0,3099394600000.0,3099394600000.0,3099394600000.0,3099394600000.0,3099394600000.0,3099394600000.0
2016.0,3087599700000.0,3087599700000.0,3087599700000.0,3087599700000.0,3087599700000.0,3087599700000.0,3087599700000.0,3087599700000.0,3087599700000.0,3087599700000.0,3087599700000.0
2017.0,3078583000000.0,3078583000000.0,3078583000000.0,3078583000000.0,3078583000000.0,3078583000000.0,3078583000000.0,3078583000000.0,3078583000000.0,3078583000000.0,3078583000000.0
2018.0,3071971700000.0,3071971700000.0,3071971700000.0,3071971700000.0,3071971700000.0,3071971700000.0,3071971700000.0,3071971700000.0,3071971700000.0,3071971700000.0,3071971700000.0
2019.0,3058857000000.0,3058857000000.0,3058857000000.0,3058857000000.0,3058857000000.0,3058857000000.0,3058857000000.0,3058857000000.0,3058857000000.0,3058857000000.0,3058857000000.0
2020.0,3046471600000.0,3046471600000.0,3046471600000.0,3046471600000.0,3046471600000.0,3046471600000.0,3046471600000.0,3046471600000.0,3046471600000.0,3046471600000.0,3046471600000.0
2021.0,3014183400000.0,3042077800000.0,3028955200000.0,3033427600000.0,2989743100000.0,3021235000000.0,3011662600000.0,3023462000000.0,3008049700000.0,3015631000000.0,3030177800000.0
2022.0,3000180000000.0,3008437200000.0,3018270700000.0,3024391000000.0,2986444800000.0,2995514800000.0,2987749300000.0,3007701300000.0,2974205000000.0,2991913400000.0,3011904800000.0
2023.0,2978397300000.0,2989686800000.0,3028186300000.0,2989208000000.0,2996998800000.0,2959011200000.0,2971090000000.0,2979005000000.0,2937570000000.0,2968692500000.0,2974424000000.0
2024.0,2952969800000.0,2977178300000.0,3008439300000.0,2971856000000.0,2987339800000.0,2918082700000.0,2941780000000.0,2964355500000.0,2896970000000.0,2951604300000.0,2966571700000.0
2025.0,2930285000000.0,2954239000000.0,2987549000000.0,2930038300000.0,2966983300000.0,2901221300000.0,2913666900000.0,2941154500000.0,2858886000000.0,2913353900000.0,2937710200000.0
2026.0,2918102900000.0,2933298000000.0,2986641500000.0,2936136800000.0,2937895000000.0,2885055000000.0,2887411000000.0,2919654800000.0,2818359000000.0,2869692000000.0,2898675000000.0
2027.0,2893029600000.0,2911648400000.0,2970417400000.0,2896834300000.0,2929326600000.0,2850521000000.0,2858621300000.0,2891976800000.0,2778108800000.0,2834986200000.0,2873468600000.0
2028.0,2853314500000.0,2879914200000.0,2947806700000.0,2867345000000.0,2927736700000.0,2811291500000.0,2841193500000.0,2879224000000.0,2724627500000.0,2802825300000.0,2857302000000.0
2029.0,2826122600000.0,2853989800000.0,2951186200000.0,2813784000000.0,2901321200000.0,2776914500000.0,2808566500000.0,2851279500000.0,2685731600000.0,2781458200000.0,2816405400000.0
2030.0,2802074800000.0,2829278200000.0,2948289500000.0,2814815000000.0,2861767000000.0,2762241000000.0,2789941200000.0,2833916400000.0,2649813400000.0,2765924600000.0,2788556000000.0
2031.0,2785699400000.0,2797387600000.0,2947139000000.0,2771680000000.0,2849568700000.0,2730999400000.0,2769230500000.0,2814841200000.0,2593333400000.0,2751489600000.0,2766515700000.0
