time,GFDL-ESM2G,CSIRO-MK3-6-0,GISS-E2-R,CCSM4,GFDL-CM3,NORESM1-M,CANESM2,CNRM-CM5,IPSL-CM5A-LR,MPI-ESM-LR
2000.0,4772006500000.0,4772006500000.0,4772006500000.0,4772006500000.0,4772006500000.0,4772006500000.0,4772006500000.0,4772006500000.0,4772006500000.0,4772006500000.0
2001.0,4770493400000.0,4770493400000.0,4770493400000.0,4770493400000.0,4770493400000.0,4770493400000.0,4770493400000.0,4770493400000.0,4770493400000.0,4770493400000.0
2002.0,4765737500000.0,4765737500000.0,4765737500000.0,4765737500000.0,4765737500000.0,4765737500000.0,4765737500000.0,4765737500000.0,4765737500000.0,4765737500000.0
2003.0,4771071700000.0,4771071700000.0,4771071700000.0,4771071700000.0,4771071700000.0,4771071700000.0,4771071700000.0,4771071700000.0,4771071700000.0,4771071700000.0
2004.0,4768195000000.0,4768195000000.0,4768195000000.0,4768195000000.0,4768195000000.0,4768195000000.0,4768195000000.0,4768195000000.0,4768195000000.0,4768195000000.0
2005.0,4721955300000.0,4721955300000.0,4721955300000.0,4721955300000.0,4721955300000.0,4721955300000.0,4721955300000.0,4721955300000.0,4721955300000.0,4721955300000.0
2006.0,4700449000000.0,4700449000000.0,4700449000000.0,4700449000000.0,4700449000000.0,4700449000000.0,4700449000000.0,4700449000000.0,4700449000000.0,4700449000000.0
2007.0,4679938000000.0,4679938000000.0,4679938000000.0,4679938000000.0,4679938000000.0,4679938000000.0,4679938000000.0,4679938000000.0,4679938000000.0,4679938000000.0
2008.0,4662025500000.0,4662025500000.0,4662025500000.0,4662025500000.0,4662025500000.0,4662025500000.0,4662025500000.0,4662025500000.0,4662025500000.0,4662025500000.0
2009.0,4616241000000.0,4616241000000.0,4616241000000.0,4616241000000.0,4616241000000.0,4616241000000.0,4616241000000.0,4616241000000.0,4616241000000.0,4616241000000.0
2010.0,4594485000000.0,4594485000000.0,4594485000000.0,4594485000000.0,4594485000000.0,4594485000000.0,4594485000000.0,4594485000000.0,4594485000000.0,4594485000000.0
2011.0,4580811700000.0,4580811700000.0,4580811700000.0,4580811700000.0,4580811700000.0,4580811700000.0,4580811700000.0,4580811700000.0,4580811700000.0,4580811700000.0
2012.0,4539834000000.0,4539834000000.0,4539834000000.0,4539834000000.0,4539834000000.0,4539834000000.0,4539834000000.0,4539834000000.0,4539834000000.0,4539834000000.0
2013.0,4514488000000.0,4514488000000.0,4514488000000.0,4514488000000.0,4514488000000.0,4514488000000.0,4514488000000.0,4514488000000.0,4514488000000.0,4514488000000.0
2014.0,4479932400000.0,4479932400000.0,4479932400000.0,4479932400000.0,4479932400000.0,4479932400000.0,4479932400000.0,4479932400000.0,4479932400000.0,4479932400000.0
2015.0,4477288000000.0,4477288000000.0,4477288000000.0,4477288000000.0,4477288000000.0,4477288000000.0,4477288000000.0,4477288000000.0,4477288000000.0,4477288000000.0
2016.0,4452134000000.0,4452134000000.0,4452134000000.0,4452134000000.0,4452134000000.0,4452134000000.0,4452134000000.0,4452134000000.0,4452134000000.0,4452134000000.0
2017.0,4398756400000.0,4398756400000.0,4398756400000.0,4398756400000.0,4398756400000.0,4398756400000.0,4398756400000.0,4398756400000.0,4398756400000.0,4398756400000.0
2018.0,4369841400000.0,4369841400000.0,4369841400000.0,4369841400000.0,4369841400000.0,4369841400000.0,4369841400000.0,4369841400000.0,4369841400000.0,4369841400000.0
2019.0,4327268200000.0,4327268200000.0,4327268200000.0,4327268200000.0,4327268200000.0,4327268200000.0,4327268200000.0,4327268200000.0,4327268200000.0,4327268200000.0
2020.0,4296396200000.0,4296396200000.0,4296396200000.0,4296396200000.0,4296396200000.0,4296396200000.0,4296396200000.0,4296396200000.0,4296396200000.0,4296396200000.0
2021.0,4286714700000.0,4251989000000.0,4269794000000.0,4291030700000.0,4255845400000.0,4270081400000.0,4271442500000.0,4266796000000.0,4265782300000.0,4277037200000.0
2022.0,4266090600000.0,4227629300000.0,4251300100000.0,4282461700000.0,4226326500000.0,4243194600000.0,4228850000000.0,4240316300000.0,4244315000000.0,4246014300000.0
2023.0,4237616000000.0,4208037200000.0,4200299000000.0,4249705000000.0,4210238000000.0,4211142800000.0,4206319400000.0,4216632600000.0,4227316300000.0,4196529900000.0
2024.0,4225173300000.0,4187460700000.0,4182226000000.0,4185075700000.0,4178515000000.0,4195752000000.0,4174216000000.0,4190049000000.0,4200347000000.0,4163026800000.0
2025.0,4186445700000.0,4152246100000.0,4152155000000.0,4144074300000.0,4164397000000.0,4179037500000.0,4154759000000.0,4126509600000.0,4171189000000.0,4152243500000.0
2026.0,4145880000000.0,4113337200000.0,4128767700000.0,4095822500000.0,4136607200000.0,4172203700000.0,4128571400000.0,4085358000000.0,4150441800000.0,4114842600000.0
2027.0,4114261700000.0,4076470000000.0,4093597700000.0,4054213500000.0,4126122200000.0,4146476400000.0,4103539300000.0,4038091900000.0,4125103800000.0,4063646700000.0
2028.0,4091460700000.0,4055951000000.0,4065554300000.0,4023201300000.0,4088837400000.0,4113515400000.0,4048708700000.0,3964677400000.0,4071833200000.0,4052204400000.0
2029.0,4059185300000.0,4035464400000.0,4041731500000.0,3994112200000.0,4078536200000.0,4074433700000.0,4013400300000.0,3925425000000.0,4034530400000.0,4009223300000.0
2030.0,4020462400000.0,4018834500000.0,4004642600000.0,3968762600000.0,4050687000000.0,4043537400000.0,3975317800000.0,3886467300000.0,4000859600000.0,3974529300000.0
2031.0,3993002600000.0,3997323500000.0,3979604400000.0,3958453300000.0,4019393100000.0,4025333300000.0,3926410700000.0,3847835600000.0,3979734200000.0,3961453500000.0
2032.0,3968262000000.0,3982448100000.0,3965539300000.0,3937676600000.0,3996997400000.0,4011218000000.0,3859712800000.0,3811658700000.0,3957494600000.0,3947935300000.0
2033.0,3957154400000.0,3941689000000.0,3915888000000.0,3895079000000.0,3975417400000.0,3967441000000.0,3801987200000.0,3769139200000.0,3918073700000.0,3908199300000.0
2034.0,3941059000000.0,3915891000000.0,3894829000000.0,3861256600000.0,3938437000000.0,3917283300000.0,3770548700000.0,3744442000000.0,3892949300000.0,3845588000000.0
2035.0,3912496800000.0,3902784100000.0,3863115000000.0,3825905000000.0,3927870300000.0,3877115300000.0,3741042600000.0,3709462400000.0,3877053000000.0,3817469400000.0
2036.0,3889784700000.0,3885921700000.0,3828762800000.0,3800053000000.0,3890346500000.0,3836620800000.0,3710529600000.0,3666642000000.0,3832259000000.0,3797078200000.0
2037.0,3878864300000.0,3825689700000.0,3785758000000.0,3763076900000.0,3860553800000.0,3793765000000.0,3674282700000.0,3617967800000.0,3778669700000.0,3782081500000.0
2038.0,3869767400000.0,3791006000000.0,3759110600000.0,3700241200000.0,3842503900000.0,3769139500000.0,3629227000000.0,3586158500000.0,3764225600000.0,3763441000000.0
2039.0,3824806300000.0,3751166300000.0,3729989300000.0,3666869000000.0,3824527000000.0,3736042200000.0,3596919500000.0,3545091500000.0,3732995300000.0,3737358000000.0
