time,CSIRO-MK3-6-0,CCSM4,IPSL-CM5A-LR,CANESM2,NORESM1-M,MPI-ESM-LR,GFDL-CM3,GFDL-ESM2G,GISS-E2-R,CNRM-CM5,CESM1-CAM5
2000.0,45082745000000.0,45082745000000.0,45082745000000.0,45082745000000.0,45082745000000.0,45082745000000.0,45082745000000.0,45082745000000.0,45082745000000.0,45082745000000.0,45082745000000.0
2001.0,45076403000000.0,45076403000000.0,45076403000000.0,45076403000000.0,45076403000000.0,45076403000000.0,45076403000000.0,45076403000000.0,45076403000000.0,45076403000000.0,45076403000000.0
2002.0,45071437000000.0,45071437000000.0,45071437000000.0,45071437000000.0,45071437000000.0,45071437000000.0,45071437000000.0,45071437000000.0,45071437000000.0,45071437000000.0,45071437000000.0
2003.0,44951600000000.0,44951600000000.0,44951600000000.0,44951600000000.0,44951600000000.0,44951600000000.0,44951600000000.0,44951600000000.0,44951600000000.0,44951600000000.0,44951600000000.0
2004.0,44916100000000.0,44916100000000.0,44916100000000.0,44916100000000.0,44916100000000.0,44916100000000.0,44916100000000.0,44916100000000.0,44916100000000.0,44916100000000.0,44916100000000.0
2005.0,44889220000000.0,44889220000000.0,44889220000000.0,44889220000000.0,44889220000000.0,44889220000000.0,44889220000000.0,44889220000000.0,44889220000000.0,44889220000000.0,44889220000000.0
2006.0,44918730000000.0,44918730000000.0,44918730000000.0,44918730000000.0,44918730000000.0,44918730000000.0,44918730000000.0,44918730000000.0,44918730000000.0,44918730000000.0,44918730000000.0
2007.0,44819376000000.0,44819376000000.0,44819376000000.0,44819376000000.0,44819376000000.0,44819376000000.0,44819376000000.0,44819376000000.0,44819376000000.0,44819376000000.0,44819376000000.0
2008.0,44763777000000.0,44763777000000.0,44763777000000.0,44763777000000.0,44763777000000.0,44763777000000.0,44763777000000.0,44763777000000.0,44763777000000.0,44763777000000.0,44763777000000.0
2009.0,44745040000000.0,44745040000000.0,44745040000000.0,44745040000000.0,44745040000000.0,44745040000000.0,44745040000000.0,44745040000000.0,44745040000000.0,44745040000000.0,44745040000000.0
2010.0,44660634000000.0,44660634000000.0,44660634000000.0,44660634000000.0,44660634000000.0,44660634000000.0,44660634000000.0,44660634000000.0,44660634000000.0,44660634000000.0,44660634000000.0
2011.0,44635250000000.0,44635250000000.0,44635250000000.0,44635250000000.0,44635250000000.0,44635250000000.0,44635250000000.0,44635250000000.0,44635250000000.0,44635250000000.0,44635250000000.0
2012.0,44570545000000.0,44570545000000.0,44570545000000.0,44570545000000.0,44570545000000.0,44570545000000.0,44570545000000.0,44570545000000.0,44570545000000.0,44570545000000.0,44570545000000.0
2013.0,44577013000000.0,44577013000000.0,44577013000000.0,44577013000000.0,44577013000000.0,44577013000000.0,44577013000000.0,44577013000000.0,44577013000000.0,44577013000000.0,44577013000000.0
2014.0,44477754000000.0,44477754000000.0,44477754000000.0,44477754000000.0,44477754000000.0,44477754000000.0,44477754000000.0,44477754000000.0,44477754000000.0,44477754000000.0,44477754000000.0
2015.0,44562643000000.0,44562643000000.0,44562643000000.0,44562643000000.0,44562643000000.0,44562643000000.0,44562643000000.0,44562643000000.0,44562643000000.0,44562643000000.0,44562643000000.0
2016.0,44532400000000.0,44532400000000.0,44532400000000.0,44532400000000.0,44532400000000.0,44532400000000.0,44532400000000.0,44532400000000.0,44532400000000.0,44532400000000.0,44532400000000.0
2017.0,44544250000000.0,44544250000000.0,44544250000000.0,44544250000000.0,44544250000000.0,44544250000000.0,44544250000000.0,44544250000000.0,44544250000000.0,44544250000000.0,44544250000000.0
2018.0,44403234000000.0,44403234000000.0,44403234000000.0,44403234000000.0,44403234000000.0,44403234000000.0,44403234000000.0,44403234000000.0,44403234000000.0,44403234000000.0,44403234000000.0
2019.0,44366440000000.0,44366440000000.0,44366440000000.0,44366440000000.0,44366440000000.0,44366440000000.0,44366440000000.0,44366440000000.0,44366440000000.0,44366440000000.0,44366440000000.0
2020.0,44350336000000.0,44350336000000.0,44350336000000.0,44350336000000.0,44350336000000.0,44350336000000.0,44350336000000.0,44350336000000.0,44350336000000.0,44350336000000.0,44350336000000.0
2021.0,44297140000000.0,44330830000000.0,44169190000000.0,44319696000000.0,44281885000000.0,44291414000000.0,44216130000000.0,44378150000000.0,44202040000000.0,44346020000000.0,44340374000000.0
2022.0,44259450000000.0,44248450000000.0,44072720000000.0,44186830000000.0,44220232000000.0,44245370000000.0,44178235000000.0,44317040000000.0,44177160000000.0,44369676000000.0,44317347000000.0
2023.0,44214690000000.0,44134860000000.0,43932038000000.0,44067728000000.0,44110023000000.0,44159503000000.0,44152192000000.0,44298860000000.0,44159480000000.0,44377943000000.0,44260796000000.0
2024.0,44110140000000.0,44165686000000.0,43779920000000.0,43893760000000.0,44088360000000.0,44008466000000.0,44290693000000.0,44271814000000.0,44166285000000.0,44328383000000.0,44052825000000.0
2025.0,44016935000000.0,44054977000000.0,43666920000000.0,43630140000000.0,44019030000000.0,43941060000000.0,44359626000000.0,44280330000000.0,44106693000000.0,44307040000000.0,43966305000000.0
2026.0,43937394000000.0,43881412000000.0,43583248000000.0,43528248000000.0,43974030000000.0,43852750000000.0,44402730000000.0,44357894000000.0,44082114000000.0,44328613000000.0,43775733000000.0
2027.0,43780233000000.0,43840036000000.0,43443666000000.0,43456540000000.0,43889110000000.0,43762730000000.0,44447530000000.0,44245870000000.0,44038036000000.0,44303430000000.0,43602856000000.0
2028.0,43624240000000.0,43762626000000.0,43317160000000.0,43348450000000.0,43767936000000.0,43630807000000.0,44500324000000.0,44127094000000.0,44003018000000.0,44312314000000.0,43504797000000.0
2029.0,43473265000000.0,43678064000000.0,43158818000000.0,43281044000000.0,43704490000000.0,43444630000000.0,44557085000000.0,44067656000000.0,44013520000000.0,44328055000000.0,43410560000000.0
2030.0,43352820000000.0,43561257000000.0,43009950000000.0,43260090000000.0,43580990000000.0,43272857000000.0,44598960000000.0,44005360000000.0,43875826000000.0,44247235000000.0,43342126000000.0
2031.0,43208810000000.0,43530672000000.0,42963680000000.0,43148458000000.0,43468454000000.0,43153370000000.0,44725130000000.0,43951873000000.0,43807970000000.0,44267490000000.0,43157715000000.0
2032.0,43099296000000.0,43531704000000.0,42901800000000.0,42951477000000.0,43432903000000.0,43055580000000.0,44861170000000.0,43975763000000.0,43682116000000.0,44267746000000.0,43024365000000.0
2033.0,42923020000000.0,43454580000000.0,42894860000000.0,42885597000000.0,43347083000000.0,42969776000000.0,44878713000000.0,43880220000000.0,43647664000000.0,44119024000000.0,42789723000000.0
2034.0,42663563000000.0,43461055000000.0,42772912000000.0,42880550000000.0,43195170000000.0,42974235000000.0,44899676000000.0,43919467000000.0,43554043000000.0,44006960000000.0,42636400000000.0
2035.0,42469513000000.0,43318310000000.0,42707725000000.0,42740134000000.0,43127060000000.0,42888558000000.0,44825076000000.0,43881815000000.0,43388410000000.0,43879093000000.0,42458684000000.0
2036.0,42338584000000.0,43123024000000.0,42682470000000.0,42614137000000.0,43031504000000.0,42851203000000.0,44759016000000.0,43898026000000.0,43336130000000.0,43778778000000.0,42167146000000.0
2037.0,42255704000000.0,43059680000000.0,42604880000000.0,42392862000000.0,42931520000000.0,42682626000000.0,44716205000000.0,43877610000000.0,43255380000000.0,43650352000000.0,41933775000000.0
2038.0,42110393000000.0,43011283000000.0,42523804000000.0,42262610000000.0,42833170000000.0,42601810000000.0,44566390000000.0,43809707000000.0,43236750000000.0,43545630000000.0,41830310000000.0
2039.0,41968957000000.0,42961220000000.0,42461930000000.0,42089110000000.0,42756700000000.0,42542720000000.0,44433966000000.0,43768450000000.0,43248467000000.0,43442080000000.0,41662353000000.0
2040.0,41816863000000.0,42782240000000.0,42353704000000.0,41880805000000.0,42716330000000.0,42445824000000.0,44457483000000.0,43607380000000.0,43242370000000.0,43330277000000.0,41560850000000.0
2041.0,41735480000000.0,42667275000000.0,42266430000000.0,41701717000000.0,42602740000000.0,42418220000000.0,44445020000000.0,43540280000000.0,43151935000000.0,43117546000000.0,41396233000000.0
2042.0,41583600000000.0,42548170000000.0,42213652000000.0,41588470000000.0,42444796000000.0,42340580000000.0,44532150000000.0,43405426000000.0,43121572000000.0,42974890000000.0,41208900000000.0
2043.0,41431155000000.0,42360356000000.0,42123353000000.0,41498770000000.0,42188740000000.0,42346645000000.0,44512530000000.0,43362313000000.0,43056477000000.0,42809923000000.0,40937544000000.0
2044.0,41198853000000.0,42219780000000.0,42076553000000.0,41219470000000.0,42107436000000.0,42178690000000.0,44534360000000.0,43278970000000.0,42916120000000.0,42653366000000.0,40683985000000.0
2045.0,40996226000000.0,42023575000000.0,41790992000000.0,41025470000000.0,41944590000000.0,42043896000000.0,44517755000000.0,43239520000000.0,42893964000000.0,42541852000000.0,40365705000000.0
2046.0,40840982000000.0,41850280000000.0,41744243000000.0,40836234000000.0,41748877000000.0,41946210000000.0,44447670000000.0,43251285000000.0,42774540000000.0,42460353000000.0,40156678000000.0
2047.0,40653330000000.0,41689947000000.0,41584680000000.0,40679270000000.0,41582510000000.0,41845300000000.0,44368816000000.0,43183030000000.0,42720823000000.0,42294917000000.0,40022305000000.0
2048.0,40519086000000.0,41602723000000.0,41411446000000.0,40571415000000.0,41518795000000.0,41750983000000.0,44362270000000.0,43174860000000.0,42698740000000.0,42034390000000.0,39714490000000.0
2049.0,40377323000000.0,41526634000000.0,41302070000000.0,40393210000000.0,41389020000000.0,41635346000000.0,44260636000000.0,43034150000000.0,42679006000000.0,41777378000000.0,39372610000000.0
2050.0,40174898000000.0,41482070000000.0,41200027000000.0,40219720000000.0,41163147000000.0,41505150000000.0,44259277000000.0,42970810000000.0,42632126000000.0,41684704000000.0,39176950000000.0
2051.0,39963488000000.0,41326263000000.0,41031186000000.0,39996686000000.0,41111184000000.0,41387517000000.0,44260580000000.0,42925027000000.0,42653550000000.0,41647880000000.0,38860503000000.0
2052.0,39789416000000.0,41293636000000.0,40844670000000.0,39887780000000.0,40932523000000.0,41331600000000.0,44258585000000.0,42929972000000.0,42533824000000.0,41540664000000.0,38486405000000.0
2053.0,39554736000000.0,41203626000000.0,40626398000000.0,39694323000000.0,40810624000000.0,41221246000000.0,44246340000000.0,42910725000000.0,42476908000000.0,41510940000000.0,38184950000000.0
2054.0,39384090000000.0,41001138000000.0,40553770000000.0,39517805000000.0,40624480000000.0,41052644000000.0,44179573000000.0,42906564000000.0,42407245000000.0,41470782000000.0,37886108000000.0
2055.0,39207607000000.0,40833240000000.0,40432944000000.0,39321480000000.0,40483810000000.0,40968380000000.0,44179816000000.0,42922007000000.0,42317948000000.0,41354856000000.0,37688246000000.0
2056.0,38926136000000.0,40751860000000.0,40200020000000.0,39093774000000.0,40306840000000.0,40821300000000.0,44195327000000.0,42905486000000.0,42196313000000.0,41063140000000.0,37398270000000.0
2057.0,38633965000000.0,40583970000000.0,39960340000000.0,38833614000000.0,40171332000000.0,40628050000000.0,44108547000000.0,42844890000000.0,42142165000000.0,40863497000000.0,36965097000000.0
2058.0,38382734000000.0,40474210000000.0,39913200000000.0,38592664000000.0,40027325000000.0,40494822000000.0,43917270000000.0,42841300000000.0,42139940000000.0,40748820000000.0,36635224000000.0
2059.0,38156796000000.0,40296890000000.0,39922190000000.0,38378637000000.0,39867854000000.0,40410655000000.0,43871115000000.0,42877967000000.0,42132040000000.0,40667790000000.0,36298824000000.0
2060.0,37888380000000.0,40102122000000.0,39799235000000.0,38159300000000.0,39719417000000.0,40296890000000.0,43875385000000.0,42851887000000.0,41974460000000.0,40545682000000.0,36104498000000.0
2061.0,37581260000000.0,39892386000000.0,39676130000000.0,37842143000000.0,39567487000000.0,40174084000000.0,43792497000000.0,42815715000000.0,41903098000000.0,40361137000000.0,35891377000000.0
