time,MPI-ESM-LR,CESM1-CAM5,CANESM2
2000.0,1016479550000.0,1016479550000.0,1016479550000.0
2001.0,1009813500000.0,1009813500000.0,1009813500000.0
2002.0,1007757400000.0,1007757400000.0,1007757400000.0
2003.0,999811200000.0,999811200000.0,999811200000.0
2004.0,992623300000.0,992623300000.0,992623300000.0
2005.0,979457340000.0,979457340000.0,979457340000.0
2006.0,976092140000.0,976092140000.0,976092140000.0
2007.0,965426940000.0,965426940000.0,965426940000.0
2008.0,969191460000.0,969191460000.0,969191460000.0
2009.0,963509300000.0,963509300000.0,963509300000.0
2010.0,949942900000.0,949942900000.0,949942900000.0
2011.0,944716700000.0,944716700000.0,944716700000.0
2012.0,946838630000.0,946838630000.0,946838630000.0
2013.0,943073300000.0,943073300000.0,943073300000.0
2014.0,922542600000.0,922542600000.0,922542600000.0
2015.0,908868100000.0,908868100000.0,908868100000.0
2016.0,891899600000.0,891899600000.0,891899600000.0
2017.0,880901100000.0,880901100000.0,880901100000.0
2018.0,870433750000.0,870433750000.0,870433750000.0
2019.0,863233400000.0,863233400000.0,863233400000.0
2020.0,847819400000.0,847819400000.0,847819400000.0
2021.0,829617200000.0,827593460000.0,838728900000.0
2022.0,811266740000.0,828041850000.0,823500900000.0
2023.0,804313500000.0,822159200000.0,800983740000.0
2024.0,783382540000.0,803538000000.0,780724700000.0
2025.0,783477800000.0,788392050000.0,773023700000.0
2026.0,770870350000.0,775945260000.0,761465340000.0
2027.0,747846600000.0,759169900000.0,744212860000.0
2028.0,730698200000.0,736086100000.0,731936260000.0
2029.0,717736640000.0,710224700000.0,702572130000.0
2030.0,709858800000.0,685498200000.0,685329550000.0
2031.0,703594200000.0,670768600000.0,675501800000.0
2032.0,693203040000.0,667017200000.0,666483700000.0
2033.0,684683760000.0,640975200000.0,645909250000.0
2034.0,678181100000.0,616983760000.0,620379050000.0
2035.0,664812060000.0,598969550000.0,592434500000.0
2036.0,650064600000.0,581411300000.0,572859150000.0
2037.0,632446500000.0,567099000000.0,558610400000.0
2038.0,622506500000.0,547187100000.0,543519970000.0
2039.0,600803800000.0,526014580000.0,525920000000.0
2040.0,593836800000.0,512151400000.0,517851480000.0
