time,CSIRO-MK3-6-0,NORESM1-M,MPI-ESM-LR,CESM1-CAM5
2000.0,1016479550000.0,1016479550000.0,1016479550000.0,1016479550000.0
2001.0,1009813500000.0,1009813500000.0,1009813500000.0,1009813500000.0
2002.0,1007757400000.0,1007757400000.0,1007757400000.0,1007757400000.0
2003.0,999811200000.0,999811200000.0,999811200000.0,999811200000.0
2004.0,992623300000.0,992623300000.0,992623300000.0,992623300000.0
2005.0,979457340000.0,979457340000.0,979457340000.0,979457340000.0
2006.0,976092140000.0,976092140000.0,976092140000.0,976092140000.0
2007.0,965426940000.0,965426940000.0,965426940000.0,965426940000.0
2008.0,969191460000.0,969191460000.0,969191460000.0,969191460000.0
2009.0,963509300000.0,963509300000.0,963509300000.0,963509300000.0
2010.0,949942900000.0,949942900000.0,949942900000.0,949942900000.0
2011.0,944716700000.0,944716700000.0,944716700000.0,944716700000.0
2012.0,946838630000.0,946838630000.0,946838630000.0,946838630000.0
2013.0,943073300000.0,943073300000.0,943073300000.0,943073300000.0
2014.0,922542600000.0,922542600000.0,922542600000.0,922542600000.0
2015.0,908868100000.0,908868100000.0,908868100000.0,908868100000.0
2016.0,891899600000.0,891899600000.0,891899600000.0,891899600000.0
2017.0,880901100000.0,880901100000.0,880901100000.0,880901100000.0
2018.0,870433750000.0,870433750000.0,870433750000.0,870433750000.0
2019.0,863233400000.0,863233400000.0,863233400000.0,863233400000.0
2020.0,847819400000.0,847819400000.0,847819400000.0,847819400000.0
2021.0,830871960000.0,849544500000.0,840709500000.0,834428800000.0
2022.0,815999500000.0,831258700000.0,822416900000.0,826962600000.0
2023.0,801902560000.0,818692800000.0,814471500000.0,815209450000.0
2024.0,801197000000.0,797608600000.0,803753600000.0,810560060000.0
2025.0,793280700000.0,787307500000.0,789172400000.0,807900800000.0
2026.0,789363400000.0,776433040000.0,775959300000.0,791082100000.0
2027.0,794201300000.0,778447900000.0,765219240000.0,786488200000.0
2028.0,786863160000.0,762031100000.0,746411800000.0,783122100000.0
2029.0,774383800000.0,747280660000.0,738945800000.0,766114000000.0
2030.0,759581000000.0,737831500000.0,730039600000.0,748376700000.0
2031.0,754265000000.0,712123600000.0,720555200000.0,723766100000.0
2032.0,750884200000.0,704521700000.0,705964540000.0,708067300000.0
2033.0,740086050000.0,684259150000.0,690654200000.0,703556000000.0
2034.0,731563360000.0,663403600000.0,666604500000.0,678820200000.0
2035.0,714033500000.0,647714050000.0,655075440000.0,661860450000.0
2036.0,695011300000.0,635049300000.0,648059300000.0,647294350000.0
2037.0,681220500000.0,625094300000.0,635483060000.0,623455630000.0
2038.0,658693400000.0,592764300000.0,616082800000.0,601506900000.0
2039.0,652744900000.0,574863300000.0,610065600000.0,592255450000.0
2040.0,636040900000.0,559885060000.0,592484400000.0,579588650000.0
2041.0,613062500000.0,545968650000.0,582728400000.0,555328300000.0
2042.0,594790450000.0,527488480000.0,573959600000.0,546550580000.0
2043.0,577310500000.0,508725300000.0,566779600000.0,541583100000.0
2044.0,556949240000.0,493416840000.0,551774500000.0,525426200000.0
2045.0,541207530000.0,474917040000.0,541466100000.0,511511720000.0
2046.0,525039340000.0,461597380000.0,535007500000.0,500144570000.0
2047.0,509733630000.0,456379700000.0,523799950000.0,477923670000.0
2048.0,492373670000.0,437340100000.0,514633140000.0,461167170000.0
2049.0,478670620000.0,423855500000.0,512698400000.0,446808360000.0
2050.0,460165150000.0,398332900000.0,511077450000.0,430363900000.0
2051.0,439971000000.0,380850670000.0,499362600000.0,411602160000.0
2052.0,416736400000.0,362242500000.0,487846300000.0,388885940000.0
2053.0,402363150000.0,347947370000.0,478578540000.0,376398540000.0
2054.0,385276480000.0,338910450000.0,469047570000.0,359772600000.0
2055.0,370065770000.0,325575740000.0,460847350000.0,344661460000.0
2056.0,358928450000.0,313189240000.0,448419360000.0,331233900000.0
2057.0,348172120000.0,296152530000.0,437681300000.0,324338500000.0
2058.0,336138240000.0,281129600000.0,428209080000.0,312793730000.0
