time,CCSM4,CSIRO-MK3-6-0,MPI-ESM-LR
2000.0,294520130000.0,294520130000.0,294520130000.0
2001.0,295523000000.0,295523000000.0,295523000000.0
2002.0,294038800000.0,294038800000.0,294038800000.0
2003.0,288999570000.0,288999570000.0,288999570000.0
2004.0,286509630000.0,286509630000.0,286509630000.0
2005.0,284878370000.0,284878370000.0,284878370000.0
2006.0,284771060000.0,284771060000.0,284771060000.0
2007.0,280920700000.0,280920700000.0,280920700000.0
2008.0,281615600000.0,281615600000.0,281615600000.0
2009.0,280683300000.0,280683300000.0,280683300000.0
2010.0,276750470000.0,276750470000.0,276750470000.0
2011.0,274535190000.0,274535190000.0,274535190000.0
2012.0,273861620000.0,273861620000.0,273861620000.0
2013.0,274323000000.0,274323000000.0,274323000000.0
2014.0,271608430000.0,271608430000.0,271608430000.0
2015.0,267881640000.0,267881640000.0,267881640000.0
2016.0,269461500000.0,269461500000.0,269461500000.0
2017.0,266265660000.0,266265660000.0,266265660000.0
2018.0,265924400000.0,265924400000.0,265924400000.0
2019.0,261099270000.0,261099270000.0,261099270000.0
2020.0,259034120000.0,259034120000.0,259034120000.0
2021.0,256768430000.0,255689030000.0,257005550000.0
2022.0,256819230000.0,255566400000.0,255049800000.0
2023.0,253580540000.0,254120840000.0,253251940000.0
2024.0,247774580000.0,251803320000.0,248304620000.0
2025.0,246209070000.0,250945650000.0,246972420000.0
2026.0,244098580000.0,249843240000.0,241125870000.0
2027.0,239760670000.0,248718070000.0,236314180000.0
2028.0,239625780000.0,248250880000.0,230352080000.0
2029.0,236898270000.0,249465320000.0,230268780000.0
2030.0,236756060000.0,249601360000.0,226906930000.0
2031.0,235666420000.0,246413820000.0,226742750000.0
2032.0,234068430000.0,244926000000.0,223842730000.0
2033.0,232176450000.0,243764260000.0,220083540000.0
2034.0,228281250000.0,242462650000.0,214333110000.0
2035.0,223619900000.0,241129670000.0,209914200000.0
2036.0,219006520000.0,236318720000.0,206715550000.0
2037.0,214976640000.0,235423860000.0,210793170000.0
2038.0,213040790000.0,233562260000.0,207290430000.0
2039.0,210519490000.0,232396160000.0,206779880000.0
2040.0,208410300000.0,226702720000.0,201214480000.0
2041.0,205377110000.0,223681100000.0,200015870000.0
2042.0,202189800000.0,223062570000.0,194365820000.0
2043.0,200889240000.0,222781820000.0,189146780000.0
2044.0,199523450000.0,218460100000.0,184419170000.0
2045.0,199125060000.0,212898530000.0,184184950000.0
2046.0,195097170000.0,207636220000.0,179730890000.0
2047.0,190645400000.0,204843930000.0,176869850000.0
2048.0,187213920000.0,203944720000.0,171601040000.0
2049.0,183127850000.0,202971740000.0,168805830000.0
2050.0,178855360000.0,202358950000.0,166240140000.0
2051.0,174764880000.0,201713390000.0,161310240000.0
2052.0,170151150000.0,197284380000.0,157082470000.0
2053.0,167919500000.0,193441000000.0,153541030000.0
2054.0,161329740000.0,191662650000.0,153127580000.0
2055.0,159072200000.0,189755200000.0,150740780000.0
2056.0,155776810000.0,185754100000.0,147745650000.0
2057.0,153062300000.0,183745940000.0,144297670000.0
2058.0,149349730000.0,181734300000.0,141809430000.0
2059.0,146691880000.0,181832780000.0,138823660000.0
2060.0,142471450000.0,183237360000.0,136062710000.0
2061.0,140178880000.0,181802830000.0,132611280000.0
2062.0,137052630000.0,179767000000.0,128316900000.0
2063.0,133797940000.0,178200630000.0,123883030000.0
2064.0,128987950000.0,174848100000.0,120783260000.0
2065.0,125867140000.0,171326320000.0,116276770000.0
2066.0,123493320000.0,167194000000.0,115207770000.0
2067.0,120942550000.0,164617000000.0,113511300000.0
2068.0,116313530000.0,163069280000.0,110845260000.0
2069.0,111644530000.0,158769230000.0,106448850000.0
2070.0,108735540000.0,156503180000.0,103036930000.0
2071.0,104529270000.0,152864470000.0,100436750000.0
2072.0,101468890000.0,147775470000.0,97057410000.0
2073.0,99532140000.0,143744940000.0,94101080000.0
2074.0,97258010000.0,140511170000.0,90831370000.0
2075.0,95124960000.0,137886710000.0,87620370000.0
2076.0,92028640000.0,135519960000.0,84396170000.0
2077.0,89515020000.0,132588814000.0,81693130000.0
2078.0,86799720000.0,130771730000.0,78018870000.0
2079.0,84121076000.0,126274000000.0,76129230000.0
2080.0,80672830000.0,123806900000.0,74735570000.0
2081.0,78497390000.0,121265090000.0,72042940000.0
2082.0,75621925000.0,118859900000.0,70250455000.0
2083.0,71722650000.0,115309940000.0,69302550000.0
2084.0,70418964000.0,111542436000.0,66218303000.0
2085.0,67825136000.0,109542170000.0,62673810000.0
2086.0,66594116000.0,107315630000.0,62259286000.0
2087.0,63312540000.0,104953300000.0,60671100000.0
2088.0,61125317000.0,102370450000.0,59073966000.0
2089.0,58648750000.0,100309760000.0,57954190000.0
2090.0,56216960000.0,95559370000.0,55037410000.0
2091.0,53694833000.0,92023900000.0,53444743000.0
2092.0,51514170000.0,89226690000.0,51888943000.0
2093.0,49586823000.0,84937010000.0,49641394000.0
2094.0,48479490000.0,83083820000.0,47473046000.0
2095.0,46273036000.0,79960570000.0,45729650000.0
2096.0,44041300000.0,75907334000.0,44268675000.0
2097.0,42241890000.0,72483760000.0,42841620000.0
2098.0,40979640000.0,69143750000.0,41002010000.0
2099.0,38758953000.0,66544615000.0,39673405000.0
2100.0,37078897000.0,63510295000.0,37877895000.0
2101.0,35815866000.0,61006455000.0,36777144000.0
2102.0,34073868000.0,59114435000.0,35087577000.0
2103.0,32807647000.0,55847166000.0,33156432000.0
2104.0,31248687000.0,52890170000.0,31828347000.0
2105.0,29862504000.0,49678574000.0,30962272000.0
2106.0,28083400000.0,46744138000.0,29280395000.0
2107.0,26907875000.0,43949945000.0,28246206000.0
2108.0,25560000000.0,41282392000.0,26585450000.0
2109.0,24422906000.0,38988095000.0,25546689000.0
2110.0,23257446000.0,36122940000.0,24048613000.0
2111.0,22199114000.0,33209221000.0,22625153000.0
2112.0,21097564000.0,30314547000.0,21583806000.0
2113.0,19965807000.0,27943307000.0,20304185000.0
2114.0,18908027000.0,25292167000.0,19215675000.0
2115.0,18256953000.0,23391226000.0,18285990000.0
2116.0,17399935000.0,21490356000.0,17027448000.0
2117.0,16844584000.0,19294054000.0,16056714000.0
2118.0,16227182000.0,16831106000.0,15023890000.0
2119.0,15479197000.0,15102477000.0,13805470000.0
2120.0,14651639000.0,13371187000.0,12533980000.0
2121.0,13659311000.0,12032591000.0,11479312000.0
2122.0,12924427000.0,10456682000.0,11042656000.0
2123.0,12177223000.0,9013247000.0,10001598000.0
2124.0,11703676000.0,7701587000.0,9313485000.0
2125.0,11026422000.0,6606852600.0,8664737000.0
2126.0,10468063000.0,5566822000.0,7818298000.0
2127.0,9935655000.0,4913207000.0,7095230500.0
2128.0,9096124000.0,4284954400.0,6620211700.0
2129.0,8560393700.0,3761490700.0,5874830300.0
2130.0,7975403000.0,3366651400.0,5428434400.0
2131.0,7527966000.0,2906896600.0,4907399000.0
2132.0,7017275400.0,2603062000.0,4513703400.0
2133.0,6569378300.0,2314683400.0,3982033200.0
2134.0,6093030000.0,2080884900.0,3669714000.0
2135.0,5622862000.0,1888373600.0,3439682000.0
2136.0,5185401000.0,1705531000.0,3163867000.0
2137.0,4743181000.0,1549344400.0,2843697200.0
2138.0,4374491600.0,1418302700.0,2587562500.0
2139.0,4050222300.0,1289276300.0,2355570000.0
2140.0,3779080200.0,1167005600.0,2100190000.0
2141.0,3491215000.0,1037645760.0,1893423000.0
2142.0,3208291000.0,884917100.0,1721867400.0
2143.0,2855398400.0,785198000.0,1635791200.0
2144.0,2646049300.0,662309570.0,1564014700.0
2145.0,2439106000.0,520749800.0,1511582100.0
2146.0,2251486000.0,408655170.0,1421542700.0
2147.0,2002788500.0,312891840.0,1338291200.0
2148.0,1815730600.0,237411150.0,1222336500.0
2149.0,1708258800.0,168522750.0,1146489600.0
2150.0,1456304000.0,124156890.0,1074620200.0
2151.0,1259855000.0,87553500.0,1011490300.0
2152.0,1119745000.0,56683450.0,933688400.0
2153.0,953073500.0,39235068.0,869810100.0
2154.0,777042300.0,34734424.0,799596400.0
2155.0,668705340.0,30601016.0,739345500.0
2156.0,574251100.0,28102760.0,666849600.0
2157.0,463267200.0,25562474.0,629131100.0
2158.0,374803330.0,21778064.0,581818050.0
2159.0,302173820.0,18481112.0,512911970.0
2160.0,236080400.0,16713604.0,462575940.0
2161.0,203125340.0,15689264.0,390594800.0
2162.0,197734960.0,15134416.0,348005380.0
2163.0,169923000.0,15051689.0,301924500.0
2164.0,152284670.0,14753101.0,268909060.0
2165.0,138078260.0,14511016.0,237698260.0
2166.0,129131660.0,14615177.0,183006400.0
2167.0,124220936.0,14547964.0,159276030.0
2168.0,119704200.0,14283138.0,131142904.0
2169.0,113287010.0,14256852.0,109217704.0
2170.0,104743864.0,14508224.0,94137610.0
2171.0,96769240.0,14310180.0,83179120.0
2172.0,92084610.0,14220360.0,69507830.0
