time,CESM1-CAM5,CCSM4
2000.0,131304230000.0,131304230000.0
2001.0,130346880000.0,130346880000.0
2002.0,129411645000.0,129411645000.0
2003.0,128004370000.0,128004370000.0
2004.0,127008735000.0,127008735000.0
2005.0,126133970000.0,126133970000.0
2006.0,124815330000.0,124815330000.0
2007.0,123317410000.0,123317410000.0
2008.0,121628836000.0,121628836000.0
2009.0,119481300000.0,119481300000.0
2010.0,118691050000.0,118691050000.0
2011.0,117225490000.0,117225490000.0
2012.0,115359320000.0,115359320000.0
2013.0,113967370000.0,113967370000.0
2014.0,113221870000.0,113221870000.0
2015.0,111624380000.0,111624380000.0
2016.0,109898950000.0,109898950000.0
2017.0,107600806000.0,107600806000.0
2018.0,105859360000.0,105859360000.0
2019.0,104676240000.0,104676240000.0
2020.0,103749860000.0,103749860000.0
2021.0,101970210000.0,102119030000.0
2022.0,99237810000.0,101173125000.0
2023.0,97018750000.0,99558320000.0
2024.0,95695000000.0,96909345000.0
2025.0,93233775000.0,94683640000.0
2026.0,90625835000.0,92709670000.0
2027.0,89722860000.0,91502750000.0
2028.0,88834270000.0,89513120000.0
2029.0,87631070000.0,88199500000.0
2030.0,84775000000.0,87845495000.0
2031.0,82309250000.0,86249930000.0
2032.0,80173390000.0,84401890000.0
2033.0,78740660000.0,83166700000.0
2034.0,76806150000.0,80848050000.0
2035.0,75118760000.0,79302300000.0
2036.0,73276050000.0,78380910000.0
2037.0,71291570000.0,76485580000.0
2038.0,69384260000.0,74575400000.0
2039.0,66880246000.0,72654660000.0
2040.0,64713280000.0,70415190000.0
2041.0,63505540000.0,68580250000.0
2042.0,61285160000.0,66665650000.0
2043.0,59192300000.0,64891777000.0
2044.0,57841300000.0,63283175000.0
2045.0,56186600000.0,61775143000.0
2046.0,55013433000.0,60756030000.0
2047.0,53258203000.0,59661180000.0
2048.0,51277046000.0,57646027000.0
2049.0,49967190000.0,55833723000.0
2050.0,49212387000.0,54173598000.0
2051.0,48031690000.0,53556867000.0
2052.0,46733877000.0,52405887000.0
2053.0,45238837000.0,51341340000.0
2054.0,44355510000.0,50301014000.0
2055.0,42974090000.0,49799848000.0
2056.0,41894842000.0,48457548000.0
2057.0,40211173000.0,48034103000.0
2058.0,38706323000.0,46532747000.0
2059.0,38061773000.0,45266900000.0
2060.0,36755538000.0,43524800000.0
2061.0,35582484000.0,42341134000.0
2062.0,34780553000.0,41162210000.0
2063.0,33713273000.0,39948400000.0
2064.0,32701820000.0,39308435000.0
2065.0,31593648000.0,38337847000.0
2066.0,31089324000.0,37338493000.0
2067.0,30273170000.0,36358242000.0
2068.0,29136536000.0,35893080000.0
2069.0,28015960000.0,34895790000.0
2070.0,27246555000.0,34420750000.0
2071.0,26351198000.0,33894089000.0
2072.0,25567787000.0,32896684000.0
2073.0,24630410000.0,32565460000.0
2074.0,23631337000.0,31834798000.0
2075.0,23093185000.0,30830889000.0
2076.0,22315448000.0,30023954000.0
2077.0,21464058000.0,28564711000.0
2078.0,20760211000.0,27982877000.0
2079.0,20022490000.0,27444730000.0
2080.0,18931472000.0,26869916000.0
2081.0,18229203000.0,25842440000.0
2082.0,17691159000.0,25250390000.0
2083.0,17281171000.0,24773710000.0
2084.0,16655898000.0,24148013000.0
2085.0,15948521000.0,23489931000.0
2086.0,15504777000.0,22853540000.0
2087.0,15232784000.0,22665335000.0
2088.0,14707963000.0,21911435000.0
2089.0,14436441000.0,21477007000.0
2090.0,13941347000.0,20759036000.0
2091.0,13433841000.0,20202848000.0
2092.0,12959924000.0,19943274000.0
2093.0,12491452000.0,19492334000.0
2094.0,12241229000.0,19071418000.0
2095.0,11868067000.0,18816745000.0
2096.0,11428072000.0,18603885000.0
2097.0,11190470000.0,18190928000.0
2098.0,10977739000.0,17920250000.0
2099.0,10754583000.0,17511426000.0
2100.0,10467467000.0,17034071000.0
2101.0,10271292000.0,16550265000.0
2102.0,10127394000.0,16168964000.0
2103.0,10095364000.0,15962161000.0
2104.0,10084109000.0,15569821000.0
2105.0,10019686000.0,15527704000.0
2106.0,9943804000.0,15384971000.0
2107.0,9744207000.0,15102184000.0
2108.0,9657688000.0,14797474000.0
2109.0,9549073000.0,14418737000.0
2110.0,9472189000.0,14227359000.0
2111.0,9323685000.0,13857384000.0
2112.0,9300630000.0,13523511000.0
2113.0,9258777000.0,13302274000.0
2114.0,9152374000.0,13181960000.0
2115.0,9027709000.0,12975810000.0
2116.0,9019318000.0,12867987000.0
2117.0,8847261000.0,12793511000.0
2118.0,8814083000.0,12612406000.0
2119.0,8708947000.0,12476639000.0
2120.0,8748056000.0,12338409000.0
2121.0,8722868000.0,12164888000.0
2122.0,8582274600.0,11981883000.0
2123.0,8564205600.0,11891410000.0
2124.0,8498920400.0,11818981000.0
2125.0,8408958500.0,11719161000.0
2126.0,8441309700.0,11541432000.0
2127.0,8352533000.0,11453809000.0
2128.0,8261117400.0,11423536000.0
2129.0,8228195300.0,11199435000.0
2130.0,8178989600.0,11051673000.0
2131.0,8099332000.0,10843376000.0
2132.0,8103188000.0,10648061000.0
2133.0,8061687000.0,10631997000.0
2134.0,7930672600.0,10433732000.0
2135.0,7907915000.0,10431897000.0
2136.0,7884907000.0,10316681000.0
2137.0,7783356400.0,10183127000.0
2138.0,7751176700.0,10026828000.0
2139.0,7693629400.0,9946395000.0
2140.0,7551934000.0,9942435000.0
