time,MPI-ESM-LR,CCSM4,CSIRO-MK3-6-0
2000.0,131304230000.0,131304230000.0,131304230000.0
2001.0,130346880000.0,130346880000.0,130346880000.0
2002.0,129411645000.0,129411645000.0,129411645000.0
2003.0,128004370000.0,128004370000.0,128004370000.0
2004.0,127008735000.0,127008735000.0,127008735000.0
2005.0,126133970000.0,126133970000.0,126133970000.0
2006.0,124815330000.0,124815330000.0,124815330000.0
2007.0,123317410000.0,123317410000.0,123317410000.0
2008.0,121628836000.0,121628836000.0,121628836000.0
2009.0,119481300000.0,119481300000.0,119481300000.0
2010.0,118691050000.0,118691050000.0,118691050000.0
2011.0,117225490000.0,117225490000.0,117225490000.0
2012.0,115359320000.0,115359320000.0,115359320000.0
2013.0,113967370000.0,113967370000.0,113967370000.0
2014.0,113221870000.0,113221870000.0,113221870000.0
2015.0,111624380000.0,111624380000.0,111624380000.0
2016.0,109898950000.0,109898950000.0,109898950000.0
2017.0,107600806000.0,107600806000.0,107600806000.0
2018.0,105859360000.0,105859360000.0,105859360000.0
2019.0,104676240000.0,104676240000.0,104676240000.0
2020.0,103749860000.0,103749860000.0,103749860000.0
2021.0,102294860000.0,102382060000.0,102332120000.0
2022.0,101110170000.0,100708794000.0,100639810000.0
2023.0,99250260000.0,98548850000.0,99621724000.0
2024.0,98790285000.0,96659250000.0,99463586000.0
2025.0,98539780000.0,94812610000.0,98006450000.0
2026.0,97721280000.0,92719330000.0,95247040000.0
2027.0,95715550000.0,91454900000.0,92447060000.0
2028.0,94151360000.0,89436060000.0,91260700000.0
2029.0,91704300000.0,86242150000.0,89622480000.0
2030.0,91247346000.0,84292280000.0,88290610000.0
2031.0,90656730000.0,80906760000.0,87164320000.0
2032.0,88465285000.0,78855200000.0,86474250000.0
2033.0,87263590000.0,76619510000.0,84121444000.0
2034.0,85206974000.0,74138090000.0,81463220000.0
2035.0,84342710000.0,72656670000.0,79887700000.0
2036.0,82354310000.0,70205390000.0,79147040000.0
2037.0,80656530000.0,68270277000.0,75791565000.0
2038.0,79013350000.0,65789700000.0,74460510000.0
2039.0,76261980000.0,64876507000.0,73192460000.0
2040.0,75126990000.0,61853733000.0,71175500000.0
2041.0,72191160000.0,59456030000.0,69035530000.0
2042.0,71288136000.0,56743772000.0,67589067000.0
2043.0,69935780000.0,54804180000.0,65248630000.0
2044.0,67785490000.0,53492707000.0,63446350000.0
2045.0,66799907000.0,50856587000.0,62406996000.0
2046.0,64930808000.0,48740938000.0,61121050000.0
2047.0,63068850000.0,46575043000.0,58495726000.0
2048.0,60800537000.0,44555790000.0,56597148000.0
2049.0,58404930000.0,43155930000.0,55481168000.0
2050.0,56636396000.0,41531920000.0,53617103000.0
2051.0,55497430000.0,39884830000.0,51774353000.0
2052.0,54626160000.0,38407373000.0,50811540000.0
2053.0,52386910000.0,36342542000.0,49069167000.0
2054.0,50850136000.0,35083534000.0,46765280000.0
2055.0,49460883000.0,33881997000.0,44983980000.0
2056.0,47460962000.0,31945294000.0,43902566000.0
2057.0,46653403000.0,30421113000.0,42536673000.0
