time,CCSM4,CESM1-CAM5
2000.0,91037670000.0,91037670000.0
2001.0,91295760000.0,91295760000.0
2002.0,93013746000.0,93013746000.0
2003.0,92286200000.0,92286200000.0
2004.0,91109120000.0,91109120000.0
2005.0,88893420000.0,88893420000.0
2006.0,88071040000.0,88071040000.0
2007.0,87222436000.0,87222436000.0
2008.0,87703585000.0,87703585000.0
2009.0,88771020000.0,88771020000.0
2010.0,87090110000.0,87090110000.0
2011.0,84669270000.0,84669270000.0
2012.0,85587400000.0,85587400000.0
2013.0,85079040000.0,85079040000.0
2014.0,85384480000.0,85384480000.0
2015.0,84745820000.0,84745820000.0
2016.0,80950895000.0,80950895000.0
2017.0,76204920000.0,76204920000.0
2018.0,74582620000.0,74582620000.0
2019.0,74965205000.0,74965205000.0
2020.0,73356710000.0,73356710000.0
2021.0,73699880000.0,69093065000.0
2022.0,70896590000.0,67899080000.0
2023.0,69750840000.0,68482310000.0
2024.0,69915670000.0,67540095000.0
2025.0,71275390000.0,65646998000.0
2026.0,70270350000.0,66518827000.0
2027.0,68426060000.0,63934280000.0
2028.0,68862160000.0,59310068000.0
2029.0,67743940000.0,57473712000.0
2030.0,67554970000.0,57117802000.0
2031.0,64342675000.0,55273810000.0
2032.0,62461858000.0,52986800000.0
2033.0,60338733000.0,49967706000.0
2034.0,60624646000.0,50350460000.0
2035.0,59800990000.0,51496673000.0
2036.0,57854108000.0,50809176000.0
2037.0,54345163000.0,49881567000.0
2038.0,54412923000.0,50006720000.0
2039.0,53234987000.0,48194773000.0
2040.0,49542570000.0,44307014000.0
2041.0,48515568000.0,41672393000.0
2042.0,47876243000.0,42000646000.0
2043.0,47262573000.0,41243140000.0
2044.0,46333980000.0,39713337000.0
2045.0,46281773000.0,38241935000.0
2046.0,45328490000.0,36941693000.0
2047.0,43113533000.0,37243230000.0
2048.0,42268824000.0,36622800000.0
2049.0,41440220000.0,34632438000.0
2050.0,40856015000.0,32635770000.0
2051.0,37981405000.0,30880186000.0
2052.0,35397700000.0,30434578000.0
2053.0,35263040000.0,30741100000.0
2054.0,34739270000.0,30658499000.0
2055.0,32905902000.0,29101965000.0
2056.0,31850322000.0,26296764000.0
2057.0,31587512000.0,26464080000.0
2058.0,31417944000.0,27002966000.0
2059.0,31326646000.0,25388230000.0
2060.0,30789149000.0,22804994000.0
2061.0,30312288000.0,22848300000.0
2062.0,30788317000.0,22618501000.0
2063.0,29997560000.0,22165965000.0
2064.0,29211134000.0,21309897000.0
2065.0,29062414000.0,19905645000.0
2066.0,29299704000.0,18111394000.0
2067.0,29290041000.0,17832075000.0
2068.0,27918662000.0,17727080000.0
2069.0,27310190000.0,17178677000.0
2070.0,27016581000.0,16340974000.0
2071.0,27048129000.0,16332419000.0
2072.0,26686697000.0,15259941000.0
2073.0,26262247000.0,13630674000.0
2074.0,24549601000.0,13956210000.0
2075.0,22668510000.0,14197515000.0
2076.0,22254250000.0,13817316000.0
2077.0,21980160000.0,13091505000.0
2078.0,21315774000.0,12457992000.0
2079.0,20352627000.0,11947193000.0
2080.0,19329120000.0,12069579000.0
2081.0,19004133000.0,12004230000.0
2082.0,18246924000.0,11150836000.0
2083.0,18101318000.0,9712332000.0
2084.0,18294921000.0,9890190000.0
2085.0,18038210000.0,9989982000.0
2086.0,16987059000.0,9738952000.0
2087.0,16985091000.0,9292622000.0
2088.0,16517575000.0,8837477000.0
2089.0,15654241000.0,8348856000.0
2090.0,15059017000.0,7925517000.0
2091.0,14818330000.0,7108514300.0
2092.0,14550947000.0,6951292400.0
2093.0,14693522000.0,7174320600.0
2094.0,14884326000.0,7036455000.0
2095.0,14573507000.0,6366335000.0
2096.0,14420788000.0,6366974500.0
2097.0,14064140000.0,6361205000.0
2098.0,13778774000.0,6424593000.0
2099.0,13660643000.0,6158935600.0
2100.0,13283247000.0,5827781000.0
2101.0,12861132000.0,5637244400.0
2102.0,12827634000.0,5698357000.0
2103.0,12672397000.0,5673782300.0
2104.0,12376587000.0,5580431400.0
2105.0,12064096000.0,5238505500.0
2106.0,11982217000.0,4981903000.0
2107.0,11773400000.0,5083467300.0
2108.0,11543072000.0,5339480600.0
2109.0,11545815000.0,5221096400.0
2110.0,11590950000.0,4583353300.0
2111.0,11049436000.0,4510300700.0
2112.0,10589151000.0,4709127700.0
2113.0,10608891000.0,4761706000.0
2114.0,10756009000.0,4596455400.0
2115.0,10481514000.0,4283117800.0
2116.0,9956461000.0,4238574600.0
2117.0,9911005000.0,4126921700.0
2118.0,9620289000.0,3927506700.0
2119.0,9320022000.0,3959618300.0
2120.0,9191575000.0,4017960400.0
2121.0,9217534000.0,4064637700.0
2122.0,8916358000.0,4101491000.0
2123.0,8475283500.0,4219496000.0
2124.0,8403857000.0,4113849000.0
2125.0,8139185000.0,3750462200.0
2126.0,7796342300.0,3894006300.0
2127.0,7936971000.0,3918839600.0
2128.0,7727866000.0,3823135700.0
2129.0,7532705000.0,3584967700.0
2130.0,7521831400.0,3558754800.0
2131.0,7675452000.0,3593695700.0
2132.0,7898890000.0,3607862300.0
2133.0,7606897700.0,3594787000.0
2134.0,7232126000.0,3557210600.0
2135.0,6688144000.0,3415260700.0
2136.0,6716947500.0,3263294200.0
2137.0,7004349000.0,3287549000.0
2138.0,7146438000.0,3351268000.0
2139.0,7097795000.0,3205035300.0
2140.0,7195428000.0,2968043800.0
2141.0,6984812000.0,3140171500.0
2142.0,6553935400.0,3178820600.0
2143.0,6243554300.0,3059286300.0
2144.0,6161176600.0,3030865400.0
2145.0,6358400000.0,3086821400.0
2146.0,6344633000.0,2990771200.0
2147.0,6390063000.0,2754855400.0
2148.0,6499664400.0,2852267000.0
2149.0,6440768000.0,2937728500.0
2150.0,6190755300.0,2940490000.0
2151.0,6217429500.0,2781693200.0
2152.0,5897660400.0,2907436500.0
2153.0,5740121000.0,3007193300.0
2154.0,5772947500.0,2816075800.0
2155.0,5810607600.0,2611115500.0
2156.0,5831027700.0,2729448700.0
2157.0,5768695300.0,2774078000.0
2158.0,5847182000.0,2702450400.0
2159.0,5927537700.0,2546992000.0
2160.0,6146097700.0,2721032000.0
2161.0,6424641000.0,2754569700.0
2162.0,6456144000.0,2589686500.0
2163.0,6419524600.0,2697001700.0
2164.0,6480631300.0,2758355200.0
2165.0,6105559600.0,2716527600.0
2166.0,5971760600.0,2597673200.0
2167.0,5858753000.0,2533404200.0
2168.0,5712826400.0,2493160400.0
2169.0,5596061000.0,2409245700.0
2170.0,5568915500.0,2419109400.0
2171.0,5466305500.0,2441686800.0
2172.0,5706295000.0,2537444000.0
2173.0,5685336000.0,2503592200.0
2174.0,5402262000.0,2309412900.0
2175.0,5508600300.0,2318719000.0
2176.0,5674301000.0,2441411000.0
2177.0,5675697700.0,2499957800.0
2178.0,5578159000.0,2439557600.0
2179.0,5651682300.0,2311913500.0
2180.0,5600894500.0,2405978400.0
2181.0,5556086000.0,2609524000.0
2182.0,5573532000.0,2627121700.0
2183.0,5534886400.0,2506604500.0
2184.0,5402864600.0,2455733000.0
2185.0,5454808000.0,2571276800.0
2186.0,5752548400.0,2608692200.0
2187.0,5784761300.0,2611785700.0
2188.0,5672674300.0,2430689800.0
2189.0,5636163600.0,2332099600.0
2190.0,5347828000.0,2445034000.0
2191.0,5295293400.0,2531742200.0
2192.0,5547100000.0,2462524000.0
2193.0,5666689000.0,2244870000.0
2194.0,5622409000.0,2364022300.0
2195.0,5534530000.0,2509557800.0
2196.0,5332729000.0,2479094000.0
2197.0,5290568000.0,2273522700.0
2198.0,5338144000.0,2305226200.0
2199.0,5421621000.0,2351460400.0
2200.0,5405741600.0,2411986700.0
2201.0,5342288000.0,2403335700.0
2202.0,5317453300.0,2353009700.0
2203.0,5256016000.0,2162566400.0
2204.0,5385775000.0,2011754600.0
2205.0,5394843600.0,2124260700.0
2206.0,5302619600.0,2199669800.0
2207.0,5229317600.0,2100235100.0
2208.0,5232822300.0,2095198100.0
2209.0,5307349500.0,2018351200.0
2210.0,5282429000.0,1966585100.0
2211.0,5095965700.0,1977932900.0
2212.0,5275987000.0,2039358200.0
2213.0,5389636000.0,1943475700.0
2214.0,5398276000.0,1826421900.0
2215.0,5383846000.0,1970823300.0
2216.0,5267909600.0,2090351000.0
2217.0,5045330000.0,2078809000.0
2218.0,4971965400.0,1955855900.0
2219.0,5025147000.0,1948906500.0
2220.0,4980406300.0,1985478700.0
2221.0,5022728700.0,1977169700.0
2222.0,5059209000.0,2052084200.0
2223.0,4976637400.0,2010562800.0
2224.0,4907030500.0,1950657700.0
2225.0,4894662700.0,2055280500.0
2226.0,4949393400.0,2109038600.0
2227.0,4859529000.0,1972115300.0
2228.0,4708794400.0,1962751000.0
2229.0,4664148500.0,1875904400.0
2230.0,4685662700.0,1921583900.0
