time,CESM1-CAM5,MPI-ESM-LR,CANESM2
2000.0,67802790000.0,67802790000.0,67802790000.0
2001.0,68203620000.0,68203620000.0,68203620000.0
2002.0,67092824000.0,67092824000.0,67092824000.0
2003.0,67390013000.0,67390013000.0,67390013000.0
2004.0,67501000000.0,67501000000.0,67501000000.0
2005.0,68650107000.0,68650107000.0,68650107000.0
2006.0,66975720000.0,66975720000.0,66975720000.0
2007.0,67346956000.0,67346956000.0,67346956000.0
2008.0,66357973000.0,66357973000.0,66357973000.0
2009.0,65105760000.0,65105760000.0,65105760000.0
2010.0,65109856000.0,65109856000.0,65109856000.0
2011.0,63591640000.0,63591640000.0,63591640000.0
2012.0,62325084000.0,62325084000.0,62325084000.0
2013.0,61854302000.0,61854302000.0,61854302000.0
2014.0,60450087000.0,60450087000.0,60450087000.0
2015.0,59930956000.0,59930956000.0,59930956000.0
2016.0,59548578000.0,59548578000.0,59548578000.0
2017.0,58674102000.0,58674102000.0,58674102000.0
2018.0,57557930000.0,57557930000.0,57557930000.0
2019.0,55994750000.0,55994750000.0,55994750000.0
2020.0,55352517000.0,55352517000.0,55352517000.0
2021.0,53442850000.0,56922268000.0,55125398000.0
2022.0,51611853000.0,58282020000.0,54941920000.0
2023.0,50016973000.0,58311737000.0,53676210000.0
2024.0,50301290000.0,58404315000.0,53097330000.0
2025.0,50779746000.0,57143260000.0,51234470000.0
2026.0,50144260000.0,57341900000.0,49242460000.0
2027.0,48772436000.0,55845980000.0,47637185000.0
2028.0,48277880000.0,54124286000.0,46221804000.0
2029.0,48864944000.0,54838563000.0,47372710000.0
2030.0,48630047000.0,55637500000.0,46805647000.0
2031.0,47772220000.0,55850066000.0,44326300000.0
2032.0,47207305000.0,57402510000.0,43167703000.0
2033.0,45963223000.0,57465880000.0,42635420000.0
2034.0,44417753000.0,56378480000.0,40798646000.0
2035.0,44440293000.0,55670390000.0,39730266000.0
2036.0,43643570000.0,56533557000.0,38373940000.0
2037.0,42786714000.0,56793465000.0,36716655000.0
2038.0,41612670000.0,56234275000.0,35099540000.0
2039.0,41784890000.0,56373432000.0,33845084000.0
2040.0,41335890000.0,57032634000.0,32053068000.0
2041.0,40519970000.0,55139885000.0,30833640000.0
2042.0,40264050000.0,55119143000.0,29562257000.0
2043.0,40185340000.0,55402197000.0,28766685000.0
2044.0,40039050000.0,55230448000.0,29102653000.0
2045.0,39401150000.0,56328710000.0,28541368000.0
2046.0,38561493000.0,56213496000.0,27940809000.0
2047.0,37224210000.0,55303250000.0,27338918000.0
2048.0,36760270000.0,55593400000.0,26973317000.0
2049.0,36439000000.0,54364357000.0,26636280000.0
2050.0,35649966000.0,53440176000.0,25905390000.0
2051.0,35078177000.0,53156340000.0,25588146000.0
2052.0,35017314000.0,51638297000.0,25399628000.0
2053.0,35826037000.0,49809965000.0,25615219000.0
2054.0,34550690000.0,49576006000.0,25267792000.0
2055.0,34582213000.0,49165074000.0,24713595000.0
2056.0,34965850000.0,49072610000.0,23960412000.0
2057.0,34680926000.0,48940270000.0,23568916000.0
2058.0,34261676000.0,48777990000.0,22709436000.0
2059.0,34103052000.0,47504495000.0,22284950000.0
2060.0,33595662000.0,47793180000.0,22158408000.0
2061.0,33404436000.0,48523796000.0,21855967000.0
2062.0,32679549000.0,48372920000.0,21663881000.0
2063.0,32818383000.0,47797180000.0,21316882000.0
2064.0,32692728000.0,47000396000.0,20621298000.0
2065.0,32453073000.0,47244950000.0,20644581000.0
2066.0,31777400000.0,47201497000.0,20533936000.0
2067.0,30966241000.0,47649645000.0,20259190000.0
2068.0,30297030000.0,49270510000.0,20229347000.0
2069.0,29685354000.0,49455570000.0,20251850000.0
2070.0,29529166000.0,48730042000.0,20307251000.0
2071.0,29542054000.0,47129070000.0,20148392000.0
2072.0,29932337000.0,45757890000.0,20559436000.0
2073.0,29702572000.0,44266324000.0,21057522000.0
2074.0,28883567000.0,43609068000.0,21345309000.0
2075.0,29178104000.0,43737874000.0,21631191000.0
2076.0,29207052000.0,43671085000.0,21577144000.0
2077.0,28929516000.0,43003576000.0,21578550000.0
2078.0,28502845000.0,43661830000.0,21886304000.0
2079.0,28750633000.0,45000700000.0,21986038000.0
2080.0,28506014000.0,45291940000.0,21729892000.0
2081.0,28429320000.0,45089360000.0,22436030000.0
2082.0,27577400000.0,46180470000.0,22693700000.0
2083.0,26911906000.0,47217893000.0,22596174000.0
2084.0,26904877000.0,47205800000.0,22453158000.0
2085.0,26848754000.0,47367030000.0,22559920000.0
2086.0,26581090000.0,47700922000.0,22591742000.0
2087.0,26800175000.0,48534315000.0,22457907000.0
2088.0,26723832000.0,50017366000.0,22159400000.0
2089.0,26722345000.0,50803274000.0,22103280000.0
2090.0,26033535000.0,51490808000.0,21765917000.0
2091.0,26534146000.0,51240560000.0,22212729000.0
2092.0,27033694000.0,51999404000.0,21788131000.0
2093.0,27515810000.0,52714340000.0,21754264000.0
2094.0,27306248000.0,52132954000.0,21891810000.0
2095.0,27349070000.0,50407137000.0,22070770000.0
2096.0,27589093000.0,51173280000.0,22398690000.0
2097.0,27398326000.0,50409180000.0,22142876000.0
2098.0,28312494000.0,52265490000.0,22276870000.0
2099.0,28258816000.0,52626383000.0,22204635000.0
2100.0,28525806000.0,52498290000.0,22515724000.0
2101.0,28981484000.0,52177430000.0,22536618000.0
2102.0,29448407000.0,51373040000.0,22788268000.0
2103.0,29523118000.0,52137450000.0,23011002000.0
2104.0,29337688000.0,51709493000.0,23681247000.0
2105.0,29491080000.0,51301556000.0,23678940000.0
2106.0,29386269000.0,51648455000.0,23954422000.0
2107.0,28952752000.0,52042680000.0,23625873000.0
2108.0,28766400000.0,54360433000.0,23218980000.0
2109.0,29064212000.0,54938310000.0,23353383000.0
2110.0,29140947000.0,56881943000.0,23430676000.0
2111.0,29145252000.0,56392847000.0,23324030000.0
2112.0,29430606000.0,56855417000.0,22953013000.0
2113.0,29213837000.0,57534157000.0,23077362000.0
2114.0,28926607000.0,56777400000.0,23257709000.0
2115.0,28594467000.0,56140968000.0,22745373000.0
2116.0,29097770000.0,56972222000.0,23280237000.0
2117.0,29306704000.0,57408057000.0,24483103000.0
2118.0,28731994000.0,56946176000.0,24465324000.0
2119.0,28419494000.0,56653808000.0,24973285000.0
2120.0,27864530000.0,57990740000.0,25010747000.0
2121.0,27985146000.0,58423870000.0,25107814000.0
2122.0,27451693000.0,59418590000.0,25921196000.0
2123.0,26646665000.0,58371590000.0,26407630000.0
2124.0,26799473000.0,57046430000.0,26494038000.0
2125.0,26235064000.0,57135923000.0,26430710000.0
2126.0,25971860000.0,57631515000.0,27053752000.0
2127.0,25633407000.0,57239840000.0,27467588000.0
2128.0,25446711000.0,58006987000.0,27376783000.0
2129.0,25085215000.0,60470180000.0,28118557000.0
2130.0,25038070000.0,61459075000.0,28330810000.0
2131.0,24820634000.0,60672210000.0,28399944000.0
2132.0,24789193000.0,58742260000.0,28542908000.0
2133.0,24849244000.0,58404240000.0,28329937000.0
2134.0,24539245000.0,58280804000.0,28437670000.0
2135.0,24952797000.0,58651242000.0,28732248000.0
2136.0,24642118000.0,58717120000.0,28391703000.0
2137.0,24745867000.0,58880710000.0,28655043000.0
2138.0,24972184000.0,59979973000.0,28313788000.0
2139.0,25244486000.0,60111802000.0,27701060000.0
2140.0,24843014000.0,58497323000.0,28242833000.0
2141.0,24526772000.0,57882444000.0,28249960000.0
2142.0,24476772000.0,56689467000.0,29229480000.0
2143.0,24116550000.0,57310614000.0,29646907000.0
2144.0,24762333000.0,56765480000.0,29311130000.0
2145.0,24997750000.0,55959007000.0,29802030000.0
2146.0,25736704000.0,56550000000.0,29513120000.0
2147.0,25708894000.0,55931940000.0,29151482000.0
2148.0,25810550000.0,57128014000.0,28816316000.0
2149.0,26602795000.0,57884140000.0,29253024000.0
2150.0,26785468000.0,57914690000.0,29129050000.0
2151.0,26464612000.0,57598870000.0,29281448000.0
2152.0,26814999000.0,57498200000.0,29533508000.0
2153.0,26999740000.0,59197730000.0,29440543000.0
2154.0,27198046000.0,59458140000.0,29082978000.0
2155.0,27382560000.0,57412570000.0,29122961000.0
2156.0,26917997000.0,58291140000.0,28899820000.0
2157.0,26794201000.0,58059210000.0,28822733000.0
2158.0,26947736000.0,59718200000.0,29037283000.0
2159.0,27461716000.0,59484070000.0,29299925000.0
2160.0,28029923000.0,59104330000.0,28764090000.0
2161.0,27288828000.0,60193444000.0,28338910000.0
2162.0,27765459000.0,62278644000.0,28842478000.0
2163.0,28461933000.0,61970210000.0,28867002000.0
2164.0,28382728000.0,63034954000.0,28857555000.0
2165.0,28255863000.0,62451260000.0,29521040000.0
2166.0,27348607000.0,62788350000.0,29045348000.0
2167.0,26736628000.0,64304447000.0,28135630000.0
2168.0,26904490000.0,65559392000.0,28026930000.0
2169.0,27459619000.0,66422776000.0,27747496000.0
2170.0,28180689000.0,65916498000.0,28345840000.0
2171.0,28590178000.0,64808360000.0,28375912000.0
2172.0,28808045000.0,65476043000.0,28361595000.0
2173.0,29136531000.0,67146883000.0,27882564000.0
2174.0,29428662000.0,68327297000.0,27728820000.0
2175.0,29061777000.0,69844900000.0,27605504000.0
2176.0,29184817000.0,70620740000.0,28023150000.0
2177.0,28765649000.0,71103650000.0,28682121000.0
2178.0,28387404000.0,71234140000.0,28935318000.0
2179.0,28300863000.0,73552536000.0,28759706000.0
2180.0,29273537000.0,73189730000.0,28902320000.0
2181.0,28913900000.0,72333420000.0,28811039000.0
2182.0,29282648000.0,72650760000.0,28917280000.0
2183.0,29225267000.0,71948020000.0,29660553000.0
2184.0,29061476000.0,71576010000.0,29709195000.0
2185.0,28190546000.0,73125530000.0,29374210000.0
2186.0,27589513000.0,74764700000.0,30010671000.0
2187.0,27507464000.0,75994590000.0,30940504000.0
2188.0,27056840000.0,76647440000.0,30662240000.0
2189.0,26707925000.0,75741940000.0,30703376000.0
2190.0,26888657000.0,73357680000.0,30770123000.0
2191.0,27539323000.0,71702820000.0,31528475000.0
2192.0,27201196000.0,70656580000.0,31703550000.0
2193.0,28286726000.0,70635140000.0,32008432000.0
2194.0,28258148000.0,69523540000.0,31598285000.0
2195.0,27983458000.0,68893760000.0,31715095000.0
2196.0,27446921000.0,67084026000.0,32249660000.0
2197.0,27985222000.0,66008474000.0,32329757000.0
2198.0,27539400000.0,63013736000.0,32598403000.0
2199.0,27643513000.0,61961750000.0,32507806000.0
2200.0,27503657000.0,58299146000.0,33233836000.0
2201.0,27882502000.0,56849138000.0,33325834000.0
2202.0,27397067000.0,56738300000.0,33202567000.0
2203.0,27433010000.0,55572967000.0,32964375000.0
2204.0,27832556000.0,54210675000.0,32970324000.0
2205.0,27659241000.0,54674993000.0,32805022000.0
2206.0,27772426000.0,55196738000.0,32609830000.0
2207.0,28662305000.0,54406190000.0,32941250000.0
2208.0,28978491000.0,53368250000.0,32817280000.0
2209.0,28872296000.0,53279662000.0,32810893000.0
2210.0,28648428000.0,52994070000.0,32233490000.0
2211.0,28331321000.0,52071834000.0,32066010000.0
2212.0,28232266000.0,51369726000.0,32107278000.0
2213.0,27663993000.0,49977850000.0,31680997000.0
2214.0,27433693000.0,49687175000.0,32062216000.0
2215.0,27776762000.0,51000586000.0,32832450000.0
2216.0,28050720000.0,50799817000.0,32922812000.0
2217.0,28109228000.0,51020517000.0,32353580000.0
2218.0,27522742000.0,52030312000.0,31981517000.0
2219.0,28196248000.0,53608915000.0,31597170000.0
2220.0,28987214000.0,53538296000.0,31127157000.0
2221.0,29054870000.0,55600430000.0,31491180000.0
2222.0,28502047000.0,56088867000.0,31931970000.0
2223.0,28574010000.0,57226277000.0,31866796000.0
2224.0,27977765000.0,58263940000.0,31473295000.0
2225.0,28244380000.0,59478168000.0,31434346000.0
2226.0,27757859000.0,60513763000.0,33030228000.0
2227.0,27951847000.0,62518383000.0,33502165000.0
2228.0,28523809000.0,62002758000.0,33808337000.0
2229.0,29450938000.0,62532660000.0,34199654000.0
2230.0,29091887000.0,61082840000.0,35046810000.0
2231.0,29144453000.0,60715250000.0,35822146000.0
2232.0,29294592000.0,60529690000.0,35936825000.0
2233.0,29593651000.0,60333666000.0,35774865000.0
2234.0,29267567000.0,60827734000.0,36027093000.0
2235.0,29010164000.0,60491780000.0,35966240000.0
2236.0,29722454000.0,59832136000.0,35705983000.0
2237.0,29839475000.0,58741354000.0,35919430000.0
2238.0,30288787000.0,58091020000.0,35565265000.0
2239.0,30108512000.0,59556008000.0,35351826000.0
2240.0,29891020000.0,60177180000.0,35370770000.0
2241.0,29959510000.0,58778866000.0,34558947000.0
2242.0,31076157000.0,59253264000.0,34949630000.0
2243.0,31189043000.0,58923140000.0,34977505000.0
2244.0,31125156000.0,58892915000.0,34788405000.0
2245.0,30581916000.0,57836438000.0,34280387000.0
2246.0,30096034000.0,57363370000.0,34411217000.0
2247.0,30135478000.0,56463900000.0,34436980000.0
2248.0,29551251000.0,55516004000.0,35278030000.0
2249.0,30013037000.0,54837957000.0,36082380000.0
2250.0,30554446000.0,54114750000.0,36587250000.0
2251.0,30419446000.0,54264672000.0,37170635000.0
2252.0,31100613000.0,55920110000.0,37242315000.0
2253.0,31461372000.0,55892394000.0,37028737000.0
2254.0,31836789000.0,55556990000.0,36679660000.0
2255.0,31131339000.0,56114950000.0,36351693000.0
2256.0,31647883000.0,55767770000.0,35225320000.0
2257.0,32455039000.0,56811800000.0,34227310000.0
2258.0,32458443000.0,57555460000.0,34058232000.0
2259.0,31717528000.0,57236860000.0,33741453000.0
2260.0,31700077000.0,57099977000.0,33444680000.0
2261.0,32031873000.0,57579315000.0,33451293000.0
2262.0,31599240000.0,57210253000.0,32987066000.0
2263.0,31618318000.0,57486307000.0,33108978000.0
2264.0,32280265000.0,56878207000.0,33289193000.0
2265.0,32078954000.0,57556754000.0,33290109000.0
2266.0,31780227000.0,56434205000.0,33112090000.0
2267.0,31528133000.0,57705170000.0,34427646000.0
2268.0,32003203000.0,58986344000.0,33870178000.0
2269.0,32176433000.0,59362968000.0,33833388000.0
2270.0,31760170000.0,59643904000.0,34513980000.0
2271.0,31742546000.0,60767953000.0,34108912000.0
2272.0,32193317000.0,60507370000.0,33723935000.0
2273.0,32271570000.0,60111475000.0,34550895000.0
2274.0,31980070000.0,58651038000.0,34901344000.0
2275.0,31973181000.0,57172920000.0,35200057000.0
2276.0,31927486000.0,56105873000.0,35269620000.0
2277.0,31899038000.0,56733930000.0,35306488000.0
2278.0,31489384000.0,57814077000.0,34556260000.0
2279.0,31128895000.0,57407040000.0,34583970000.0
2280.0,32327672000.0,58453967000.0,34449360000.0
2281.0,32157962000.0,58771493000.0,34642370000.0
2282.0,32394738000.0,60954448000.0,34219917000.0
2283.0,32572838000.0,62150832000.0,34380812000.0
2284.0,32715416000.0,61091434000.0,34436927000.0
2285.0,32693560000.0,60581007000.0,34659537000.0
2286.0,32767826000.0,61334405000.0,34829520000.0
2287.0,32446474000.0,61483327000.0,34670720000.0
2288.0,32878582000.0,61021630000.0,34735180000.0
2289.0,32306730000.0,60133130000.0,34635354000.0
2290.0,32341789000.0,60482224000.0,34444570000.0
2291.0,33798156000.0,60862480000.0,34394354000.0
2292.0,34648030000.0,59632480000.0,35364073000.0
2293.0,35441210000.0,58342138000.0,36252060000.0
2294.0,34654920000.0,57429504000.0,37660574000.0
2295.0,35102270000.0,56879927000.0,37838690000.0
2296.0,35076340000.0,57341686000.0,37743800000.0
2297.0,35098997000.0,58867020000.0,39023165000.0
2298.0,34202872000.0,60149682000.0,39362190000.0
2299.0,33412745000.0,61419303000.0,39795098000.0
2300.0,32841497000.0,63334850000.0,39610917000.0
