time,NORESM1-M,CESM1-CAM5,CSIRO-MK3-6-0,MPI-ESM-LR
2000.0,45082745000000.0,45082745000000.0,45082745000000.0,45082745000000.0
2001.0,45076403000000.0,45076403000000.0,45076403000000.0,45076403000000.0
2002.0,45071437000000.0,45071437000000.0,45071437000000.0,45071437000000.0
2003.0,44951600000000.0,44951600000000.0,44951600000000.0,44951600000000.0
2004.0,44916100000000.0,44916100000000.0,44916100000000.0,44916100000000.0
2005.0,44889220000000.0,44889220000000.0,44889220000000.0,44889220000000.0
2006.0,44918730000000.0,44918730000000.0,44918730000000.0,44918730000000.0
2007.0,44819376000000.0,44819376000000.0,44819376000000.0,44819376000000.0
2008.0,44763777000000.0,44763777000000.0,44763777000000.0,44763777000000.0
2009.0,44745040000000.0,44745040000000.0,44745040000000.0,44745040000000.0
2010.0,44660634000000.0,44660634000000.0,44660634000000.0,44660634000000.0
2011.0,44635250000000.0,44635250000000.0,44635250000000.0,44635250000000.0
2012.0,44570545000000.0,44570545000000.0,44570545000000.0,44570545000000.0
2013.0,44577013000000.0,44577013000000.0,44577013000000.0,44577013000000.0
2014.0,44477754000000.0,44477754000000.0,44477754000000.0,44477754000000.0
2015.0,44562643000000.0,44562643000000.0,44562643000000.0,44562643000000.0
2016.0,44532400000000.0,44532400000000.0,44532400000000.0,44532400000000.0
2017.0,44544250000000.0,44544250000000.0,44544250000000.0,44544250000000.0
2018.0,44403234000000.0,44403234000000.0,44403234000000.0,44403234000000.0
2019.0,44366440000000.0,44366440000000.0,44366440000000.0,44366440000000.0
2020.0,44350336000000.0,44350336000000.0,44350336000000.0,44350336000000.0
2021.0,44286240000000.0,44340374000000.0,44299106000000.0,44292770000000.0
2022.0,44223466000000.0,44317347000000.0,44259227000000.0,44248733000000.0
2023.0,44124246000000.0,44260796000000.0,44217670000000.0,44161920000000.0
2024.0,44115023000000.0,44052825000000.0,44112615000000.0,44008944000000.0
2025.0,44049830000000.0,43966305000000.0,44023210000000.0,43939076000000.0
2026.0,44003228000000.0,43775733000000.0,43947682000000.0,43847275000000.0
2027.0,43921460000000.0,43602856000000.0,43786617000000.0,43748742000000.0
2028.0,43803403000000.0,43504797000000.0,43633416000000.0,43610860000000.0
2029.0,43730556000000.0,43410560000000.0,43483922000000.0,43417074000000.0
2030.0,43606518000000.0,43342126000000.0,43360960000000.0,43237430000000.0
2031.0,43493180000000.0,43157715000000.0,43220690000000.0,43105865000000.0
2032.0,43447247000000.0,43024365000000.0,43113855000000.0,43004870000000.0
2033.0,43360020000000.0,42789723000000.0,42939080000000.0,42920825000000.0
2034.0,43191290000000.0,42636400000000.0,42684908000000.0,42922410000000.0
2035.0,43122545000000.0,42458684000000.0,42496453000000.0,42835894000000.0
2036.0,43025347000000.0,42167146000000.0,42364660000000.0,42800160000000.0
2037.0,42921050000000.0,41933775000000.0,42282686000000.0,42625684000000.0
2038.0,42822758000000.0,41830310000000.0,42131880000000.0,42542574000000.0
2039.0,42745293000000.0,41662353000000.0,41985920000000.0,42485263000000.0
2040.0,42696404000000.0,41560850000000.0,41831287000000.0,42393210000000.0
2041.0,42576783000000.0,41396233000000.0,41749225000000.0,42361240000000.0
2042.0,42423426000000.0,41208900000000.0,41599652000000.0,42278723000000.0
2043.0,42165607000000.0,40937544000000.0,41445168000000.0,42280052000000.0
2044.0,42094250000000.0,40683985000000.0,41216950000000.0,42117255000000.0
2045.0,41952087000000.0,40365705000000.0,41009530000000.0,41988104000000.0
2046.0,41751080000000.0,40156678000000.0,40851560000000.0,41893120000000.0
2047.0,41587900000000.0,40022305000000.0,40664163000000.0,41798836000000.0
2048.0,41514357000000.0,39714490000000.0,40528890000000.0,41700660000000.0
2049.0,41367103000000.0,39372610000000.0,40385260000000.0,41575940000000.0
2050.0,41120768000000.0,39176950000000.0,40177934000000.0,41448494000000.0
2051.0,41057446000000.0,38860503000000.0,39963865000000.0,41326863000000.0
2052.0,40865653000000.0,38486405000000.0,39788010000000.0,41271733000000.0
2053.0,40732880000000.0,38184950000000.0,39553790000000.0,41161767000000.0
2054.0,40535323000000.0,37886108000000.0,39387590000000.0,41004808000000.0
2055.0,40376895000000.0,37688246000000.0,39210313000000.0,40919530000000.0
2056.0,40190593000000.0,37398270000000.0,38934747000000.0,40771483000000.0
2057.0,40044245000000.0,36965097000000.0,38638063000000.0,40572120000000.0
2058.0,39894820000000.0,36635224000000.0,38387920000000.0,40437033000000.0
2059.0,39733623000000.0,36298824000000.0,38159410000000.0,40351830000000.0
