time,CCSM4,CESM1-CAM5
2000.0,154846990780000.0,154846990780000.0
2001.0,154740725020000.0,154740725020000.0
2002.0,154551745019000.0,154551745019000.0
2003.0,154219225948000.0,154219225948000.0
2004.0,153909147275000.0,153909147275000.0
2005.0,153661811517000.0,153661811517000.0
2006.0,153454006270000.0,153454006270000.0
2007.0,153162498533000.0,153162498533000.0
2008.0,152762676147000.0,152762676147000.0
2009.0,152499089637000.0,152499089637000.0
2010.0,151992339880000.0,151992339880000.0
2011.0,151633380180000.0,151633380180000.0
2012.0,151278846061000.0,151278846061000.0
2013.0,150957431022000.0,150957431022000.0
2014.0,150618963757000.0,150618963757000.0
2015.0,150448330412000.0,150448330412000.0
2016.0,150156339333000.0,150156339333000.0
2017.0,149737891828000.0,149737891828000.0
2018.0,149320884259000.0,149320884259000.0
2019.0,149064874895000.0,149064874895000.0
2020.0,148624635187000.0,148624635187000.0
2021.0,148274472381000.0,147972430465000.0
2022.0,147929788502000.0,147438493111000.0
2023.0,147490970370000.0,146933278224000.0
2024.0,147086489279000.0,146316872842000.0
2025.0,146671138880000.0,145753583139000.0
2026.0,146130078869000.0,145179705468000.0
2027.0,145822946913000.0,144558743157000.0
2028.0,145462303484000.0,143850883507000.0
2029.0,144990230668000.0,143018928110000.0
2030.0,144401164681000.0,142251109749000.0
2031.0,144055811986000.0,141603191886000.0
2032.0,143697146428000.0,140969031750000.0
2033.0,143224777948000.0,140208636283000.0
2034.0,142695891088000.0,139549006000000.0
2035.0,142216418234000.0,138866740573000.0
2036.0,141881078832000.0,138248742361000.0
2037.0,141281491708000.0,137382256498000.0
2038.0,140976572252000.0,136561193388000.0
2039.0,140308168291000.0,135810679339000.0
2040.0,139748554541000.0,134998713774000.0
2041.0,139264689369000.0,134219832854000.0
2042.0,138535008518000.0,133362505432000.0
2043.0,138038243813000.0,132548337393000.0
2044.0,137443368522000.0,131907890139000.0
2045.0,136897086233000.0,131084226394000.0
2046.0,136300025932000.0,130296421962000.0
2047.0,135723769529000.0,129260992094000.0
2048.0,135147510566000.0,128438976987000.0
2049.0,134356383786000.0,127773720455000.0
2050.0,133691332106000.0,126698243669000.0
2051.0,133077448817000.0,125606841996000.0
2052.0,132412947881000.0,124611705173000.0
2053.0,131841848719000.0,123539983956000.0
2054.0,131073123654000.0,122816083263000.0
2055.0,130352793675000.0,121939050206000.0
2056.0,129644189312000.0,120997010602000.0
2057.0,128959918647000.0,119992059479000.0
2058.0,128313898884000.0,119151551672000.0
2059.0,127576539267000.0,117996762178000.0
2060.0,127006684734000.0,116546946282000.0
2061.0,126244839514000.0,115504794431000.0
2062.0,125370269292000.0,114450930296000.0
2063.0,124579950715000.0,113460306776000.0
2064.0,123836260387000.0,112283827631000.0
2065.0,123082264475000.0,111042214078000.0
2066.0,122418806554000.0,109655762249000.0
2067.0,121788004031000.0,108387532620000.0
2068.0,121007285533000.0,107252288290000.0
2069.0,120201980904000.0,106024118610000.0
2070.0,119350151845000.0,104825255761000.0
2071.0,118549282653000.0,103686443830000.0
2072.0,117786112530000.0,102431381694000.0
2073.0,116938528798000.0,101365962171000.0
2074.0,116077029678000.0,100262054690000.0
2075.0,115152754978000.0,99051640769000.0
2076.0,114222167955000.0,97806707163000.0
2077.0,113281732893000.0,96393676151000.0
2078.0,112401002978000.0,95240162575000.0
2079.0,111522996290000.0,94052493247000.0
2080.0,110797071410000.0,92735740408000.0
2081.0,110183136943000.0,91470563412000.0
2082.0,109185644678000.0,90226124995000.0
2083.0,108324532453000.0,88937993203000.0
2084.0,107352554927000.0,87509966409000.0
2085.0,106457892073000.0,86226266064000.0
2086.0,105734026157000.0,84955350978000.0
2087.0,104814003115000.0,83546995358000.0
2088.0,103852394112000.0,82092929327000.0
2089.0,102985148528000.0,80783325987000.0
2090.0,102075187932000.0,79703684260000.0
2091.0,100990605281000.0,78325582409300.0
2092.0,99997673313000.0,77093548827400.0
2093.0,99012651842000.0,75931261248600.0
2094.0,97965930269000.0,74782192651000.0
2095.0,97110364988000.0,73522037685000.0
2096.0,96149455393000.0,72431927603500.0
2097.0,95190905100000.0,71136304133700.0
2098.0,94185796882000.0,69794269875700.0
2099.0,93374957592000.0,68578012690700.0
2100.0,92544520994000.0,67238303802300.0
2101.0,91522057006000.0,65970755536400.0
2102.0,90610029466000.0,64672598716600.0
2103.0,89727500124000.0,63644288787200.0
2104.0,88871756884400.0,62475224832800.0
2105.0,88017203372100.0,61419328505300.0
2106.0,87093189471000.0,60310532922300.0
2107.0,86377465171300.0,59177611531000.0
2108.0,85581665721000.0,58185102737600.0
2109.0,84768467739600.0,57185451012500.0
2110.0,83879862769000.0,56017882597300.0
2111.0,83104987692200.0,55118925048300.0
2112.0,82275481374300.0,54100311240000.0
2113.0,81590741632400.0,53140588926800.0
2114.0,80926860715000.0,52263011479100.0
2115.0,80007800926600.0,51367093607900.0
2116.0,79024634815400.0,50470976943600.0
2117.0,78284901860300.0,49540223506200.0
2118.0,77528863211200.0,48681085029700.0
2119.0,76545493823300.0,47859426825600.0
2120.0,75640996591400.0,47018694348700.0
2121.0,74821631724700.0,46060100183600.0
2122.0,74143413029600.0,45158461008200.0
2123.0,73268436528900.0,44344125544800.0
2124.0,72474255700600.0,43558726316300.0
2125.0,71719931108300.0,42661475226500.0
2126.0,70739402211600.0,41826833060600.0
2127.0,70019572100000.0,41139026125000.0
2128.0,69212166909500.0,40281073643500.0
2129.0,68411663562700.0,39565368944200.0
2130.0,67508827234400.0,38695232749800.0
2131.0,66744018315400.0,37925777456300.0
2132.0,66106232204100.0,37272671598600.0
2133.0,65384932835300.0,36581512576300.0
2134.0,64568567987300.0,35881924692100.0
2135.0,63760857632300.0,35184938994900.0
2136.0,62976362877500.0,34499971549600.0
2137.0,62328347804000.0,33789119918200.0
2138.0,61751666495300.0,33170871866340.0
2139.0,61038386698300.0,32420552605500.0
2140.0,60402579750000.0,31668605429000.0
2141.0,59670828904400.0,31027825626800.0
2142.0,58899572296400.0,30447516096700.0
2143.0,58150958207600.0,29857365110040.0
2144.0,57508026740900.0,29292206764350.0
2145.0,56839684595000.0,28706104990100.0
2146.0,56246980617100.0,28163351258200.0
2147.0,55572859294500.0,27585784962300.0
2148.0,55017652056300.0,27038171333630.0
2149.0,54396159006100.0,26587207124280.0
2150.0,53784216017700.0,26081012847850.0
2151.0,53163852582500.0,25526473168750.0
2152.0,52622289520800.0,24975154242210.0
2153.0,52149095408500.0,24457673914290.0
2154.0,51592290264600.0,23949355763120.0
2155.0,50909381785600.0,23356341784664.0
2156.0,50251787706500.0,22853659328036.0
2157.0,49763293145000.0,22371552344370.0
2158.0,49310086292700.0,21879202798936.0
2159.0,48810332358000.0,21348459854530.0
2160.0,48363088085100.0,20888004906080.0
2161.0,47819803197000.0,20428420122004.0
2162.0,47326770317300.0,19976276143456.0
2163.0,46748988563400.0,19569032401816.0
2164.0,46284774335700.0,19154575284690.0
2165.0,45700406467250.0,18788416025412.0
2166.0,45180917974400.0,18434691986308.0
2167.0,44674954053740.0,18038046494000.0
2168.0,44099080058120.0,17642222645660.0
2169.0,43599509903980.0,17240588430950.0
2170.0,43157356372300.0,16906554216732.0
2171.0,42731040593940.0,16584914462224.0
2172.0,42264162275260.0,16271629540360.0
2173.0,41757919166200.0,15935125468276.0
2174.0,41272734931130.0,15617891968870.0
