time,MRI-ESM2-0
2000.0,3646099600000.0
2001.0,3630449600000.0
2002.0,3619795200000.0
2003.0,3617222000000.0
2004.0,3606108000000.0
2005.0,3592676700000.0
2006.0,3585865000000.0
2007.0,3578603800000.0
2008.0,3577170600000.0
2009.0,3558707000000.0
2010.0,3553073000000.0
2011.0,3528993800000.0
2012.0,3530225400000.0
2013.0,3529745000000.0
2014.0,3528008000000.0
2015.0,3516553500000.0
2016.0,3514765000000.0
2017.0,3497463400000.0
2018.0,3480095800000.0
2019.0,3475432300000.0
2020.0,3452667200000.0
2021.0,3426289500000.0
2022.0,3409541300000.0
2023.0,3388154800000.0
2024.0,3370046500000.0
2025.0,3357909500000.0
2026.0,3329118400000.0
2027.0,3302511300000.0
2028.0,3274793800000.0
2029.0,3254372800000.0
2030.0,3228782600000.0
2031.0,3198496300000.0
2032.0,3172078000000.0
2033.0,3141237700000.0
2034.0,3113305000000.0
2035.0,3080554300000.0
2036.0,3043221300000.0
2037.0,3008246800000.0
2038.0,2981563200000.0
2039.0,2953922500000.0
2040.0,2921623700000.0
2041.0,2890472600000.0
2042.0,2857960500000.0
2043.0,2824330000000.0
2044.0,2795881400000.0
2045.0,2764530000000.0
2046.0,2731070200000.0
2047.0,2695786100000.0
2048.0,2675667400000.0
2049.0,2642930300000.0
2050.0,2615105300000.0
2051.0,2586424000000.0
2052.0,2561285300000.0
2053.0,2534359000000.0
2054.0,2523923500000.0
2055.0,2506517000000.0
2056.0,2484206300000.0
2057.0,2461845700000.0
2058.0,2439275300000.0
2059.0,2425492900000.0
2060.0,2401949700000.0
2061.0,2377153500000.0
2062.0,2357328000000.0
2063.0,2329924900000.0
2064.0,2308790600000.0
2065.0,2295329000000.0
2066.0,2281980600000.0
2067.0,2262002800000.0
2068.0,2250003200000.0
2069.0,2233276600000.0
2070.0,2215896400000.0
2071.0,2186025600000.0
2072.0,2164983100000.0
2073.0,2155027100000.0
2074.0,2144440500000.0
2075.0,2128441100000.0
2076.0,2112028400000.0
2077.0,2098151400000.0
2078.0,2083473500000.0
2079.0,2066786200000.0
2080.0,2045573500000.0
2081.0,2033811500000.0
2082.0,2024479300000.0
2083.0,2014020800000.0
2084.0,2002381800000.0
2085.0,1991418600000.0
2086.0,1977859400000.0
2087.0,1962038300000.0
2088.0,1950340000000.0
2089.0,1942511000000.0
2090.0,1932305500000.0
2091.0,1924061500000.0
2092.0,1914415500000.0
2093.0,1911076200000.0
2094.0,1901496200000.0
2095.0,1891698000000.0
2096.0,1879958200000.0
2097.0,1877724400000.0
2098.0,1872600400000.0
2099.0,1862076600000.0
2100.0,1855086700000.0
