time,CESM2-WACCM,CANESM5,EC-EARTH3,MRI-ESM2-0,INM-CM4-8,ACCESS-ESM1-5,BCC-CSM2-MR,CESM2,MPI-ESM1-2-HR,CAMS-CSM1-0,TAIESM1,INM-CM5-0,NORESM2-MM,CMCC-CM2-SR5,IPSL-CM6A-LR,ACCESS-CM2,FGOALS-F3-L,GFDL-ESM4,EC-EARTH3-VEG
2000.0,7517799000000.0,7517799000000.0,7517799000000.0,7517799000000.0,7517799000000.0,7517799000000.0,7517799000000.0,7517799000000.0,7517799000000.0,7517799000000.0,7517799000000.0,7517799000000.0,7517799000000.0,7517799000000.0,7517799000000.0,7517799000000.0,7517799000000.0,7517799000000.0,7517799000000.0
2001.0,7522461000000.0,7522461000000.0,7522461000000.0,7522461000000.0,7522461000000.0,7522461000000.0,7522461000000.0,7522461000000.0,7522461000000.0,7522461000000.0,7522461000000.0,7522461000000.0,7522461000000.0,7522461000000.0,7522461000000.0,7522461000000.0,7522461000000.0,7522461000000.0,7522461000000.0
2002.0,7507032400000.0,7507032400000.0,7507032400000.0,7507032400000.0,7507032400000.0,7507032400000.0,7507032400000.0,7507032400000.0,7507032400000.0,7507032400000.0,7507032400000.0,7507032400000.0,7507032400000.0,7507032400000.0,7507032400000.0,7507032400000.0,7507032400000.0,7507032400000.0,7507032400000.0
2003.0,7480615600000.0,7480615600000.0,7480615600000.0,7480615600000.0,7480615600000.0,7480615600000.0,7480615600000.0,7480615600000.0,7480615600000.0,7480615600000.0,7480615600000.0,7480615600000.0,7480615600000.0,7480615600000.0,7480615600000.0,7480615600000.0,7480615600000.0,7480615600000.0,7480615600000.0
2004.0,7464906400000.0,7464906400000.0,7464906400000.0,7464906400000.0,7464906400000.0,7464906400000.0,7464906400000.0,7464906400000.0,7464906400000.0,7464906400000.0,7464906400000.0,7464906400000.0,7464906400000.0,7464906400000.0,7464906400000.0,7464906400000.0,7464906400000.0,7464906400000.0,7464906400000.0
2005.0,7444068600000.0,7444068600000.0,7444068600000.0,7444068600000.0,7444068600000.0,7444068600000.0,7444068600000.0,7444068600000.0,7444068600000.0,7444068600000.0,7444068600000.0,7444068600000.0,7444068600000.0,7444068600000.0,7444068600000.0,7444068600000.0,7444068600000.0,7444068600000.0,7444068600000.0
2006.0,7420303000000.0,7420303000000.0,7420303000000.0,7420303000000.0,7420303000000.0,7420303000000.0,7420303000000.0,7420303000000.0,7420303000000.0,7420303000000.0,7420303000000.0,7420303000000.0,7420303000000.0,7420303000000.0,7420303000000.0,7420303000000.0,7420303000000.0,7420303000000.0,7420303000000.0
2007.0,7406095400000.0,7406095400000.0,7406095400000.0,7406095400000.0,7406095400000.0,7406095400000.0,7406095400000.0,7406095400000.0,7406095400000.0,7406095400000.0,7406095400000.0,7406095400000.0,7406095400000.0,7406095400000.0,7406095400000.0,7406095400000.0,7406095400000.0,7406095400000.0,7406095400000.0
2008.0,7389187000000.0,7389187000000.0,7389187000000.0,7389187000000.0,7389187000000.0,7389187000000.0,7389187000000.0,7389187000000.0,7389187000000.0,7389187000000.0,7389187000000.0,7389187000000.0,7389187000000.0,7389187000000.0,7389187000000.0,7389187000000.0,7389187000000.0,7389187000000.0,7389187000000.0
2009.0,7386740000000.0,7386740000000.0,7386740000000.0,7386740000000.0,7386740000000.0,7386740000000.0,7386740000000.0,7386740000000.0,7386740000000.0,7386740000000.0,7386740000000.0,7386740000000.0,7386740000000.0,7386740000000.0,7386740000000.0,7386740000000.0,7386740000000.0,7386740000000.0,7386740000000.0
2010.0,7381274600000.0,7381274600000.0,7381274600000.0,7381274600000.0,7381274600000.0,7381274600000.0,7381274600000.0,7381274600000.0,7381274600000.0,7381274600000.0,7381274600000.0,7381274600000.0,7381274600000.0,7381274600000.0,7381274600000.0,7381274600000.0,7381274600000.0,7381274600000.0,7381274600000.0
2011.0,7379705400000.0,7379705400000.0,7379705400000.0,7379705400000.0,7379705400000.0,7379705400000.0,7379705400000.0,7379705400000.0,7379705400000.0,7379705400000.0,7379705400000.0,7379705400000.0,7379705400000.0,7379705400000.0,7379705400000.0,7379705400000.0,7379705400000.0,7379705400000.0,7379705400000.0
2012.0,7367731700000.0,7367731700000.0,7367731700000.0,7367731700000.0,7367731700000.0,7367731700000.0,7367731700000.0,7367731700000.0,7367731700000.0,7367731700000.0,7367731700000.0,7367731700000.0,7367731700000.0,7367731700000.0,7367731700000.0,7367731700000.0,7367731700000.0,7367731700000.0,7367731700000.0
2013.0,7372087500000.0,7372087500000.0,7372087500000.0,7372087500000.0,7372087500000.0,7372087500000.0,7372087500000.0,7372087500000.0,7372087500000.0,7372087500000.0,7372087500000.0,7372087500000.0,7372087500000.0,7372087500000.0,7372087500000.0,7372087500000.0,7372087500000.0,7372087500000.0,7372087500000.0
2014.0,7329361700000.0,7329361700000.0,7329361700000.0,7329361700000.0,7329361700000.0,7329361700000.0,7329361700000.0,7329361700000.0,7329361700000.0,7329361700000.0,7329361700000.0,7329361700000.0,7329361700000.0,7329361700000.0,7329361700000.0,7329361700000.0,7329361700000.0,7329361700000.0,7329361700000.0
2015.0,7322825400000.0,7322825400000.0,7322825400000.0,7322825400000.0,7322825400000.0,7322825400000.0,7322825400000.0,7322825400000.0,7322825400000.0,7322825400000.0,7322825400000.0,7322825400000.0,7322825400000.0,7322825400000.0,7322825400000.0,7322825400000.0,7322825400000.0,7322825400000.0,7322825400000.0
2016.0,7316028500000.0,7316028500000.0,7316028500000.0,7316028500000.0,7316028500000.0,7316028500000.0,7316028500000.0,7316028500000.0,7316028500000.0,7316028500000.0,7316028500000.0,7316028500000.0,7316028500000.0,7316028500000.0,7316028500000.0,7316028500000.0,7316028500000.0,7316028500000.0,7316028500000.0
2017.0,7317255400000.0,7317255400000.0,7317255400000.0,7317255400000.0,7317255400000.0,7317255400000.0,7317255400000.0,7317255400000.0,7317255400000.0,7317255400000.0,7317255400000.0,7317255400000.0,7317255400000.0,7317255400000.0,7317255400000.0,7317255400000.0,7317255400000.0,7317255400000.0,7317255400000.0
2018.0,7306933000000.0,7306933000000.0,7306933000000.0,7306933000000.0,7306933000000.0,7306933000000.0,7306933000000.0,7306933000000.0,7306933000000.0,7306933000000.0,7306933000000.0,7306933000000.0,7306933000000.0,7306933000000.0,7306933000000.0,7306933000000.0,7306933000000.0,7306933000000.0,7306933000000.0
2019.0,7313468400000.0,7313468400000.0,7313468400000.0,7313468400000.0,7313468400000.0,7313468400000.0,7313468400000.0,7313468400000.0,7313468400000.0,7313468400000.0,7313468400000.0,7313468400000.0,7313468400000.0,7313468400000.0,7313468400000.0,7313468400000.0,7313468400000.0,7313468400000.0,7313468400000.0
2020.0,7281800400000.0,7281800400000.0,7281800400000.0,7281800400000.0,7281800400000.0,7281800400000.0,7281800400000.0,7281800400000.0,7281800400000.0,7281800400000.0,7281800400000.0,7281800400000.0,7281800400000.0,7281800400000.0,7281800400000.0,7281800400000.0,7281800400000.0,7281800400000.0,7281800400000.0
2021.0,7274222300000.0,7238308000000.0,7253946000000.0,7262136000000.0,7265806000000.0,7269969000000.0,7259972000000.0,7237159400000.0,7280424000000.0,7268302600000.0,7264520000000.0,7270903000000.0,7258878000000.0,7281694000000.0,7259410000000.0,7280974600000.0,7273390000000.0,7250407000000.0,7243200700000.0
2022.0,7258014500000.0,7197610000000.0,7227388000000.0,7244535000000.0,7255046000000.0,7250437000000.0,7258340600000.0,7204918300000.0,7264964000000.0,7251588000000.0,7214992500000.0,7254222000000.0,7250235000000.0,7265929000000.0,7253135000000.0,7277656400000.0,7258271000000.0,7253394500000.0,7217092000000.0
2023.0,7250320600000.0,7137551000000.0,7195611000000.0,7211528500000.0,7243730000000.0,7242216000000.0,7248409000000.0,7191447000000.0,7258234700000.0,7234208000000.0,7194566000000.0,7240787400000.0,7225853600000.0,7239146000000.0,7248521000000.0,7259270000000.0,7240658500000.0,7226858000000.0,7171936400000.0
2024.0,7234862000000.0,7076302600000.0,7158892000000.0,7151107000000.0,7233460000000.0,7242382000000.0,7247502500000.0,7162860400000.0,7261068500000.0,7217580000000.0,7151681500000.0,7214088000000.0,7221206000000.0,7228538500000.0,7237650000000.0,7235960300000.0,7221528000000.0,7216835000000.0,7124683300000.0
2025.0,7225842000000.0,6991190700000.0,7092609000000.0,7118087000000.0,7220194400000.0,7214916400000.0,7239586300000.0,7138216000000.0,7243193400000.0,7191541600000.0,7118503000000.0,7184504000000.0,7202397500000.0,7218068000000.0,7233773000000.0,7225230000000.0,7223727000000.0,7186210000000.0,7085030400000.0
2026.0,7218127700000.0,6910291000000.0,7033279500000.0,7072586000000.0,7218175400000.0,7193384000000.0,7251579400000.0,7106353700000.0,7237720000000.0,7168581400000.0,7081943400000.0,7161331600000.0,7177107400000.0,7211634400000.0,7229898500000.0,7210426400000.0,7197353300000.0,7174999000000.0,7029448500000.0
2027.0,7207904600000.0,6817311600000.0,6983354700000.0,7033986000000.0,7191017000000.0,7172979000000.0,7240480700000.0,7086655700000.0,7224721000000.0,7157153000000.0,7059311400000.0,7119499700000.0,7149292400000.0,7191922000000.0,7202338000000.0,7178602700000.0,7178682400000.0,7159378000000.0,6987700000000.0
