time,CMCC-CM2-SR5,NORESM2-MM,GFDL-ESM4,MPI-ESM1-2-HR,CESM2-WACCM,EC-EARTH3-VEG,INM-CM5-0,EC-EARTH3,MRI-ESM2-0,CESM2,INM-CM4-8,FGOALS-F3-L,BCC-CSM2-MR,CAMS-CSM1-0
2000.0,13944907000000.0,13944907000000.0,13944907000000.0,13944907000000.0,13944907000000.0,13944907000000.0,13944907000000.0,13944907000000.0,13944907000000.0,13944907000000.0,13944907000000.0,13944907000000.0,13944907000000.0,13944907000000.0
2001.0,13921663000000.0,13921663000000.0,13921663000000.0,13921663000000.0,13921663000000.0,13921663000000.0,13921663000000.0,13921663000000.0,13921663000000.0,13921663000000.0,13921663000000.0,13921663000000.0,13921663000000.0,13921663000000.0
2002.0,13902591000000.0,13902591000000.0,13902591000000.0,13902591000000.0,13902591000000.0,13902591000000.0,13902591000000.0,13902591000000.0,13902591000000.0,13902591000000.0,13902591000000.0,13902591000000.0,13902591000000.0,13902591000000.0
2003.0,13891185000000.0,13891185000000.0,13891185000000.0,13891185000000.0,13891185000000.0,13891185000000.0,13891185000000.0,13891185000000.0,13891185000000.0,13891185000000.0,13891185000000.0,13891185000000.0,13891185000000.0,13891185000000.0
2004.0,13889544000000.0,13889544000000.0,13889544000000.0,13889544000000.0,13889544000000.0,13889544000000.0,13889544000000.0,13889544000000.0,13889544000000.0,13889544000000.0,13889544000000.0,13889544000000.0,13889544000000.0,13889544000000.0
2005.0,13885469000000.0,13885469000000.0,13885469000000.0,13885469000000.0,13885469000000.0,13885469000000.0,13885469000000.0,13885469000000.0,13885469000000.0,13885469000000.0,13885469000000.0,13885469000000.0,13885469000000.0,13885469000000.0
2006.0,13873272000000.0,13873272000000.0,13873272000000.0,13873272000000.0,13873272000000.0,13873272000000.0,13873272000000.0,13873272000000.0,13873272000000.0,13873272000000.0,13873272000000.0,13873272000000.0,13873272000000.0,13873272000000.0
2007.0,13858094000000.0,13858094000000.0,13858094000000.0,13858094000000.0,13858094000000.0,13858094000000.0,13858094000000.0,13858094000000.0,13858094000000.0,13858094000000.0,13858094000000.0,13858094000000.0,13858094000000.0,13858094000000.0
2008.0,13853954000000.0,13853954000000.0,13853954000000.0,13853954000000.0,13853954000000.0,13853954000000.0,13853954000000.0,13853954000000.0,13853954000000.0,13853954000000.0,13853954000000.0,13853954000000.0,13853954000000.0,13853954000000.0
2009.0,13847373000000.0,13847373000000.0,13847373000000.0,13847373000000.0,13847373000000.0,13847373000000.0,13847373000000.0,13847373000000.0,13847373000000.0,13847373000000.0,13847373000000.0,13847373000000.0,13847373000000.0,13847373000000.0
