time,MRI-ESM2-0,CESM2-WACCM,CANESM5,IPSL-CM6A-LR
2000.0,131304230000.0,131304230000.0,131304230000.0,131304230000.0
2001.0,130346880000.0,130346880000.0,130346880000.0,130346880000.0
2002.0,129411645000.0,129411645000.0,129411645000.0,129411645000.0
2003.0,128004370000.0,128004370000.0,128004370000.0,128004370000.0
2004.0,127008735000.0,127008735000.0,127008735000.0,127008735000.0
2005.0,126133970000.0,126133970000.0,126133970000.0,126133970000.0
2006.0,124815330000.0,124815330000.0,124815330000.0,124815330000.0
2007.0,123317410000.0,123317410000.0,123317410000.0,123317410000.0
2008.0,121628836000.0,121628836000.0,121628836000.0,121628836000.0
2009.0,119481300000.0,119481300000.0,119481300000.0,119481300000.0
2010.0,118691050000.0,118691050000.0,118691050000.0,118691050000.0
2011.0,117225490000.0,117225490000.0,117225490000.0,117225490000.0
2012.0,115359320000.0,115359320000.0,115359320000.0,115359320000.0
2013.0,113967370000.0,113967370000.0,113967370000.0,113967370000.0
2014.0,113221870000.0,113221870000.0,113221870000.0,113221870000.0
2015.0,111624380000.0,111624380000.0,111624380000.0,111624380000.0
2016.0,109898950000.0,109898950000.0,109898950000.0,109898950000.0
2017.0,107600806000.0,107600806000.0,107600806000.0,107600806000.0
2018.0,105859360000.0,105859360000.0,105859360000.0,105859360000.0
2019.0,104676240000.0,104676240000.0,104676240000.0,104676240000.0
2020.0,103749860000.0,103749860000.0,103749860000.0,103749860000.0
2021.0,101578230000.0,102063530000.0,102096720000.0,102486910000.0
2022.0,98917564000.0,101941230000.0,99797310000.0,100526420000.0
2023.0,95951030000.0,100624820000.0,97683040000.0,99377090000.0
2024.0,93909460000.0,99229790000.0,95972540000.0,96486860000.0
2025.0,90678320000.0,97389265000.0,93589960000.0,95297356000.0
2026.0,87104660000.0,94307080000.0,91108650000.0,92924610000.0
2027.0,83773820000.0,91886190000.0,88832680000.0,90865770000.0
2028.0,81069646000.0,89267560000.0,86428164000.0,87781850000.0
2029.0,77663460000.0,87191540000.0,83497600000.0,85441400000.0
2030.0,75359580000.0,85189920000.0,80625400000.0,83047140000.0
2031.0,72690120000.0,83572330000.0,77481345000.0,80969550000.0
2032.0,69145305000.0,81763810000.0,74284020000.0,79519190000.0
2033.0,66292347000.0,80244720000.0,71210680000.0,77030690000.0
2034.0,63781306000.0,77287880000.0,68430170000.0,73774360000.0
2035.0,61146616000.0,74591070000.0,66594680000.0,70504235000.0
2036.0,59714830000.0,71957020000.0,64411533000.0,68342833000.0
2037.0,57224516000.0,69124170000.0,60920893000.0,66365150000.0
2038.0,54003835000.0,67398010000.0,57714540000.0,64662688000.0
2039.0,50781230000.0,65126220000.0,55603057000.0,62121214000.0
2040.0,48674830000.0,62459530000.0,53037050000.0,59423470000.0
2041.0,47427867000.0,60201476000.0,50783530000.0,55862833000.0
2042.0,44509442000.0,57498616000.0,48214737000.0,53800382000.0
2043.0,42211135000.0,54882808000.0,45518990000.0,51220950000.0
2044.0,40806430000.0,52795154000.0,42683376000.0,49134780000.0
2045.0,38885028000.0,50499666000.0,40524700000.0,46200693000.0
2046.0,37183898000.0,47879373000.0,38377280000.0,43733713000.0
2047.0,36237197000.0,45699250000.0,36160000000.0,41668860000.0
2048.0,35016425000.0,43393130000.0,34185998000.0,39755837000.0
2049.0,33771289000.0,41280487000.0,32561074000.0,37604260000.0
2050.0,32472144000.0,39309783000.0,30546500000.0,35870680000.0
2051.0,30948966000.0,37483840000.0,28786710000.0,33653799000.0
2052.0,30211293000.0,35554450000.0,27643935000.0,31917000000.0
2053.0,29233527000.0,33708493000.0,26358473000.0,30581387000.0
2054.0,28250292000.0,32241314000.0,24787376000.0,29107618000.0
2055.0,27186422000.0,31022524000.0,23907262000.0,27412546000.0
2056.0,26532194000.0,29741146000.0,22478543000.0,26191626000.0
2057.0,25930010000.0,28324526000.0,21632176000.0,25024692000.0
2058.0,24855382000.0,26865060000.0,20556356000.0,23901550000.0
2059.0,24117484000.0,25342691000.0,19446921000.0,22807243000.0
2060.0,23397850000.0,24339450000.0,18592004000.0,21777619000.0
2061.0,22664454000.0,23575374000.0,17806530000.0,21016052000.0
2062.0,22147142000.0,23031919000.0,17015620000.0,20045914000.0
2063.0,21730038000.0,22322145000.0,16551262000.0,19182133000.0
2064.0,21362463000.0,21480649000.0,15852560000.0,18607495000.0
