time,ACCESS-CM2,CESM2,CESM2-WACCM,NORESM2-MM,INM-CM4-8,CANESM5,ACCESS-ESM1-5,EC-EARTH3,INM-CM5-0,MPI-ESM1-2-HR,CAMS-CSM1-0,MRI-ESM2-0,BCC-CSM2-MR,IPSL-CM6A-LR,GFDL-ESM4,FGOALS-F3-L,EC-EARTH3-VEG
2000.0,869247400000.0,869247400000.0,869247400000.0,869247400000.0,869247400000.0,869247400000.0,869247400000.0,869247400000.0,869247400000.0,869247400000.0,869247400000.0,869247400000.0,869247400000.0,869247400000.0,869247400000.0,869247400000.0,869247400000.0
2001.0,869160700000.0,869160700000.0,869160700000.0,869160700000.0,869160700000.0,869160700000.0,869160700000.0,869160700000.0,869160700000.0,869160700000.0,869160700000.0,869160700000.0,869160700000.0,869160700000.0,869160700000.0,869160700000.0,869160700000.0
2002.0,866940940000.0,866940940000.0,866940940000.0,866940940000.0,866940940000.0,866940940000.0,866940940000.0,866940940000.0,866940940000.0,866940940000.0,866940940000.0,866940940000.0,866940940000.0,866940940000.0,866940940000.0,866940940000.0,866940940000.0
2003.0,865062400000.0,865062400000.0,865062400000.0,865062400000.0,865062400000.0,865062400000.0,865062400000.0,865062400000.0,865062400000.0,865062400000.0,865062400000.0,865062400000.0,865062400000.0,865062400000.0,865062400000.0,865062400000.0,865062400000.0
2004.0,861031500000.0,861031500000.0,861031500000.0,861031500000.0,861031500000.0,861031500000.0,861031500000.0,861031500000.0,861031500000.0,861031500000.0,861031500000.0,861031500000.0,861031500000.0,861031500000.0,861031500000.0,861031500000.0,861031500000.0
2005.0,857439400000.0,857439400000.0,857439400000.0,857439400000.0,857439400000.0,857439400000.0,857439400000.0,857439400000.0,857439400000.0,857439400000.0,857439400000.0,857439400000.0,857439400000.0,857439400000.0,857439400000.0,857439400000.0,857439400000.0
2006.0,847826500000.0,847826500000.0,847826500000.0,847826500000.0,847826500000.0,847826500000.0,847826500000.0,847826500000.0,847826500000.0,847826500000.0,847826500000.0,847826500000.0,847826500000.0,847826500000.0,847826500000.0,847826500000.0,847826500000.0
2007.0,835716800000.0,835716800000.0,835716800000.0,835716800000.0,835716800000.0,835716800000.0,835716800000.0,835716800000.0,835716800000.0,835716800000.0,835716800000.0,835716800000.0,835716800000.0,835716800000.0,835716800000.0,835716800000.0,835716800000.0
2008.0,825610300000.0,825610300000.0,825610300000.0,825610300000.0,825610300000.0,825610300000.0,825610300000.0,825610300000.0,825610300000.0,825610300000.0,825610300000.0,825610300000.0,825610300000.0,825610300000.0,825610300000.0,825610300000.0,825610300000.0
2009.0,823401600000.0,823401600000.0,823401600000.0,823401600000.0,823401600000.0,823401600000.0,823401600000.0,823401600000.0,823401600000.0,823401600000.0,823401600000.0,823401600000.0,823401600000.0,823401600000.0,823401600000.0,823401600000.0,823401600000.0
2010.0,805672450000.0,805672450000.0,805672450000.0,805672450000.0,805672450000.0,805672450000.0,805672450000.0,805672450000.0,805672450000.0,805672450000.0,805672450000.0,805672450000.0,805672450000.0,805672450000.0,805672450000.0,805672450000.0,805672450000.0
2011.0,793252100000.0,793252100000.0,793252100000.0,793252100000.0,793252100000.0,793252100000.0,793252100000.0,793252100000.0,793252100000.0,793252100000.0,793252100000.0,793252100000.0,793252100000.0,793252100000.0,793252100000.0,793252100000.0,793252100000.0
2012.0,787780530000.0,787780530000.0,787780530000.0,787780530000.0,787780530000.0,787780530000.0,787780530000.0,787780530000.0,787780530000.0,787780530000.0,787780530000.0,787780530000.0,787780530000.0,787780530000.0,787780530000.0,787780530000.0,787780530000.0
2013.0,775046500000.0,775046500000.0,775046500000.0,775046500000.0,775046500000.0,775046500000.0,775046500000.0,775046500000.0,775046500000.0,775046500000.0,775046500000.0,775046500000.0,775046500000.0,775046500000.0,775046500000.0,775046500000.0,775046500000.0
2014.0,770802200000.0,770802200000.0,770802200000.0,770802200000.0,770802200000.0,770802200000.0,770802200000.0,770802200000.0,770802200000.0,770802200000.0,770802200000.0,770802200000.0,770802200000.0,770802200000.0,770802200000.0,770802200000.0,770802200000.0
2015.0,759412000000.0,759412000000.0,759412000000.0,759412000000.0,759412000000.0,759412000000.0,759412000000.0,759412000000.0,759412000000.0,759412000000.0,759412000000.0,759412000000.0,759412000000.0,759412000000.0,759412000000.0,759412000000.0,759412000000.0
2016.0,754134940000.0,754134940000.0,754134940000.0,754134940000.0,754134940000.0,754134940000.0,754134940000.0,754134940000.0,754134940000.0,754134940000.0,754134940000.0,754134940000.0,754134940000.0,754134940000.0,754134940000.0,754134940000.0,754134940000.0
2017.0,744729800000.0,744729800000.0,744729800000.0,744729800000.0,744729800000.0,744729800000.0,744729800000.0,744729800000.0,744729800000.0,744729800000.0,744729800000.0,744729800000.0,744729800000.0,744729800000.0,744729800000.0,744729800000.0,744729800000.0
2018.0,736840500000.0,736840500000.0,736840500000.0,736840500000.0,736840500000.0,736840500000.0,736840500000.0,736840500000.0,736840500000.0,736840500000.0,736840500000.0,736840500000.0,736840500000.0,736840500000.0,736840500000.0,736840500000.0,736840500000.0
2019.0,725345300000.0,725345300000.0,725345300000.0,725345300000.0,725345300000.0,725345300000.0,725345300000.0,725345300000.0,725345300000.0,725345300000.0,725345300000.0,725345300000.0,725345300000.0,725345300000.0,725345300000.0,725345300000.0,725345300000.0
2020.0,718000500000.0,718000500000.0,718000500000.0,718000500000.0,718000500000.0,718000500000.0,718000500000.0,718000500000.0,718000500000.0,718000500000.0,718000500000.0,718000500000.0,718000500000.0,718000500000.0,718000500000.0,718000500000.0,718000500000.0
2021.0,705982300000.0,706543000000.0,698126900000.0,703261200000.0,709373200000.0,741117500000.0,701191600000.0,702520950000.0,714163700000.0,710412100000.0,710665240000.0,701558800000.0,694639800000.0,705358270000.0,710261000000.0,703458700000.0,712219000000.0
2022.0,693143000000.0,686841700000.0,682706530000.0,684943900000.0,699352600000.0,772869460000.0,681609600000.0,695502600000.0,705250260000.0,704318340000.0,698758300000.0,691926470000.0,685441400000.0,692796600000.0,694501050000.0,693474100000.0,698598560000.0
2023.0,682501700000.0,674730740000.0,671923000000.0,672407550000.0,690174300000.0,751556900000.0,673957940000.0,686254600000.0,697754800000.0,693432100000.0,689718560000.0,679535000000.0,682603600000.0,685165000000.0,680138400000.0,681376550000.0,687267600000.0
2024.0,673758100000.0,666666000000.0,657291400000.0,656019500000.0,682290050000.0,735633740000.0,660304600000.0,674074850000.0,679641000000.0,674806400000.0,686149600000.0,668252500000.0,680332360000.0,674117650000.0,669110040000.0,667280900000.0,674556700000.0
2025.0,654553060000.0,660580300000.0,643654500000.0,634982900000.0,671068260000.0,724615950000.0,645551750000.0,664775560000.0,670120300000.0,664549000000.0,674469000000.0,656330650000.0,672416300000.0,668900850000.0,654794750000.0,658029700000.0,661717900000.0
2026.0,632408050000.0,647476100000.0,635979400000.0,613904300000.0,663224250000.0,713020340000.0,632637100000.0,654495450000.0,659331940000.0,643634400000.0,678841100000.0,643193100000.0,662113550000.0,651799170000.0,641294500000.0,634741500000.0,643044150000.0
2027.0,615106740000.0,635842700000.0,621904200000.0,599582200000.0,645683100000.0,687480000000.0,609928940000.0,642489840000.0,645228700000.0,633718900000.0,667557700000.0,620140000000.0,660837430000.0,636629550000.0,626065540000.0,615483000000.0,634425200000.0
2028.0,599709840000.0,624299100000.0,612394100000.0,582667500000.0,632856840000.0,674039000000.0,600330800000.0,628741200000.0,637090200000.0,617615650000.0,653328500000.0,598889860000.0,657601860000.0,623401800000.0,617898400000.0,612411900000.0,623683440000.0
2029.0,580770500000.0,616475000000.0,612112860000.0,565651200000.0,624581400000.0,646748400000.0,597108800000.0,614220960000.0,625162400000.0,595099300000.0,653545700000.0,584084360000.0,648786200000.0,611518600000.0,606583100000.0,601415500000.0,609638900000.0
2030.0,567790670000.0,602906030000.0,595783800000.0,552754600000.0,617827900000.0,646476800000.0,579082300000.0,596729460000.0,611614200000.0,577126000000.0,653139050000.0,572457900000.0,647034630000.0,587883350000.0,604543700000.0,588128300000.0,600471600000.0
2031.0,559259450000.0,585653160000.0,583402700000.0,544604900000.0,612419760000.0,640307900000.0,563635360000.0,585567240000.0,609983860000.0,569625600000.0,640555940000.0,557936930000.0,638672300000.0,572615900000.0,601344440000.0,579927300000.0,593768000000.0
2032.0,544187650000.0,573196340000.0,575643300000.0,526268630000.0,600939950000.0,615873200000.0,545154200000.0,572884000000.0,598301700000.0,560944000000.0,631210050000.0,544938920000.0,623831000000.0,557046300000.0,592856740000.0,569860160000.0,584184300000.0
2033.0,530151640000.0,558413500000.0,557877800000.0,511005500000.0,598734730000.0,587599500000.0,534612930000.0,561086330000.0,591566500000.0,555896200000.0,627429300000.0,527747500000.0,615468240000.0,538896400000.0,583065200000.0,554322760000.0,572222340000.0
2034.0,525856150000.0,549387370000.0,538282160000.0,494990070000.0,590502200000.0,561976970000.0,519913870000.0,549927500000.0,587875900000.0,545990900000.0,633026700000.0,515589540000.0,614427800000.0,536865000000.0,573452850000.0,547225440000.0,561535700000.0
