time,INM-CM4-8,EC-EARTH3,CESM2,CESM2-WACCM,NORESM2-MM,GFDL-ESM4,FGOALS-F3-L,EC-EARTH3-VEG,INM-CM5-0,CAMS-CSM1-0,MRI-ESM2-0,MPI-ESM1-2-HR,CMCC-CM2-SR5,BCC-CSM2-MR
2000.0,869247400000.0,869247400000.0,869247400000.0,869247400000.0,869247400000.0,869247400000.0,869247400000.0,869247400000.0,869247400000.0,869247400000.0,869247400000.0,869247400000.0,869247400000.0,869247400000.0
2001.0,869160700000.0,869160700000.0,869160700000.0,869160700000.0,869160700000.0,869160700000.0,869160700000.0,869160700000.0,869160700000.0,869160700000.0,869160700000.0,869160700000.0,869160700000.0,869160700000.0
2002.0,866940940000.0,866940940000.0,866940940000.0,866940940000.0,866940940000.0,866940940000.0,866940940000.0,866940940000.0,866940940000.0,866940940000.0,866940940000.0,866940940000.0,866940940000.0,866940940000.0
2003.0,865062400000.0,865062400000.0,865062400000.0,865062400000.0,865062400000.0,865062400000.0,865062400000.0,865062400000.0,865062400000.0,865062400000.0,865062400000.0,865062400000.0,865062400000.0,865062400000.0
2004.0,861031500000.0,861031500000.0,861031500000.0,861031500000.0,861031500000.0,861031500000.0,861031500000.0,861031500000.0,861031500000.0,861031500000.0,861031500000.0,861031500000.0,861031500000.0,861031500000.0
2005.0,857439400000.0,857439400000.0,857439400000.0,857439400000.0,857439400000.0,857439400000.0,857439400000.0,857439400000.0,857439400000.0,857439400000.0,857439400000.0,857439400000.0,857439400000.0,857439400000.0
2006.0,847826500000.0,847826500000.0,847826500000.0,847826500000.0,847826500000.0,847826500000.0,847826500000.0,847826500000.0,847826500000.0,847826500000.0,847826500000.0,847826500000.0,847826500000.0,847826500000.0
2007.0,835716800000.0,835716800000.0,835716800000.0,835716800000.0,835716800000.0,835716800000.0,835716800000.0,835716800000.0,835716800000.0,835716800000.0,835716800000.0,835716800000.0,835716800000.0,835716800000.0
2008.0,825610300000.0,825610300000.0,825610300000.0,825610300000.0,825610300000.0,825610300000.0,825610300000.0,825610300000.0,825610300000.0,825610300000.0,825610300000.0,825610300000.0,825610300000.0,825610300000.0
2009.0,823401600000.0,823401600000.0,823401600000.0,823401600000.0,823401600000.0,823401600000.0,823401600000.0,823401600000.0,823401600000.0,823401600000.0,823401600000.0,823401600000.0,823401600000.0,823401600000.0
2010.0,805672450000.0,805672450000.0,805672450000.0,805672450000.0,805672450000.0,805672450000.0,805672450000.0,805672450000.0,805672450000.0,805672450000.0,805672450000.0,805672450000.0,805672450000.0,805672450000.0
2011.0,793252100000.0,793252100000.0,793252100000.0,793252100000.0,793252100000.0,793252100000.0,793252100000.0,793252100000.0,793252100000.0,793252100000.0,793252100000.0,793252100000.0,793252100000.0,793252100000.0
2012.0,787780530000.0,787780530000.0,787780530000.0,787780530000.0,787780530000.0,787780530000.0,787780530000.0,787780530000.0,787780530000.0,787780530000.0,787780530000.0,787780530000.0,787780530000.0,787780530000.0
