time,CESM2-WACCM,MRI-ESM2-0,INM-CM5-0,CMCC-CM2-SR5,GFDL-ESM4,BCC-CSM2-MR,CESM2,NORESM2-MM,EC-EARTH3-VEG,CAMS-CSM1-0,EC-EARTH3,FGOALS-F3-L,INM-CM4-8,MPI-ESM1-2-HR
2000.0,91037670000.0,91037670000.0,91037670000.0,91037670000.0,91037670000.0,91037670000.0,91037670000.0,91037670000.0,91037670000.0,91037670000.0,91037670000.0,91037670000.0,91037670000.0,91037670000.0
2001.0,91295760000.0,91295760000.0,91295760000.0,91295760000.0,91295760000.0,91295760000.0,91295760000.0,91295760000.0,91295760000.0,91295760000.0,91295760000.0,91295760000.0,91295760000.0,91295760000.0
2002.0,93013746000.0,93013746000.0,93013746000.0,93013746000.0,93013746000.0,93013746000.0,93013746000.0,93013746000.0,93013746000.0,93013746000.0,93013746000.0,93013746000.0,93013746000.0,93013746000.0
2003.0,92286200000.0,92286200000.0,92286200000.0,92286200000.0,92286200000.0,92286200000.0,92286200000.0,92286200000.0,92286200000.0,92286200000.0,92286200000.0,92286200000.0,92286200000.0,92286200000.0
2004.0,91109120000.0,91109120000.0,91109120000.0,91109120000.0,91109120000.0,91109120000.0,91109120000.0,91109120000.0,91109120000.0,91109120000.0,91109120000.0,91109120000.0,91109120000.0,91109120000.0
2005.0,88893420000.0,88893420000.0,88893420000.0,88893420000.0,88893420000.0,88893420000.0,88893420000.0,88893420000.0,88893420000.0,88893420000.0,88893420000.0,88893420000.0,88893420000.0,88893420000.0
2006.0,88071040000.0,88071040000.0,88071040000.0,88071040000.0,88071040000.0,88071040000.0,88071040000.0,88071040000.0,88071040000.0,88071040000.0,88071040000.0,88071040000.0,88071040000.0,88071040000.0
2007.0,87222436000.0,87222436000.0,87222436000.0,87222436000.0,87222436000.0,87222436000.0,87222436000.0,87222436000.0,87222436000.0,87222436000.0,87222436000.0,87222436000.0,87222436000.0,87222436000.0
2008.0,87703585000.0,87703585000.0,87703585000.0,87703585000.0,87703585000.0,87703585000.0,87703585000.0,87703585000.0,87703585000.0,87703585000.0,87703585000.0,87703585000.0,87703585000.0,87703585000.0
2009.0,88771020000.0,88771020000.0,88771020000.0,88771020000.0,88771020000.0,88771020000.0,88771020000.0,88771020000.0,88771020000.0,88771020000.0,88771020000.0,88771020000.0,88771020000.0,88771020000.0
2010.0,87090110000.0,87090110000.0,87090110000.0,87090110000.0,87090110000.0,87090110000.0,87090110000.0,87090110000.0,87090110000.0,87090110000.0,87090110000.0,87090110000.0,87090110000.0,87090110000.0
2011.0,84669270000.0,84669270000.0,84669270000.0,84669270000.0,84669270000.0,84669270000.0,84669270000.0,84669270000.0,84669270000.0,84669270000.0,84669270000.0,84669270000.0,84669270000.0,84669270000.0
2012.0,85587400000.0,85587400000.0,85587400000.0,85587400000.0,85587400000.0,85587400000.0,85587400000.0,85587400000.0,85587400000.0,85587400000.0,85587400000.0,85587400000.0,85587400000.0,85587400000.0
2013.0,85079040000.0,85079040000.0,85079040000.0,85079040000.0,85079040000.0,85079040000.0,85079040000.0,85079040000.0,85079040000.0,85079040000.0,85079040000.0,85079040000.0,85079040000.0,85079040000.0
2014.0,85384480000.0,85384480000.0,85384480000.0,85384480000.0,85384480000.0,85384480000.0,85384480000.0,85384480000.0,85384480000.0,85384480000.0,85384480000.0,85384480000.0,85384480000.0,85384480000.0
