time,GFDL-ESM4,EC-EARTH3-VEG,MRI-ESM2-0,CAMS-CSM1-0
2000.0,4772006500000.0,4772006500000.0,4772006500000.0,4772006500000.0
2001.0,4770493400000.0,4770493400000.0,4770493400000.0,4770493400000.0
2002.0,4765737500000.0,4765737500000.0,4765737500000.0,4765737500000.0
2003.0,4771071700000.0,4771071700000.0,4771071700000.0,4771071700000.0
2004.0,4768195000000.0,4768195000000.0,4768195000000.0,4768195000000.0
2005.0,4721955300000.0,4721955300000.0,4721955300000.0,4721955300000.0
2006.0,4700449000000.0,4700449000000.0,4700449000000.0,4700449000000.0
2007.0,4679938000000.0,4679938000000.0,4679938000000.0,4679938000000.0
2008.0,4662025500000.0,4662025500000.0,4662025500000.0,4662025500000.0
2009.0,4616241000000.0,4616241000000.0,4616241000000.0,4616241000000.0
2010.0,4594485000000.0,4594485000000.0,4594485000000.0,4594485000000.0
2011.0,4580811700000.0,4580811700000.0,4580811700000.0,4580811700000.0
2012.0,4539834000000.0,4539834000000.0,4539834000000.0,4539834000000.0
2013.0,4514488000000.0,4514488000000.0,4514488000000.0,4514488000000.0
2014.0,4479932400000.0,4479932400000.0,4479932400000.0,4479932400000.0
2015.0,4477288000000.0,4477288000000.0,4477288000000.0,4477288000000.0
2016.0,4452134000000.0,4452134000000.0,4452134000000.0,4452134000000.0
2017.0,4398756400000.0,4398756400000.0,4398756400000.0,4398756400000.0
2018.0,4369841400000.0,4369841400000.0,4369841400000.0,4369841400000.0
2019.0,4327268200000.0,4327268200000.0,4327268200000.0,4327268200000.0
2020.0,4296396200000.0,4296396200000.0,4296396200000.0,4296396200000.0
2021.0,4281781000000.0,4280692800000.0,4284552600000.0,4274241700000.0
2022.0,4262621000000.0,4237211000000.0,4260271500000.0,4263200000000.0
2023.0,4240185500000.0,4205394000000.0,4255052700000.0,4233918000000.0
2024.0,4233181500000.0,4201976000000.0,4240766100000.0,4207589700000.0
2025.0,4223217200000.0,4175987700000.0,4212367300000.0,4167307600000.0
2026.0,4200367400000.0,4151173200000.0,4205789300000.0,4151083500000.0
2027.0,4172728500000.0,4115039000000.0,4200988400000.0,4115826700000.0
2028.0,4149239000000.0,4056314800000.0,4171100300000.0,4066519000000.0
2029.0,4135832000000.0,4019843500000.0,4146259300000.0,4020071300000.0
2030.0,4111196000000.0,3985255000000.0,4114926500000.0,4001494000000.0
2031.0,4101848700000.0,3949487000000.0,4108242000000.0,3987087000000.0
2032.0,4071834300000.0,3901802400000.0,4080321700000.0,3973850000000.0
2033.0,4039149600000.0,3879501800000.0,4064156600000.0,3968376800000.0
2034.0,3986631700000.0,3863593000000.0,4041000000000.0,3950951000000.0
2035.0,3959306000000.0,3830469600000.0,3989621200000.0,3931715400000.0
2036.0,3932648600000.0,3811150100000.0,3938320400000.0,3897783200000.0
2037.0,3894261800000.0,3766244600000.0,3910545400000.0,3860383100000.0
2038.0,3884044500000.0,3732361700000.0,3888686600000.0,3847697200000.0
