time,CESM2,INM-CM5-0,EC-EARTH3-VEG,CESM2-WACCM,NORESM2-MM,GFDL-ESM4,MPI-ESM1-2-HR,CAMS-CSM1-0,BCC-CSM2-MR,INM-CM4-8,FGOALS-F3-L,EC-EARTH3,MRI-ESM2-0
2000.0,4772006500000.0,4772006500000.0,4772006500000.0,4772006500000.0,4772006500000.0,4772006500000.0,4772006500000.0,4772006500000.0,4772006500000.0,4772006500000.0,4772006500000.0,4772006500000.0,4772006500000.0
2001.0,4770493400000.0,4770493400000.0,4770493400000.0,4770493400000.0,4770493400000.0,4770493400000.0,4770493400000.0,4770493400000.0,4770493400000.0,4770493400000.0,4770493400000.0,4770493400000.0,4770493400000.0
2002.0,4765737500000.0,4765737500000.0,4765737500000.0,4765737500000.0,4765737500000.0,4765737500000.0,4765737500000.0,4765737500000.0,4765737500000.0,4765737500000.0,4765737500000.0,4765737500000.0,4765737500000.0
2003.0,4771071700000.0,4771071700000.0,4771071700000.0,4771071700000.0,4771071700000.0,4771071700000.0,4771071700000.0,4771071700000.0,4771071700000.0,4771071700000.0,4771071700000.0,4771071700000.0,4771071700000.0
2004.0,4768195000000.0,4768195000000.0,4768195000000.0,4768195000000.0,4768195000000.0,4768195000000.0,4768195000000.0,4768195000000.0,4768195000000.0,4768195000000.0,4768195000000.0,4768195000000.0,4768195000000.0
2005.0,4721955300000.0,4721955300000.0,4721955300000.0,4721955300000.0,4721955300000.0,4721955300000.0,4721955300000.0,4721955300000.0,4721955300000.0,4721955300000.0,4721955300000.0,4721955300000.0,4721955300000.0
2006.0,4700449000000.0,4700449000000.0,4700449000000.0,4700449000000.0,4700449000000.0,4700449000000.0,4700449000000.0,4700449000000.0,4700449000000.0,4700449000000.0,4700449000000.0,4700449000000.0,4700449000000.0
2007.0,4679938000000.0,4679938000000.0,4679938000000.0,4679938000000.0,4679938000000.0,4679938000000.0,4679938000000.0,4679938000000.0,4679938000000.0,4679938000000.0,4679938000000.0,4679938000000.0,4679938000000.0
2008.0,4662025500000.0,4662025500000.0,4662025500000.0,4662025500000.0,4662025500000.0,4662025500000.0,4662025500000.0,4662025500000.0,4662025500000.0,4662025500000.0,4662025500000.0,4662025500000.0,4662025500000.0
2009.0,4616241000000.0,4616241000000.0,4616241000000.0,4616241000000.0,4616241000000.0,4616241000000.0,4616241000000.0,4616241000000.0,4616241000000.0,4616241000000.0,4616241000000.0,4616241000000.0,4616241000000.0
2010.0,4594485000000.0,4594485000000.0,4594485000000.0,4594485000000.0,4594485000000.0,4594485000000.0,4594485000000.0,4594485000000.0,4594485000000.0,4594485000000.0,4594485000000.0,4594485000000.0,4594485000000.0
2011.0,4580811700000.0,4580811700000.0,4580811700000.0,4580811700000.0,4580811700000.0,4580811700000.0,4580811700000.0,4580811700000.0,4580811700000.0,4580811700000.0,4580811700000.0,4580811700000.0,4580811700000.0
2012.0,4539834000000.0,4539834000000.0,4539834000000.0,4539834000000.0,4539834000000.0,4539834000000.0,4539834000000.0,4539834000000.0,4539834000000.0,4539834000000.0,4539834000000.0,4539834000000.0,4539834000000.0
2013.0,4514488000000.0,4514488000000.0,4514488000000.0,4514488000000.0,4514488000000.0,4514488000000.0,4514488000000.0,4514488000000.0,4514488000000.0,4514488000000.0,4514488000000.0,4514488000000.0,4514488000000.0
2014.0,4479932400000.0,4479932400000.0,4479932400000.0,4479932400000.0,4479932400000.0,4479932400000.0,4479932400000.0,4479932400000.0,4479932400000.0,4479932400000.0,4479932400000.0,4479932400000.0,4479932400000.0
2015.0,4477288000000.0,4477288000000.0,4477288000000.0,4477288000000.0,4477288000000.0,4477288000000.0,4477288000000.0,4477288000000.0,4477288000000.0,4477288000000.0,4477288000000.0,4477288000000.0,4477288000000.0
2016.0,4452134000000.0,4452134000000.0,4452134000000.0,4452134000000.0,4452134000000.0,4452134000000.0,4452134000000.0,4452134000000.0,4452134000000.0,4452134000000.0,4452134000000.0,4452134000000.0,4452134000000.0
2017.0,4398756400000.0,4398756400000.0,4398756400000.0,4398756400000.0,4398756400000.0,4398756400000.0,4398756400000.0,4398756400000.0,4398756400000.0,4398756400000.0,4398756400000.0,4398756400000.0,4398756400000.0
2018.0,4369841400000.0,4369841400000.0,4369841400000.0,4369841400000.0,4369841400000.0,4369841400000.0,4369841400000.0,4369841400000.0,4369841400000.0,4369841400000.0,4369841400000.0,4369841400000.0,4369841400000.0
2019.0,4327268200000.0,4327268200000.0,4327268200000.0,4327268200000.0,4327268200000.0,4327268200000.0,4327268200000.0,4327268200000.0,4327268200000.0,4327268200000.0,4327268200000.0,4327268200000.0,4327268200000.0
2020.0,4296396200000.0,4296396200000.0,4296396200000.0,4296396200000.0,4296396200000.0,4296396200000.0,4296396200000.0,4296396200000.0,4296396200000.0,4296396200000.0,4296396200000.0,4296396200000.0,4296396200000.0
2021.0,4251129700000.0,4267215000000.0,4249507600000.0,4259722000000.0,4286929700000.0,4260679400000.0,4268960300000.0,4275628000000.0,4274598000000.0,4278627300000.0,4258112700000.0,4257649300000.0,4298189600000.0
2022.0,4224861900000.0,4255458300000.0,4216824500000.0,4213877200000.0,4273408800000.0,4246837000000.0,4258284200000.0,4253996800000.0,4230625000000.0,4250184200000.0,4224529500000.0,4233081000000.0,4289212200000.0
2023.0,4187319000000.0,4237059000000.0,4195273700000.0,4178201500000.0,4256800400000.0,4229969500000.0,4243456800000.0,4227314200000.0,4200359800000.0,4214514300000.0,4198033800000.0,4206653300000.0,4255679000000.0
2024.0,4159573900000.0,4216810000000.0,4175298000000.0,4142989600000.0,4231531000000.0,4204774000000.0,4215756800000.0,4205216800000.0,4181975600000.0,4184052000000.0,4164454400000.0,4177989700000.0,4216451500000.0
2025.0,4119690000000.0,4184816200000.0,4152108500000.0,4092106600000.0,4196013000000.0,4175485200000.0,4195277300000.0,4169839400000.0,4152168300000.0,4146412700000.0,4127395200000.0,4144156000000.0,4209916800000.0
2026.0,4095385300000.0,4154006000000.0,4101437400000.0,4070612100000.0,4180136700000.0,4144702000000.0,4169499400000.0,4145885200000.0,4103237500000.0,4100441200000.0,4105404200000.0,4118800200000.0,4193913000000.0
2027.0,4063594800000.0,4117738000000.0,4077960300000.0,4026792400000.0,4150461500000.0,4106527700000.0,4156531000000.0,4127758700000.0,4076017500000.0,4076252000000.0,4064540000000.0,4089606300000.0,4189949500000.0
2028.0,4039115500000.0,4088974500000.0,4055390000000.0,4008315200000.0,4110078000000.0,4086525000000.0,4134838500000.0,4096511700000.0,4037505200000.0,4044204800000.0,3997897900000.0,4065921000000.0,4182911500000.0
2029.0,4012625400000.0,4058193900000.0,4029090600000.0,3977320300000.0,4064584100000.0,4062262000000.0,4118034300000.0,4069806600000.0,4007426800000.0,4007311400000.0,3963251600000.0,4028085600000.0,4155900200000.0
2030.0,3962203500000.0,4023549200000.0,3991000800000.0,3938065000000.0,4047141000000.0,4037470800000.0,4105332300000.0,4053794300000.0,3983434000000.0,3963998700000.0,3940042400000.0,3992540200000.0,4124261500000.0
2031.0,3904334200000.0,3992951700000.0,3946938600000.0,3908909100000.0,4019350700000.0,4020737700000.0,4087489800000.0,4032186800000.0,3934252000000.0,3933644500000.0,3904300400000.0,3955585400000.0,4061497000000.0
2032.0,3874412000000.0,3954800600000.0,3909247000000.0,3866482400000.0,4004081300000.0,4007470300000.0,4072248400000.0,4002397300000.0,3895738800000.0,3911583500000.0,3857928400000.0,3907850900000.0,4042865000000.0
2033.0,3855129500000.0,3926935700000.0,3877520800000.0,3808277800000.0,3982033000000.0,3972795500000.0,4058565800000.0,3989805000000.0,3865209500000.0,3868761500000.0,3833475000000.0,3872593000000.0,4027859600000.0
2034.0,3801877300000.0,3890907400000.0,3839605300000.0,3796277000000.0,3964267700000.0,3946890000000.0,4024064500000.0,3963400500000.0,3822659800000.0,3839866700000.0,3792691300000.0,3836970000000.0,4002013500000.0
2035.0,3752290400000.0,3866207200000.0,3813995400000.0,3793513600000.0,3964952000000.0,3914998200000.0,4010461000000.0,3948398500000.0,3782470500000.0,3820618500000.0,3762655000000.0,3789463000000.0,3965400000000.0
2036.0,3711456200000.0,3834926900000.0,3797715300000.0,3782604200000.0,3947446400000.0,3886829300000.0,3989973500000.0,3905115400000.0,3754645300000.0,3792636200000.0,3715667300000.0,3769637300000.0,3948312500000.0
2037.0,3673011500000.0,3815081000000.0,3762520000000.0,3776342000000.0,3896751000000.0,3854332600000.0,3957627800000.0,3877284000000.0,3727595000000.0,3766234000000.0,3640464800000.0,3757614000000.0,3917495700000.0
2038.0,3629545200000.0,3791635600000.0,3717320000000.0,3757175700000.0,3836537200000.0,3814002500000.0,3937620200000.0,3854806000000.0,3671023700000.0,3737865700000.0,3615873800000.0,3742491000000.0,3885011300000.0
2039.0,3583814400000.0,3763250100000.0,3666073600000.0,3736788800000.0,3799341000000.0,3776002000000.0,3916672300000.0,3835148000000.0,3608220500000.0,3703961300000.0,3583226200000.0,3719636200000.0,3857273600000.0
2040.0,3569868900000.0,3730643000000.0,3629788700000.0,3715253400000.0,3777787900000.0,3758823800000.0,3888932000000.0,3810677000000.0,3554299300000.0,3693939800000.0,3514315000000.0,3679245600000.0,3830936000000.0
2041.0,3544522000000.0,3711679300000.0,3594939000000.0,3665893800000.0,3761024300000.0,3722158000000.0,3871049000000.0,3779773900000.0,3531177500000.0,3664731700000.0,3485309900000.0,3655201000000.0,3830384200000.0
2042.0,3530853200000.0,3693137400000.0,3554767800000.0,3631694700000.0,3748403600000.0,3710288400000.0,3835842500000.0,3757875100000.0,3503611200000.0,3652282500000.0,3461610500000.0,3633858700000.0,3798239300000.0
2043.0,3507078000000.0,3677010000000.0,3529195400000.0,3584561300000.0,3718394200000.0,3683955500000.0,3802573800000.0,3743039600000.0,3466027300000.0,3637873700000.0,3418473000000.0,3605624300000.0,3799505700000.0
2044.0,3478302800000.0,3658200000000.0,3485812700000.0,3554559700000.0,3671882000000.0,3657152600000.0,3780138800000.0,3718284300000.0,3419595000000.0,3603199700000.0,3378707700000.0,3561260800000.0,3773302600000.0
