time,GFDL-ESM4,CAMS-CSM1-0,MRI-ESM2-0,EC-EARTH3-VEG
2000.0,45082745000000.0,45082745000000.0,45082745000000.0,45082745000000.0
2001.0,45076403000000.0,45076403000000.0,45076403000000.0,45076403000000.0
2002.0,45071437000000.0,45071437000000.0,45071437000000.0,45071437000000.0
2003.0,44951600000000.0,44951600000000.0,44951600000000.0,44951600000000.0
2004.0,44916100000000.0,44916100000000.0,44916100000000.0,44916100000000.0
2005.0,44889220000000.0,44889220000000.0,44889220000000.0,44889220000000.0
2006.0,44918730000000.0,44918730000000.0,44918730000000.0,44918730000000.0
2007.0,44819376000000.0,44819376000000.0,44819376000000.0,44819376000000.0
2008.0,44763777000000.0,44763777000000.0,44763777000000.0,44763777000000.0
2009.0,44745040000000.0,44745040000000.0,44745040000000.0,44745040000000.0
2010.0,44660634000000.0,44660634000000.0,44660634000000.0,44660634000000.0
2011.0,44635250000000.0,44635250000000.0,44635250000000.0,44635250000000.0
2012.0,44570545000000.0,44570545000000.0,44570545000000.0,44570545000000.0
2013.0,44577013000000.0,44577013000000.0,44577013000000.0,44577013000000.0
2014.0,44477754000000.0,44477754000000.0,44477754000000.0,44477754000000.0
2015.0,44562643000000.0,44562643000000.0,44562643000000.0,44562643000000.0
2016.0,44532400000000.0,44532400000000.0,44532400000000.0,44532400000000.0
2017.0,44544250000000.0,44544250000000.0,44544250000000.0,44544250000000.0
2018.0,44403234000000.0,44403234000000.0,44403234000000.0,44403234000000.0
2019.0,44366440000000.0,44366440000000.0,44366440000000.0,44366440000000.0
2020.0,44350336000000.0,44350336000000.0,44350336000000.0,44350336000000.0
2021.0,44254300000000.0,44347496000000.0,44271533000000.0,44197063000000.0
2022.0,44200733000000.0,44323777000000.0,44143850000000.0,44137026000000.0
2023.0,44132030000000.0,44225136000000.0,44047637000000.0,44075320000000.0
2024.0,44018818000000.0,44165765000000.0,44012895000000.0,44035420000000.0
2025.0,43956430000000.0,44028553000000.0,43866913000000.0,44012270000000.0
2026.0,43794133000000.0,43983570000000.0,43841330000000.0,43942557000000.0
2027.0,43674320000000.0,43972080000000.0,43697350000000.0,43871317000000.0
2028.0,43531062000000.0,43919770000000.0,43472707000000.0,43729948000000.0
2029.0,43418848000000.0,43872185000000.0,43453040000000.0,43635200000000.0
2030.0,43218810000000.0,43869840000000.0,43479260000000.0,43522730000000.0
2031.0,43030150000000.0,43878992000000.0,43390826000000.0,43413395000000.0
2032.0,42968940000000.0,43905310000000.0,43243274000000.0,43288430000000.0
2033.0,42844370000000.0,43915537000000.0,43222060000000.0,43128573000000.0
2034.0,42726796000000.0,43875100000000.0,43037970000000.0,42947203000000.0
2035.0,42681010000000.0,43746465000000.0,42912155000000.0,42863283000000.0
2036.0,42592503000000.0,43715540000000.0,42957070000000.0,42730554000000.0
2037.0,42466393000000.0,43660624000000.0,42905763000000.0,42596244000000.0
2038.0,42391560000000.0,43584552000000.0,42760124000000.0,42467336000000.0
2039.0,42248380000000.0,43560950000000.0,42733830000000.0,42388777000000.0
2040.0,42194860000000.0,43532337000000.0,42711785000000.0,42152360000000.0
2041.0,42146270000000.0,43527585000000.0,42640650000000.0,41939350000000.0
2042.0,42056194000000.0,43419700000000.0,42415713000000.0,41828934000000.0
2043.0,41906400000000.0,43311100000000.0,42429750000000.0,41692570000000.0
2044.0,41724336000000.0,43292570000000.0,42417660000000.0,41562843000000.0
2045.0,41483588000000.0,43240544000000.0,42223664000000.0,41383985000000.0
2046.0,41319540000000.0,43122630000000.0,42063253000000.0,41192410000000.0
2047.0,41151980000000.0,43016300000000.0,41988292000000.0,40914165000000.0
2048.0,41006000000000.0,43013984000000.0,41882952000000.0,40738940000000.0
2049.0,40856115000000.0,43031735000000.0,41708335000000.0,40599530000000.0
2050.0,40768245000000.0,43028337000000.0,41705300000000.0,40495682000000.0
2051.0,40661750000000.0,43009383000000.0,41545430000000.0,40284410000000.0
2052.0,40587068000000.0,43041060000000.0,41440070000000.0,40082652000000.0
2053.0,40510030000000.0,43009320000000.0,41321020000000.0,39881860000000.0
2054.0,40434756000000.0,42963570000000.0,41091270000000.0,39783650000000.0
2055.0,40414573000000.0,42943537000000.0,40934486000000.0,39663327000000.0
2056.0,40304275000000.0,42771746000000.0,40786710000000.0,39464747000000.0
2057.0,40147303000000.0,42702310000000.0,40466247000000.0,39248447000000.0
2058.0,40065548000000.0,42600334000000.0,40334830000000.0,39044524000000.0
2059.0,39959524000000.0,42453516000000.0,40177855000000.0,38912576000000.0
