time,MRI-ESM2-0
2000.0,154846990780000.0
2001.0,154740725020000.0
2002.0,154551745019000.0
2003.0,154219225948000.0
2004.0,153909147275000.0
2005.0,153661811517000.0
2006.0,153454006270000.0
2007.0,153162498533000.0
2008.0,152762676147000.0
2009.0,152499089637000.0
2010.0,151992339880000.0
2011.0,151633380180000.0
2012.0,151278846061000.0
2013.0,150957431022000.0
2014.0,150618963757000.0
2015.0,150448330412000.0
2016.0,150156339333000.0
2017.0,149737891828000.0
2018.0,149320884259000.0
2019.0,149064874895000.0
2020.0,148624635187000.0
2021.0,148009474905000.0
2022.0,147732820237000.0
2023.0,147320675410000.0
2024.0,146593931503000.0
2025.0,145880261383000.0
2026.0,145377283933000.0
2027.0,144792812055000.0
2028.0,144181327397000.0
2029.0,143742944150000.0
2030.0,143193859404000.0
2031.0,142559761498000.0
2032.0,141798508920000.0
2033.0,141108253368000.0
2034.0,140339804692000.0
2035.0,139656018284000.0
2036.0,138760113898000.0
2037.0,137891424250000.0
2038.0,137253012571000.0
2039.0,136626243442000.0
2040.0,135987801741000.0
2041.0,135229457579000.0
2042.0,134427857268000.0
2043.0,133720570885000.0
2044.0,132877127527000.0
2045.0,132151238515000.0
2046.0,131247326654000.0
2047.0,130336660119000.0
2048.0,129420271820000.0
2049.0,128485742343000.0
2050.0,127644973864000.0
2051.0,126807589732000.0
2052.0,125751275252000.0
2053.0,124914819888000.0
2054.0,124052311663000.0
2055.0,123052502442000.0
2056.0,122081862570000.0
2057.0,121181752158000.0
2058.0,120165848748000.0
2059.0,119288299984000.0
2060.0,118408743056000.0
2061.0,117484415685000.0
2062.0,116476388825000.0
2063.0,115547846138000.0
2064.0,114556923568000.0
2065.0,113634718731000.0
2066.0,112800499432000.0
2067.0,111808074499000.0
2068.0,110914071784000.0
2069.0,110202934022000.0
2070.0,109241286722000.0
2071.0,108371678785000.0
2072.0,107505576185000.0
2073.0,106628095910000.0
2074.0,105703203749000.0
2075.0,104869968807000.0
2076.0,103890762179000.0
2077.0,103165987710000.0
2078.0,102285501705000.0
2079.0,101247042708000.0
2080.0,100408460258000.0
2081.0,99538410851000.0
2082.0,98640142596000.0
2083.0,97833536399000.0
2084.0,97066043711000.0
2085.0,96227415955000.0
2086.0,95318110108400.0
2087.0,94256835246000.0
2088.0,93382425702000.0
2089.0,92287161819500.0
2090.0,91377609149000.0
2091.0,90409989491600.0
2092.0,89542499644000.0
2093.0,88725839341800.0
2094.0,88053366738700.0
2095.0,87140634107900.0
2096.0,86316830905000.0
2097.0,85554117486300.0
2098.0,84819799656500.0
2099.0,84067922378900.0
2100.0,83395993782500.0
