time,CANESM5,CESM2-WACCM,MRI-ESM2-0,IPSL-CM6A-LR,ACCESS-ESM1-5,ACCESS-CM2
2000.0,27424945000000.0,27424945000000.0,27424945000000.0,27424945000000.0,27424945000000.0,27424945000000.0
2001.0,27413078000000.0,27413078000000.0,27413078000000.0,27413078000000.0,27413078000000.0,27413078000000.0
2002.0,27395938000000.0,27395938000000.0,27395938000000.0,27395938000000.0,27395938000000.0,27395938000000.0
2003.0,27383954000000.0,27383954000000.0,27383954000000.0,27383954000000.0,27383954000000.0,27383954000000.0
2004.0,27336947000000.0,27336947000000.0,27336947000000.0,27336947000000.0,27336947000000.0,27336947000000.0
2005.0,27371416000000.0,27371416000000.0,27371416000000.0,27371416000000.0,27371416000000.0,27371416000000.0
2006.0,27337857000000.0,27337857000000.0,27337857000000.0,27337857000000.0,27337857000000.0,27337857000000.0
2007.0,27347927000000.0,27347927000000.0,27347927000000.0,27347927000000.0,27347927000000.0,27347927000000.0
2008.0,27260654000000.0,27260654000000.0,27260654000000.0,27260654000000.0,27260654000000.0,27260654000000.0
2009.0,27193476000000.0,27193476000000.0,27193476000000.0,27193476000000.0,27193476000000.0,27193476000000.0
2010.0,27085737000000.0,27085737000000.0,27085737000000.0,27085737000000.0,27085737000000.0,27085737000000.0
2011.0,27018356000000.0,27018356000000.0,27018356000000.0,27018356000000.0,27018356000000.0,27018356000000.0
2012.0,26937538000000.0,26937538000000.0,26937538000000.0,26937538000000.0,26937538000000.0,26937538000000.0
2013.0,26812890000000.0,26812890000000.0,26812890000000.0,26812890000000.0,26812890000000.0,26812890000000.0
2014.0,26872640000000.0,26872640000000.0,26872640000000.0,26872640000000.0,26872640000000.0,26872640000000.0
2015.0,26833953000000.0,26833953000000.0,26833953000000.0,26833953000000.0,26833953000000.0,26833953000000.0
2016.0,26744747000000.0,26744747000000.0,26744747000000.0,26744747000000.0,26744747000000.0,26744747000000.0
2017.0,26735454000000.0,26735454000000.0,26735454000000.0,26735454000000.0,26735454000000.0,26735454000000.0
2018.0,26717809000000.0,26717809000000.0,26717809000000.0,26717809000000.0,26717809000000.0,26717809000000.0
2019.0,26726774000000.0,26726774000000.0,26726774000000.0,26726774000000.0,26726774000000.0,26726774000000.0
2020.0,26743595000000.0,26743595000000.0,26743595000000.0,26743595000000.0,26743595000000.0,26743595000000.0
2021.0,26711364000000.0,26701673000000.0,26632956000000.0,26643800000000.0,26684158000000.0,26699861000000.0
2022.0,26657738000000.0,26702774000000.0,26623320000000.0,26588820000000.0,26620153000000.0,26671468000000.0
2023.0,26636311000000.0,26767333000000.0,26586108000000.0,26485092000000.0,26518925000000.0,26634336000000.0
2024.0,26697982000000.0,26778322000000.0,26601980000000.0,26450110000000.0,26486230000000.0,26645778000000.0
2025.0,26664988000000.0,26747720000000.0,26500464000000.0,26370007000000.0,26383525000000.0,26665126000000.0
2026.0,26540713000000.0,26668590000000.0,26451976000000.0,26288107000000.0,26322944000000.0,26609858000000.0
2027.0,26474755000000.0,26619385000000.0,26394216000000.0,26231255000000.0,26232509000000.0,26540398000000.0
2028.0,26437197000000.0,26570459000000.0,26342990000000.0,26164138000000.0,26158993000000.0,26483886000000.0
2029.0,26401602000000.0,26571155000000.0,26261263000000.0,26089368000000.0,26059620000000.0,26449954000000.0
2030.0,26354783000000.0,26532947000000.0,26230494000000.0,26044110000000.0,26042293000000.0,26377477000000.0
2031.0,26282150000000.0,26509255000000.0,26091635000000.0,25975086000000.0,26002133000000.0,26360374000000.0
2032.0,26223992000000.0,26404340000000.0,26025354000000.0,25952728000000.0,25923162000000.0,26318513000000.0
2033.0,26080358000000.0,26377078000000.0,26060987000000.0,25926442000000.0,25903212000000.0,26298628000000.0
2034.0,25998880000000.0,26327032000000.0,25987847000000.0,25876482000000.0,25851043000000.0,26234891000000.0
2035.0,25932083000000.0,26266040000000.0,25888427000000.0,25784385000000.0,25822962000000.0,26213754000000.0
2036.0,25837164000000.0,26189035000000.0,25834297000000.0,25706390000000.0,25761461000000.0,26170603000000.0
2037.0,25713462000000.0,26060127000000.0,25809448000000.0,25692670000000.0,25763129000000.0,26145380000000.0
2038.0,25643540000000.0,25980654000000.0,25736363000000.0,25697798000000.0,25739020000000.0,26098499000000.0
2039.0,25581838000000.0,25993998000000.0,25619648000000.0,25654626000000.0,25722725000000.0,26025308000000.0
2040.0,25492942000000.0,25957132000000.0,25601293000000.0,25565615000000.0,25688355000000.0,25949890000000.0
2041.0,25371469000000.0,25790916000000.0,25601834000000.0,25481846000000.0,25628970000000.0,25854860000000.0
2042.0,25342004000000.0,25703440000000.0,25522803000000.0,25453200000000.0,25550194000000.0,25761359000000.0
2043.0,25263010000000.0,25661054000000.0,25392436000000.0,25411176000000.0,25554552000000.0,25690613000000.0
2044.0,25171872000000.0,25648200000000.0,25346670000000.0,25284850000000.0,25452664000000.0,25570564000000.0
2045.0,25077437000000.0,25572002000000.0,25309747000000.0,25194370000000.0,25386203000000.0,25528250000000.0
2046.0,25044971000000.0,25474453000000.0,25281958000000.0,25171165000000.0,25283183000000.0,25450422000000.0
2047.0,24992083000000.0,25365610000000.0,25269883000000.0,25112378000000.0,25227975000000.0,25331277000000.0
2048.0,24932862000000.0,25358095000000.0,25240040000000.0,25019994000000.0,25165369000000.0,25209338000000.0
2049.0,24869330000000.0,25292091000000.0,25138660000000.0,24914411000000.0,25178166000000.0,25168852000000.0
