time,MRI-ESM2-0,ACCESS-ESM1-5,CANESM5,ACCESS-CM2,CESM2-WACCM,IPSL-CM6A-LR
2000.0,8724201600000.0,8724201600000.0,8724201600000.0,8724201600000.0,8724201600000.0,8724201600000.0
2001.0,8694935000000.0,8694935000000.0,8694935000000.0,8694935000000.0,8694935000000.0,8694935000000.0
2002.0,8667855000000.0,8667855000000.0,8667855000000.0,8667855000000.0,8667855000000.0,8667855000000.0
2003.0,8648248000000.0,8648248000000.0,8648248000000.0,8648248000000.0,8648248000000.0,8648248000000.0
2004.0,8617599000000.0,8617599000000.0,8617599000000.0,8617599000000.0,8617599000000.0,8617599000000.0
2005.0,8600365000000.0,8600365000000.0,8600365000000.0,8600365000000.0,8600365000000.0,8600365000000.0
2006.0,8598285500000.0,8598285500000.0,8598285500000.0,8598285500000.0,8598285500000.0,8598285500000.0
2007.0,8570997000000.0,8570997000000.0,8570997000000.0,8570997000000.0,8570997000000.0,8570997000000.0
2008.0,8530454600000.0,8530454600000.0,8530454600000.0,8530454600000.0,8530454600000.0,8530454600000.0
2009.0,8494298700000.0,8494298700000.0,8494298700000.0,8494298700000.0,8494298700000.0,8494298700000.0
2010.0,8455708000000.0,8455708000000.0,8455708000000.0,8455708000000.0,8455708000000.0,8455708000000.0
2011.0,8412712700000.0,8412712700000.0,8412712700000.0,8412712700000.0,8412712700000.0,8412712700000.0
2012.0,8379728700000.0,8379728700000.0,8379728700000.0,8379728700000.0,8379728700000.0,8379728700000.0
2013.0,8353865000000.0,8353865000000.0,8353865000000.0,8353865000000.0,8353865000000.0,8353865000000.0
2014.0,8331370400000.0,8331370400000.0,8331370400000.0,8331370400000.0,8331370400000.0,8331370400000.0
2015.0,8291520300000.0,8291520300000.0,8291520300000.0,8291520300000.0,8291520300000.0,8291520300000.0
2016.0,8254025400000.0,8254025400000.0,8254025400000.0,8254025400000.0,8254025400000.0,8254025400000.0
2017.0,8214647000000.0,8214647000000.0,8214647000000.0,8214647000000.0,8214647000000.0,8214647000000.0
2018.0,8195910700000.0,8195910700000.0,8195910700000.0,8195910700000.0,8195910700000.0,8195910700000.0
2019.0,8169581000000.0,8169581000000.0,8169581000000.0,8169581000000.0,8169581000000.0,8169581000000.0
2020.0,8132580300000.0,8132580300000.0,8132580300000.0,8132580300000.0,8132580300000.0,8132580300000.0
2021.0,8072290400000.0,8095165600000.0,8093695500000.0,8109941600000.0,8095262600000.0,8084068000000.0
2022.0,8028922000000.0,8058373700000.0,8054680600000.0,8065720000000.0,8041454000000.0,8050551000000.0
2023.0,7982727300000.0,8009632000000.0,7989758000000.0,8018588000000.0,8009744400000.0,8003320300000.0
2024.0,7945367000000.0,7984424400000.0,7952105000000.0,7988228700000.0,7986729700000.0,7967579600000.0
2025.0,7879260600000.0,7950331500000.0,7891807000000.0,7958900000000.0,7939534000000.0,7928554000000.0
2026.0,7821105000000.0,7910417500000.0,7838361000000.0,7914421500000.0,7889285000000.0,7885718000000.0
2027.0,7751860000000.0,7857483000000.0,7802278400000.0,7890605700000.0,7816648000000.0,7827983700000.0
2028.0,7695648000000.0,7826075300000.0,7739640600000.0,7842964000000.0,7782188700000.0,7789192700000.0
2029.0,7638310000000.0,7793800000000.0,7690450400000.0,7802508500000.0,7749088000000.0,7736063400000.0
2030.0,7582419000000.0,7753920000000.0,7623412300000.0,7762246000000.0,7696492000000.0,7690625000000.0
2031.0,7520733000000.0,7706953400000.0,7560783000000.0,7726157000000.0,7627461000000.0,7636843000000.0
2032.0,7471235000000.0,7659246300000.0,7495972000000.0,7677112500000.0,7567540500000.0,7598948500000.0
2033.0,7416537700000.0,7609608300000.0,7414724700000.0,7628600000000.0,7513312300000.0,7540908000000.0
2034.0,7361281000000.0,7574556500000.0,7356774000000.0,7569103000000.0,7458271000000.0,7497661000000.0
2035.0,7307808000000.0,7513092700000.0,7292913000000.0,7520209300000.0,7407215300000.0,7437246500000.0
2036.0,7280484000000.0,7468329500000.0,7200601000000.0,7479857000000.0,7330788300000.0,7387168000000.0
2037.0,7232881700000.0,7437375500000.0,7096689500000.0,7435441000000.0,7251179300000.0,7352286700000.0
2038.0,7183856000000.0,7419331600000.0,7027228700000.0,7381223700000.0,7191447700000.0,7310814500000.0
2039.0,7122928000000.0,7375775000000.0,6959727000000.0,7327048000000.0,7140026000000.0,7270018600000.0
2040.0,7066057000000.0,7338227000000.0,6894391000000.0,7277295700000.0,7085676300000.0,7217138400000.0
2041.0,7032928000000.0,7274438300000.0,6809492400000.0,7236826400000.0,7008941500000.0,7157688000000.0
2042.0,7000437000000.0,7237166700000.0,6727954000000.0,7177383700000.0,6934449600000.0,7112835500000.0
2043.0,6940164400000.0,7199245500000.0,6658697000000.0,7124614000000.0,6886241000000.0,7065228500000.0
2044.0,6879309000000.0,7139182500000.0,6586053400000.0,7070505000000.0,6824842500000.0,7008459000000.0
2045.0,6831060000000.0,7098702000000.0,6504643600000.0,7027893000000.0,6759190600000.0,6957394000000.0
2046.0,6785159700000.0,7044170500000.0,6435931000000.0,6977036500000.0,6679459500000.0,6904443000000.0
2047.0,6731857400000.0,7009079400000.0,6360827700000.0,6923693300000.0,6611081400000.0,6839290300000.0
2048.0,6687706600000.0,6978337000000.0,6279133700000.0,6873925300000.0,6571936400000.0,6779155000000.0
2049.0,6637303000000.0,6942744400000.0,6215535400000.0,6819271000000.0,6509794700000.0,6709431500000.0
2050.0,6585584700000.0,6908165000000.0,6145018000000.0,6762480000000.0,6450316000000.0,6635881000000.0
2051.0,6535241500000.0,6854987500000.0,6062567000000.0,6710339600000.0,6369704400000.0,6584594000000.0
2052.0,6485778600000.0,6806988400000.0,6000527500000.0,6658880000000.0,6304267500000.0,6517071300000.0
2053.0,6443116300000.0,6747140000000.0,5923142600000.0,6587597000000.0,6242885000000.0,6458960000000.0
2054.0,6392430700000.0,6700355600000.0,5853465000000.0,6535624000000.0,6179305600000.0,6407492000000.0
2055.0,6328103700000.0,6657919000000.0,5767152000000.0,6472196400000.0,6108487000000.0,6325400500000.0
2056.0,6260660000000.0,6628026000000.0,5697020400000.0,6415688700000.0,6042286600000.0,6258269000000.0
2057.0,6223900000000.0,6583683000000.0,5610656000000.0,6342363000000.0,5977541000000.0,6220979600000.0
2058.0,6162231000000.0,6538952400000.0,5534328000000.0,6281566400000.0,5921297000000.0,6171034000000.0
2059.0,6127509600000.0,6484038500000.0,5470651700000.0,6220605300000.0,5870417000000.0,6108961300000.0
2060.0,6069001000000.0,6437006700000.0,5384503300000.0,6168496000000.0,5812665000000.0,6040608000000.0
2061.0,6005545500000.0,6398493000000.0,5300374500000.0,6110001000000.0,5753368000000.0,5968676500000.0
2062.0,5951318400000.0,6367069000000.0,5235406300000.0,6051395000000.0,5697639500000.0,5904645000000.0
2063.0,5889629600000.0,6327433700000.0,5172692500000.0,5993044400000.0,5613528000000.0,5850719600000.0
2064.0,5834770000000.0,6281087700000.0,5118163000000.0,5950223000000.0,5545084300000.0,5771594600000.0
2065.0,5778907000000.0,6239385300000.0,5048442000000.0,5910375700000.0,5479979300000.0,5712978600000.0
2066.0,5736769000000.0,6182132000000.0,4946274500000.0,5865895000000.0,5410467000000.0,5657414000000.0
2067.0,5691872000000.0,6141450000000.0,4857378000000.0,5795953000000.0,5341672600000.0,5582167700000.0
2068.0,5630841600000.0,6099343000000.0,4794863000000.0,5730943400000.0,5290085000000.0,5510265300000.0
2069.0,5588473300000.0,6052432600000.0,4714651000000.0,5669434000000.0,5228297500000.0,5444995600000.0
2070.0,5540757400000.0,6024105000000.0,4657210500000.0,5605048700000.0,5168433700000.0,5385072000000.0
2071.0,5498294000000.0,5991590500000.0,4583261700000.0,5559891000000.0,5104701000000.0,5322632000000.0
2072.0,5456731000000.0,5946705000000.0,4523298000000.0,5499465000000.0,5050643000000.0,5234755600000.0
2073.0,5405151000000.0,5902957500000.0,4455062000000.0,5442477500000.0,4988546300000.0,5152682000000.0
2074.0,5368762000000.0,5864790000000.0,4389382700000.0,5383670000000.0,4924126500000.0,5069823500000.0
