time,CESM2-WACCM,IPSL-CM6A-LR,ACCESS-ESM1-5,MRI-ESM2-0,CANESM5,ACCESS-CM2
2000.0,15331977000000.0,15331977000000.0,15331977000000.0,15331977000000.0,15331977000000.0,15331977000000.0
2001.0,15299929000000.0,15299929000000.0,15299929000000.0,15299929000000.0,15299929000000.0,15299929000000.0
2002.0,15270556000000.0,15270556000000.0,15270556000000.0,15270556000000.0,15270556000000.0,15270556000000.0
2003.0,15204357000000.0,15204357000000.0,15204357000000.0,15204357000000.0,15204357000000.0,15204357000000.0
2004.0,15101432000000.0,15101432000000.0,15101432000000.0,15101432000000.0,15101432000000.0,15101432000000.0
2005.0,15055764000000.0,15055764000000.0,15055764000000.0,15055764000000.0,15055764000000.0,15055764000000.0
2006.0,15014718000000.0,15014718000000.0,15014718000000.0,15014718000000.0,15014718000000.0,15014718000000.0
2007.0,14999434000000.0,14999434000000.0,14999434000000.0,14999434000000.0,14999434000000.0,14999434000000.0
2008.0,14959111000000.0,14959111000000.0,14959111000000.0,14959111000000.0,14959111000000.0,14959111000000.0
2009.0,14906986000000.0,14906986000000.0,14906986000000.0,14906986000000.0,14906986000000.0,14906986000000.0
2010.0,14824772000000.0,14824772000000.0,14824772000000.0,14824772000000.0,14824772000000.0,14824772000000.0
2011.0,14746603000000.0,14746603000000.0,14746603000000.0,14746603000000.0,14746603000000.0,14746603000000.0
2012.0,14711515000000.0,14711515000000.0,14711515000000.0,14711515000000.0,14711515000000.0,14711515000000.0
2013.0,14685102000000.0,14685102000000.0,14685102000000.0,14685102000000.0,14685102000000.0,14685102000000.0
2014.0,14671528000000.0,14671528000000.0,14671528000000.0,14671528000000.0,14671528000000.0,14671528000000.0
2015.0,14636127000000.0,14636127000000.0,14636127000000.0,14636127000000.0,14636127000000.0,14636127000000.0
2016.0,14646599000000.0,14646599000000.0,14646599000000.0,14646599000000.0,14646599000000.0,14646599000000.0
2017.0,14612340000000.0,14612340000000.0,14612340000000.0,14612340000000.0,14612340000000.0,14612340000000.0
2018.0,14596337000000.0,14596337000000.0,14596337000000.0,14596337000000.0,14596337000000.0,14596337000000.0
2019.0,14631684000000.0,14631684000000.0,14631684000000.0,14631684000000.0,14631684000000.0,14631684000000.0
2020.0,14547510000000.0,14547510000000.0,14547510000000.0,14547510000000.0,14547510000000.0,14547510000000.0
2021.0,14462935000000.0,14482207000000.0,14509971000000.0,14434887000000.0,14487184000000.0,14466453000000.0
2022.0,14418295000000.0,14417215000000.0,14479898000000.0,14356173000000.0,14485869000000.0,14379094000000.0
2023.0,14402917000000.0,14358299000000.0,14414178000000.0,14239163000000.0,14440495000000.0,14321431000000.0
2024.0,14304656000000.0,14347314000000.0,14368941000000.0,14166730000000.0,14385463000000.0,14313343000000.0
2025.0,14199788000000.0,14257442000000.0,14300964000000.0,14032334000000.0,14301985000000.0,14286509000000.0
2026.0,14089494000000.0,14213302000000.0,14223321000000.0,13931957000000.0,14219690000000.0,14249757000000.0
2027.0,13961447000000.0,14195350000000.0,14179482000000.0,13839924000000.0,14131616000000.0,14195989000000.0
2028.0,13896472000000.0,14129135000000.0,14076316000000.0,13720878000000.0,14093941000000.0,14130160000000.0
2029.0,13851277000000.0,14079518000000.0,13999227000000.0,13629506000000.0,14034014000000.0,14031711000000.0
2030.0,13772919000000.0,14025691000000.0,13928187000000.0,13550018000000.0,13959644000000.0,13955351000000.0
2031.0,13677431000000.0,13997293000000.0,13871274000000.0,13452081000000.0,13886024000000.0,13857988000000.0
2032.0,13543722000000.0,13988701000000.0,13825750000000.0,13335750000000.0,13839082000000.0,13762479000000.0
2033.0,13460537000000.0,13872110000000.0,13742578000000.0,13315943000000.0,13741259000000.0,13751818000000.0
2034.0,13410221000000.0,13811702000000.0,13676337000000.0,13244589000000.0,13660652000000.0,13714199000000.0
2035.0,13347373000000.0,13719319000000.0,13626969000000.0,13130676000000.0,13554107000000.0,13646561000000.0
2036.0,13255466000000.0,13603541000000.0,13564712000000.0,13044712000000.0,13456687000000.0,13618286000000.0
2037.0,13132492000000.0,13561662000000.0,13558444000000.0,12976276000000.0,13348221000000.0,13603990000000.0
2038.0,13076064000000.0,13515419000000.0,13512821000000.0,12862211000000.0,13242678000000.0,13575497000000.0
2039.0,12975080000000.0,13447919000000.0,13477953000000.0,12775629000000.0,13110906000000.0,13461146000000.0
2040.0,12890748000000.0,13364112000000.0,13430005000000.0,12709694000000.0,13033862000000.0,13383934000000.0
2041.0,12780053000000.0,13340290000000.0,13373550000000.0,12648776000000.0,12953463000000.0,13272099000000.0
2042.0,12698751000000.0,13269573000000.0,13336137000000.0,12595540000000.0,12803880000000.0,13189169000000.0
2043.0,12628972000000.0,13241057000000.0,13308993000000.0,12545367000000.0,12719676000000.0,13126521000000.0
2044.0,12589685000000.0,13159509000000.0,13206377000000.0,12512063000000.0,12639904000000.0,13028023000000.0
2045.0,12512691000000.0,13117441000000.0,13139557000000.0,12438332000000.0,12519733000000.0,12933010000000.0
2046.0,12420252000000.0,13100213000000.0,13083591000000.0,12340280000000.0,12403941000000.0,12826719000000.0
2047.0,12340107000000.0,13042634000000.0,13003483000000.0,12234331000000.0,12318023000000.0,12756130000000.0
2048.0,12244136000000.0,12950535000000.0,12917704000000.0,12186463000000.0,12250901000000.0,12620940000000.0
2049.0,12132010000000.0,12882104000000.0,12886472000000.0,12137562000000.0,12157165000000.0,12548175000000.0
2050.0,12027203000000.0,12767512000000.0,12848667000000.0,12072635000000.0,12083938000000.0,12462640000000.0
2051.0,11941224000000.0,12693532000000.0,12783536000000.0,12011133000000.0,12025228000000.0,12337361000000.0
2052.0,11929986000000.0,12586153000000.0,12743316000000.0,11954027000000.0,11964753000000.0,12255451000000.0
2053.0,11873389000000.0,12513028000000.0,12681906000000.0,11873241000000.0,11876944000000.0,12133163000000.0
2054.0,11851742000000.0,12447060000000.0,12621266000000.0,11795204000000.0,11753539000000.0,12011601000000.0
2055.0,11792656000000.0,12375091000000.0,12566473000000.0,11712216000000.0,11665571000000.0,11903960000000.0
2056.0,11706117000000.0,12317244000000.0,12522064000000.0,11665865000000.0,11589126000000.0,11811303000000.0
