time,CANESM5,ACCESS-CM2,IPSL-CM6A-LR,CESM2-WACCM,MRI-ESM2-0,ACCESS-ESM1-5
2000.0,15331977000000.0,15331977000000.0,15331977000000.0,15331977000000.0,15331977000000.0,15331977000000.0
2001.0,15299929000000.0,15299929000000.0,15299929000000.0,15299929000000.0,15299929000000.0,15299929000000.0
2002.0,15270556000000.0,15270556000000.0,15270556000000.0,15270556000000.0,15270556000000.0,15270556000000.0
2003.0,15204357000000.0,15204357000000.0,15204357000000.0,15204357000000.0,15204357000000.0,15204357000000.0
2004.0,15101432000000.0,15101432000000.0,15101432000000.0,15101432000000.0,15101432000000.0,15101432000000.0
2005.0,15055764000000.0,15055764000000.0,15055764000000.0,15055764000000.0,15055764000000.0,15055764000000.0
2006.0,15014718000000.0,15014718000000.0,15014718000000.0,15014718000000.0,15014718000000.0,15014718000000.0
2007.0,14999434000000.0,14999434000000.0,14999434000000.0,14999434000000.0,14999434000000.0,14999434000000.0
2008.0,14959111000000.0,14959111000000.0,14959111000000.0,14959111000000.0,14959111000000.0,14959111000000.0
2009.0,14906986000000.0,14906986000000.0,14906986000000.0,14906986000000.0,14906986000000.0,14906986000000.0
2010.0,14824772000000.0,14824772000000.0,14824772000000.0,14824772000000.0,14824772000000.0,14824772000000.0
2011.0,14746603000000.0,14746603000000.0,14746603000000.0,14746603000000.0,14746603000000.0,14746603000000.0
2012.0,14711515000000.0,14711515000000.0,14711515000000.0,14711515000000.0,14711515000000.0,14711515000000.0
2013.0,14685102000000.0,14685102000000.0,14685102000000.0,14685102000000.0,14685102000000.0,14685102000000.0
2014.0,14671528000000.0,14671528000000.0,14671528000000.0,14671528000000.0,14671528000000.0,14671528000000.0
2015.0,14636127000000.0,14636127000000.0,14636127000000.0,14636127000000.0,14636127000000.0,14636127000000.0
2016.0,14646599000000.0,14646599000000.0,14646599000000.0,14646599000000.0,14646599000000.0,14646599000000.0
2017.0,14612340000000.0,14612340000000.0,14612340000000.0,14612340000000.0,14612340000000.0,14612340000000.0
2018.0,14596337000000.0,14596337000000.0,14596337000000.0,14596337000000.0,14596337000000.0,14596337000000.0
2019.0,14631684000000.0,14631684000000.0,14631684000000.0,14631684000000.0,14631684000000.0,14631684000000.0
2020.0,14547510000000.0,14547510000000.0,14547510000000.0,14547510000000.0,14547510000000.0,14547510000000.0
2021.0,14541918000000.0,14493648000000.0,14480111000000.0,14508747000000.0,14481878000000.0,14513178000000.0
2022.0,14484237000000.0,14414591000000.0,14422398000000.0,14446699000000.0,14433364000000.0,14464163000000.0
2023.0,14449531000000.0,14365169000000.0,14335876000000.0,14379968000000.0,14317601000000.0,14415105000000.0
2024.0,14310883000000.0,14283492000000.0,14291495000000.0,14349724000000.0,14238286000000.0,14377727000000.0
2025.0,14195465000000.0,14209597000000.0,14265040000000.0,14239797000000.0,14162727000000.0,14292501000000.0
2026.0,14128465000000.0,14220536000000.0,14180721000000.0,14151538000000.0,14097157000000.0,14231693000000.0
2027.0,14080183000000.0,14142685000000.0,14119943000000.0,14124785000000.0,14040101000000.0,14161880000000.0
2028.0,13985972000000.0,14079718000000.0,14058105000000.0,14059765000000.0,13993444000000.0,14089786000000.0
2029.0,13898626000000.0,14010203000000.0,13955280000000.0,13979512000000.0,13954922000000.0,14026213000000.0
2030.0,13850141000000.0,13920370000000.0,13889931000000.0,13930773000000.0,13894732000000.0,13939580000000.0
2031.0,13789796000000.0,13812589000000.0,13836279000000.0,13856523000000.0,13820158000000.0,13855800000000.0
2032.0,13663902000000.0,13739613000000.0,13723491000000.0,13813592000000.0,13726618000000.0,13789341000000.0
2033.0,13583466000000.0,13683787000000.0,13632612000000.0,13710729000000.0,13660037000000.0,13724759000000.0
2034.0,13485470000000.0,13613341000000.0,13558894000000.0,13618271000000.0,13569099000000.0,13574078000000.0
2035.0,13413658000000.0,13520324000000.0,13532912000000.0,13542788000000.0,13501483000000.0,13487664000000.0
2036.0,13305638000000.0,13458655000000.0,13498322000000.0,13499757000000.0,13464858000000.0,13445105000000.0
2037.0,13215428000000.0,13378273000000.0,13426936000000.0,13443365000000.0,13388716000000.0,13355134000000.0
2038.0,13141049000000.0,13288012000000.0,13375605000000.0,13348026000000.0,13283809000000.0,13294465000000.0
2039.0,13087325000000.0,13199521000000.0,13252899000000.0,13243446000000.0,13194827000000.0,13218145000000.0
2040.0,12998474000000.0,13112497000000.0,13216811000000.0,13098821000000.0,13145283000000.0,13133061000000.0
2041.0,12914948000000.0,13049413000000.0,13163652000000.0,13003428000000.0,13049064000000.0,13055838000000.0
2042.0,12791326000000.0,12967032000000.0,13075054000000.0,12917336000000.0,12991954000000.0,13011963000000.0
2043.0,12751364000000.0,12872199000000.0,12967466000000.0,12814680000000.0,12876542000000.0,12962650000000.0
2044.0,12586079000000.0,12766712000000.0,12924254000000.0,12715041000000.0,12725285000000.0,12874082000000.0
2045.0,12489837000000.0,12658152000000.0,12838080000000.0,12593865000000.0,12611824000000.0,12783577000000.0
2046.0,12351960000000.0,12550427000000.0,12727517000000.0,12458638000000.0,12490475000000.0,12712160000000.0
2047.0,12163409000000.0,12499259000000.0,12634438000000.0,12346316000000.0,12363338000000.0,12577413000000.0
2048.0,12046306000000.0,12395774000000.0,12552962000000.0,12276320000000.0,12185265000000.0,12493763000000.0
2049.0,11871859000000.0,12313724000000.0,12420819000000.0,12163154000000.0,12038664000000.0,12420048000000.0
2050.0,11735217000000.0,12212134000000.0,12308985000000.0,12024266000000.0,11915171000000.0,12354788000000.0
2051.0,11573284000000.0,12106654000000.0,12251208000000.0,11918521000000.0,11803958000000.0,12279685000000.0
2052.0,11378547000000.0,12019222000000.0,12153980000000.0,11806283000000.0,11689649000000.0,12161643000000.0
2053.0,11216626000000.0,11906404000000.0,12041710000000.0,11692503000000.0,11560171000000.0,12068225000000.0
2054.0,11046932000000.0,11811434000000.0,11926571000000.0,11585633000000.0,11403747000000.0,11982703000000.0
2055.0,10862976000000.0,11725627000000.0,11772062000000.0,11440450000000.0,11233029000000.0,11844644000000.0
2056.0,10679326000000.0,11624571000000.0,11623507000000.0,11365987000000.0,11113305000000.0,11724343000000.0
