time,ACCESS-CM2,CESM2-WACCM,IPSL-CM6A-LR,ACCESS-ESM1-5,MRI-ESM2-0,CANESM5
2000.0,13944907000000.0,13944907000000.0,13944907000000.0,13944907000000.0,13944907000000.0,13944907000000.0
2001.0,13921663000000.0,13921663000000.0,13921663000000.0,13921663000000.0,13921663000000.0,13921663000000.0
2002.0,13902591000000.0,13902591000000.0,13902591000000.0,13902591000000.0,13902591000000.0,13902591000000.0
2003.0,13891185000000.0,13891185000000.0,13891185000000.0,13891185000000.0,13891185000000.0,13891185000000.0
2004.0,13889544000000.0,13889544000000.0,13889544000000.0,13889544000000.0,13889544000000.0,13889544000000.0
2005.0,13885469000000.0,13885469000000.0,13885469000000.0,13885469000000.0,13885469000000.0,13885469000000.0
2006.0,13873272000000.0,13873272000000.0,13873272000000.0,13873272000000.0,13873272000000.0,13873272000000.0
2007.0,13858094000000.0,13858094000000.0,13858094000000.0,13858094000000.0,13858094000000.0,13858094000000.0
2008.0,13853954000000.0,13853954000000.0,13853954000000.0,13853954000000.0,13853954000000.0,13853954000000.0
2009.0,13847373000000.0,13847373000000.0,13847373000000.0,13847373000000.0,13847373000000.0,13847373000000.0
2010.0,13834272000000.0,13834272000000.0,13834272000000.0,13834272000000.0,13834272000000.0,13834272000000.0
2011.0,13827747000000.0,13827747000000.0,13827747000000.0,13827747000000.0,13827747000000.0,13827747000000.0
2012.0,13823229000000.0,13823229000000.0,13823229000000.0,13823229000000.0,13823229000000.0,13823229000000.0
2013.0,13800156000000.0,13800156000000.0,13800156000000.0,13800156000000.0,13800156000000.0,13800156000000.0
2014.0,13769632000000.0,13769632000000.0,13769632000000.0,13769632000000.0,13769632000000.0,13769632000000.0
2015.0,13776558000000.0,13776558000000.0,13776558000000.0,13776558000000.0,13776558000000.0,13776558000000.0
2016.0,13763005000000.0,13763005000000.0,13763005000000.0,13763005000000.0,13763005000000.0,13763005000000.0
2017.0,13730462000000.0,13730462000000.0,13730462000000.0,13730462000000.0,13730462000000.0,13730462000000.0
2018.0,13723015000000.0,13723015000000.0,13723015000000.0,13723015000000.0,13723015000000.0,13723015000000.0
2019.0,13701915000000.0,13701915000000.0,13701915000000.0,13701915000000.0,13701915000000.0,13701915000000.0
2020.0,13687473000000.0,13687473000000.0,13687473000000.0,13687473000000.0,13687473000000.0,13687473000000.0
2021.0,13659032000000.0,13681792000000.0,13663977000000.0,13674783000000.0,13673473000000.0,13670013000000.0
