time,IPSL-CM6A-LR,CESM2-WACCM,CANESM5,MRI-ESM2-0
2000.0,13944907000000.0,13944907000000.0,13944907000000.0,13944907000000.0
2001.0,13921663000000.0,13921663000000.0,13921663000000.0,13921663000000.0
2002.0,13902591000000.0,13902591000000.0,13902591000000.0,13902591000000.0
2003.0,13891185000000.0,13891185000000.0,13891185000000.0,13891185000000.0
2004.0,13889544000000.0,13889544000000.0,13889544000000.0,13889544000000.0
2005.0,13885469000000.0,13885469000000.0,13885469000000.0,13885469000000.0
2006.0,13873272000000.0,13873272000000.0,13873272000000.0,13873272000000.0
2007.0,13858094000000.0,13858094000000.0,13858094000000.0,13858094000000.0
2008.0,13853954000000.0,13853954000000.0,13853954000000.0,13853954000000.0
2009.0,13847373000000.0,13847373000000.0,13847373000000.0,13847373000000.0
2010.0,13834272000000.0,13834272000000.0,13834272000000.0,13834272000000.0
2011.0,13827747000000.0,13827747000000.0,13827747000000.0,13827747000000.0
2012.0,13823229000000.0,13823229000000.0,13823229000000.0,13823229000000.0
2013.0,13800156000000.0,13800156000000.0,13800156000000.0,13800156000000.0
2014.0,13769632000000.0,13769632000000.0,13769632000000.0,13769632000000.0
2015.0,13776558000000.0,13776558000000.0,13776558000000.0,13776558000000.0
2016.0,13763005000000.0,13763005000000.0,13763005000000.0,13763005000000.0
2017.0,13730462000000.0,13730462000000.0,13730462000000.0,13730462000000.0
2018.0,13723015000000.0,13723015000000.0,13723015000000.0,13723015000000.0
2019.0,13701915000000.0,13701915000000.0,13701915000000.0,13701915000000.0
2020.0,13687473000000.0,13687473000000.0,13687473000000.0,13687473000000.0
2021.0,13671132000000.0,13682900000000.0,13637389000000.0,13654296000000.0
2022.0,13640201000000.0,13654171000000.0,13594196000000.0,13636644000000.0
2023.0,13626641000000.0,13632390000000.0,13539587000000.0,13586635000000.0
2024.0,13611355000000.0,13623547000000.0,13476548000000.0,13506465000000.0
2025.0,13582845000000.0,13602398000000.0,13416765000000.0,13485160000000.0
2026.0,13572222000000.0,13588194000000.0,13318200000000.0,13445381000000.0
2027.0,13547858000000.0,13570031000000.0,13209900000000.0,13404486000000.0
2028.0,13518521000000.0,13556323000000.0,13093766000000.0,13347332000000.0
2029.0,13499259000000.0,13535018000000.0,13004996000000.0,13285120000000.0
2030.0,13465114000000.0,13537052000000.0,12903084000000.0,13249339000000.0
2031.0,13412629000000.0,13527559000000.0,12781229000000.0,13182304000000.0
2032.0,13386649000000.0,13494629000000.0,12685486000000.0,13120678000000.0
2033.0,13355261000000.0,13475740000000.0,12576406000000.0,13046554000000.0
2034.0,13327796000000.0,13461072000000.0,12465720000000.0,12964269000000.0
2035.0,13291317000000.0,13449280000000.0,12338995000000.0,12905169000000.0
2036.0,13270289000000.0,13430827000000.0,12228670000000.0,12831449000000.0
2037.0,13245893000000.0,13402197000000.0,12098036000000.0,12745413000000.0
2038.0,13215319000000.0,13357150000000.0,11959852000000.0,12635563000000.0
2039.0,13178157000000.0,13334994000000.0,11803193000000.0,12557568000000.0
2040.0,13127744000000.0,13324236000000.0,11661625000000.0,12456783000000.0
2041.0,13085534000000.0,13294302000000.0,11536541000000.0,12337108000000.0
2042.0,13037829000000.0,13256525000000.0,11424531000000.0,12191576000000.0
2043.0,13006172000000.0,13254781000000.0,11286022000000.0,12073139000000.0
2044.0,12960926000000.0,13230433000000.0,11141014000000.0,11990418000000.0
2045.0,12915398000000.0,13209507000000.0,11025358000000.0,11898136000000.0
2046.0,12865988000000.0,13185286000000.0,10890510000000.0,11800367000000.0
2047.0,12813381000000.0,13176893000000.0,10757440000000.0,11721551000000.0
2048.0,12759264000000.0,13145687000000.0,10617998000000.0,11635318000000.0
2049.0,12718798000000.0,13109557000000.0,10492860000000.0,11521713000000.0
2050.0,12655207000000.0,13088396000000.0,10359457000000.0,11422871000000.0
2051.0,12583467000000.0,13039426000000.0,10222604000000.0,11297898000000.0
2052.0,12529193000000.0,12984339000000.0,10098609000000.0,11148660000000.0
2053.0,12474570000000.0,12922965000000.0,9972458000000.0,11021990000000.0
2054.0,12394147000000.0,12864101000000.0,9838736000000.0,10902536000000.0
2055.0,12298617000000.0,12819400000000.0,9688128000000.0,10812998000000.0
2056.0,12205446000000.0,12752621000000.0,9544098000000.0,10714039000000.0
2057.0,12130770000000.0,12709788000000.0,9412670000000.0,10625313000000.0
2058.0,12044247000000.0,12680682000000.0,9295130000000.0,10520317000000.0
2059.0,11934944000000.0,12629322000000.0,9166197000000.0,10439124000000.0
2060.0,11828606000000.0,12597336000000.0,9025315000000.0,10374981000000.0
2061.0,11729538000000.0,12547299000000.0,8892811000000.0,10290661000000.0
2062.0,11631278000000.0,12480970000000.0,8759893000000.0,10212067000000.0
2063.0,11538086000000.0,12429622000000.0,8617127000000.0,10119833000000.0
2064.0,11428609000000.0,12386545000000.0,8475238000000.0,10038041000000.0
2065.0,11333121000000.0,12344407000000.0,8354810300000.0,9965672000000.0
2066.0,11228959000000.0,12312243000000.0,8213691400000.0,9868645000000.0
2067.0,11108662000000.0,12238524000000.0,8080601400000.0,9788025000000.0
2068.0,11017257000000.0,12185677000000.0,7926948300000.0,9687632000000.0
2069.0,10919329000000.0,12152265000000.0,7790921000000.0,9606557000000.0
2070.0,10832460000000.0,12122505000000.0,7676679000000.0,9519701000000.0
2071.0,10772605000000.0,12059145000000.0,7568038000000.0,9405383000000.0
2072.0,10701291000000.0,12003328000000.0,7458503300000.0,9317795000000.0
2073.0,10621343000000.0,11965951000000.0,7355662000000.0,9225788000000.0
2074.0,10534823000000.0,11920891000000.0,7241166500000.0,9153172000000.0
2075.0,10460836000000.0,11866467000000.0,7124489000000.0,9071315000000.0
2076.0,10382969000000.0,11804700000000.0,7019764400000.0,8983874000000.0
2077.0,10281408000000.0,11754513000000.0,6919675000000.0,8917459000000.0
2078.0,10190008000000.0,11708598000000.0,6836498000000.0,8811040000000.0
2079.0,10107056000000.0,11653316000000.0,6731754000000.0,8723137300000.0
2080.0,10024107000000.0,11603049000000.0,6620626000000.0,8649950400000.0
2081.0,9939966000000.0,11584705000000.0,6527002000000.0,8592729000000.0
2082.0,9846769000000.0,11553052000000.0,6408247400000.0,8532084000000.0
2083.0,9752262000000.0,11497600000000.0,6303890500000.0,8474467500000.0
2084.0,9664097000000.0,11470272000000.0,6212708000000.0,8427041000000.0
2085.0,9599086000000.0,11397763000000.0,6127062400000.0,8360781000000.0
2086.0,9512624000000.0,11366864000000.0,6014929700000.0,8309814000000.0
2087.0,9427236000000.0,11307404000000.0,5924206400000.0,8252138500000.0
2088.0,9350752000000.0,11289214000000.0,5840973600000.0,8186678500000.0
2089.0,9268766000000.0,11250356000000.0,5759680600000.0,8136338000000.0
2090.0,9181040000000.0,11215770000000.0,5674188000000.0,8090784600000.0
2091.0,9093545000000.0,11177595000000.0,5594523000000.0,8058275000000.0
2092.0,9001995000000.0,11149552000000.0,5503309000000.0,8015952000000.0
2093.0,8906538000000.0,11127443000000.0,5418284000000.0,7970178500000.0
2094.0,8831380000000.0,11090212000000.0,5333876000000.0,7919030500000.0
2095.0,8759956500000.0,11067745000000.0,5264199600000.0,7871681000000.0
2096.0,8682752400000.0,11047806000000.0,5190901000000.0,7829464000000.0
2097.0,8605845000000.0,11022155000000.0,5103809500000.0,7784043000000.0
2098.0,8537363700000.0,10984845000000.0,5031390600000.0,7730070000000.0
2099.0,8455041000000.0,10953797000000.0,4958574300000.0,7691377300000.0
2100.0,8369565000000.0,10922007000000.0,4890104400000.0,7644321000000.0
2101.0,8308793500000.0,10889539000000.0,4827045700000.0,7608739600000.0
2102.0,8237781400000.0,10861068000000.0,4747300400000.0,7575316000000.0
2103.0,8175551500000.0,10837637000000.0,4676015600000.0,7535494000000.0
2104.0,8113699000000.0,10809128000000.0,4605374600000.0,7502629400000.0
2105.0,8052005000000.0,10778743000000.0,4542300700000.0,7456485300000.0
2106.0,7988900000000.0,10748364000000.0,4476461000000.0,7422863000000.0
2107.0,7930313700000.0,10734045000000.0,4396503500000.0,7394881400000.0
2108.0,7874777400000.0,10706389000000.0,4337296200000.0,7384209000000.0
2109.0,7813515400000.0,10679041000000.0,4271564400000.0,7369550500000.0
2110.0,7744023700000.0,10656747000000.0,4219583900000.0,7346284000000.0
2111.0,7684715000000.0,10628000000000.0,4175097500000.0,7306515000000.0
2112.0,7617890000000.0,10611774000000.0,4124147000000.0,7276426000000.0
2113.0,7558593500000.0,10566641000000.0,4065500600000.0,7258141000000.0
2114.0,7515098000000.0,10539583000000.0,4020578300000.0,7235511000000.0
2115.0,7466241000000.0,10520652000000.0,3967889000000.0,7218479500000.0
2116.0,7427816700000.0,10492256000000.0,3916258000000.0,7203380000000.0
2117.0,7396867400000.0,10463420000000.0,3869706800000.0,7193009000000.0
2118.0,7347413000000.0,10422273000000.0,3826632400000.0,7174392600000.0
2119.0,7297522700000.0,10407465000000.0,3775496700000.0,7149757400000.0
2120.0,7249405700000.0,10394603000000.0,3727922300000.0,7123288700000.0
2121.0,7206857000000.0,10379985000000.0,3682019300000.0,7089257700000.0
2122.0,7154630700000.0,10334277000000.0,3633021200000.0,7085824700000.0
2123.0,7108793700000.0,10282604000000.0,3586732900000.0,7061985000000.0
2124.0,7071778000000.0,10250573000000.0,3541745300000.0,7054833500000.0
2125.0,7039618000000.0,10233562000000.0,3487572400000.0,7045061000000.0
2126.0,7006346000000.0,10220009000000.0,3424393600000.0,7024366600000.0
2127.0,6968775300000.0,10200485000000.0,3371084300000.0,7017033000000.0
2128.0,6940674500000.0,10168225000000.0,3327140300000.0,7002630000000.0
2129.0,6890113000000.0,10152684000000.0,3281374700000.0,6989967000000.0
2130.0,6849380000000.0,10134725000000.0,3225894300000.0,6978263300000.0
2131.0,6806595000000.0,10121828000000.0,3184513500000.0,6974024000000.0
2132.0,6766127000000.0,10105264000000.0,3142284700000.0,6967454600000.0
2133.0,6720173600000.0,10072323000000.0,3097919200000.0,6961508000000.0
2134.0,6676968600000.0,10061541000000.0,3049943200000.0,6947120600000.0
2135.0,6630595000000.0,10025236000000.0,3006830000000.0,6950226500000.0
2136.0,6589493000000.0,9989525000000.0,2966661400000.0,6945961000000.0
2137.0,6544365700000.0,9955557000000.0,2923935600000.0,6944333500000.0
2138.0,6483671000000.0,9935282000000.0,2878812700000.0,6932607000000.0
2139.0,6437764300000.0,9921055000000.0,2832403300000.0,6914670000000.0
2140.0,6395304300000.0,9898604000000.0,2795504100000.0,6899764300000.0
2141.0,6362445600000.0,9866583000000.0,2756186000000.0,6891863000000.0
2142.0,6332369300000.0,9862726000000.0,2716928300000.0,6882594400000.0
2143.0,6299861000000.0,9828365000000.0,2684225800000.0,6877386600000.0
2144.0,6255827500000.0,9814023000000.0,2648307400000.0,6868055400000.0
2145.0,6220092500000.0,9799732000000.0,2612681800000.0,6855819500000.0
2146.0,6177681300000.0,9760646000000.0,2581758200000.0,6850226000000.0
2147.0,6130994500000.0,9707419000000.0,2555364200000.0,6841196000000.0
2148.0,6098012000000.0,9664841000000.0,2525961000000.0,6839457500000.0
2149.0,6070295600000.0,9647038000000.0,2501312500000.0,6831348400000.0
2150.0,6033942500000.0,9633099000000.0,2468364700000.0,6824187700000.0
2151.0,6000967400000.0,9628100000000.0,2438239600000.0,6822658300000.0
2152.0,5959525600000.0,9617879000000.0,2414607900000.0,6809553000000.0
2153.0,5924721000000.0,9605300000000.0,2389510200000.0,6810441000000.0
2154.0,5881278000000.0,9598291000000.0,2362485800000.0,6803012000000.0
2155.0,5833652000000.0,9580010000000.0,2342780000000.0,6800167000000.0
2156.0,5801586500000.0,9559855000000.0,2316216000000.0,6790773700000.0
2157.0,5769351000000.0,9553778000000.0,2289968600000.0,6785751000000.0
2158.0,5744558000000.0,9540674000000.0,2273110400000.0,6788207000000.0
2159.0,5712383000000.0,9534478000000.0,2248650300000.0,6775000500000.0
2160.0,5680448700000.0,9513552000000.0,2224161300000.0,6769261000000.0
2161.0,5650756000000.0,9502730000000.0,2205787600000.0,6770865500000.0
2162.0,5616560000000.0,9494519000000.0,2184940900000.0,6774452600000.0
2163.0,5585511000000.0,9474989000000.0,2165278400000.0,6772624000000.0
2164.0,5557586000000.0,9474227000000.0,2145739100000.0,6779215300000.0
2165.0,5536323500000.0,9464495000000.0,2128520000000.0,6781003600000.0
2166.0,5499156700000.0,9469785000000.0,2111130700000.0,6775397400000.0
2167.0,5467213400000.0,9459232000000.0,2088818000000.0,6774971000000.0
2168.0,5427158000000.0,9448462000000.0,2073742300000.0,6781206500000.0
2169.0,5403803400000.0,9431784000000.0,2054733800000.0,6779722000000.0
2170.0,5363634500000.0,9433756000000.0,2035920800000.0,6776535600000.0
2171.0,5338715700000.0,9414222000000.0,2017729600000.0,6784099500000.0
