time,MRI-ESM2-0,CESM2-WACCM,IPSL-CM6A-LR,CANESM5
2000.0,127060490000.0,127060490000.0,127060490000.0,127060490000.0
2001.0,126535980000.0,126535980000.0,126535980000.0,126535980000.0
2002.0,125861310000.0,125861310000.0,125861310000.0,125861310000.0
2003.0,126739180000.0,126739180000.0,126739180000.0,126739180000.0
2004.0,121760830000.0,121760830000.0,121760830000.0,121760830000.0
2005.0,120207500000.0,120207500000.0,120207500000.0,120207500000.0
2006.0,117569870000.0,117569870000.0,117569870000.0,117569870000.0
2007.0,114309005000.0,114309005000.0,114309005000.0,114309005000.0
2008.0,113466230000.0,113466230000.0,113466230000.0,113466230000.0
2009.0,113532060000.0,113532060000.0,113532060000.0,113532060000.0
2010.0,110938250000.0,110938250000.0,110938250000.0,110938250000.0
2011.0,110245000000.0,110245000000.0,110245000000.0,110245000000.0
2012.0,107330700000.0,107330700000.0,107330700000.0,107330700000.0
2013.0,105662300000.0,105662300000.0,105662300000.0,105662300000.0
2014.0,104576040000.0,104576040000.0,104576040000.0,104576040000.0
2015.0,103936450000.0,103936450000.0,103936450000.0,103936450000.0
2016.0,100363020000.0,100363020000.0,100363020000.0,100363020000.0
2017.0,98438950000.0,98438950000.0,98438950000.0,98438950000.0
2018.0,95559836000.0,95559836000.0,95559836000.0,95559836000.0
2019.0,92063570000.0,92063570000.0,92063570000.0,92063570000.0
2020.0,89709720000.0,89709720000.0,89709720000.0,89709720000.0
2021.0,87667240000.0,89478136000.0,89058270000.0,87049570000.0
2022.0,83817330000.0,88115520000.0,83909220000.0,82611730000.0
2023.0,82347540000.0,87962300000.0,83093580000.0,81025430000.0
2024.0,79542680000.0,85267685000.0,78776880000.0,81578030000.0
2025.0,76435870000.0,86837440000.0,78014054000.0,79268800000.0
2026.0,72815750000.0,84707790000.0,75733640000.0,76697300000.0
2027.0,70415440000.0,81409490000.0,72893330000.0,75365700000.0
2028.0,66515653000.0,74728055000.0,71770430000.0,72043815000.0
2029.0,63664067000.0,72424220000.0,70612260000.0,71087060000.0
2030.0,61420900000.0,71338040000.0,68423602000.0,68538380000.0
2031.0,55687130000.0,68612317000.0,64799896000.0,68053963000.0
2032.0,52817610000.0,63755130000.0,65563402000.0,67790570000.0
2033.0,48610652000.0,62509010000.0,63137370000.0,64091580000.0
2034.0,47125660000.0,61471855000.0,59144960000.0,60243186000.0
2035.0,45325263000.0,62041850000.0,56887950000.0,55767396000.0
2036.0,42689892000.0,60039920000.0,53853155000.0,53778440000.0
2037.0,38641850000.0,58038346000.0,50281198000.0,52351914000.0
2038.0,36071070000.0,55117740000.0,47938544000.0,48964047000.0
2039.0,32884738000.0,51611034000.0,44909880000.0,46911420000.0
2040.0,30453901000.0,49475727000.0,43137294000.0,45157430000.0
2041.0,27753353000.0,46841410000.0,41109676000.0,43548545000.0
2042.0,24574464000.0,43312050000.0,40736550000.0,41805214000.0
2043.0,23506078000.0,42195116000.0,39752077000.0,39762400000.0
2044.0,22457825000.0,40945940000.0,38438500000.0,38087300000.0
2045.0,21432842000.0,39249437000.0,36343984000.0,34570790000.0
2046.0,20494020000.0,37770985000.0,34877890000.0,32131450000.0
2047.0,19707509000.0,35757110000.0,31537156000.0,30096896000.0
2048.0,18995390000.0,34580110000.0,31314190000.0,26701214000.0
2049.0,17641590000.0,31665031000.0,28668290000.0,24645224000.0
2050.0,16357551000.0,30096720000.0,26396602000.0,21864342000.0
2051.0,15337875000.0,29686930000.0,24418972000.0,20281387000.0
2052.0,14476114000.0,28747762000.0,22340130000.0,19557267000.0
2053.0,14068962000.0,27297944000.0,22005766000.0,17996673000.0
2054.0,13069634000.0,26445780000.0,20041394000.0,16716984000.0
2055.0,12234680000.0,24856973000.0,18655600000.0,16043758000.0
2056.0,11519456000.0,23296432000.0,17646453000.0,14673137000.0
2057.0,10717469000.0,22114048000.0,16364982000.0,13995461000.0
2058.0,10437938000.0,20607666000.0,15515482000.0,12949675000.0
2059.0,10251615000.0,19062485000.0,14675871000.0,12474007000.0
2060.0,10023783000.0,18707282000.0,13258034000.0,11783416000.0
2061.0,9926674000.0,18729818000.0,12284379000.0,10772105000.0
2062.0,9824447000.0,17976846000.0,11525519000.0,9908686000.0
2063.0,9857057000.0,17164632000.0,10440506000.0,9631605000.0
2064.0,9814652000.0,17478200000.0,9776956000.0,8898474000.0
2065.0,9666408000.0,17288792000.0,9722339000.0,8532410400.0
2066.0,9693272000.0,17208263000.0,9219430000.0,7835334700.0
2067.0,10065350000.0,16304300000.0,8570008000.0,7591827500.0
2068.0,9662505000.0,16371578000.0,8379758600.0,7590139400.0
2069.0,9096074000.0,15652505000.0,7770778000.0,7171222000.0
2070.0,9210898000.0,16272769000.0,7777380000.0,7169639400.0
2071.0,8830108000.0,15006340000.0,7798461400.0,6760178700.0
2072.0,9192337000.0,13899954000.0,7892596000.0,6652112400.0
2073.0,9082086000.0,13534882000.0,7871768600.0,6771439000.0
2074.0,9333901000.0,13843705000.0,7655175000.0,6623016400.0
2075.0,9104986000.0,13170950000.0,7587258400.0,6634014700.0
2076.0,9108993000.0,12762053000.0,7345764400.0,6544602000.0
2077.0,9044693000.0,12522861000.0,7320358400.0,6648991000.0
2078.0,8926369000.0,12618910000.0,7232008700.0,6651183600.0
2079.0,9054761000.0,13387377000.0,6855718000.0,6337457700.0
2080.0,9193717000.0,13544305000.0,6651286000.0,6095430000.0
2081.0,9388998000.0,13710067000.0,6488867000.0,6228959700.0
2082.0,9498809000.0,13315831000.0,6867182600.0,6040214000.0
2083.0,9801183000.0,13182908000.0,6974679000.0,5851576300.0
2084.0,10038787000.0,12682747000.0,7029247000.0,5907540000.0
2085.0,10045662000.0,12118637000.0,7102404600.0,6246985000.0
2086.0,10057053000.0,11946226000.0,7062322700.0,6066553300.0
2087.0,10226288000.0,12125591000.0,7129622500.0,6186847700.0
2088.0,10115362000.0,11834994000.0,6971749000.0,6221465600.0
2089.0,10265247000.0,11268615000.0,7016732000.0,6792616000.0
2090.0,10591525000.0,11613463000.0,7056208400.0,7053082000.0
2091.0,11135555000.0,11016959000.0,7121793000.0,7152035000.0
2092.0,11146555000.0,11358584000.0,6838957600.0,7157477400.0
2093.0,11032403000.0,11028941000.0,6808130600.0,6901309400.0
2094.0,10888285000.0,10714668000.0,6834930000.0,7219503600.0
2095.0,11473123000.0,11069712000.0,6919358000.0,7478932500.0
2096.0,11558679000.0,10613423000.0,7217046500.0,7966747600.0
2097.0,11526141000.0,10685397000.0,7322622000.0,7869284000.0
2098.0,11956408000.0,10812059000.0,7469161000.0,8087433000.0
2099.0,12538880000.0,10620925000.0,7608152600.0,8120368000.0
2100.0,12897223000.0,10631394000.0,7759793000.0,7855133700.0
2101.0,13147666000.0,10371722000.0,8246571500.0,7954722300.0
2102.0,14234781000.0,10839474000.0,8302813700.0,7917871000.0
2103.0,14091009000.0,11458573000.0,8537702000.0,8188421600.0
2104.0,13584454000.0,11515438000.0,8534531600.0,9010578000.0
2105.0,13996312000.0,13879713000.0,8688129000.0,8869668000.0
2106.0,13961090000.0,13359101000.0,9084360000.0,9135933000.0
